"","baseMean","lgFC_LcDC_vs_CD3_CD28","lfcSE","stat","pvalue","padj"
"Msrb1",665.541424526126,1.52100195702579,0.234836284663991,6.47686092974122,9.36504335159466e-11,1.0973016513495e-09
"Prss34",866.91491127597,2.65631415041753,0.410193794598026,6.47575410793481,9.43395738890572e-11,1.10457063772144e-09
"Ssu72",554.555284215994,-0.611237527667084,0.0945071500507556,-6.46763263243908,9.95501537555402e-11,1.16472954838237e-09
"Tmem176a",182.831314378615,1.0132283943786,0.156685077828879,6.46665533449957,1.00195826001914e-10,1.17143067605149e-09
"Pxn",315.547429351394,0.847963592041609,0.131145152491592,6.46584014682488,1.00737526929462e-10,1.17690736915991e-09
"Inafm1",60.5855698264494,-1.19712959072405,0.185154036914816,-6.46558730596197,1.00906123362275e-10,1.1771858992117e-09
"Tmem238",46.8365863736681,-1.29559281374071,0.200382934266595,-6.46558459922047,1.00907929731979e-10,1.1771858992117e-09
"Trp53inp2",84.4179863393232,1.06978344996495,0.165522623960284,6.46306483288735,1.02603305536135e-10,1.19609542825288e-09
"Dbr1",101.865944741666,-0.846118106571155,0.130929642785743,-6.46238765010434,1.03063662065507e-10,1.20059076680225e-09
"Sdad1",152.007690826316,-0.932454145424089,0.144301346054084,-6.46185341247341,1.03428267158285e-10,1.20396498813818e-09
"Rundc3b",8.58866295612603,-3.67709596412482,0.569141586716677,-6.46077540272119,1.04167827826646e-10,1.21169586256861e-09
"Sptan1",201.80358859193,0.753270198346299,0.116652367757971,6.45739313160944,1.06521923189021e-10,1.23818247041131e-09
"Usp15",141.734973750712,-1.131388289373,0.175273825797158,-6.45497571715211,1.08236256546803e-10,1.25719972897169e-09
"Inf2",146.750687810732,1.07049011480182,0.165933324989281,6.45132684993186,1.10875079735823e-10,1.28692000063314e-09
"Atp6v1c1",195.094900504879,0.679031165070541,0.105283542518667,6.44954708804702,1.12184901252542e-10,1.30118285467209e-09
"Tnfrsf21",42.9746649761381,1.79987554758169,0.279356480156649,6.44293465672395,1.17185157121583e-10,1.35819795382476e-09
"Atp11b",146.388737760238,-1.12876390598593,0.175279870779687,-6.43978056901182,1.19646351170159e-10,1.38472549365809e-09
"Ctss",2108.48147190766,-1.27936266550901,0.198663900917789,-6.43983461312598,1.19603757134897e-10,1.38472549365809e-09
"Top2a",453.940412660523,0.995411828982839,0.154618406088079,6.43786114581857,1.21168766944972e-10,1.40133554514329e-09
"Vpreb3",171.329443584797,-1.42416799369065,0.22124640589474,-6.43702205209251,1.21840238001663e-10,1.4080874699703e-09
"Camkk1",19.0291853515754,2.70577918220212,0.420552234072296,6.43387185463621,1.24393744689097e-10,1.43656442464821e-09
"Rrs1",140.258817448619,-0.789748839176538,0.122763087481819,-6.43311320508697,1.25016468021439e-10,1.44271878038535e-09
"Usb1",156.585717163909,-1.04104777885366,0.161864638510898,-6.43159487106613,1.26271929003895e-10,1.45616099606502e-09
"Cpsf3",252.017824694795,-0.720791950306078,0.112135303758223,-6.42787709266115,1.29398295936566e-10,1.49114363409254e-09
"Slc19a1",75.3081238434946,-1.3392225212413,0.208452276262519,-6.4246001303182,1.3221660771856e-10,1.52252873576411e-09
"Mrpl21",161.174419728942,-0.780191574432045,0.121497150703136,-6.42148042087298,1.34955373813885e-10,1.55295352789846e-09
"Socs1",57.674476556106,-1.9951068896102,0.31080765270649,-6.41910478148448,1.37078038055138e-10,1.57625025291176e-09
"Atm",28.7580666324604,-2.20305654813758,0.34330175271957,-6.41725983245176,1.38749000499758e-10,1.59432327899006e-09
"Cxcl3",810.54818920354,3.11876751279292,0.486066726913881,6.41633615325717,1.39593034257658e-10,1.60287526970338e-09
"Osbpl3",89.5825330179048,1.40486584618329,0.218990604847043,6.41518775275557,1.40649412260491e-10,1.61385154182323e-09
"Otud1",39.1571226411447,-1.75653227776922,0.273836512327971,-6.41452910291758,1.41258804983456e-10,1.61968696877533e-09
"Rnf4",328.292379198675,-0.913664817407305,0.142447709258439,-6.41403657639499,1.41716183370462e-10,1.62377230361134e-09
"Uhrf1",91.488626735867,1.37532958190327,0.214446041243551,6.41340625328346,1.4230363653241e-10,1.62934113845805e-09
"BC051226",32.1205169850928,-1.95440722113169,0.305100395968958,-6.40578395490032,1.49598677263119e-10,1.7116475438424e-09
"Milr1",125.040383098195,1.05676954446017,0.164981464615687,6.40538345881366,1.49991920142393e-10,1.71492541293053e-09
"Kif22",122.436009595275,1.00123339333212,0.156334788950361,6.40441836429654,1.50943690929399e-10,1.72457997943803e-09
"Tmem67",9.71922913193518,-3.51257510693635,0.548532572414031,-6.40358528114001,1.51770016982962e-10,1.73278859475075e-09
"Trbv14",15.2951224670543,-3.22934580004803,0.50432242082084,-6.40333577633117,1.52018357139531e-10,1.73439125645556e-09
"Chst13",15.7400650042002,3.01627736994611,0.471336502860879,6.39941390416011,1.55974499174161e-10,1.7757436957716e-09
"Ermap",20.4702676416689,-6.78019996609878,1.05948747369834,-6.39950932353281,1.55877062599326e-10,1.7757436957716e-09
"Gm20627",8.3075728681289,-3.21922373286406,0.503047372085572,-6.39944448873187,1.55943261553577e-10,1.7757436957716e-09
"Copg2",59.2781323504084,-1.1940494480654,0.186613495499488,-6.39851606053153,1.5689424313104e-10,1.78494980287325e-09
"Ampd2",182.865217399155,0.934382134810388,0.146063733531213,6.39708510949924,1.58371062956291e-10,1.80047611842169e-09
"Mgl2",20.4326068480898,2.85693262138142,0.446879766467476,6.39306774608545,1.6259018000141e-10,1.84713483135973e-09
"Pias4",190.149638175951,0.88440123380066,0.138348244214585,6.39257287883546,1.63117437300082e-10,1.85181520338411e-09
"Recql4",19.6457588901182,2.38522593051008,0.373296058004919,6.3896359989921,1.66281094087959e-10,1.88639794874927e-09
"Knstrn",95.8003911255628,1.14942907055343,0.179905318000344,6.3890777845224,1.66889156482359e-10,1.89196006332577e-09
"Dctpp1",178.065051448274,-1.02335992575487,0.160263561751032,-6.38548098253708,1.70859577298888e-10,1.93560525368783e-09
"Cd3e",100.051861750093,-1.96984514842613,0.308501461478392,-6.38520524015119,1.71167743216316e-10,1.9377298287716e-09
"Mogs",305.67236778516,-0.768852730285168,0.120430024498561,-6.38422796546351,1.7226431143886e-10,1.94877035137595e-09
"Sppl2a",90.9061877050802,-1.9071739057514,0.298765521422779,-6.38351405700721,1.73069700548078e-10,1.95650363800445e-09
"Dapk2",35.1402991209987,1.6439392406783,0.25775878035186,6.37782052830247,1.79625832503725e-10,2.0291908391982e-09
"Rfx5",75.882690265745,-1.24114150556604,0.194663411065305,-6.3758335414644,1.81970488823242e-10,2.05423326244311e-09
"Grwd1",74.8575741383598,-1.09476215160349,0.171720129142006,-6.3752697897063,1.8264114694292e-10,2.06035630933362e-09
"Dph3",234.151782952221,-0.559812714128352,0.0878249393632364,-6.37418845019653,1.83934310128162e-10,2.07348825115704e-09
"Ndc1",76.3601482961905,1.02086721228443,0.160215061168902,6.37185546000703,1.86754854303444e-10,2.10380783978298e-09
"Dctd",28.2007957176806,-1.71762861008348,0.269654013099207,-6.36974985219879,1.89336746981907e-10,2.13139839069191e-09
"Il27",23.4804045733489,-2.65262613255919,0.416565940068145,-6.36784210472237,1.91706113412138e-10,2.15655952790797e-09
"Vcan",21.1084429300379,-3.26770694622866,0.513310229693667,-6.36594939512263,1.94085419995402e-10,2.18179719160681e-09
"Stk10",278.953777190742,0.786588290978202,0.123651172781316,6.36134921558187,1.99989173888488e-10,2.2465916708704e-09
"Car4",20.3523968467513,4.52400741015707,0.71128579634486,6.3603230001287,2.01329932978102e-10,2.25849444368731e-09
"Hmmr",57.430730610343,1.77826528304548,0.279585235795797,6.36036905877348,2.01269569204421e-10,2.25849444368731e-09
"Magohb",78.4871524859012,-1.34112533363312,0.210905777873223,-6.35888379710146,2.03225067268694e-10,2.27816293133587e-09
"Gpr35",15.9306512796063,-3.03781830043966,0.477782366781886,-6.35816328028378,2.04180374787652e-10,2.28727583025722e-09
"Sub1",1696.53283484109,-1.67226638770215,0.263125144546329,-6.35540320779839,2.07880613482117e-10,2.32710395468762e-09
"Sgsm3",45.9728098389267,1.25128360297203,0.196935539411152,6.3537724410405,2.10097571395162e-10,2.35028369560716e-09
"Lcn2",2798.37083315059,2.4336574097891,0.383293735934224,6.34932737384137,2.16258384380303e-10,2.4175189190572e-09
"Dnajc13",178.962039564296,-0.839272793695314,0.132265276768549,-6.34537509919521,2.21884152360163e-10,2.47868360466875e-09
"Emc6",321.278157292694,-0.587981159147191,0.0928706655134435,-6.33118278948994,2.4328891579538e-10,2.71590906416746e-09
"Nek8",28.2696446777751,-1.39164232911994,0.219970613869141,-6.32649200109894,2.50797294593727e-10,2.79778315302335e-09
"Emb",368.047943562269,1.1500531965905,0.181868213677712,6.32355249625151,2.55617306760593e-10,2.84957419556015e-09
"Stk40",358.165975193177,1.25511937078591,0.198504129037081,6.32288797655915,2.56719417677387e-10,2.85987567653921e-09
"Stard5",29.8322236918051,1.69601019773307,0.268301201928857,6.32129183745807,2.59385622045659e-10,2.88757493592617e-09
"Jarid2",118.704279937408,-1.08315105673498,0.171388108811258,-6.31987285610228,2.61778594768012e-10,2.91219622323638e-09
"Tcof1",578.595221395477,-1.01363239654343,0.16041446739818,-6.31883403650494,2.6354411838157e-10,2.92980810912217e-09
"P2ry2",23.9037157424022,2.50222456502654,0.396013015587615,6.31854122600911,2.64043861178799e-10,2.93333373857278e-09
"Mrpl55",153.587887245888,-0.724364430578194,0.114660544842868,-6.31746893903975,2.65881857384329e-10,2.951711234984e-09
"Pgap2",124.467441417142,-1.03008789774814,0.163075136611414,-6.31664592869665,2.67301040960773e-10,2.96541707320018e-09
"Lpxn",214.771561504907,-1.0134332998717,0.160613261343333,-6.30977349812573,2.79444131714884e-10,3.09799208548509e-09
"Scarb2",99.5868146673251,-0.976480530880897,0.154762441334652,-6.30954463150007,2.79857655578924e-10,3.10043681325506e-09
"4930438A08Rik",19.2828322381033,2.79858060030868,0.443652524647328,6.30804615060705,2.82579964336992e-10,3.12843869545792e-09
"Hebp1",42.5574039609006,-2.57369271343945,0.408091851375052,-6.30665058556666,2.85138551696385e-10,3.15459069865753e-09
"Lipg",99.2383766660474,2.35040918268056,0.372736571023816,6.30581854692863,2.86674736590146e-10,3.16940328188858e-09
"Psmd5",136.193195362237,0.870799360754702,0.138103595972263,6.30540685507998,2.87437825170859e-10,3.17565421151629e-09
"Caskin2",23.3314020956541,2.42477487883533,0.384578071128316,6.30502636752341,2.88144838793731e-10,3.18127745043471e-09
"Pik3r2",60.6661587214059,1.62579281388673,0.258239552666148,6.29567700649078,3.06061081607643e-10,3.37522562857024e-09
"Sord",44.4754296115296,2.37183611793278,0.376742587873606,6.29564109361724,3.06131955977766e-10,3.37522562857024e-09
"Abhd8",104.872145174736,0.955085923434549,0.151710278173549,6.29545957553371,3.06490428787373e-10,3.37686025242823e-09
"Clic5",7.65565383893509,-6.10843999578858,0.97051496509762,-6.29401937678947,3.09349184334728e-10,3.40602145109874e-09
"Cttnbp2nl",16.3298579822444,-2.34709820969702,0.373246271076472,-6.28833666021041,3.20885447038291e-10,3.53061905563226e-09
"Peds1",242.640171802809,1.09744881820078,0.174585851907721,6.28601233266515,3.25724080567817e-10,3.58140426436784e-09
"B9d2",147.994234117715,1.07430119353668,0.170967218133321,6.28366774207516,3.30677048369795e-10,3.63337626881832e-09
"Smim27",117.787790050623,-0.99467183673708,0.15838811038329,-6.27996529745845,3.38648609638469e-10,3.71842191745206e-09
"3110082I17Rik",64.8780375747942,-1.31762012472866,0.209854541682944,-6.27873056337931,3.41348543660053e-10,3.74550751731905e-09
"Ldaf1",27.8351277342583,1.67563984744959,0.266883429560946,6.27854584380236,3.41754264188084e-10,3.74739965864668e-09
"Qsox1",88.4016018506882,1.72224819562203,0.274316240652407,6.27833113900219,3.4222643635294e-10,3.75001737624395e-09
