"","baseMean","lgFC_PMoDC_vs_Naive","lfcSE","stat","pvalue","padj"
"Mis12",54.1005702116075,1.06723518199892,0.220164046464086,4.8474544283642,1.25055747073997e-06,1.46588462957208e-05
"Dpm3",309.839069438037,-0.526541900863525,0.108654738230032,-4.84600956608802,1.25969444824114e-06,1.47549456273491e-05
"Entpd1",62.8834082596677,-0.832435617427931,0.17196797104335,-4.84064336153672,1.2941945200184e-06,1.51477614744373e-05
"Cct7",928.554335624976,-0.393030262304495,0.0812008882049821,-4.84022122162428,1.29694674182003e-06,1.51686799365097e-05
"Pdzd4",7.43905895469078,-1.91000984205206,0.39531856280755,-4.83157134966591,1.35459655856401e-06,1.58311548729128e-05
"Ap2a2",56.059432364528,-1.47045456687716,0.304374370592984,-4.83107222205473,1.35799729108536e-06,1.58355782036875e-05
"Atg2a",80.2331308322691,-1.09336409304151,0.226312132218323,-4.83122173930449,1.35697771683157e-06,1.58355782036875e-05
"Grap",414.987798876845,-0.958562150458183,0.198412960796134,-4.83114684954018,1.35748830615275e-06,1.58355782036875e-05
"Ccdc66",20.6146829363797,1.42041293233015,0.294052775796048,4.8304693893294,1.36211555102803e-06,1.58718267951147e-05
"Mis18bp1",19.4811617914184,1.74077738568176,0.360720090017041,4.82583985161327,1.39414505982486e-06,1.62330119965829e-05
"Fgfrl1",9.01694557778331,-2.6896159057618,0.557412065457373,-4.82518422624184,1.39873914962911e-06,1.62744490695928e-05
"Msmo1",84.9602115607262,1.03623876699309,0.214939773095479,4.82106569700705,1.4279331686319e-06,1.66018354125183e-05
"Lyl1",300.581192926973,-0.532418819921449,0.110444779475592,-4.82067891709732,1.43070474151554e-06,1.6619941717808e-05
"Nod1",64.3813227187889,-0.833460669971425,0.172897299813937,-4.82055342025787,1.43160513301814e-06,1.6619941717808e-05
"Crispld2",56.275484395883,1.3259115694848,0.275117319311282,4.81944056740608,1.43961329842656e-06,1.67005767069868e-05
"Sfxn3",61.6457984062125,-0.880385638454823,0.182776970724374,-4.81672080987946,1.45936654818344e-06,1.69172439313388e-05
"Cul3",149.44019726741,1.02603229690444,0.213108746630883,4.81459495738855,1.47498754332551e-06,1.70857252715797e-05
"Cdk14",7.96791080682649,-2.17943739093713,0.452834787284389,-4.81287536235241,1.48774081271475e-06,1.72207642378963e-05
"Brk1",492.920985492968,-0.624247067133351,0.129716879646721,-4.81238115527806,1.49142563899188e-06,1.72507134799951e-05
"Gvin-ps7",368.336091992082,0.75969412037942,0.157925295750556,4.81046507951051,1.50579510601363e-06,1.74041126995796e-05
"Map7d1",174.756613889066,-0.977137045771866,0.203159093739848,-4.80971354904311,1.51146741686412e-06,1.74568378586974e-05
"Hes1",36.02287810194,-1.08731176237798,0.226104437180975,-4.80889174902696,1.51769361341035e-06,1.75074806018105e-05
"Mfng",166.008457956569,-0.581527454321606,0.120928820098979,-4.80884088545337,1.51807977990124e-06,1.75074806018105e-05
"Gm10432",5.2633826396616,5.29107889630581,1.1004078036441,4.80828914406453,1.52227478642222e-06,1.75429892725592e-05
"Rps9",4890.7742437799,-0.908734608997791,0.189029722862545,-4.8073635999487,1.52933693475687e-06,1.76114632069181e-05
"Brpf3",73.257294535679,-0.914484997911098,0.190235022776498,-4.80713269598891,1.53110369670439e-06,1.76189011775229e-05
"Tff2",4.42214957971105,-5.05952553975533,1.05278775462464,-4.80583623577503,1.54106006056828e-06,1.77204997015895e-05
"Entrep3",108.325403308171,-0.643466855387318,0.133909463408784,-4.80523809899091,1.54567449811694e-06,1.77605683010966e-05
"Dennd2a",13.2342276687217,2.06998638376472,0.430981479078014,4.80295902318816,1.56337888583647e-06,1.79508785291917e-05
"Tnfrsf11a",13.4639307690209,1.93110572070416,0.402143921367367,4.80202638433034,1.57067991040944e-06,1.80215456289971e-05
"Pnliprp2",4.38042878682219,-6.13407227197237,1.27918929126101,-4.7952811314778,1.6244684806397e-06,1.86251057966268e-05
"Foxj1",10.7634055537996,2.37458634097641,0.495228825112027,4.79492755786024,1.62733627414257e-06,1.86443869484308e-05
