"","baseMean","lgFC_LcDC_vs_PMoDC","lfcSE","stat","pvalue","padj"
"Tmem208",195.871445985923,0.781656953425185,0.124690741770812,6.26876496461872,3.63922948803192e-10,6.29253073436414e-09
"Sp110",438.164466596663,-1.35832027251218,0.216750010259913,-6.26675989949605,3.68637880763335e-10,6.36734630046901e-09
"Rasa4",196.427488370366,-1.01203711794559,0.161574789701592,-6.26358307391081,3.76230572305228e-10,6.49165873917612e-09
"Frrs1",81.4543107051836,1.42796400672814,0.22811846686086,6.2597475179382,3.85601256971894e-10,6.64635611938215e-09
"Cd5",50.4285072837354,-1.37830063932562,0.220245496437931,-6.25801962635839,3.8989676303031e-10,6.71334311077057e-09
"Septin4",7.42254635761291,-5.08742210508688,0.812985381441302,-6.25770428499912,3.90685720366854e-10,6.71987629507307e-09
"Hars1",296.698200462823,0.524826456811747,0.0838824269164925,6.25669137272611,3.93230498327524e-10,6.75656465660351e-09
"Nup210",470.204934043411,-0.681792951364003,0.109037352552261,-6.25283845769476,4.03058995146172e-10,6.91819566041164e-09
"Mirt1",54.7808057312076,-1.65797961910091,0.265229162290381,-6.25112112402523,4.07516666037204e-10,6.98739913584585e-09
"Mgrn1",266.406845803472,-0.736214875678812,0.117782242747453,-6.25064405724889,4.08763502431717e-10,7.00146170292489e-09
"Nhp2",571.613223772542,0.657500885708874,0.105237497183378,6.24778147814719,4.16323571838522e-10,7.12351771668228e-09
"Micu1",127.404190988956,0.821761362652161,0.13169510344266,6.23987787829907,4.37912641605293e-10,7.4851130584388e-09
"Tatdn3",20.8129445657889,-1.92475966996078,0.308799292501099,-6.23304429997659,4.57456736797893e-10,7.81103807920565e-09
"Clcf1",83.2587505728849,-1.07355406212284,0.17228764499578,-6.23117265401783,4.629565284406e-10,7.89672939208088e-09
"Apobec1",126.144281576977,-0.948819347547256,0.152347092851771,-6.22801085197225,4.72394354477321e-10,8.04934471715303e-09
"Fnip2",33.128603582918,2.05630949015334,0.330347419078309,6.22468762096153,4.82516412061463e-10,8.21329025468521e-09
"Poglut1",75.8314115428445,-1.08890718158442,0.174985865946649,-6.22282934506501,4.88268392426342e-10,8.30258658168273e-09
"Aldh3b1",131.05235606833,-0.893208604223099,0.14377696386698,-6.21245977241168,5.21615368145739e-10,8.86044158996214e-09
"Pold1",235.468603509465,-0.72363781624628,0.116494946260033,-6.2117528654936,5.23967886815669e-10,8.89119860885038e-09
"Igtp",985.105339718453,-1.34117009516323,0.21593395822463,-6.21101982379282,5.26418314259892e-10,8.92355177550678e-09
"Mdh1",629.792503604715,-1.12004515437778,0.180337332577648,-6.2108335438283,5.27042794776348e-10,8.92491766716727e-09
"Usp25",309.473284202557,-0.934220448039879,0.150444417647902,-6.20973820528401,5.30729431291306e-10,8.97808168872065e-09
"Celf1",131.657082042415,0.783550802462368,0.126202440368158,6.20868186206694,5.34308650784041e-10,9.02932095851218e-09
"Plxnb2",69.2531687297271,-1.48606392881317,0.239398104516425,-6.20750081465749,5.38338299936799e-10,9.08805881035282e-09
"Il18",30.8102880924631,-3.28325865320624,0.529291028468654,-6.20312545766244,5.53526775556401e-10,9.33486213782629e-09
"2510009E07Rik",13.6050966804502,-2.03001683888664,0.327285389315195,-6.20258925439416,5.5541665546324e-10,9.35711693993461e-09
"Hvcn1",1407.98125072043,-0.804798631803253,0.129772875052901,-6.20159360324863,5.58942601035943e-10,9.40686065681927e-09
"Tlr12",21.5608846180659,-1.87967660825364,0.303234242691588,-6.19876103559126,5.69093590705971e-10,9.56788599374414e-09
"Lbh",325.696041482393,-1.30133456950282,0.209961107815587,-6.197979154529,5.71927130882117e-10,9.60568299963629e-09
"Tbpl1",105.09407675618,0.86277511175792,0.139231488190985,6.19669532350643,5.76609626504497e-10,9.6744247048183e-09
"Sptbn1",222.975510401088,-1.35639857430339,0.218909314021054,-6.19616657413185,5.7854898246093e-10,9.69704826680429e-09
"Irs2",182.066427240342,-0.871752414587929,0.140697379075631,-6.19593925853673,5.79384689427004e-10,9.70114629470174e-09
"Ebf1",160.639283556991,-1.17763136916552,0.190070558489821,-6.19575897773033,5.80048314312581e-10,9.70235758364438e-09
"Sbk1",284.593081889612,-1.12918016385134,0.18232653578885,-6.19317511280433,5.89641568898468e-10,9.85277851736758e-09
"Mcpt8",614.515097622985,1.95116554505014,0.315358748625219,6.18712990699033,6.12694727433635e-10,1.02275765843932e-08
"Hilpda",56.5547149425369,1.3859497284773,0.224096841373609,6.18460179974905,6.22594255906092e-10,1.03822653914259e-08
"Bcl2l1",215.225117271471,1.09481058462707,0.17710190216941,6.18181155152028,6.33701469028542e-10,1.05460521351819e-08
"Thop1",44.1239667582232,1.38618717183886,0.224233125056418,6.18190185544661,6.33338985408863e-10,1.05460521351819e-08
"Prmt3",130.979654477529,0.841185923925428,0.136082347257313,6.18144778422186,6.35163696748331e-10,1.05596768996387e-08
"Ndufa3",679.541100518239,-0.631693651198907,0.102210387524853,-6.18032732774158,6.39688287423295e-10,1.06241347250292e-08
"Ephx1",217.934216789092,-1.22798404488917,0.198736422086218,-6.17895820000437,6.45259757201891e-10,1.07058315024528e-08
"Agpat3",152.036143439923,-0.883178218584893,0.143002474611233,-6.1759645837312,6.57607284804359e-10,1.08996746831866e-08
"Gm16685",9.74680342157895,-2.19677094670771,0.355742009944113,-6.17518000489405,6.60881311515023e-10,1.09428874274975e-08
"Gstm1",511.073919625027,1.63295005226551,0.264593468863032,6.17154330861741,6.7626601160777e-10,1.11863397020886e-08
"Rasgrp4",119.672992261143,1.36045726946645,0.22059274698127,6.16728014897952,6.94746076811345e-10,1.14804515351434e-08
"Gm50069",7.03595490901324,-3.25224894072506,0.527444182133817,-6.16605330173105,7.00154919892608e-10,1.15581912278851e-08
"Phf12",217.130461408197,-0.731567646197467,0.118677005182181,-6.16435884166809,7.07692944066611e-10,1.16708879589839e-08
"Herpud1",322.547108664293,0.866129006898049,0.140530202797344,6.16329436418075,7.12468837638649e-10,1.17378525670809e-08
"Il31ra",4.53320037653771,-7.14717648026857,1.16014218961512,-6.16060388480454,7.24680562114067e-10,1.19270645373418e-08
"Bop1",174.518027475415,0.86132652900663,0.139817916741351,6.16034446143262,7.25868785998228e-10,1.19346502098647e-08
"Hspd1",601.895379218086,0.664705812228562,0.107942458885423,6.15796433666684,7.36859433189149e-10,1.21032296688696e-08
"Hip1r",30.843404452465,-1.4014399330494,0.227636799883458,-6.15647353049633,7.43825999270345e-10,1.22054408220271e-08
"Ero1b",86.8106151871496,-1.43933876464918,0.233947218506032,-6.15240811085802,7.63151894952633e-10,1.25100493948829e-08
"Vcp",864.734592703031,0.666360743231351,0.108434987719781,6.14525585554884,7.9834722108622e-10,1.30739316874289e-08
"Bcl9",55.9178433512113,-1.28106246336661,0.208536136415507,-6.14311977476221,8.09162201617315e-10,1.32378290791012e-08
"4833407H14Rik",21.2330014497998,-1.98096363857058,0.322479109383884,-6.14292083091935,8.10176698323507e-10,1.3241224544612e-08
