"","baseMean","lgFC_PcDC_vs_PMoDC","lfcSE","stat","pvalue","padj"
"Rhoc",42.5023524070078,-2.54700422604482,0.226102161731386,-11.2648380119015,1.95711516524455e-29,1.10524315274176e-26
"Nfkbia",2000.89624141043,-1.04016240101639,0.0927129885628827,-11.2191659134243,3.28352685252788e-29,1.78563054724692e-26
"Net1",208.099782393254,-1.93960298386344,0.174702845829196,-11.1022975879841,1.22259880307934e-28,6.41122079486213e-26
"Fscn1",1116.12982100654,-1.98504182909975,0.179675074498068,-11.0479532825856,2.24269600732125e-28,1.13550018881027e-25
"Nr4a1",608.731583635289,-1.75443360186793,0.159246597251177,-11.0170869089321,3.16124576382015e-28,1.54721905167237e-25
"Vegfa",193.740303520178,-2.01701954277231,0.183880383158951,-10.9691937123534,5.37495483941766e-28,2.54582135184418e-25
"Axl",206.738186688655,-2.11722903012737,0.193443218812731,-10.9449638148186,7.0245771653027e-28,3.22318332869186e-25
"Jak2",498.813128983095,-1.32684526260674,0.121897667993708,-10.8849109621624,1.36031495269666e-27,6.05257710619547e-25
"Nudt9",248.904913106748,-1.19651546730741,0.111413780577292,-10.7393848508475,6.64858987611907e-27,2.87121309267813e-24
"Ears2",34.3182516335834,-2.30031970204122,0.215798311043724,-10.6595815829862,1.57303535875977e-26,6.59910804933418e-24
"Gpc1",91.2361186248715,-2.13045150753594,0.201147937888026,-10.5914658131962,3.26439547636269e-26,1.29543564268739e-23
"Il22",228.620141103703,-4.76805259227133,0.450123052014809,-10.5927758441362,3.21902017441419e-26,1.29543564268739e-23
"Tmem37",25.5969794927682,-5.02074306418261,0.474490271301248,-10.5813403727197,3.63717285212549e-26,1.40538444704628e-23
"Procr",195.750678302666,-2.6562758711615,0.258780443594452,-10.2645927731861,1.01749356936896e-24,3.83073284078063e-22
"Cst3",1724.68408178024,-1.83308556657406,0.180751571371736,-10.1414640695107,3.61638364505628e-24,1.32748402650903e-21
"Cd200",83.7217341351762,-1.88230779050069,0.186999435979415,-10.0658474216355,7.82108514249139e-24,2.80090227188295e-21
"Il17f",50.402752148661,-3.73038667763662,0.377954172470223,-9.86994442541976,5.61957367803341e-23,1.96457619796582e-20
"Castor1",38.8946748314001,-1.83167283456286,0.189163486298931,-9.68301478472597,3.56058462391451e-22,1.21581544262643e-19
"Sdc3",277.935572046199,-1.62413608137069,0.168708018498508,-9.62690508622775,6.15555340041096e-22,2.05413614950532e-19
"Smox",154.057011983252,-1.81254099962522,0.189270944203938,-9.57643555511735,1.00451959772779e-21,3.27763583409714e-19
"Tnip3",69.563955299377,-2.83710578121591,0.296977343738568,-9.55327347702807,1.25661631891652e-21,4.01106465448942e-19
"Pnkd",56.4589695795786,-1.89913464421297,0.200613237146554,-9.46664672394275,2.88971417184516e-21,9.0275900394048e-19
"Pik3r5",239.297077764204,-1.08551478265402,0.114944571379712,-9.44381078309555,3.59462822458007e-21,1.09738791043856e-18
"Tff1",17.0386639381751,-5.31138248118464,0.562535604296027,-9.44186010738192,3.66219489283453e-21,1.09738791043856e-18
"H2-K1",8165.47923252607,-0.694020170391442,0.0736070205421755,-9.42872249521065,4.15113834927514e-21,1.21902328764814e-18
"Htra1",19.8731033774373,-3.72312592309798,0.395798671689498,-9.4066155078427,5.12369628166901e-21,1.4751222059558e-18
"Irf1",1287.80084379601,-1.25793854924821,0.133790189207399,-9.40232282128084,5.33715754507732e-21,1.50702854296866e-18
