"","baseMean","lgFC_PMoDC_vs_CD3_CD28","lfcSE","stat","pvalue","padj"
"Pdp2",27.3081125503773,-1.04633102864401,0.268968327327121,-3.890164463013,0.000100176305441521,0.000536485964748666
"Accs",19.1145950474068,1.12282270035004,0.288663403403961,3.8897300007883,0.000100355814972737,0.000537096727947699
"Vwa5a",66.8875552025283,0.949936383239141,0.244215798217343,3.88974173732092,0.000100350961726618,0.000537096727947699
"Krtcap3",18.9247494156036,-1.32037126403801,0.339616852285086,-3.88782610507693,0.000101146046620311,0.000541149487770684
"Kif5c",3.53894344335948,2.43209972574792,0.625641318812222,3.88737069087005,0.000101335939618476,0.0005419887331159
"Eloa",79.6037771668996,0.566351511927761,0.145719385285327,3.88659004303931,0.000101662227552658,0.00054355669335665
"Gm17251",16.3486261847525,1.37880970558907,0.354778676551174,3.88639395972884,0.000101744340321547,0.000543818527796831
"Capns1",706.90416951441,0.568179663381457,0.146234117173474,3.8854111090057,0.000102156867665001,0.000545845666400198
"Actr2",1040.49741934611,-0.477024260358351,0.122787693492868,-3.88495171453041,0.000102350228105274,0.000546700811516748
"Stat3",668.323978642007,-0.401172286673263,0.103267162305959,-3.88480014086835,0.000102414101644438,0.000546863974579754
"Gpt2",30.2863249091193,-1.46156456604011,0.37626362012805,-3.88441637153949,0.00010257599131005,0.000547372176067188
"Jakmip1",63.2126552483396,0.898493716628089,0.231304847794565,3.88445691992627,0.000102558874930109,0.000547372176067188
"Gm15848",25.9825771562161,1.00571983204366,0.258939967653615,3.88398840533191,0.000102756809884032,0.000548158807993198
"Ranbp3",338.243501936526,-0.430377053354463,0.110823013890289,-3.88346281378454,0.000102979287427537,0.000549167087227317
"Rfng",68.2147791126514,0.642769379109802,0.165552482757114,3.88257166793943,0.000103357539581353,0.000551005154967646
"Zg16",21.5209927991622,-2.65173417113298,0.683088065611852,-3.88197994464709,0.000103609424050745,0.00055216857396839
"Pigx",113.851420745856,0.656930454928676,0.169230371197274,3.8818709093469,0.000103655901308281,0.000552236910573892
"Nlgn2",25.6338809057854,-0.979770317556922,0.252442399147926,-3.88116386496072,0.000103957763034066,0.000553665346843877
"Nup210",470.204934043411,-0.412241422799396,0.106218870658949,-3.88105635318827,0.000104003736134234,0.000553730469249397
"Llgl1",98.059537788992,-0.524467140512831,0.135142935864911,-3.88083281716691,0.000104099383780657,0.000554059937871166
"Pkmyt1",100.531271985495,-0.668761530920806,0.172339976976807,-3.88047824220613,0.000104251271279636,0.000554688427505688
"Zwilch",35.2534735745077,1.02219725906089,0.263447843207755,3.88007450208952,0.000104424474061045,0.000555429884884176
"Nicn1",11.169326243381,1.99350337083453,0.513819298869205,3.87977519571912,0.000104553050458599,0.000555933572577819
"Rrp36",72.8997659761386,-0.841523264836356,0.216913765622235,-3.87952909499486,0.000104658882622268,0.000556316036588533
"Vps18",110.174682890949,0.712092381863415,0.18355807487303,3.87938467079686,0.000104721037287178,0.000556466159600161
"Asb6",130.573072468771,-0.535525730180763,0.138101461903466,-3.87777017563436,0.000105418229839649,0.000559989554366721
"Atg4b",110.574317027493,-0.61952838812538,0.159787413652558,-3.87720392966923,0.000105663789453311,0.000561112336938312
"Snx17",306.57733116698,-0.446374473084407,0.115175744527947,-3.87559442236639,0.000106364723320894,0.00056465181008494
"Map3k4",56.1692210032141,0.685798030107305,0.176964735831235,3.87533723533103,0.000106477132978323,0.000565065742251393
"Plxnb2",69.2531687297271,0.884847564760869,0.228346007730228,3.87502971283056,0.00010661169009383,0.000565596903572474
"Tmem151b",9.29468612805826,1.97980402915048,0.510926554049455,3.87492881992359,0.000106655870942273,0.000565648411859002
"Bin3",145.548004925687,0.459098598282935,0.118514022272976,3.87379138331396,0.000107155149416452,0.00056811271301278
"Grifin",3.39752807158346,4.37117995376588,1.12900879660133,3.87169698493447,0.00010808026098823,0.000572832365166623
"Gpx4-ps2",111.642491670546,1.33251910150431,0.344234779732618,3.87096011198909,0.000108407531591206,0.000574381396796933
"Bptf",178.719539797416,0.639057304309823,0.165142816209587,3.86972512021823,0.000108958131494732,0.000577112323982264
"Ganc",71.7172778677089,0.742341137950676,0.191861760263434,3.86914587321314,0.000109217286817314,0.000578126697732937
"Trp53rka",29.9333753860466,-0.930788112207984,0.240567209998076,-3.86913957315891,0.000109220108658182,0.000578126697732937
"Arid3a",184.068450551741,0.650021746679515,0.168033383809822,3.86840835994353,0.000109548092166924,0.000579675796313145
"Mob3c",34.1444536010952,-1.02342491910189,0.26456615863019,-3.86831378737456,0.000109590580210081,0.000579713678487178
"Adamts10",68.3397515552085,0.851724405359597,0.220215981385222,3.86767754093961,0.000109876827159421,0.000580927495748301
"Gprc5c",2.25751557249842,4.52106421198564,1.16896860133883,3.86756685064734,0.000109926698642128,0.000580927495748301
"Spcs2",624.223819691521,-0.290877359556214,0.0752109023655285,-3.86748929221108,0.000109961655298569,0.000580927495748301
"Stx17",35.8429855680478,0.807543351569409,0.208796072680005,3.86761753324272,0.000109903860961942,0.000580927495748301
"Dock1",7.72480239661152,2.05072955561141,0.530539425899166,3.86536693693556,0.000110922310056796,0.000585814028233655
"Nfat5",54.626848662816,0.955727055780947,0.247317378134361,3.86437484899151,0.000111374075333174,0.000588010682799888
"Map3k3",63.7861212045308,0.795664086461572,0.205909024019693,3.86415355154844,0.000111475083638343,0.000588354663049716
"Gm45223",15.0759080019416,1.7081893448992,0.442095040119812,3.86385095936896,0.000111613337727919,0.000588894938513643
"Sp140",281.766732807908,-0.594508955561092,0.153921822517317,-3.86240849957585,0.00011227462252504,0.000592193597239919
"Ankrd44",136.351518508166,0.898550427340554,0.232680270690271,3.86173879149662,0.000112582899817892,0.000593628792773713
"Myo18a",56.9974797123833,0.801749394348415,0.207814852568466,3.85799852339368,0.000114319338524654,0.000602591078011902
"Snd1",176.777575152091,-0.628638502499608,0.162951636551585,-3.85782257731792,0.000114401641280899,0.000602831256190836
"Hagh",149.797453256722,-0.56136298765965,0.145612359782883,-3.85518776357086,0.000115640839247925,0.000609165499588829
"Cradd",34.0409219428383,0.863175344247041,0.223966026361881,3.85404589378362,0.000116181802631279,0.000611426298709639
"Emp2",1.94823854243711,4.48426068043406,1.16351149674828,3.85407509334152,0.000116167939590646,0.000611426298709639
"Gm1043",3.2517439024077,3.21096230562741,0.833139204994875,3.85405258374219,0.000116178626309541,0.000611426298709639
"Mrgpre",21.7108412470436,1.40033209589357,0.363681816854643,3.85043197376365,0.000117909677264556,0.000620320581671722
"Arid1b",68.4878174866497,0.700749914075907,0.182004732779381,3.85017413214924,0.000118033877201723,0.000620774965065087
"Glmp",366.362077793552,0.459827177359986,0.119438540002645,3.84990621410646,0.000118163061547793,0.000621255263357171
"Galc",17.738416745934,1.29234768320032,0.335826102567809,3.84826454322256,0.000118957556144775,0.000625232075201671
"Grhl1",7.03735600608711,-2.72906728922538,0.709463091566933,-3.84666562878967,0.000119736198475274,0.00062912304860095
"Gspt1",168.519562876858,-0.831383062664701,0.216170216854836,-3.84596488249348,0.000120078961593173,0.00063072204890601
"Gm37818",2.22833171580639,4.51655768630163,1.17485279505845,3.84436050652364,0.000120867213318573,0.000634499959693244
"Il12rb2",24.0072383435233,-1.35953123707384,0.353644569925381,-3.84434359436286,0.000120875548418617,0.000634499959693244
"Dusp8",3.52778755510552,-3.87629132923414,1.00844784273585,-3.84381934787826,0.000121134190419609,0.000635451064768337
"Edn1",8.75328753115285,-2.45847789009484,0.639584068091034,-3.84386980969156,0.000121109271926252,0.000635451064768337
"Atp1b2",7.2232273908457,-2.26937908821806,0.590525603925882,-3.842981698221,0.000121548536050042,0.000637420878250286
"Cars2",87.6584995953365,0.596938236974074,0.155382275740356,3.8417395686208,0.000122165419308438,0.000640358336540727
"Nol4l",12.7047583458666,1.70453282639099,0.443692702883592,3.84169677642454,0.000122186723853313,0.000640358336540727
"Odc1",94.3992177279079,-0.902693578112841,0.23502376434585,-3.84086086198705,0.000122603595804744,0.000642337932171149
"Exosc8",298.386999030654,-0.441353304706675,0.114984907737427,-3.83835855845121,0.000123859527734217,0.000648684367640895
"Rps8",9414.09179331022,-0.394244377663003,0.102713541102866,-3.83829019455356,0.000123894009884001,0.000648684367640895
"Gdpd3",19.470238773075,1.47517342937388,0.384806472052015,3.83354630577648,0.00012630901061901,0.000661117880461668
"Ppm1b",118.743931185273,0.524705782293681,0.13691654688346,3.83230364946536,0.000126948912221865,0.000664255325461922
"Scyl2",62.5895900690223,-0.851592267551848,0.222226049862321,-3.83209919844882,0.000127054485837931,0.000664595810683649
"Rftn2",16.8999679840247,1.2773763460022,0.333368830518018,3.83172099208345,0.000127250000721155,0.000665406393191023
"Plcg1",51.8681700890023,0.812825724469975,0.212153070839613,3.83131727131335,0.0001274590182392,0.000666287043735912
"Mgst1",196.536227460203,1.19009514961913,0.310689928202704,3.83049156599202,0.000127887517039574,0.000668314097803304
"Med4",151.030519349396,-0.454083244077038,0.118554801959058,-3.83015480245038,0.000128062669565384,0.000669016346672522
"Krt222",10.1758461137943,1.53543981820165,0.400956973760083,3.82943786661857,0.000128436305011205,0.000670754719582707
"Srfbp1",18.5992069556835,-1.29549666051126,0.33834408866706,-3.82893245043825,0.000128700322881646,0.000671705979060094
"Supt4a",156.691706829853,0.737727077560799,0.19266805353664,3.82900571225475,0.000128662020910201,0.000671705979060094
"Cbx2",14.867362608847,1.58855651973018,0.415268520825638,3.82537187401492,0.000130574831860603,0.000681272628299088
"Sned1",3.72203437203406,2.52199617926442,0.659643096995454,3.82327381390274,0.000131691396828701,0.000686879888926305
"Araf",181.4147785571,0.434728463888842,0.113721490215201,3.82274680947445,0.000131973273351767,0.00068813137668546
"Trappc12",131.966768366113,0.597551909950211,0.156341578869845,3.82209207729491,0.000132324258965001,0.000689742301574553
"Rxra",84.6969269188918,0.776360265736546,0.203147746970761,3.82165334006036,0.000132559947039869,0.000690751403930523
"Atad2",95.5952993720761,0.749186517207089,0.196074323642741,3.82093128405813,0.000132948694315722,0.000692557182548151
"B3galnt2",75.3949083081534,-0.741829879051476,0.194160151404258,-3.82071127204121,0.000133067359802779,0.000692955349731451
"Ubap1",163.972841221667,-0.534891241773064,0.140117316846505,-3.81745278750251,0.000134836579116113,0.000701945884110499
"Cnih4",87.3347176355686,-0.559711464287892,0.146660280914645,-3.81638069146777,0.000135423511016628,0.000704777796470617
"Knl1",27.468175375408,1.12771961644031,0.295516350515461,3.81609888750069,0.000135578187012954,0.000705359058559152
"Dcp2",126.440023916076,-0.681928549599306,0.178703398862595,-3.81597974039454,0.000135643634286036,0.000705475877971337
