"","baseMean","lgFC_LcDC_vs_PcDC","lfcSE","stat","pvalue","padj"
"Renbp",125.265123066566,1.54226672248557,0.167708800454441,9.19609894237209,3.71180848818061e-20,5.09350318055662e-18
"Slc1a4",25.3191913579424,4.30581767492794,0.468669477079667,9.18732259194259,4.02740535821631e-20,5.47540674765649e-18
"Dusp2",697.173085749864,-1.38881479551465,0.152035965609851,-9.13477801087257,6.55411019177891e-20,8.8288073344853e-18
"Cd14",415.503739408983,2.50216406947158,0.275189097140278,9.09252617735834,9.67641549159046e-20,1.29162553330021e-17
"Psmb8",2163.73667617027,-0.792783560726184,0.0875030773057043,-9.06006491584842,1.30372942889374e-19,1.7245638922925e-17
"Zfp36",677.074213263615,-1.3021546704315,0.144044197402296,-9.0399661625713,1.56720322073509e-19,2.05457543661191e-17
"Dnmt3l",39.7207106003214,2.40800830292934,0.266504389308149,9.03552961803214,1.63210168326795e-19,2.12072115180737e-17
"Mafg",134.562815987541,1.64749170096826,0.182413917423014,9.03161186516134,1.69161469861391e-19,2.17877005436386e-17
"Bank1",291.32374650783,-2.40455397592474,0.266629960308962,-9.01831877084788,1.90997858034072e-19,2.43862743436024e-17
"Prdx6",891.401688176507,1.26439537381956,0.140600849862777,8.99280036396349,2.41009765277028e-19,3.05064343410569e-17
"Snhg12",216.947170485568,1.74946173383136,0.194705051893499,8.9851892224568,2.58289465223027e-19,3.24142240843564e-17
"Csf2rb2",982.953798593642,1.13252492154921,0.126169518986959,8.97621652711753,2.8023758679401e-19,3.48705803974275e-17
"H2-DMa",845.892366394225,-1.42026360207975,0.158258513956122,-8.97432666702232,2.85090139231824e-19,3.51762900364779e-17
"Nsmce1",180.684707577522,-1.24748572611551,0.13907593429435,-8.96981733356716,2.97006580145889e-19,3.63412301356841e-17
"Apol8",20.9371935853714,-4.34013345963371,0.48653473580514,-8.92050071707922,4.64184729245964e-19,5.63274742108966e-17
"Arl8a",242.140876139774,1.0697244262568,0.119964568638686,8.91700306511866,4.79076437794767e-19,5.76580273454145e-17
"Eno2",24.0036970581617,2.89045633928121,0.324260393138699,8.91399751694265,4.92249277546825e-19,5.87617572538215e-17
"Il22",228.620141103703,3.99009453108056,0.451005610351774,8.84710619889714,8.98179117963363e-19,1.06354548298839e-16
"Hbb-bs",22293.6124264779,-2.91653781733322,0.329798565353037,-8.84339146294094,9.28561985774404e-19,1.09072605097005e-16
"Arg2",57.1897936761188,2.78344922688198,0.314783481436005,8.84242468564177,9.36634335530241e-19,1.09147634512623e-16
"Cth",20.5722646846765,4.86780320761067,0.550713107489771,8.8390908830894,9.65005988505029e-19,1.11568369521412e-16
"Vdr",65.6303059579285,-2.59939175680698,0.294307350121588,-8.83223526606821,1.02604349751309e-18,1.17698411515505e-16
"Ppfibp2",133.11406944587,2.37697583566628,0.269393802375357,8.82342435017991,1.11011696146291e-18,1.26355405776433e-16
"Wbp2",537.935282392624,0.816734869651534,0.0925792419554072,8.82200861014753,1.12424605551193e-18,1.26979267946783e-16
"Slc7a11",62.0557192326425,2.67349276683981,0.303244596564817,8.81629152547278,1.18313185252297e-18,1.32610114432021e-16
"Tmem108",42.0054473564285,-2.53612731499797,0.288309813909745,-8.79653481303935,1.41105804670486e-18,1.56958828028541e-16
