"","baseMean","lgFC_LcDC_vs_LMoDC","lfcSE","stat","pvalue","padj"
"Nmral1",73.7834928571533,-1.61335578389877,0.258764926996782,-6.23483175491877,4.52263897348066e-10,3.9350166614653e-08
"Ifrd1",250.047116271807,1.08633849573695,0.174419341897531,6.2283143825595,4.71480243281095e-10,4.07332367927639e-08
"Gbp6",25.4736723488841,-2.45079748075152,0.395023830365103,-6.20417628598852,5.49841250963919e-10,4.7170996271506e-08
"Aldh3a2",182.493587808308,0.836791850897529,0.135144135547328,6.19184730072495,5.94631450785235e-10,5.06592960988421e-08
"Prr5",56.6042492145577,-1.46182835748655,0.23750602780532,-6.15491055530088,7.51198796356783e-10,6.3556598853138e-08
"Itsn1",40.6020305764758,1.60630409750985,0.261445440142528,6.14393617511235,8.05011999250589e-10,6.76430630603166e-08
"Tap1",1510.1227876006,-0.658241845903535,0.107279191840697,-6.13578304058243,8.47407429589276e-10,7.07210499741581e-08
"Anxa6",346.473424810183,-1.20274176263362,0.196793431720226,-6.11169667666304,9.85774151143502e-10,8.17126843664087e-08
"Hmgn3",144.342395630379,-1.07620959917179,0.176883429656975,-6.08428726907236,1.17010645936744e-09,9.63413828424142e-08
"Pdcd1",41.0009863113711,-1.37755712668888,0.227344522891899,-6.0593372084178,1.36683580615957e-09,1.11788944466437e-07
"Gvin-ps7",368.336091992082,-0.966038490711448,0.159692417621352,-6.04936981417634,1.45413515860996e-09,1.18141259111437e-07
"Gsdmd",276.212024695908,-1.13345787681509,0.187414997180784,-6.04785045948982,1.46791106716645e-09,1.18475874815776e-07
"Ogfrl1",361.533963786976,-0.770100768517021,0.127370194309791,-6.04616152695801,1.48337382885778e-09,1.18941373414557e-07
"Gm15753",104.714199329138,-2.03663080061436,0.336976958728106,-6.04382806557892,1.50499891940815e-09,1.19891732099346e-07
"Cnppd1",391.316908684935,0.760513936408253,0.12589111020564,6.04104559222629,1.53118701004253e-09,1.21190982188398e-07
"Ogfr",451.641794447982,-0.81192884657707,0.134483760494949,-6.03737465095323,1.56641754094966e-09,1.23184682002375e-07
"Nlrc5",389.11784857478,-0.985500049232355,0.163775840094252,-6.01737135749209,1.77272089630359e-09,1.38520636661481e-07
"Dbnl",668.592815408583,-0.630617509451092,0.105255290046333,-5.99131415792496,2.08152096267858e-09,1.61620880823676e-07
"Ifih1",178.004215976905,-1.75476835055189,0.293457821082094,-5.97962713715167,2.23648950239484e-09,1.72561340977232e-07
"Mthfd2",425.284682759813,0.77409916678425,0.1305083846672,5.93141328626683,3.00338167698419e-09,2.30284290082763e-07
"Gm20559",139.477172941828,-1.34870587061109,0.228191858416505,-5.91040311416096,3.41271530796393e-09,2.60044667068953e-07
"Ccl3",1154.98163673852,1.68554087119029,0.285418607025309,5.90550451057604,3.5156916672137e-09,2.66237687489986e-07
"Arl8a",242.140876139774,0.736132570286567,0.124725306043587,5.90203057933819,3.59054590823135e-09,2.70238142344676e-07
"Ly6c1",32.3554737012,-1.88037195734851,0.318986878195807,-5.89482541722063,3.75077728600925e-09,2.80576437468058e-07
"Aldh1b1",61.5371567470557,-1.85123159219649,0.315351311197098,-5.87037861098176,4.3480103944151e-09,3.19876523413137e-07
"Irgm1",1106.0862234036,-1.57686661708839,0.268625208878992,-5.8701364018249,4.35436741196559e-09,3.19876523413137e-07
"Plxnb2",69.2531687297271,-1.53834122731918,0.262004683540784,-5.87142644371744,4.32061289512724e-09,3.19876523413137e-07
"Cd52",3659.1360195212,-0.87017180898926,0.148350981742927,-5.86562892112947,4.4743345331552e-09,3.26732952694928e-07
"Pdcd6ip",529.164705165757,0.502275763347772,0.0859444297802763,5.84419216733277,5.090323950904e-09,3.6951535047154e-07
"Pnp",571.537808254356,-1.25352964871951,0.215248114132109,-5.82364985530214,5.75761400979896e-09,4.15496521601257e-07
"Hipk3",60.2706168160597,1.27336988959815,0.219109747889461,5.81156202251919,6.18925940157094e-09,4.44034118938434e-07
"Hsd17b7",29.8689727027712,1.6198185600809,0.279103610286795,5.80364603100779,6.48881877033335e-09,4.62818771363078e-07
"Slc38a2",553.088415048794,0.631622837323411,0.109066578242927,5.79116762897409,6.98987703006894e-09,4.95675210432865e-07
"Hmgcr",165.987045893568,1.22798090938376,0.212232024496299,5.78603022940667,7.20692502029633e-09,5.05226035137116e-07
"Slc7a11",62.0557192326425,1.74594219257404,0.301724921173251,5.78653624561401,7.18525886458061e-09,5.05226035137116e-07
"Hmgcs1",233.652335417732,1.37530736629627,0.238304462577584,5.77121952069407,7.86998687735438e-09,5.48143285994988e-07
"Pdlim2",200.507252212767,-0.692629820758321,0.120031567740369,-5.77039718631765,7.90849051362185e-09,5.48143285994988e-07
"Tmem106a",89.1554080768852,-1.31028346762827,0.229168417799589,-5.71755689640505,1.08066496785092e-08,7.44808866606463e-07
"Usp25",309.473284202557,-0.898640234915716,0.157299633428498,-5.7129200833402,1.11053840062733e-08,7.6112207256403e-07
"BC147527",25.0319393062617,-2.60803214614145,0.456788493592397,-5.70949615133838,1.13311119415088e-08,7.6801149888635e-07
"Ndrg1",79.0032180620371,1.2394960978928,0.21709239763848,5.70953249112347,1.13286929385275e-08,7.6801149888635e-07
"Mdm2",271.072514508145,0.726341555604523,0.127426704592883,5.70007329252625,1.19755929450069e-08,8.07233924446949e-07
"Ppfibp2",133.11406944587,1.53374144915966,0.269563832032602,5.68971526185368,1.27251382078281e-08,8.53071013845003e-07
"G0s2",108.836208957745,1.54661306226116,0.271949814949107,5.68712673163832,1.29194582984736e-08,8.61390839161271e-07
"Ppdpf",298.705996811881,-1.18237296402937,0.208446109339321,-5.67231965987252,1.4087679030912e-08,9.34203493790423e-07
"Mitd1",143.643950187021,-0.920899603251996,0.162609798425638,-5.66324792336006,1.48534310280473e-08,9.79149816986431e-07
"Zbtb32",105.415059376031,-1.489906578491,0.26312176715133,-5.66242236292866,1.49250909501518e-08,9.79149816986431e-07
"Ptgs2",75.4348006178929,2.65713581883614,0.469759793205927,5.65637131416085,1.54606799851779e-08,1.00889160669235e-06
"Aacs",117.409721889031,0.969376368455426,0.17152859006938,5.65139821917345,1.59147912738905e-08,1.03302994364068e-06
"Stxbp5",74.9210713788479,0.975136412031501,0.172912106061682,5.63949184497033,1.70552728901119e-08,1.10123204113628e-06
"Serpinb2",537.880406018892,1.20574342692653,0.214079076401877,5.63223387914411,1.77890215214195e-08,1.14259537185746e-06
"Nr4a1",608.731583635289,-1.01036839951194,0.179806393498711,-5.61920174167325,1.91841744829886e-08,1.22578881540262e-06
"Vars",614.225956065207,-0.506193261437611,0.0902427114242803,-5.60924260196172,2.03213990745641e-08,1.29172499402463e-06
"H2-Oa",371.332270357782,-0.973376614271608,0.17365065733762,-5.60537247134702,2.07807584396095e-08,1.31411517802644e-06
"Ldlr",241.155970850058,1.09622565833728,0.195867557882487,5.59676993060267,2.18382198614275e-08,1.3739040064615e-06
"Plac8",161.961284062808,-1.26651539095926,0.226557054937476,-5.59027125113709,2.26715171582218e-08,1.41184859135566e-06
"Stat3",668.323978642007,-0.614215383823798,0.109869833717887,-5.59039149363711,2.26558223913874e-08,1.41184859135566e-06
"Gclc",209.927823081761,0.698424979694131,0.124996990064179,5.58753438251215,2.3031616881517e-08,1.41985867287664e-06
"Rragc",348.653748265956,0.612214047749494,0.109567233096036,5.58756509998646,2.30275446349075e-08,1.41985867287664e-06
"Sesn2",156.50086314941,0.671751342721381,0.120665335153503,5.56706150831819,2.59070966363692e-08,1.58914130767489e-06
"B4galt5",570.100195864007,-0.530965582571068,0.0954641005894443,-5.56193982127956,2.6679230006367e-08,1.62836215780154e-06
"Slc3a2",1282.12138267871,0.716243177954452,0.128882639692622,5.55732858717553,2.73934780225532e-08,1.65548368660435e-06
"Slco4a1",132.40187075802,0.802790816735947,0.144448380262408,5.55763114323317,2.73460508811599e-08,1.65548368660435e-06
"Washc5",125.295173753534,0.766578798059172,0.138148216075228,5.54895908059886,2.87375422122648e-08,1.72819690127483e-06
"1810037I17Rik",605.7815377379,0.594020946149338,0.107238519609603,5.53924977994705,3.03770126679576e-08,1.81787898249026e-06
"Plaur",310.47216404734,1.19413798203667,0.217075547507414,5.50102485401255,3.77589973136677e-08,2.24867659730134e-06
"Slc44a2",245.086781465395,-1.09277391052418,0.198703564162528,-5.49951841644044,3.80829932130319e-08,2.25701526926316e-06
"Tgfbi",237.18795315933,-1.25632920425941,0.228483658873655,-5.49855167084015,3.82923337977965e-08,2.25851130303542e-06
"Rnf114",1022.6723870674,-0.565641036166908,0.102988348764417,-5.4922818255956,3.96773558845244e-08,2.32900383727916e-06
"Casp8",247.543610174498,-0.905965188509933,0.165126570549867,-5.48648945771169,4.09999879500952e-08,2.39518024843699e-06
"Snhg6",373.039298243766,0.93005290640529,0.170120121896266,5.46703644482694,4.57621990727119e-08,2.6607140200191e-06
"Slc28a2",125.722615959417,-1.03083042695459,0.189318639701231,-5.44494947027599,5.18200938423478e-08,2.9987212795185e-06
