"","baseMean","lgFC_LMoDC_vs_Naive","lfcSE","stat","pvalue","padj"
"Khdc3",5.21666660001642,1.46634258647347,0.579085668413891,2.5321686694298,0.0113359447183356,0.0324748888331543
"Chml",4.19110972366372,-2.32840667046779,0.919767432044601,-2.53151676102713,0.0113570389377424,0.0325293904997036
"Slc6a20a",1.24133657842673,-3.98555856436236,1.57491578487296,-2.53064868778609,0.0113851818356562,0.0326040578019091
"6030468B19Rik",2.62213211792759,-2.69989076619214,1.06691985472667,-2.53054693305319,0.0113884847702653,0.0326075759751914
"Dock4",5.88832282398961,-2.24590249116084,0.887562162866341,-2.5304171190757,0.0113926997361279,0.0326137037246757
"Prss50",1.22038382197583,-4.24888259984459,1.679669781287,-2.5295939994759,0.0114194580773655,0.0326843520608354
"Zfp706",431.182614079795,-0.296719056306236,0.11730243475618,-2.52952171813812,0.0114218104939696,0.0326851336527777
"Iws1",53.0734039986183,0.580154176568822,0.229384813420764,2.52917430721377,0.0114331230842459,0.032711551103251
"Mindy3",76.4504351717257,0.61386575207255,0.242729198743363,2.52901486615786,0.0114383182225012,0.0327204593520467
"Scn4b",1.21889634627369,-3.31789635976293,1.31239573872058,-2.52812186284411,0.0114674540945446,0.032797836774408
"Fcrl2",5.89468298130664,2.14814317211175,0.849743902459409,2.52798892218513,0.011471797155866,0.0328020983223673
"Kansl1l",24.0253089595357,0.830451361476316,0.328508020658817,2.52794851039211,0.0114731176650153,0.0328020983223673
"Itch",48.0426426343913,-0.678845068062211,0.268548044245628,-2.52783471191957,0.0114768369065191,0.0328067647451488
"Myo10",25.7309329185794,-0.789250241359569,0.31226480336576,-2.52750304502013,0.0114876827817297,0.0328317973901836
"Bend6",1.86006248199999,-3.43013509114712,1.35737392496426,-2.52703770719438,0.0115029151791337,0.0328693553355394
"Mcm10",47.4714163128354,0.690850708422517,0.273520751776927,2.52577072830638,0.0115444794277225,0.0329821287030843
"Zfp609",32.9205271273495,0.63257140221781,0.250459597772069,2.52564249022504,0.0115486937983362,0.0329881733265577
"Rilpl2",801.303405674526,-0.216697691833581,0.0858201241141512,-2.52502188816864,0.0115691083398524,0.0330404821937027
"Med11",166.542519512519,0.332835903041618,0.131859987814427,2.52416148794154,0.0115974639494142,0.0331154470155935
"Dnmt3a",134.506188753678,-0.427243210229429,0.169329398648628,-2.52314845289206,0.0116309288710677,0.0332049711086657
"Dapp1",243.44975013236,0.309241708984089,0.122581725215998,2.52273908234839,0.0116444764354146,0.0332376112381118
"Gapdhrt",0.931167595343702,3.82276471783762,1.51554526425377,2.52236921456773,0.0116567287461933,0.0332665430576276
"Nbl1",5.24368087064994,-2.84387604580177,1.12754966790768,-2.52217363611038,0.0116632121373468,0.0332790037369676
"Cpne7",5.96076569174409,1.55331836551107,0.616060897159848,2.52137146290594,0.0116898375186588,0.0333483978098525
"Rest",36.2786484098391,-1.02726266347936,0.407431607280763,-2.52131313605101,0.0116917755792415,0.0333483978098525
"Slc41a3",17.0027635646847,-0.907464041074437,0.359929624717063,-2.5212263141379,0.0116946609897505,0.0333505762151468
"Zfp871",12.9698265645071,-1.15653794155385,0.458915630572599,-2.52015373743276,0.0117303587864268,0.0334463104958903
"Nqo2",19.7139504761283,-0.858477634765885,0.34069375250679,-2.51979271251467,0.0117423962425276,0.0334745604889901
"Gm4786",2.85445661624465,2.61011662298536,1.03654588288324,2.51809077252336,0.0117992907946696,0.033630653128089
"Rab3gap1",117.935143291102,-0.418086809938669,0.166056121527349,-2.51774403793846,0.0118109117997867,0.0336576726941347
"Cd276",5.70314569016449,1.48682744299759,0.590588018015527,2.51753743327468,0.0118178410966856,0.0336713148810588
"Poln",6.31962719182399,1.97152531641382,0.783216292831453,2.51721693542206,0.0118285973824108,0.0336958539786362
"Prph",1.73479446911871,-3.10959504591605,1.23536437499838,-2.51714806485343,0.0118309098928506,0.0336963349530201
"Zfp119a",4.96012260134054,1.88047820245786,0.747188945126043,2.51673718505115,0.0118447145956418,0.0337295414363937
"Gm5075",3.99898931507529,1.9118852246021,0.759998551975678,2.51564324646672,0.0118815383138873,0.0338282740003612
"Mettl25",16.1898756475601,-1.04030434750417,0.413575933732241,-2.51538898338723,0.0118901117403773,0.0338465531414327
"Serpinb10",7.15127030026511,-7.00207907235078,2.78400298651259,-2.51511191125624,0.0118994605042739,0.0338670323495711
"Ankrd13b",22.3892751291569,0.996650488686245,0.396285855954037,2.5149787046698,0.0119039573823963,0.0338736976998347
