"","baseMean","lgFC_PcDC_vs_Naive","lfcSE","stat","pvalue","padj"
"Cel",60.6950593569099,-8.36236136099701,1.19863930080972,-6.97654528376297,3.02526858529238e-12,9.64244336391602e-11
"Try4",109.183487909925,-8.86910940311608,1.27133228242519,-6.97623235539758,3.03201120478122e-12,9.64479762249613e-11
"Fabp5",269.668057951845,1.48924258816302,0.213517021230739,6.97481905460669,3.06264740287501e-12,9.72299760470041e-11
"Slc29a1",58.612730637866,-1.4825652441845,0.212761660757388,-6.96819736651271,3.2102765991592e-12,1.0171574613194e-10
"Arhgap11a",81.3884759185465,1.36809433218211,0.196428647871614,6.9648411624576,3.28774478373914e-12,1.03557514129384e-10
"Cyth4",272.51854055903,-0.894849302499959,0.12847514938985,-6.96515479257857,3.28042858717037e-12,1.03557514129384e-10
"Rnf19b",897.164439997086,-0.728970767936172,0.104662779208673,-6.96494755296701,3.28526117118498e-12,1.03557514129384e-10
"H2-Ab1",4307.1625193751,-1.45795433109254,0.209484377154619,-6.9597282188563,3.40929806580559e-12,1.07176055047164e-10
"Eif1a",112.153394252626,1.04901804857053,0.150733074506188,6.95944172841422,3.41623783362479e-12,1.07184462029978e-10
"Epb41l3",9.97831634738296,-3.56001989387166,0.511753725372839,-6.95650997220978,3.48805578093985e-12,1.09224421179372e-10
"Slc25a19",300.258865310194,1.21576029891538,0.175023963973627,6.9462505094364,3.75122418389945e-12,1.17236702899145e-10
"Pnliprp1",47.8099724827465,-7.69568948488529,1.10825447885941,-6.943973276612,3.81222647353626e-12,1.18911856448323e-10
"Smim27",117.787790050623,-1.0228829888166,0.147333021515,-6.94265941401641,3.84786344304519e-12,1.19790849513717e-10
"Metrnl",69.298121517838,-1.71635597704485,0.247371904278102,-6.93836263278824,3.96670434111258e-12,1.23251718637587e-10
"Slc11a1",178.066241046491,-1.61275484785964,0.232500491285623,-6.93656533344005,4.01747497041989e-12,1.24588258542133e-10
"Nkg7",223.859281837932,-1.77541012153926,0.256066811675251,-6.93338629057039,4.10884202906655e-12,1.27176181801397e-10
"Pafah1b3",222.808019370634,-0.782349412001802,0.112843207138513,-6.93306608205029,4.11815710745223e-12,1.27219376488678e-10
"Gyg",235.713539538295,1.03599041481976,0.1494898608712,6.93017177741817,4.20329911820995e-12,1.29600378186036e-10
"S100a10",1202.94549671189,-0.837198907425764,0.120812506586279,-6.92973708668044,4.21623461821238e-12,1.29750177982689e-10
"Dmpk",9.70011273197456,-5.63838681108839,0.814304852308078,-6.9241719426169,4.38533015119786e-12,1.34695876766429e-10
"Ampd2",182.865217399155,1.09694364607336,0.158721594849495,6.91111784198939,4.80849393493924e-12,1.47411539257374e-10
"Ift57",67.2528706369937,1.3760296113866,0.19915743058829,6.90925569446221,4.87203118431684e-12,1.49074874180697e-10
"Dusp22",54.6385581664075,-1.22389406752856,0.177237354050141,-6.90539572816188,5.00636702973989e-12,1.52894068375935e-10
"Phlpp1",133.689045303939,1.63075496969064,0.236454723241452,6.89669018802139,5.32280892942374e-12,1.62249720383801e-10
"Il9r",14.7603004946767,-3.46160198070807,0.502006522822657,-6.89553187724405,5.36636379391737e-12,1.63267553002819e-10
"Zeb2os",29.8802996067939,-1.85609305861242,0.269219063127481,-6.89435969745397,5.41079574396722e-12,1.64308171703383e-10
"Map1lc3b",574.046623285962,-0.663211097919526,0.0962088654922431,-6.89345097799743,5.44548906185195e-12,1.65049691112433e-10
