"","baseMean","lgFC_Treatment_6H_vs_Naive","lfcSE","stat","pvalue","padj"
"Gpr84",182.589685687404,5.98168446380093,0.470721151282628,12.7074902997283,5.37313203176381e-37,4.51144085778095e-35
"Csf1",334.6334409069,2.7231518672609,0.21532442971275,12.6467390202481,1.166154021764e-36,9.71937929168744e-35
"Dck",333.821801741719,3.01614630512814,0.239044656793216,12.6175014559612,1.69101679643951e-36,1.39910039325853e-34
"Mov10",208.252781895579,3.50931506424567,0.279209718062127,12.5687425516644,3.13673154231184e-36,2.57643855305107e-34
"Batf2",215.431284867837,5.39806928123408,0.430208722773293,12.547558883595,4.09954153467845e-36,3.34304340255972e-34
"Rab32",459.432166346776,2.83935607584089,0.226464346220011,12.5377620063974,4.6391237752603e-36,3.75603342804111e-34
"Slfn5",419.321843437325,3.90153290488345,0.312006399993078,12.5046566511777,7.04033555478702e-36,5.65973074563907e-34
"Ppfia3",132.863749090297,5.48048062819532,0.439602820148028,12.4668914233759,1.13154718720726e-35,9.03245589224951e-34
"Ifi206",175.259172639674,5.85233649364149,0.469687764316983,12.4600573790802,1.23281886521809e-35,9.77202925681616e-34
"Gvin-ps7",344.182172231668,3.08453117093699,0.247970532075221,12.4391037318954,1.6029239944834e-35,1.26174607482426e-33
"Cept1",172.54382981904,3.32586176408575,0.268065171947844,12.4069148555145,2.39712643096639e-35,1.8738915927589e-33
"Ogfr",402.681808873657,2.70678678022367,0.21863286692312,12.3805117607294,3.33211278584962e-35,2.58695194709626e-33
"Slc25a22",289.083487184399,3.11544771766763,0.252167606538182,12.3546706114923,4.59634903301721e-35,3.54419158430273e-33
"Tnfaip3",895.841114747228,3.97814141291022,0.322381715228026,12.3398481520467,5.52600019295961e-35,4.23224406670251e-33
"Pml",257.049410494729,2.77727584882763,0.22524201284151,12.3301857135411,6.23029675099342e-35,4.73962507869197e-33
"Procr",1750.35946477282,2.12518917462958,0.172391194985685,12.3277129948896,6.42443052856506e-35,4.85472800275233e-33
"F10",2692.04206491316,3.07424068555547,0.251779590918401,12.2100471858809,2.7472979618862e-34,2.06229287403841e-32
