"","T_PimedMoDC_1","T_PimedMoDC_4","T_PimedMoDC_2","T_PimedMoDC_3","T_PimedCD11c_2","T_PimedCD11c_3","T_PimedCD11c_1","T_PimedCD11c_4","T_PCD11_LCD11_3","T_PCD11_LCD11_4","T_PCD11_LCD11_1","T_PCD11_LCD11_2","T_PCD11_LMoDC_3","T_PCD11_LMoDC_2","T_PCD11_LMoDC_1","T_PCD11_LMoDC_4"
"Nmb",1.08,0.91,1.79,1.66,-0.14,0.35,0.66,-0.13,-0.74,-0.92,-1.19,-1.05,-1.35,-0.15,0.06,-0.83
"Egf",1.26,1.29,0.75,0.84,-0.18,0.88,1.13,0.99,-0.12,-1.04,-0.96,-0.91,-0.41,-1.24,-1.5,-0.77
"Btla",1.52,0.83,1.48,1.13,0.13,0.49,0.14,1.07,-0.78,-0.6,-1.3,-1.7,-0.61,-0.48,-0.9,-0.4
"Calm1",1.41,1.54,1.27,1.12,0.16,-0.4,0.39,1.02,-0.94,-0.93,-0.98,-0.95,-0.83,-0.18,-1.4,-0.31
"Cd6",1.75,1.65,1.14,1.1,-0.1,0.24,0.53,-0.08,-0.62,-0.41,-0.39,-1.7,-0.53,-0.98,-1.14,-0.47
"Nenf",1.14,1.46,1.14,1.11,0.47,0.1,1.12,0.2,-0.52,-0.95,-1.06,-1.47,-0.13,-0.34,-1.56,-0.71
"Celsr1",0.26,1.49,1.06,1.3,0.99,1.26,0.01,0.55,-1.55,-0.76,-0.72,-0.23,-1.1,-0.67,-0.99,-0.9
"Crlf2",0.54,1.01,1.38,1.16,1.13,0.28,0.91,0.67,-0.62,-1,-0.36,-0.14,-1.32,-1.48,-1.08,-1.09
"Aimp1",0.91,0.99,1.9,1.02,0.73,0.46,0.38,0.12,-0.24,-0.38,-1.41,-0.26,-1.66,-1.41,-0.62,-0.52
"Psap",2.17,0.46,1.25,1.14,-0.8,-0.76,-0.32,-0.03,0.37,0.46,-0.11,0.27,-0.17,-1.22,-0.94,-1.75
"Ppbp",1.86,0.79,2.43,0.76,-0.42,-0.51,-0.66,-0.5,0.39,-0.52,-1.05,-0.47,-0.57,0.02,-0.9,-0.67
"Ccl7",2.71,0.51,1.07,1.32,-0.27,-0.78,-0.59,-0.97,0.13,-0.5,-1.18,-0.34,-0.17,0.18,-0.36,-0.77
"Vgf",2.38,0.59,1.98,1.3,-0.6,-0.58,-0.51,-0.52,-0.57,-0.59,-0.62,-0.62,-0.33,-0.37,-0.54,-0.41
"Nts",2.51,0.79,0.86,1.97,-0.64,-0.63,-0.55,-0.55,-0.61,-0.08,-0.67,-0.66,-0.33,-0.39,-0.58,-0.44
"Cadm1",2.2,0.42,0.06,1.49,0.23,0.37,0.81,-0.1,-0.78,-0.38,-1.22,0.05,-0.49,-0.67,-1.99,-0.01
