"","T_PimedMoDC_1","T_PimedMoDC_4","T_PimedMoDC_2","T_PimedMoDC_3","T_PimedCD11c_2","T_PimedCD11c_3","T_PimedCD11c_1","T_PimedCD11c_4","T_PCD11_LCD11_3","T_PCD11_LCD11_4","T_PCD11_LCD11_1","T_PCD11_LCD11_2","T_PCD11_LMoDC_3","T_PCD11_LMoDC_2","T_PCD11_LMoDC_1","T_PCD11_LMoDC_4"
"Ccl3",-0.06,-1.16,-0.89,-1.01,-0.63,-0.83,-0.61,-1.29,1.37,1.04,1.49,1.79,-0.1,0.35,0.13,0.43
"Gdf15",-0.8,-0.93,-0.97,-0.77,-0.79,-0.9,-0.68,-0.84,1.34,1.25,1.48,1.82,-0.09,0.13,0.09,0.66
"Csf3",-0.73,-0.96,-0.94,-0.95,-0.79,-0.84,-0.75,-0.81,1.23,1.07,1.42,1.95,0.12,0.17,-0.03,0.84
"Inhba",0.24,-0.98,-1.02,-0.85,-1.1,-0.86,-0.9,-0.98,1.25,0.91,1.13,1.86,-0.26,0.73,-0.05,0.88
"Tnf",0.22,-1.13,-1.2,-1.06,-0.77,-0.67,-0.51,-1.62,1.02,0.72,1.28,1.71,0.39,0.72,0.48,0.43
"Alcam",0.47,-0.9,-0.87,-0.54,-1.41,-0.49,-0.9,-0.51,1.35,1.75,1.43,1.19,-0.81,-0.41,-0.04,0.68
"Cxcl2",0.25,-0.8,-0.57,-0.58,-0.56,-0.65,-0.58,-1.41,1.45,1.32,1.59,1.82,-0.78,-0.17,-0.45,0.12
"Cxcl1",1.48,-1.16,-0.93,-0.88,-0.62,-0.21,0.01,-1.65,0.83,0.97,1.45,1.61,-0.3,-0.26,-0.38,0.05
"Ptgs2",1.18,-0.6,-0.46,-0.26,-0.52,-0.14,-0.06,-1.34,1.21,1.41,0.81,1.98,-1.23,-0.55,-0.74,-0.69
"Cmtm4",-0.52,-1.08,-1.7,-0.64,-0.61,0.03,-0.58,-0.62,0.68,1.54,1.46,1.19,-0.4,1.14,0.88,-0.76
"Wnt10b",-0.78,-0.51,-1.39,-0.39,-1.23,0.2,0.28,-0.36,1.96,1.8,1,0.86,-0.71,-0.31,0.4,-0.84
"Ereg",-0.57,-0.72,-0.71,-0.4,-0.63,-0.61,-0.53,-0.54,2.34,1.74,1.05,1.32,-0.35,-0.39,-0.57,-0.42
"Txlna",-0.55,-0.43,-1.69,-0.42,0.58,-0.31,0.2,-1.3,1.36,0.17,1.45,1.26,-1.58,-0.01,0.14,1.13
"Dusp18",-1.56,-1.01,-1.44,-1.03,0.4,-0.68,0.3,-0.93,1.56,0.24,0.87,0.72,-0.32,1.04,0.65,1.2
"Osgin1",-0.85,-1.29,-0.58,-0.71,0.62,-0.08,-0.06,-0.06,0.96,0.65,1.01,2.37,-0.99,-0.07,-1.46,0.53
"Il1a",-0.73,-0.86,-0.52,-0.76,-0.17,-0.84,-0.17,-1.1,0.34,1.15,0.6,2.91,-0.1,-0.2,-0.3,0.73
"Adm2",-0.69,-0.87,-0.85,-0.83,-0.75,-0.73,-0.64,-0.64,0.94,1.5,0.96,2.38,-0.42,0.18,-0.21,0.68
"Tnfrsf11b",-1.16,-1.07,-0.71,-1.61,-0.77,-0.51,-0.33,0.4,1.43,1.67,1.16,0.8,-0.38,0.34,-0.31,1.06
"Tnfsf14",-2.01,-1.21,-1.44,-1.16,-0.26,0.16,0.15,-0.07,0.77,0.8,1.4,1.42,0.68,0.21,0.04,0.53
"Cntnap1",-1.26,-1.15,-1.21,-1.17,-0.51,-0.68,-0.3,-0.08,1.16,1.45,1.16,1.86,0.14,0.03,0.21,0.34
"Pik3cb",-0.6,-1.56,-0.86,-1.06,-0.04,-0.21,-0.7,-1.21,1.75,0.59,0.82,1.43,1.42,0.26,-0.24,0.2
"Adam17",-1.21,-1.18,-1.11,-0.69,-0.26,-0.8,-0.39,-0.88,1.8,1.23,0.37,1.65,0.62,0.89,0.03,-0.06
"Col18a1",-1.07,-1.56,-1.32,-0.9,-0.02,-0.25,-0.65,-0.23,1.48,1.53,0.1,1.56,-0.12,1.09,0,0.39
"Nectin1",-0.5,-0.41,-0.98,-0.77,-0.88,-0.62,0.94,-0.05,1.05,1.78,1.98,0.05,-0.62,-1.29,-0.43,0.75
"Ptdss1",-1.28,-0.07,-0.47,0.31,-0.91,-0.1,-0.63,-1.25,1.18,1.02,1.41,1.38,-0.91,-1.26,0.46,1.14
"Bmp1",-1.62,-0.33,-0.08,-0.12,-1.3,-0.5,-1.14,-0.32,1.33,1.44,1.34,0.71,-0.8,-0.53,1,0.91
"Agrp",-0.94,0.37,0.45,-0.54,-1.03,-1,-0.88,-0.89,0.49,2.18,0.19,1.9,-0.59,-0.65,0.6,0.34
"Il23a",-0.7,-0.02,0.23,-0.52,-0.55,-0.5,-0.61,-0.98,0.12,1.35,2.04,2.25,-0.66,-0.72,-0.38,-0.34
"Ccl25",-1.66,-1.01,-1.24,-0.76,0.4,0.17,-0.11,1.87,1.01,1.49,-0.54,1.02,-0.38,-0.71,0.03,0.41
"Hdgf",-1.71,-1.27,-1.32,-1.56,0.62,0.32,-0.66,-0.49,0.79,1.08,0.52,0.91,0.59,0.34,1.09,0.77
"Hgf",-0.86,-1.74,-1.42,-1.81,0.63,1.15,0.06,-0.14,1.16,0.63,-0.27,1.26,0.38,-0.15,0.58,0.54
"Hmgb2",-0.77,-0.23,-0.49,-0.89,0.58,0.89,0.8,1.81,0.82,0.11,1.55,-0.34,-0.9,-1.94,-0.65,-0.34
"Calm2",-0.31,-0.14,-1.07,-1.39,0.91,0.97,0.23,0.75,1.48,1.59,-0.13,0.52,0.02,-0.97,-1.71,-0.75
"Itgam",-0.66,-1.14,-0.45,-0.69,1.7,0.96,0.63,0.43,1.26,1.29,0.49,0.27,-1.25,-0.98,-1.36,-0.49
"Itgb2",-0.2,-1.11,-0.22,-0.37,1.94,0.27,0.26,0.35,0.81,0.21,1.02,1.34,-1.35,-0.08,-1.3,-1.57
"Pgf",-0.96,-0.94,-1.46,-1.52,1.26,1.16,1.29,0.25,0.28,0.64,0.17,1.37,-0.96,-0.57,-0.47,0.46
"Ncam1",-0.7,-1.84,-1.94,-0.67,1.23,-0.19,1.68,0.08,0.39,-0.33,0.72,1.15,0.55,0.17,-0.09,-0.2
