"","baseMean","lgFC_Treatment_48H_Wash_vs_Treatment_6H","lfcSE","stat","pvalue","padj"
"Serpina3f",51.0087651419127,-7.67785096107132,0.783617109770931,-9.79796237899365,1.14879604471298e-22,1.48801600885937e-20
"Slfn9",150.828185337484,-4.46583550948169,0.456135328655038,-9.79059333695916,1.23568611893984e-22,1.58560471149944e-20
"Poldip3",326.106255841888,-1.53272459024626,0.15685535045308,-9.77157990351592,1.49108441730111e-22,1.89561009718003e-20
"Slamf8",300.824427606786,-3.14288736630106,0.322548614628649,-9.7439183545075,1.95853412387465e-22,2.46703426796321e-20
"Ankib1",194.046705798226,-1.61570904402392,0.166254513157181,-9.71828682025849,2.51985274637111e-22,3.14523438251594e-20
"Casp7",239.659072717481,-3.61087607244097,0.373791664440841,-9.66013000274501,4.4529851257507e-22,5.50806178167181e-20
"Sap30",350.920653030907,-2.50018393750408,0.259004128570003,-9.65306596195177,4.77076134836676e-22,5.84844226009604e-20
"Cemip2",83.2380848758939,-2.541795891453,0.263457478605565,-9.64784110478201,5.0201434459095e-22,6.09969641702101e-20
"Ikzf1",144.314912006505,-1.97654629279732,0.205118423643585,-9.63612267336736,5.62734598754256e-22,6.77749652710169e-20
"Larp1",145.02560949399,-1.91106351800599,0.19865467958542,-9.62002768821892,6.58134454800064e-22,7.85755309948251e-20
"Htra4",46.0742149390392,-5.13363548489525,0.534277870481498,-9.60854972388948,7.35779896928445e-22,8.70884309036858e-20
"Pygl",236.132109363645,1.59848270125004,0.166619741546334,9.5935972917443,8.50662707736627e-22,9.98256322839649e-20
"Tpx2",54.9987969083494,-2.50376371525148,0.261474018669237,-9.57557361910869,1.01293439919572e-21,1.17860926279298e-19
"Plagl2",386.57081576436,-1.8809613212827,0.196595995577734,-9.56764819016352,1.09365077973312e-21,1.26183405090216e-19
"Slc2a6",897.165053371219,-3.65590890048349,0.382563879942656,-9.55633579686481,1.21999766421231e-21,1.39588066080292e-19
"Lyn",396.545481926028,-1.41175367169672,0.147924958382949,-9.54371518592532,1.37805091293361e-21,1.56368917641144e-19
"Mtmr14",306.953542222982,-2.57755959427,0.271136440661545,-9.50650376607813,1.97178241627991e-21,2.21906332586255e-19
"Clic4",2852.94419455915,-3.36577134512002,0.35452869459503,-9.4936500103741,2.23083097724824e-21,2.49018774939986e-19
"Lacc1",240.602144238009,-2.32669456462847,0.245108161407972,-9.49252179635009,2.2551144555809e-21,2.49699366734885e-19
"Gm43814",67.1404451978382,-3.03612791305938,0.320104272622997,-9.48480908480463,2.42827170984272e-21,2.65999860103778e-19
"Klrk1",19.6850605136448,-6.06854419911421,0.639854228043627,-9.48426052863472,2.44107664771129e-21,2.65999860103778e-19
"Ccl9",248.952905919227,-2.809549740081,0.297260347419034,-9.45147835718739,3.34078468026652e-21,3.61173020945349e-19
"Hscb",90.0210508109558,2.15678957282417,0.228760731996297,9.42814596719806,4.17401414603939e-21,4.47728236133756e-19
"Wdr43",191.757445558636,-2.12819021890381,0.226512135666208,-9.39547990505877,5.69575718974669e-21,6.06222838877691e-19
"Sfpq",281.689498458072,-1.66006128565133,0.177006337490156,-9.37854152111169,6.68915780457327e-21,7.06477974283008e-19
"Clcn6",48.4801911710783,-1.93583248526067,0.206677387620419,-9.36644549047617,7.50163274337003e-21,7.86239828751683e-19
"Otud5",290.735773127788,-1.49536591507101,0.159874351414048,-9.35338221450082,8.4888820568724e-21,8.82972353339834e-19
"Ifih1",900.841889748233,-4.39405975945725,0.469850461663014,-9.35203882508636,8.59742011778118e-21,8.87538182083727e-19
"Atp6v1e1",1793.98790981302,-1.13402031005978,0.121713999942844,-9.31709015061792,1.19574612359589e-20,1.22519360275907e-18
"Appl2",80.0395992734673,2.53530355044962,0.27219056522313,9.31444316731289,1.22593887707455e-20,1.24682524312841e-18
