"","baseMean","lgFC_Treatment_6H_vs_Control","lfcSE","stat","pvalue","padj"
"Arhgap9",225.882086868154,-1.88380559296498,0.236460038793895,-7.96669747063247,1.62970978063271e-15,1.34719029315792e-13
"Tent4a",246.058828207444,2.69061184068721,0.337846685162866,7.96400248648331,1.6656190737179e-15,1.36769534206556e-13
"Rrs1",173.663388109973,2.24564760953577,0.282724392409279,7.94288596890825,1.97530525684125e-15,1.61124734096117e-13
"Tbc1d2",37.9182794198209,-3.34313908401819,0.421767874287223,-7.92649058363682,2.25425727563383e-15,1.82668992526197e-13
"Il18",30.6290947206817,3.21795612320771,0.406214768683657,7.92180976983071,2.34078245183996e-15,1.88440636988973e-13
"Ep400",125.487631475543,1.66380795765573,0.210420100935354,7.90707708179884,2.63502480326171e-15,2.10750652608925e-13
"Nub1",711.15897751165,1.50606916003919,0.190693067633438,7.89787053472889,2.83708603417172e-15,2.25447668921891e-13
"Cers6",526.898197929161,2.55559899685808,0.324316067766888,7.8799641795577,3.27474944312509e-15,2.58558262121614e-13
"Fcgr3",2558.78071963029,-1.43331686193305,0.182239517507389,-7.86501677318662,3.6904799658262e-15,2.89526380503703e-13
"Nono",163.805622520672,1.47689783629742,0.187975895447115,7.85684692595561,3.93923772022086e-15,3.07086018987091e-13
"Top1",417.668718203908,1.48738374812758,0.189775390440542,7.83760077992615,4.5923633868134e-15,3.55749307140758e-13
"Abhd16a",364.355082660555,1.67359138119591,0.213619439551354,7.83445263554106,4.708895385102e-15,3.60233379178055e-13
"Pou3f1",51.8069919206523,5.09288351738359,0.650126684270507,7.8336786361849,4.73798874943939e-15,3.60233379178055e-13
"Septin11",177.503440578162,2.28722496418048,0.29195361811069,7.83420660782261,4.71812404465913e-15,3.60233379178055e-13
"Retreg1",186.883048758519,-1.51194033057856,0.193550112483213,-7.81162207131084,5.64566329131099e-15,4.26611256190659e-13
"Gadd45a",339.376185697239,-1.64665211719397,0.211086692755104,-7.80083337183343,6.14996732632431e-15,4.61885046087418e-13
"Ankle2",101.319582507265,1.54912990969339,0.19977248027101,7.75447102419637,8.87124766124964e-15,6.6222519662795e-13
"Gnb4",114.412033994285,2.6529641515331,0.342220652316642,7.75220353761241,9.03114791340672e-15,6.70100294273678e-13
"Zup1",122.042575470071,2.55418046906758,0.329658700330865,7.74795407038873,9.33849029145847e-15,6.88755598322718e-13
"Dcp2",151.19431519089,2.00896018621381,0.259403391768033,7.74454093495541,9.59277889259508e-15,7.03299152500557e-13
"Kmt5a",630.697232214738,1.07541765415819,0.139107389745309,7.73084489707672,1.06835126119863e-14,7.78632099655832e-13
"Rab21",187.117720595838,1.3263976029177,0.171838490846403,7.71886203367144,1.17372864165019e-14,8.50400922306199e-13
"Got1",175.766054983336,-1.38001700142742,0.179070356953576,-7.70656307891977,1.29251366448317e-14,9.30987766399951e-13
"Trip10",134.844933678742,1.24227510089921,0.161309840696009,7.70117368871685,1.34822082928435e-14,9.65467206645076e-13
"Actr2",1612.29610349084,0.752715668009283,0.0978187482164423,7.69500409414112,1.41489643702746e-14,1.00735719161082e-12
"Coa5",388.025378133007,1.46136331288644,0.18999847333927,7.69144765851336,1.4547944784908e-14,1.02981055123972e-12
"Gtf2f1",242.702684695083,1.16330112795856,0.151327316421316,7.68731750135428,1.50251943660001e-14,1.05751610860585e-12
"Wdr43",191.757445558636,1.87092058047868,0.243931660916796,7.66985545642983,1.72190280379328e-14,1.20503845649556e-12
"Ythdf1",184.39487812467,1.34203229924248,0.175239042778,7.65829508063808,1.88417577853322e-14,1.31115215051942e-12
"Idh1",562.678336348813,-2.05225062669641,0.268563365430705,-7.64158813472246,2.14558578667083e-14,1.48467304125981e-12
"Crybg1",209.570147786707,2.58346758806219,0.339808764252942,7.60271028836425,2.89992207782283e-14,1.98435223514132e-12
"Gm43814",67.1404451978382,2.74029134374825,0.360431819864818,7.60280084254496,2.89789286702249e-14,1.98435223514132e-12
