"","baseMean","lgFC_Treatment_48H_Wash_vs_Control","lfcSE","stat","pvalue","padj"
"Gm26532",36.3916834383901,-1.0397185569401,0.266238326600511,-3.90521744264188,9.41406981101044e-05,0.0142151210161662
"Hba-a2",56.2510167345112,-4.516240564396,1.15732875207013,-3.90229704076541,9.52841251418773e-05,0.0142151210161662
"Htra4",46.0742149390392,-2.2963864922305,0.587695720496449,-3.9074412355609,9.3278718211556e-05,0.0142151210161662
"Syt11",61.0309632592851,1.25397822595708,0.320356659303743,3.9143192112268,9.06596347932644e-05,0.0142151210161662
"Cdcp1",7.55666834180875,-2.65880107619091,0.68310838747055,-3.89220967705587,9.93353356720168e-05,0.014434585335509
"Nadk",628.299977703621,0.63019291069927,0.16181905496844,3.89442955789217,9.84300896018022e-05,0.014434585335509
"Lamp2",1626.15980608657,0.633199373444002,0.163448871344587,3.87399049155301,0.000107067591800594,0.0153587087776519
"Slc6a12",857.472330029844,1.45908573129537,0.377100054627948,3.86922704833581,0.000109180934032025,0.0154636135554978
"Oit3",93.1252112619246,0.900500407426638,0.233037178544097,3.86419202743754,0.000111457515621191,0.0155887267785688
"Trim30c",44.7704795589,-3.6883884785382,0.958174582812759,-3.84939085705111,0.000118411930665685,0.016356927064424
"Mmp19",419.889825783453,-1.52220768388356,0.397166561728196,-3.83266828219364,0.00012676082979902,0.0172966698124541
"5330406M23Rik",39.861034102562,-1.21263142441743,0.317392586877034,-3.82060411791291,0.0001331251904909,0.0179462380289479
"Asns",100.323567991232,-1.46331500776664,0.384220468888708,-3.80852954554718,0.000139795644805508,0.0186038615348148
"E230032D23Rik",29.3070086084968,1.58744617543764,0.417108943303539,3.80583106865303,0.000141328825673363,0.0186038615348148
"Poldip3",326.106255841888,-0.634417769901841,0.166885238282127,-3.80152119164265,0.00014381043597904,0.0187104066066219
"Sod1",1198.0510756438,-0.418145925407316,0.110323497940023,-3.79018009050656,0.000150538101011202,0.0193605840484407
"Bcl6",197.432608695762,0.887349172546219,0.234795374636912,3.77924468877812,0.000157304789138773,0.0200009464281106
"Gm17949",15.0959959404869,-3.81481464849807,1.0153456969372,-3.75715843382751,0.000171853700162079,0.0216052927091404
"Slc40a1",28.8416876702587,-1.55465564987182,0.414242414933109,-3.75300933421525,0.000174724346430629,0.0217221190245812
"Clec4a1",140.314451991031,2.0443275058678,0.545343439623794,3.74869734800162,0.000177755436440784,0.0218561052564388
"Phgdh",20.1218878835896,-2.10407537726328,0.561911570819102,-3.74449555149071,0.000180756579430248,0.0219835366004896
"Rwdd2b",22.6808509026462,-1.19519907445097,0.319550925703574,-3.7402460087369,0.00018384023440626,0.0221181546534585
"Hscb",90.0210508109558,0.81578653676082,0.2186511263128,3.73099627025825,0.00019072404757569,0.0222292850867124
"Il2rg",995.097304049845,1.00733806020117,0.269639190677052,3.73587406812709,0.000187064273075538,0.0222292850867124
"Tbcb",334.820076125375,-0.600053258024882,0.160823251527908,-3.73113497161668,0.000190619057930916,0.0222292850867124
"Fcor",23.6960641110313,1.12460254917343,0.301993185192212,3.72393353332672,0.00019614258576358,0.0226251483722547
