"","baseMean","lgFC_Treatment_6H_vs_Treatment_48H_Wash","lfcSE","stat","pvalue","padj"
"Eif2d",82.0881061454838,-1.34009823855859,0.240763516101483,-5.56603533732134,2.60600418114933e-08,2.84884577520889e-07
"Helb",37.2880992582176,-1.61924124803363,0.290971044973055,-5.56495663746741,2.62217607080693e-08,2.86425503348e-07
"Dyrk1a",94.3492143108296,0.952006550273323,0.17107710926453,5.56478043360713,2.62482695929941e-08,2.86488233627331e-07
"Gpr162",11.6190377457425,-6.63402646071405,1.1928691713882,-5.56140322831353,2.67614060910422e-08,2.9185799085535e-07
"Usp40",56.8677600737093,1.15796095072152,0.208300457153677,5.55908981931429,2.71185120875136e-08,2.95518951626649e-07
"Slc30a6",68.1789107499928,1.31545298979178,0.236669548613285,5.55818438620179,2.72595333128141e-08,2.96821248290121e-07
"Gpr84",192.093373627363,3.52913241819882,0.635012348367783,5.55758077346056,2.73539410573063e-08,2.97614330304887e-07
"Peg13",28.5253174597788,-1.77962387428048,0.320356027990934,-5.55514402348268,2.77382956322069e-08,3.01558334548405e-07
"Ttc9c",46.721351421625,1.44089299525215,0.25943162374068,5.55403760912518,2.79145381373521e-08,3.03235407986543e-07
"Ppip5k1",27.7697263169091,-1.8181224850475,0.327394906132778,-5.55330107765986,2.80324633048759e-08,3.04276840089747e-07
"Sord",69.3311641441733,-1.17640240025143,0.211847500748748,-5.55306244394472,2.80707742353161e-08,3.0445314571574e-07
"Synpo",16.9581404098456,-4.04389459842163,0.728484885340748,-5.55110295326182,2.83872835570317e-08,3.07644119365914e-07
"Ccdc12",257.711463401294,-0.956478421759415,0.172325842887877,-5.55040617083616,2.85006646794027e-08,3.08388368562384e-07
"Sec23b",218.955697711055,1.04090195349943,0.187533601203476,5.55048240325764,2.84882386903374e-08,3.08388368562384e-07
"Csnk2b",618.273126991244,0.623160547364055,0.112360457320012,5.54608411381988,2.92138326930604e-08,3.1585739485381e-07
"Wdr37",114.777282429117,1.28627006027473,0.232378565111302,5.53523540202017,3.10810624333108e-08,3.35782566429096e-07
"Evi2b",222.666043743108,-0.912069999041031,0.164839356891512,-5.5330839445176,3.14648787416045e-08,3.39479274552882e-07
"Ndst1",254.841847664201,-0.963346483818841,0.174107937461847,-5.53304173182767,3.14724552155071e-08,3.39479274552882e-07
"Fus",383.795747781357,1.2190640742862,0.220382553109304,5.53158159340125,3.17356178418097e-08,3.42050456051255e-07
"Glipr2",190.716786337158,2.1000605466192,0.379689982005907,5.53098750597673,3.18433008437209e-08,3.42943152568285e-07
"2410006H16Rik",123.904510487747,-1.63961345334116,0.296449144121935,-5.53084225693281,3.18696822467666e-08,3.42959544677373e-07
"Acer3",114.692858691993,1.45254279409454,0.262699804253805,5.52928769102233,3.21533672571361e-08,3.45742677068939e-07
"Atxn1",64.0601572429826,-1.1195617112559,0.202623340519309,-5.52533438836091,3.28858658422596e-08,3.53343773488951e-07
"Arcn1",390.39915838779,0.796229667701413,0.144121671309191,5.52470465037299,3.30040333516803e-08,3.54337466241075e-07
"Tatdn3",25.26705399162,-2.13671411173944,0.387033651162236,-5.52074504457952,3.37565276041924e-08,3.62134568295053e-07
"Klf2",118.151115001397,2.37740250444129,0.431469389915132,5.51001429072156,3.58804567061102e-08,3.84620653238148e-07
"Pdcd10",160.749367290886,0.977049911580412,0.177332815412957,5.50969604415937,3.59453856681965e-08,3.85017500526738e-07
"Cnpy4",51.2666504304355,-1.53101005607582,0.277914476239245,-5.50892518012569,3.61031307350419e-08,3.8640713081508e-07
"Ythdc1",142.209872286462,0.878103047294954,0.159455845204108,5.50687274066971,3.65264104472922e-08,3.90634386458018e-07
"Renbp",458.868541620421,0.851889139748044,0.154886649371777,5.50008114452292,3.79616506906053e-08,4.05669196690621e-07
"Mob1b",16.5279497604229,1.93385767632681,0.351648569865882,5.49940435436543,3.81076345223261e-08,4.06914029311154e-07
"Eif3c",1036.24702717328,0.826764069442712,0.150464318797488,5.49475168631486,3.91260551340288e-08,4.17465627710024e-07
"Washc4",195.843425055364,0.792717520018257,0.144279284186937,5.49432667680248,3.92203899727402e-08,4.18148763573356e-07
"Sesn1",77.5760314934704,-2.43216118745656,0.442897437963312,-5.49147721115973,3.98585760853116e-08,4.24624645307304e-07
"Utp11",208.683558469352,0.844474786662291,0.153837583631625,5.4893919075357,4.03319844694583e-08,4.29336464306055e-07
"Haghl",71.3343366714616,-1.18140082566078,0.215236806603806,-5.48884200756345,4.04577291465221e-08,4.3034296939508e-07
"Met",564.179083827393,1.91591817764341,0.349152387577646,5.48734090273791,4.08029224967696e-08,4.33680368848562e-07
"Cct5",523.106533684421,0.765073186861513,0.139493403336546,5.48465496261265,4.14277198599287e-08,4.39982157958103e-07
"Ddx39a",202.651786423495,1.14121054126064,0.20821527988327,5.48091639528294,4.23128409662401e-08,4.49036887669422e-07
"Myo18a",56.6705497691959,-1.44267562538698,0.263445407700414,-5.47618437527506,4.34594871138079e-08,4.60850948671863e-07
"Kars",237.556379795103,1.21160161029263,0.221366241819407,5.47328987624531,4.41756612537329e-08,4.68085578077188e-07
"Ulk2",49.4427450103821,-1.33799634727446,0.244498629698302,-5.47240836860914,4.43960328176859e-08,4.70059607638369e-07
"Stradb",71.3794990867726,-1.33659253156026,0.244295437982179,-5.47121363624384,4.46964104869959e-08,4.72877054508125e-07
"Hmgn3",15.7848677615532,2.33860847292249,0.427849700851108,5.46595794801391,4.60413488061069e-08,4.86732910443717e-07
"Rps6kc1",90.3605494991649,1.38645662015243,0.25373301338531,5.46423424234118,4.64909301610737e-08,4.91109397015446e-07
"Oas3",526.8113628688,1.60760775067158,0.294299675808647,5.46248563221947,4.69513544878008e-08,4.95593639260674e-07
