"","baseMean","lgFC_Treatment_6H_vs_Naive","lfcSE","stat","pvalue","padj"
"Serpine2",16.1423407848792,2.1784663182008,0.815089939943649,2.67266986309683,0.00752502662181631,0.028246579300686
"Rusc1",35.3060943295462,-1.14205440899744,0.427390542650261,-2.67215648225515,0.00753654945525499,0.0282771157128508
"Nppc",3.14498013833217,4.25616309856372,1.59301349302697,2.67176839191509,0.00754527064093373,0.0283014618892775
"Pgm2",72.0313142857611,-0.676625641659274,0.253330424693743,-2.67092135686925,0.00756433668932307,0.0283645846043294
"Ormdl3",129.076889568394,-0.68074146433477,0.25495375333711,-2.6700586103342,0.00758380078278124,0.028421059993742
"Srsf11",306.003695486836,0.57087299992659,0.213805704123619,2.67005504959082,0.00758388120830015,0.028421059993742
"Adipor2",232.953334788312,-0.59355744470059,0.222312815008443,-2.66992006141458,0.00758693071265243,0.0284240861628273
"Cp",6.89361821943658,3.48564844303431,1.30596014860288,2.66903124629283,0.00760703730960056,0.0284861840485804
"Tmem273",13.2094469581631,-2.30997687150841,0.865487673122991,-2.66898876002841,0.00760799962048378,0.0284861840485804
"Tgds",74.6178727672913,0.762900577004409,0.285860369355844,2.66878748783375,0.00761255990466906,0.0284948433632697
"Tmem242",150.739290719526,-0.770452666068923,0.288900761423814,-2.66684193655924,0.0076567673221072,0.0286518583558663
"Arhgef2",248.781501948047,0.535426509178148,0.200813291166288,2.66629019458067,0.00766934598479132,0.02869008975334
"Slc40a1",30.1135608632149,-1.06358761480607,0.398915860871093,-2.66619535378606,0.00767151003816236,0.02869008975334
"Wipi1",145.151420163541,-0.647803095201943,0.242993402846489,-2.66592873556815,0.00767759659773858,0.0287043850386699
"Arpc5",1345.94349832624,0.436403362314746,0.163774269301142,2.66466377274628,0.00770653313333005,0.0288040763751056
"Atf7ip",18.9730956239232,-1.20222093201055,0.451276928391528,-2.66404253436041,0.00772077996815448,0.0288488206413977
"Neurl1b",2.22818821827427,-3.95347412901359,1.48413986469493,-2.66381506424009,0.00772600243166355,0.028859828765065
"Nadsyn1",27.0852574604969,-1.13778056252725,0.427229731028497,-2.66315867060141,0.00774109025894244,0.0289076707814057
"Cables2",54.3403604158741,0.807952724781835,0.303759459871898,2.6598438288064,0.0078176891162576,0.0291851185559228
"Ssbp3",31.8212080519264,-1.37095465971753,0.515601865026309,-2.65894045912261,0.00783868145251304,0.0292548729628968
"Ppargc1b",52.7881050920085,-1.07493463922662,0.404327518798165,-2.65857402538859,0.00784721095762186,0.0292780872633107
