"","baseMean","lgFC_LMoDC_vs_CD3_CD28","lfcSE","stat","pvalue","padj"
"Ercc8",41.7265221707117,-1.34572448770693,0.241950918087931,-5.56197305776646,2.66741480933709e-08,3.09668341122376e-07
"Mrpl45",123.404176897943,1.13517178887309,0.204298427807014,5.55643918094857,2.75333594363021e-08,3.19407289283566e-07
"Aicda",24.7663486077343,3.84879097370146,0.693085897878269,5.55312261508089,2.80611094039862e-08,3.25289512331312e-07
"Cstdc4",33.7724707732805,6.82360269456727,1.2289127455435,5.55255262776974,2.81527918455205e-08,3.26111816521546e-07
"Ypel3",436.786655370972,1.61016718156766,0.290165523348904,5.54913334631954,2.8708915405792e-08,3.32308866909901e-07
"Klk1",28.7077695260581,-4.39796351184193,0.792636126556371,-5.54852770961753,2.88085231436779e-08,3.33216464529413e-07
"Ppp2r5b",26.4493900864677,1.85091866721437,0.333727017159203,5.54620564726828,2.91935443350196e-08,3.37421561325127e-07
"Ikzf4",65.0942575070524,1.80319440449933,0.325161953295865,5.54552704036258,2.93070037338345e-08,3.38484049737064e-07
"Bud23",270.448416592218,-0.654554047160703,0.118295912560754,-5.53319242391015,3.14454166148067e-08,3.62915201004512e-07
"Rbpms2",20.1077499463194,2.38578975433957,0.431244127884411,5.53234142814589,3.15984065782998e-08,3.64371136949997e-07
"Serpina3b",5.49312922549851,6.52802259257269,1.17999774206131,5.53223312204738,3.16179293084672e-08,3.64371136949997e-07
"Grina",814.837616049999,1.18112307585927,0.213650537335166,5.52829443160434,3.23359031811505e-08,3.72372206669967e-07
"Foxn3",168.986933700652,-1.04166475712473,0.188436445690534,-5.52793677097604,3.24018779832921e-08,3.72858799428527e-07
"Rnf213",927.414032025235,-0.940404053446273,0.170214472539523,-5.52481842122981,3.29826543201817e-08,3.79264333035067e-07
"Lamtor4",268.041021402356,1.06209761202256,0.192277615899835,5.52377148557866,3.31798952422204e-08,3.81253489263496e-07
"Ppic",24.1388338585174,1.89507701969737,0.343088170290969,5.52358601606745,3.32149564835574e-08,3.81377575577092e-07
"Sct",7.74013731461728,-4.57543640464806,0.828923825078889,-5.5197308440406,3.39519303755143e-08,3.89555031804897e-07
"Gpr155",27.3308236085871,-1.92428885117439,0.348775498647105,-5.51727073329027,3.44304813829801e-08,3.94757649058398e-07
"Dclk2",23.7476786238558,-2.31747289542308,0.420133371187505,-5.51604098687223,3.46721429789081e-08,3.97238641024385e-07
"Gpt2",30.2863249091193,1.76353171290802,0.319932608239492,5.51219746749883,3.54380996543363e-08,4.05718491235624e-07
"Unc13d",133.953642009698,0.912307232670662,0.165539330368298,5.5111207145814,3.56556070580522e-08,4.07911562842447e-07
"Myl12b",238.671811074108,1.24373920474779,0.225707835886988,5.51039444359623,3.58030466441383e-08,4.09300429235789e-07
"Cldn13",26.0671234644737,-3.16733147329488,0.575151464629255,-5.50695193888893,3.650998829344e-08,4.16908814026708e-07
"Map3k3",63.7861212045308,1.21759173637591,0.221103100196888,5.50689581146386,3.65216258613638e-08,4.16908814026708e-07
"Cited4",19.3256813052312,-2.14616643188297,0.389789813083992,-5.50595823657536,3.67165572472786e-08,4.18702100585758e-07
"Gm15191",10.9545015320408,4.69768131266453,0.853211063146732,5.50588420096077,3.67319929198906e-08,4.18702100585758e-07
"Btnl10",7.57122896801143,-6.11752370572964,1.11187132148411,-5.50200692069658,3.75492211522144e-08,4.27707396588158e-07
"Adora2b",83.4647277157972,1.24656841816416,0.226572815374079,5.50184458848709,3.75838182792272e-08,4.27791484092087e-07
"Trim30b",82.5414391683719,-1.1215694542306,0.203925115505422,-5.49990839260199,3.79988616973166e-08,4.32202682358987e-07
"Rpl35a",1670.62884913645,-1.69983231909895,0.309134262835576,-5.49868624560412,3.826312605279e-08,4.34893766033121e-07
"Plbd1",286.7259262304,-1.09032020150946,0.198423136440658,-5.49492474047017,3.90877072125342e-08,4.43944848030221e-07
"Dnajc2",264.631410324063,-0.859128708946129,0.156379429110534,-5.49387290791853,3.93213516683717e-08,4.46276048285296e-07
"E2f1",47.7225622217101,1.57775856050887,0.287276145039119,5.49213217928006,3.9710999555928e-08,4.50373161630326e-07
"Prdx6",891.401688176507,0.789975840801887,0.143870273392406,5.49088996756982,3.99913450786934e-08,4.53225633231422e-07
"Cd8b1",481.721420852946,-1.34708173253184,0.245366044670634,-5.49009026224509,4.01728390517281e-08,4.54954507964059e-07
"Cep250",126.408414258887,0.897004960332183,0.163524078876929,5.48546101890771,4.12392490770668e-08,4.66695288871428e-07
"Rtn4",471.001131680545,-0.857653211656725,0.156386700005927,-5.48418255276325,4.15385658603786e-08,4.69744400546252e-07
"Tmem243",221.518234865908,-0.805375807118827,0.146926043436599,-5.48150476444539,4.21723364697087e-08,4.76568624706938e-07
"Ptp4a2",572.198529034278,-0.494549834825812,0.090223925077033,-5.48136023126423,4.22068094978391e-08,4.76615544896934e-07
"Jak2",498.813128983095,-0.696059090423611,0.12708343794452,-5.47718177664885,4.32153219443354e-08,4.87653729822691e-07
"Csta2",14.8571782709021,6.739726260581,1.23078532639536,5.47595597383328,4.35155880096067e-08,4.90689761781211e-07
"Clec2d",67.5848702628397,-1.17829277346129,0.215211897969281,-5.47503546309265,4.37424001764082e-08,4.92893755106065e-07
"Cttnbp2nl",16.3298579822444,-2.82345447944314,0.515774721295078,-5.4742009696668,4.39490080370316e-08,4.94867089780873e-07
"Crtc2",255.159121331628,0.780577954219834,0.142644792463898,5.47217981629012,4.44533432746784e-08,5.00187618421382e-07
"Il10",31.8248066573388,1.9449091142801,0.355450524154878,5.47167322063831,4.45806300682385e-08,5.0126103293465e-07
"Rars2",57.7153043021501,-1.43365774455358,0.262031050102648,-5.47132770712463,4.46676461058462e-08,5.01880435409432e-07
"Fas",51.119530490736,-1.49346410629585,0.273028262125766,-5.46999821435304,4.50040113125971e-08,5.05298609873367e-07
"Spta1",9.40081694398184,-6.04472048028579,1.10517525904137,-5.46946778878222,4.51388945691811e-08,5.06451308874345e-07
"Stk40",358.165975193177,1.09947826450848,0.201111516333962,5.46700797920842,4.57695457655963e-08,5.1316083444323e-07
