"","baseMean","lgFC_LMoDC_vs_PcDC","lfcSE","stat","pvalue","padj"
"Icam1",334.740345896839,1.26950791709894,0.130911156617014,9.69747689887838,3.0904635186333e-22,7.72284758567044e-20
"Rnf213",927.414032025235,1.66796098446116,0.173384041656384,9.62003751052683,6.58071611890685e-22,1.61562353277162e-19
"Cd14",415.503739408983,2.65615467081568,0.276191012260122,9.61709307294208,6.77178470299831e-22,1.63386819196135e-19
"Rilpl1",48.343698476566,2.36034691708378,0.248383222625545,9.50284359842678,2.04235512575502e-21,4.84418942878232e-19
"Abr",317.035914706867,1.13799683379862,0.120189163139495,9.46838137543088,2.84213466718993e-21,6.62880542210932e-19
"Slc3a2",1282.12138267871,1.23920561317861,0.131103305655921,9.45213095107525,3.32001713805861e-21,7.61644587376921e-19
"Gars",568.846507783794,0.952349915781239,0.101681735905622,9.36598797511861,7.53420769334673e-21,1.70054358807571e-18
"Tdrd7",158.336015072163,1.29154425116849,0.138582565119333,9.31967343840361,1.16698922578106e-20,2.59219797231432e-18
"Stk17b",757.606154965026,-1.56421224453964,0.168438144166025,-9.28656779190019,1.59343752920483e-20,3.48415074745193e-18
"Mov10",144.596328792858,1.65096361405797,0.178687088859486,9.23941189369443,2.47855757273161e-20,5.33614379581632e-18
"Rigi",399.400762004492,1.30883366900752,0.142556176554225,9.18117825999399,4.2639989095657e-20,9.04096980916097e-18
"6530402F18Rik",99.4869785513479,2.03369085857972,0.222349399867405,9.14637439899759,5.88763694015755e-20,1.22972524388903e-17
"Psat1",336.590588291842,1.35024844375795,0.148327209068372,9.10317434163784,8.77294393958914e-20,1.80542025721486e-17
"Npepps",681.927007175513,1.11717171204504,0.123116982501213,9.07406670752377,1.1465586779908e-19,2.32535393330481e-17
"Daxx",655.906716932377,1.48245167248612,0.163457326741443,9.06934979324027,1.19729338947214e-19,2.39356052746759e-17
"Bcat1",54.2030177229508,2.42935754773953,0.268580982612206,9.04515846249318,1.49448250460552e-19,2.94560396752812e-17
"Aldh18a1",65.9270435932568,2.10242479256019,0.232505103567145,9.04248878972683,1.53144605939462e-19,2.9765355771067e-17
"Ifit1",332.467311070648,3.03119770552277,0.337291448177528,8.98687980943812,2.54348532400693e-19,4.87582652385658e-17
"Gclm",953.656910605191,1.54931037875331,0.172682210407731,8.97203235408636,2.91092878572173e-19,5.50480235505269e-17
"Pdgfa",28.9948529232611,3.35679023471457,0.374377768973914,8.9663182830401,3.06591129751799e-19,5.72058169299557e-17
"Rnase6",155.198803156762,-2.0112987278458,0.224945716298531,-8.94126263412169,3.84748771538337e-19,7.08443988014144e-17
"N4bp1",325.83446388037,1.21544611476768,0.136532726789999,8.90223277117406,5.47343334702848e-19,9.94743198159956e-17
"Rtp4",539.459799321767,1.41677722294931,0.159622569607307,8.87579511114732,6.94355642240648e-19,1.24574523814303e-16
"Tmem184b",220.667311686183,1.57384357209721,0.177986568329876,8.84248506426781,9.36128166131185e-19,1.65825032365061e-16
"Tagap",200.915217748912,1.47936230377915,0.167539751887019,8.82991819623063,1.04752307961162e-18,1.83237974701063e-16
"Irf7",1371.16191838475,1.4314662543754,0.162245077694486,8.82286399511554,1.11568821526843e-18,1.92752356598351e-16
"Tnfsf9",33.5819753595643,2.26911991493731,0.257285066467972,8.81947773373692,1.14994812252343e-18,1.96248463738938e-16
"Arhgef18",188.876413921538,-1.34391664000435,0.152458633674961,-8.8149592293314,1.19728623757055e-18,2.01865344681474e-16
"Fgd2",168.826310841491,-2.39456937016851,0.272473816091475,-8.78825497626754,1.51900905978182e-18,2.53059675983177e-16
"H2-T23",1014.11633875631,1.53728539849394,0.174983430982414,8.78531978635418,1.55920329540814e-18,2.56699893128723e-16
"Oas3",492.462036999968,1.95699534642739,0.223351839221022,8.76193969681533,1.91918942320617e-18,3.12292288236595e-16
"Ddit3",150.936615971072,1.65914060199244,0.189592426097733,8.7510911492697,2.11299615232476e-18,3.39876645467043e-16
"Cdkn1a",1109.77387810629,1.57447279930808,0.180184614634531,8.73810898062299,2.3704477802852e-18,3.76955070878536e-16
"Axl",206.738186688655,1.81987614087763,0.208839054562851,8.71425196157422,2.92684773945518e-18,4.60205699617257e-16
"Ptges",23.5297775898271,4.1474904795839,0.479910275092615,8.64222062922803,5.51308363227523e-18,8.57223248333995e-16
"Asns",216.923549933901,2.03949036214044,0.236488233372788,8.62406696964705,6.46172994203699e-18,9.93686250646874e-16
"Ccrl2",199.738738987696,2.25365772003439,0.263585556389113,8.55000460157031,1.23083604643668e-17,1.87220865585162e-15
"Slc7a5",231.648462232209,1.70029353473274,0.199501565271099,8.52270774127634,1.55865739645673e-17,2.3453603877436e-15
"H2-T22",592.774979168123,1.33880858198045,0.157963074879891,8.47545277906518,2.34166986045016e-17,3.48609872629145e-15
"Csnk1e",228.252998209589,1.10700647988223,0.131111328134997,8.44325578597162,3.08618754892082e-17,4.54611669048399e-15
"Dll4",43.8496768101994,1.92804273863836,0.22882261404315,8.42592742286734,3.57903983854661e-17,5.21719619798138e-15
"Nin",206.976680283545,-1.13725490350164,0.135499721307306,-8.3930423806733,4.73720741129382e-17,6.83427634161295e-15
"Id3",325.948071167714,-1.2741227071313,0.152645730621689,-8.34692658577553,7.00622373300687e-17,1.00046015224182e-14
"Cd40",340.691248295067,1.30153323639363,0.156860148727078,8.297411719647,1.06404113352012e-16,1.50405975984652e-14
"Saa3",1671.00834064708,3.79862498303054,0.457978787932094,8.29432515899356,1.09203366913879e-16,1.52819191659283e-14
"Gdf15",129.654440949978,3.5954114463927,0.435376046337025,8.25817468977035,1.47916966892164e-16,2.04945547989004e-14
"Serpina3g",671.745598383982,1.31235986140326,0.159213352298732,8.24277513446786,1.68261620791995e-16,2.30848345231685e-14
