"","baseMean","lgFC_CD3_CD28_vs_Naive","lfcSE","stat","pvalue","padj"
"Tmed3",217.156325935166,-0.851909763907164,0.213690839559462,-3.98664615508757,6.70138530828343e-05,0.000322308543689416
"Gm17435",4.6240957641606,3.50921381676217,0.880310883731084,3.98633469336289,6.71018399434163e-05,0.000322538586729814
"Ssh3",27.4577142976789,-1.2675975197972,0.317983478976021,-3.98636282576425,6.70938881483656e-05,0.000322538586729814
"Pald1",6.19243221432521,-3.17871964398604,0.797779017708517,-3.98446132754452,6.76333698405553e-05,0.000324996246819826
"Tmem43",100.056545102584,-0.619908306804746,0.155648452319343,-3.98274635929488,6.81234484491464e-05,0.000327253312167191
"Wdr45",67.1865738829706,-0.664142059893994,0.166804868007309,-3.98155082539253,6.84670763025269e-05,0.000328805714117726
"Gcn1",31.4795236411453,0.951296579113629,0.239074649025032,3.97907759351776,6.91831607704866e-05,0.00033204609937768
"Plpp1",28.1999318963805,-1.051886754294,0.264350816125391,-3.97913185860962,6.91673734382343e-05,0.00033204609937768
"Poldip2",117.502596765717,0.584876619682424,0.147018968056052,3.97823918516034,6.9427512414786e-05,0.000333119342721363
"Gpd2",65.0982419514491,0.81762155320274,0.205556887024467,3.97759260240899,6.96165144804744e-05,0.000333926452258686
"Marchf8",55.8162015942854,-0.984384813834841,0.247585240358,-3.97594304253135,7.01009034497804e-05,0.000336149526273813
"Ppp1r12c",224.11090187203,-0.757563519043019,0.190555713231826,-3.97554870538773,7.02171708407473e-05,0.000336606574868924
"Slc15a3",245.197870737651,0.877328082029504,0.220807899364376,3.97326402069403,7.08943917184279e-05,0.000339751643366595
"Bckdk",105.132750427259,-0.826197309209488,0.207982605768199,-3.97243464739693,7.11417576603309e-05,0.000340835429482719
"Il27ra",79.6767359353709,-0.719516757255387,0.181136115577518,-3.9722434974458,7.1198885028265e-05,0.000341007420719752
"Slc35d2",23.7088613709087,-1.25091548524929,0.314989190930937,-3.97129654370761,7.14825336348432e-05,0.000342263910673657
"Prickle3",34.2864044157202,-0.940217460670012,0.236847513919261,-3.96971640154316,7.19582276096017e-05,0.000344438905935829
"Egfl8",8.33778118090723,-2.21339635737593,0.557682683079198,-3.96891713609403,7.21999813558914e-05,0.000345493148793875
