"","baseMean","lgFC_LMoDC_vs_PMoDC","lfcSE","stat","pvalue","padj"
"Tspan13",264.752399128373,-1.68856352015419,0.14130443996152,-11.9498263509202,6.50610354601583e-33,2.69130109578481e-30
"Acp5",286.890010368722,-1.94960077215598,0.163216515306788,-11.9448743804598,6.90546093341515e-33,2.78325488236802e-30
"Stk17b",757.606154965026,-1.99576020370619,0.167481195181997,-11.9163241075361,9.73078851307843e-33,3.82395661592699e-30
"Atad3a",219.350478821653,1.32901803036014,0.112654343016189,11.7973084283945,4.02996112156713e-32,1.54504777731497e-29
"Gars",568.846507783794,1.18133796559435,0.100203546156345,11.7893828203559,4.42773811643869e-32,1.65713370124523e-29
"Trib3",97.4667183627537,4.0360585240064,0.343257443860706,11.7581092448041,6.41548892258688e-32,2.34523419474751e-29
"Tuba8",101.161002324696,2.37504940546348,0.202442462709858,11.7319725005886,8.73979321992151e-32,3.12229112781696e-29
"Rnase6",155.198803156762,-2.57695573038816,0.220193651934841,-11.7031336178153,1.22832215427019e-31,4.29066576510513e-29
"Clu",69.4113968681561,-3.33031507666849,0.284728701567522,-11.6964501939357,1.32897370058384e-31,4.52910015334929e-29
"Fos",706.091090559011,-2.88997563278084,0.247115162711004,-11.6948535293263,1.35420642030292e-31,4.52910015334929e-29
"Slc7a1",201.88285497808,1.84118540953287,0.158219343747513,11.6369172436402,2.67510746663009e-31,8.760419639158e-29
"Gpr84",162.409848604667,2.71472000798219,0.234154614086559,11.593707083554,4.43512566849378e-31,1.42277021189906e-28
"Naaa",183.061775874977,-2.48166595423061,0.215935029057689,-11.4926511231655,1.43635094648025e-30,4.51560010554462e-28
"Ddx39a",443.323206618344,1.13551079708944,0.0989217404599503,11.4788800905617,1.68448204771508e-30,5.19183790353596e-28
"Phgdh",187.422679869242,2.74047210691043,0.239421843347425,11.4462075330935,2.45659759653753e-30,7.42601108076412e-28
"Rogdi",257.058054343569,-1.60182386679756,0.140585690547671,-11.3939324874206,4.48290742119201e-30,1.32956267459844e-27
"Pip4k2a",275.596720719836,-1.75639278535421,0.156316978819476,-11.2360973108532,2.71104353246016e-29,7.89164690495207e-27
"Zmynd15",72.0869779442995,-1.9136459348779,0.170850372918475,-11.2007126597905,4.04466567128938e-29,1.1559654488545e-26
"Bcat1",54.2030177229508,2.97352265308986,0.266612165100981,11.1529894067797,6.92403467856632e-29,1.94355180557829e-26
"Aif1",117.017293241684,-3.25127608787992,0.293466320088295,-11.0788729926545,1.58859554848168e-28,4.38090060115501e-26
"Tomm40",347.6369010682,1.09352779928694,0.098856754696999,11.0617408252846,1.92327982182615e-28,5.21241991711816e-26
