"","baseMean","lgFC_LcDC_vs_Naive","lfcSE","stat","pvalue","padj"
"Pfdn2",229.407421863611,-0.534296697385048,0.130560819829938,-4.09232033071632,4.27078124664117e-05,0.000225305226031086
"Sirpb1b",4.89991861718142,-2.94014612890987,0.71859498771389,-4.09152050762771,4.28554040002264e-05,0.000226012683041798
"B230307C23Rik",22.3018622969207,-1.27898542802987,0.312661871228171,-4.09063447041327,4.30194695239616e-05,0.000226806548733158
"Gas2l1",45.4984164916447,0.910329274635063,0.222553756853768,4.09037927512141,4.3066833873839e-05,0.000226984838488887
"Otud5",314.908293292591,-0.421120533873427,0.102992480992357,-4.08884735871813,4.33521996278097e-05,0.000228417014076715
"Ndufb9",671.215831174232,-0.295003377718402,0.0721615322013447,-4.0880974768563,4.3492540829939e-05,0.000229084414211137
"Islr2",7.18179456317528,-3.4648335183075,0.848000944163842,-4.08588403368342,4.3909306863636e-05,0.000231206925361477
"Pus10",20.9754327503077,1.41800708968075,0.347091096422963,4.08540323936394,4.4000334365903e-05,0.000231613447156992
"Il12rb2",24.0072383435233,1.98648431874073,0.486257035689276,4.08525568360129,4.40283065807988e-05,0.000231687900992865
"Foxk2",24.7810177840908,1.15066252657369,0.281770236336601,4.08369081679415,4.43259989552532e-05,0.000233181197015782
"Ppp1r13b",68.1121381424035,-0.836485646081446,0.204847364052707,-4.08345818824506,4.437041570187e-05,0.000233341592933092
"Ap4s1",104.039205402953,-0.627468572289004,0.153678276409184,-4.08300110432203,4.44578116484413e-05,0.000233727842538322
"Cpa3",6.47178773659591,3.91930318403956,0.960072789936089,4.0822979519089,4.45925755454962e-05,0.000234362799016559
"Szrd1",272.529611448286,-0.500837792058769,0.122687622475535,-4.08221939551107,4.46076554465531e-05,0.000234368537788334
"Pkhd1l1",2.85781408057393,-4.32082288391284,1.05858856185532,-4.0816829499272,4.4710762371372e-05,0.000234836621796971
"Coq8a",7.68653143462659,-2.16386187475987,0.530167250680751,-4.0814702756185,4.47517017360303e-05,0.000234977988902284
"Adam19",47.3017560517427,-1.32753076220185,0.325270458311588,-4.08131365231501,4.47818741282706e-05,0.000235062750945856
"1600020E01Rik",58.3541703624299,0.812748038155188,0.199143599067688,4.08121597661263,4.48007004413205e-05,0.000235087922297001
"Dynlrb1",412.402971025737,-0.426927056427695,0.104624499241263,-4.08056487269971,4.49263881243499e-05,0.00023559988514037
"Timm10",151.163400918772,0.514204231026012,0.126011103515241,4.08062636292855,4.49145038990894e-05,0.00023559988514037
"Tmed1",52.8781822130727,0.934206933967152,0.22899657345916,4.07956730467743,4.51196053872542e-05,0.000236539107716973
"Exog",20.62713610797,1.2786554710963,0.313473486149928,4.07899081609964,4.52316235295694e-05,0.000237052190252717
"Cxxc1",217.380203858692,0.612834095516815,0.15025996401217,4.07849222875617,4.53287172470383e-05,0.000237486759685468
"Tnfsf13os",2.99419321439944,-3.36538712168636,0.825245485889485,-4.07804366001348,4.54162393429759e-05,0.000237870925349034
"Rbm17",378.867595841704,0.406711477219973,0.0997474281455362,4.07741317025801,4.55395277740613e-05,0.000238442121204499
"Gm10432",5.2633826396616,4.538584137883,1.11344805944554,4.07615254199021,4.57869883384622e-05,0.000239662914592607
"Gm13570",3.54414599693574,-3.1326375494672,0.768716628995842,-4.07515257417977,4.5984187813196e-05,0.000240619945911961
"Gm44096",8.10101074043481,2.32186970286195,0.570174386643115,4.07220976117831,4.65692110875896e-05,0.000243605098898709
"Rpl22-ps1",13.2626842076217,-1.53668320690247,0.377528564826665,-4.07037599289476,4.69373209980606e-05,0.0002454540615863
"5430401H09Rik",3.05687837630909,-4.65238099169658,1.14333686748958,-4.06912531554394,4.71899622007728e-05,0.000246698226731341
"Skil",133.80815312929,0.664934549187408,0.163441871753099,4.06832436544707,4.73524336147604e-05,0.000247470375924925
"Med11",166.542519512519,0.488848896856692,0.120224672860976,4.06612790223167,4.78007084676012e-05,0.000249657378545716
"Mtx1",130.279943433222,-0.614693996522327,0.151172590399436,-4.066173602623,4.77913406531652e-05,0.000249657378545716
"Tns4",8.37123171180243,-3.73310401931166,0.918383956258426,-4.06486197180604,4.80608961086075e-05,0.000250938084855007
"Arhgap15",21.1418217425013,-1.62249643965752,0.399244682931538,-4.06391495997892,4.8256413490922e-05,0.000251880438641868
"Wbp11",413.385692258416,0.357366146732215,0.0879491706828363,4.06332594108198,4.83784007778561e-05,0.000252438525391772
"Tnf",320.405176478378,1.84055737252784,0.453047186625064,4.06261737599326,4.8525533760984e-05,0.000253127434048969
"Il13",10.3196672823088,2.44845274517915,0.603252525754302,4.058752579805,4.93355518246611e-05,0.000257272695556239
"Ythdf2",98.6187462506029,0.612924781054747,0.151028914237944,4.05832740139475,4.94254429738489e-05,0.000257661262298332
"Tmem115",88.3638810903086,0.644261572148959,0.158782046272686,4.0575215351648,4.95962452505081e-05,0.000258471256352182
"Atoh8",5.67423762484852,4.4609733183289,1.09951470835797,4.05722023036051,4.96602499900454e-05,0.000258724343464929
"Zfp819",6.59218456021884,3.75462896003741,0.925554947442888,4.05662459091235,4.9787009283783e-05,0.000259304115806585
"Polr2g",194.402888796168,-1.12599386779692,0.277629869639124,-4.05573747976233,4.99763659617998e-05,0.000260209450494082
"Id2",886.285344756787,-0.444648898016557,0.109642500048096,-4.0554428968831,5.0039396445739e-05,0.000260456690726423
"Thumpd1",115.746370293519,-0.541748672557072,0.133613861764177,-4.05458434779197,5.02235261682981e-05,0.000261333907127278
"Acox3",164.894823495662,-0.551915945144475,0.136245796526669,-4.0508842049776,5.10244548162174e-05,0.000265419043913605
"Skap2",300.703917245182,0.436651187560659,0.107816109613305,4.04996237692825,5.12258680652083e-05,0.000266384053206879
"Ankrd46",57.1893478117866,0.806523558021154,0.199173108005039,4.0493597057327,5.13579547819027e-05,0.000266988064651188
"Abtb1",57.7631821928017,-1.10992884931534,0.274130850034171,-4.04890164378429,5.14585634968706e-05,0.000267428111473346
"Rnd2",4.64890285603093,3.75649740190755,0.927805380448999,4.04879889798617,5.14811562146762e-05,0.000267462565078109
"Eps8",32.0497943713659,-0.944029285491668,0.233180836364794,-4.04848571696005,5.15500794327799e-05,0.000267737625820281
"Cdc25c",30.2260798827992,1.19052936049418,0.294092533966417,4.04814547461489,5.16250572697363e-05,0.000268043952449468
"Meis1",13.9519335237789,1.55365168719374,0.383895162402439,4.04707284528123,5.18621053384847e-05,0.000269191318137023
"Tm9sf2",133.319871105602,0.766751185019494,0.189467680890758,4.04687058718782,5.19069192442844e-05,0.000269340486818824
"Pim1",655.904490795033,-0.747250202415164,0.184654216638088,-4.04675406833374,5.19327527423499e-05,0.000269391105943676
"Dmtf1",48.6154078474148,-1.00501362254218,0.24836127121085,-4.04657947530376,5.19714847251435e-05,0.000269508581420545
"C1ra",5.36654941503892,-2.51057994069593,0.620442386622155,-4.04643524496152,5.20035016496013e-05,0.000269549853026579
"Snhg16",72.7445792799089,0.667941063992227,0.165070502168598,4.04639869157247,5.20116189098735e-05,0.000269549853026579
"Zfand6",244.939859644255,0.600785583069423,0.148517288234421,4.04522322088954,5.22732918992241e-05,0.000270822203392548
"Atxn7l3b",15.7522535187256,-1.43860095474128,0.355719164887897,-4.04420423958504,5.25011376110132e-05,0.00027191856589568
"Gatd3a",79.9771717743894,-0.951337985533152,0.235319245932882,-4.04275469166043,5.28268807606961e-05,0.000273521133234074
"Rufy3",35.4448401420998,1.12309699430763,0.278041824286532,4.0393095434097,5.36087780875057e-05,0.000277453252406397
"Tspoap1",23.455183500688,-1.52786969857485,0.378254580020974,-4.03926291782145,5.36194348726895e-05,0.000277453252406397
"Suco",59.7076289789613,-1.39120506008743,0.344535426204935,-4.03791585501549,5.39281888499676e-05,0.000278964743495279
"Gm31718",21.1284185978481,1.55397830480257,0.384884845245105,4.03751491907392,5.40204103159546e-05,0.000279355547791302
"Psmd10",26.736228612018,-1.8628466308932,0.461397865001314,-4.03739759586424,5.40474247149976e-05,0.000279409009904284
