"","baseMean","lgFC_MoDC_Treatment_48H_Wash_vs_cDC_Naive","lfcSE","stat","pvalue","padj"
"Utp14a",63.5436841715769,-0.491941941002238,0.206173400528176,-2.38605920910253,0.0170300089853008,0.0365464360842037
"Gm9465",2.32280714282418,-3.0289456699025,1.26962505895179,-2.38570091898093,0.0170466079427013,0.0365771172993358
"Msl2",13.3818001944091,-0.915212199824179,0.383634396385784,-2.38563645086672,0.0170495961446729,0.0365785894062528
"Prr12",55.0063530688858,-0.593365166747499,0.248732311950986,-2.38555723658623,0.0170532684847791,0.036581528682956
"Ermardl1",5.11182872325732,1.39412172978228,0.584469108415162,2.38527872510245,0.0170661856683377,0.0366042959076968
"Lrfn1",2.90106649514586,-2.18809301425461,0.917361978716248,-2.38520133275702,0.0170697765994449,0.0366070563353462
"Lyzl4os",0.782176797688044,3.65453421666484,1.53246689093746,2.38473942783145,0.0170912223370522,0.0366481014458061
"Kank2",4.36933055969797,1.55469432820174,0.652093903586614,2.3841571277552,0.0171182915716584,0.0367011921174038
"Dnmbp",24.7323650859815,0.797378923520641,0.334463019070464,2.38405706477418,0.0171229469590322,0.0367062202147952
"Cenpp",2.5396593472268,-1.7328625652748,0.726900584061983,-2.38390586452884,0.0171299835930002,0.0367163509118008
"Gm42666",5.67191886405197,-1.48495775337041,0.623161598267075,-2.38294169201034,0.01717491444182,0.036802726306956
"Sh2d3c",107.93285397214,-0.830868372382,0.348669032716924,-2.38297151286321,0.0171735232295932,0.036802726306956
"Itga3",1.85992575501556,-2.72734554695209,1.14456621509489,-2.38286392782089,0.0171785427874066,0.0368055375335899
"Gm35330",2.31426540897904,2.43320996922939,1.02148845019994,2.38202396586386,0.0172177768693528,0.0368846240632529
"Rpl7a",2333.73470251358,-0.654599821885636,0.274853750109923,-2.38162958163693,0.0172362254034929,0.0369191676241708
"Ncapg2",28.8515693752795,0.880150900892102,0.369579270538546,2.38149423156109,0.0172425608143691,0.0369277596413952
"Kif2a",24.3684927771332,-0.720554716509861,0.302612557133916,-2.38111307519533,0.0172604128015839,0.0369610106474887
"Gm6975",6.65275188151925,-1.9720797534211,0.828333388368997,-2.38078022824139,0.0172760154079694,0.0369894365742117
"Ccl3",6298.78319636602,0.708061562210987,0.297464083260004,2.38032623788094,0.0172973167016073,0.0370300545771811
"5430434F05Rik",1.8461285924376,-4.16801901786187,1.75112234308278,-2.38019863907637,0.017303307801488,0.0370363561729209
"Mfsd14b",196.755321877612,0.410379648714064,0.172416523976932,2.38016426296223,0.0173049221617323,0.0370363561729209
"Gp9",4.51652454323569,-2.20404744142084,0.926099442535818,-2.37992524364963,0.0173161505641581,0.0370553961365532
"Pdxp",5.03220592146996,-1.26552487679853,0.531799971225574,-2.37970091251045,0.0173266947728915,0.0370729670410009
"Mtdh",567.324386875098,0.328113357021504,0.137963957510377,2.37825416828032,0.0173948312654695,0.0372137436349865
"Gm49032",1.46566180647835,-3.15860580842868,1.32850679047395,-2.37756090603183,0.0174275646328062,0.0372787526185592
"Gm43810",2.12064999338082,-2.29768325782783,0.966482075088818,-2.37736768953183,0.017436697244709,0.0372932672662782
"Gm5835",17.1300103078864,-1.08104308267767,0.454741813591932,-2.37726782619501,0.0174414190509654,0.0372983455317347
"Reg1",1.16150510293379,-4.5311457879441,1.90711393517561,-2.37591771753629,0.0175053659319984,0.0374300577706262
"Gm4535",1.79976672360882,-3.18320573722647,1.34017942346816,-2.37520863362375,0.0175390334130302,0.0374969997173893
"Fanca",22.2615683193955,-0.931666848181576,0.392263772994272,-2.37510295959749,0.0175440556992503,0.037502690838879
"Gm8731",9.04606023316606,-1.28255033057506,0.540107604856135,-2.37462001838815,0.0175670241156669,0.037546737446036
"Dhx30",122.24395308119,-0.445723048899917,0.187709817162961,-2.37453243328749,0.0175711924371069,0.037550595377699
"Mir7078",2.91568995353811,-2.58256204488835,1.08764920226981,-2.37444392870312,0.0175754053990068,0.0375545476579908
