"","baseMean","lgFC_cDC_Treatment_6H_vs_MoDC_Treatment_48H_Wash","lfcSE","stat","pvalue","padj"
"Gm37566",7.90854308804655,2.17330967675058,0.480693309198841,4.52119810107774,6.14906092103187e-06,2.41077600681574e-05
"Csf1",279.677976651921,0.886177262501642,0.196041592387215,4.52035331742916,6.17365088903545e-06,2.41984282001951e-05
"Stoml1",39.9289167852839,1.02795915189454,0.227513857004974,4.51822656178725,6.2359738387744e-06,2.44369176289304e-05
"Becn1",252.40089189596,0.507060452998188,0.112236555192299,4.51778346305643,6.24903407292958e-06,2.44822939165272e-05
"Scrib",142.66511531653,0.785444670886764,0.173923580981138,4.51603322824837,6.30087817276648e-06,2.46795590690235e-05
"Naga",64.5938632589926,-1.50287567492891,0.332906467688045,-4.5144081620463,6.34938288391625e-06,2.4863654007529e-05
"Rfng",52.7685179447228,-1.11932034037054,0.247974956410278,-4.51384428723765,6.36629666356331e-06,2.49239835990273e-05
"Ptpn21",14.5136468387951,-1.7963742812353,0.397994172800549,-4.51356930327605,6.3745606099573e-06,2.4950428637411e-05
"Gm20560",5.08155718056992,-4.60876227667976,1.02127653326022,-4.51274667201765,6.39934403330603e-06,2.50415041189701e-05
"Dpf2",172.203656749643,0.645756933959086,0.143138718368165,4.51140642672337,6.43991918748194e-06,2.51943170673542e-05
"Egln3",43.9732583673443,-2.91040185800239,0.6452659645473,-4.51039109128318,6.47082163134716e-06,2.53092249896055e-05
"Cybc1",200.510648404364,-1.06449172981987,0.236070581225519,-4.50920959440922,6.50695992018001e-06,2.54445525923217e-05
"Sytl1",6.22093190778274,2.71166748034356,0.60137972643415,4.50907697940244,6.51102822983212e-06,2.5454440700831e-05
"Bcap29",61.4539579397929,-1.16301887876954,0.257967628883173,-4.50839077679873,6.53211818014631e-06,2.55308533977208e-05
"Bsdc1",117.766866223036,1.84294187254245,0.408805541290549,4.50811372743263,6.54065160263867e-06,2.55563242894684e-05
"Mettl2",38.6424964120474,1.05932051121843,0.23498269343113,4.50807885359822,6.54172651019358e-06,2.55563242894684e-05
"Gtf2ird1",21.4066938021343,-1.49155919267058,0.330908103195876,-4.50747255284853,6.56044140043397e-06,2.56233823938991e-05
"Pierce2",6.10264048697319,-3.20239182874541,0.710645163606115,-4.50631622186116,6.59627635574551e-06,2.57572595629524e-05
"Efemp2",8.22415558265327,-3.40858730584344,0.756433896281041,-4.50612713497047,6.60215398619616e-06,2.57741232240333e-05
"Runx3",168.302438332379,1.24061746529431,0.275457102424321,4.50384998018034,6.67333237091061e-06,2.60458461020456e-05
"Psen1",163.657210927059,-0.577379192897704,0.12823874523077,-4.50237712368981,6.71976065400975e-06,2.62208645014735e-05
"Ada",6.4951084004075,2.55297333086098,0.567127635779686,4.50158512792479,6.7448540184425e-06,2.63125699591576e-05
"Klhl36",23.1004574433308,-1.61183493433575,0.358143494546877,-4.50052830465353,6.77847773992729e-06,2.64375023529648e-05
"Mmut",18.6758853664371,-1.72949485628793,0.384349272672417,-4.49979999770153,6.80174269733952e-06,2.65219839658289e-05
"Gm47772",2.98315866990119,4.56549614659122,1.01491508891354,4.49840207960506,6.84661181475321e-06,2.66906468128542e-05
"Arhgef12",45.6180262416181,-1.28106261492237,0.284790756653942,-4.49825910775266,6.85121672257375e-06,2.6702302233454e-05
"Nop16",83.8329168700498,0.905972451134823,0.201432237418623,4.49765371593427,6.87074833222105e-06,2.67721145832219e-05
"Ero1a",42.8611457431143,-1.67484083397311,0.372396985371733,-4.49746077375266,6.87698436331697e-06,2.67900995472949e-05
