"","baseMean","lgFC_cDC_Treatment_6H_vs_MoDC_Naive","lfcSE","stat","pvalue","padj"
"Hmgb2",47.4739559619978,2.81758739078424,0.603600039340873,4.66797085344962,3.04189039294788e-06,1.55426956914574e-05
"Slc25a45",106.517882318501,-1.37046945890144,0.29360540968826,-4.66772550395635,3.04552406734148e-06,1.55559365862668e-05
"Nat9",31.2990380581632,-1.47363656593306,0.315750870671762,-4.66708631015931,3.05501021904511e-06,1.55990514947821e-05
"Cd2bp2",118.972952555661,0.931647679198282,0.199646019551083,4.66649764063994,3.06377161715739e-06,1.56330910721621e-05
"Dnajc28",12.6740941964065,-2.87299918882365,0.615661529419466,-4.66652381468877,3.06338154706872e-06,1.56330910721621e-05
"Gng2",84.5803448458976,-1.49667425683883,0.320784403487101,-4.66567027751091,3.0761263405738e-06,1.56907674754149e-05
"Ido2",12.0361672593203,3.95454057203065,0.847782327823019,4.66457065952923,3.09262053702179e-06,1.57695119627776e-05
"Gm43343",13.5813303668614,-3.46806202504786,0.743585734197909,-4.66397062981417,3.10165668607006e-06,1.58101864889329e-05
"Wdr86",9.76603172498771,5.81464912381206,1.24689129753944,4.66331679055459,3.11153201390757e-06,1.58551093573132e-05
"1110032F04Rik",12.5525786906254,4.64670734794471,0.996512864324968,4.66296774913424,3.11681613717786e-06,1.58763850961899e-05
"Ccr1",16.460434234782,-5.49082606579234,1.17755590878132,-4.66290052544081,3.11783482190503e-06,1.58763850961899e-05
"Pdk3",49.5320808971247,1.69773968282125,0.3643527201297,4.65960479783683,3.16817066261584e-06,1.61271988879745e-05
"Mef2c",88.4044944664251,1.79454475803443,0.385233406262244,4.65833110229493,3.18783195748298e-06,1.62217497325037e-05
"Scamp3",176.316271043473,-1.03139052617592,0.221443286260176,-4.65758318346185,3.19943162570833e-06,1.6275227339365e-05
"Ftsj3",115.21934303514,1.25890106156354,0.270354246942505,4.65648709351055,3.2165043369997e-06,1.63509288929566e-05
"Gm5150",17.6320072163306,-3.0422266590816,0.653322428378174,-4.65654709977386,3.21556742213555e-06,1.63509288929566e-05
"Kcnk5",10.2994634255696,5.77186178038243,1.2396857169723,4.65590730082711,3.22557049557725e-06,1.63914333151142e-05
"Ccnd3",171.934755706573,1.21313369654087,0.260593037236068,4.65528054551169,3.23539857065635e-06,1.64357806899408e-05
"Zfp503",48.3346271284788,-1.95976513677399,0.42125135233749,-4.65224651719077,3.28338224528408e-06,1.66738618614716e-05
"Ubr4",278.168328562143,1.19324383794671,0.256574769305705,4.65066709862254,3.30863039607018e-06,1.67963634902542e-05
"Vps26b",51.6456262637672,-1.37989823396929,0.296841004930209,-4.64861057283417,3.34178462360746e-06,1.69589036067124e-05
"Lix1l",12.1215389512527,-2.83274450960847,0.609465059787084,-4.64791945677425,3.35299778577171e-06,1.70100244570506e-05
"Stmp1",519.102007000002,-0.921442558856253,0.198310043772781,-4.64647448674874,3.37655871332256e-06,1.71237304778591e-05
"Pde8a",72.7411836899716,-1.04695074811638,0.225436852852931,-4.64409760368411,3.41566068222242e-06,1.73161466311717e-05
"Arhgef7",124.752977198849,-1.07030938211103,0.23056500554754,-4.64211548309026,3.44860012020318e-06,1.74772009487377e-05
"Axin2",10.8178379280462,4.34455996367437,0.935957517033534,4.64183457540275,3.45329289481398e-06,1.74950429243377e-05
"Slc25a37",187.364918955845,2.78652080496672,0.600377868029134,4.6412783571021,3.4626030133258e-06,1.75362572018621e-05
"Ppp1r9b",260.587687932602,-0.953186729044837,0.205381736095087,-4.64104913692781,3.46644675585685e-06,1.75497685994449e-05
"Ppargc1b",34.7720452924192,-1.99280511563967,0.429721029849188,-4.63743912263045,3.52752459084465e-06,1.78529347298598e-05
"Tmem154",28.45155094529,-1.7602311260136,0.379712841542222,-4.63569027285023,3.55748311876799e-06,1.79984527280042e-05
"Rsf1",76.5851106264423,1.08965702970209,0.235101438454725,4.63483778263627,3.57217492549782e-06,1.80666590183175e-05
"Rps18",5037.99571516482,0.845192469213967,0.182375028078591,4.63436512179588,3.58034580782054e-06,1.81018499938081e-05
"Coq10a",44.3477969372345,-1.77028597142631,0.382000698748386,-4.63424799280892,3.58237338401077e-06,1.81059677468204e-05
"Usf2",455.091789755067,-0.711200739096636,0.153533325025144,-4.63222390956597,3.61758591058702e-06,1.82777487188596e-05
"Cep192",70.0361356951045,1.01102052598075,0.218275383680834,4.63185774287347,3.62399137606219e-06,1.83011207526579e-05
"Srp14",614.135847265838,-0.745812216872333,0.161021715053341,-4.63174930552237,3.62589038965557e-06,1.83011207526579e-05
"Wbp1l",180.922105212935,-0.913197660765175,0.197158083953191,-4.63180429863573,3.62492720128417e-06,1.83011207526579e-05
"Clec4d",2573.17046396262,-1.69239073526242,0.365414381541305,-4.63142892221149,3.63150669075253e-06,1.83232715887362e-05
"Rps6ka3",117.661032843252,-1.11583207983492,0.240942738813725,-4.63110897356232,3.63712369512109e-06,1.83454110002306e-05
"Plec",321.606048024514,-1.23281950263475,0.266255249854554,-4.63021669359833,3.65283256337251e-06,1.84184209487618e-05
"Zbtb24",34.6462599653536,1.60895189284218,0.347542485954594,4.6295113773583,3.66529588580982e-06,1.8475022322091e-05
"Rnaseh2c",178.84061715575,-1.03034380198992,0.22261890355459,-4.62828531422203,3.68705818049856e-06,1.8578441372026e-05
"Mphosph9",13.1834245931799,3.01221528778352,0.650929693729957,4.62755857782877,3.70001597401318e-06,1.86374412460839e-05
"H2-M3",168.714841811282,1.42041422049605,0.307069553585331,4.62570842309617,3.73320179203964e-06,1.87982580115356e-05
"F2r",10.0697745262546,4.35916759758121,0.942576649679562,4.62473539850914,3.75076902178004e-06,1.88803465936145e-05
"Fads3",14.5661873742838,-2.57210148282699,0.556460888706216,-4.62225025159843,3.795996882023e-06,1.91015689360058e-05
"Pkmyt1",41.9672803619104,1.78160714756975,0.385503588684903,4.62150599854978,3.80964315975632e-06,1.91637762586327e-05
"Cdc42ep3",86.9837304905485,2.28177153876376,0.493828625782338,4.62057365578779,3.82680452479935e-06,1.92436177670587e-05
"Pbdc1",66.4497236202173,-1.06793460911355,0.231193742748732,-4.61921934571653,3.85186497898798e-06,1.93631137795203e-05
