"","baseMean","lgFC_MoDC_Treatment_6H_vs_MoDC_Treatment_48H_Wash","lfcSE","stat","pvalue","padj"
"Chp1",246.168546556976,-0.474059961179135,0.18136703295247,-2.61381549591413,0.00895373740658956,0.0292435048202366
"Adk",52.6230318650659,-0.589638692378484,0.225640193505852,-2.61318111466338,0.00897037512256417,0.0292915697405469
"Ube3b",70.257581829471,-0.630183131997813,0.241217255639383,-2.61251265100176,0.00898793657638247,0.0293426297737745
"Cisd3",44.4284791521346,-0.65770455620602,0.25177202524094,-2.6123019647501,0.00899347795188108,0.0293544347793575
"Fam185a",4.8899916463554,-2.20026262103797,0.842558760087183,-2.6114055485107,0.00901708921094567,0.0294252016502735
"1810044D09Rik",4.47333840030114,-1.84012582923269,0.704726252562802,-2.61112144260399,0.00902458399429346,0.0294433570676221
"Ppm1d",47.6481123318595,-0.811867364228419,0.310976938849794,-2.61069958187659,0.00903572304558732,0.0294733918598683
"Fbf1",16.4774414356442,-1.16913154201021,0.447915674753328,-2.61015992051196,0.00904999046842661,0.0295136159746807
"Btbd2",23.5778353385196,-0.829726568345569,0.317976839139209,-2.60939309476662,0.00907029819972035,0.0295735171841181
"Fbxl8",34.4501238861967,-0.674313572712776,0.258522560108626,-2.60833550630724,0.00909837290507401,0.0296587114198756
"Zfp438",11.4613771845682,-0.969331099442428,0.371659148744897,-2.60811849436745,0.00910414327961506,0.029671177520524
"Tspan4",97.6406448072119,-0.94957202389211,0.364192805568237,-2.60733328438635,0.00912504941788879,0.0297329564918001
"Ccnh",63.2537240142992,-0.648907060889749,0.248916700545048,-2.6069245633935,0.00913594852455881,0.0297591845719874
"Snf8",360.799092866655,0.275486913184777,0.105676662906575,2.60688505491818,0.00913700268801477,0.0297591845719874
"Tspyl4",6.43149777386468,-2.23371791355682,0.856880382777375,-2.60680248778336,0.00913920609136558,0.0297600034320717
"Acap3",36.1809462791624,-0.697542834601669,0.267667867665832,-2.60600138778149,0.00916060904766235,0.0298233281103268
"Hspa14",108.954845196074,-0.481728380827424,0.184908864078228,-2.60522059463641,0.00918151250841181,0.0298849999366453
"Mtrfr",8.81864070242407,-1.35404585524389,0.519758255817792,-2.60514545000044,0.00918352653117111,0.0298851751321739
"Tuba1a",355.411743883664,-0.743678715085986,0.285538110967288,-2.60448145631665,0.00920133999965937,0.0299367540833988
"Apol7c",44.2072475956678,1.90530092882726,0.731941776634724,2.6030771704101,0.00923911547029145,0.0300532439641697
"C920021L13Rik",3.77673427398146,-1.95425524748092,0.750770799738013,-2.60299847591685,0.00924123645162747,0.0300537310028824
"Abca7",164.663902379266,-0.435466100734408,0.167306368045365,-2.60280649100177,0.00924641267022233,0.0300570627923936
"Ascc1",27.2422281687371,-0.931006879227517,0.357691907987791,-2.60281783970157,0.0092461066192926,0.0300570627923936
"Rnf149",3191.58598552366,0.321574035874342,0.123552062687371,2.60274113503095,0.00924817536134845,0.0300570627923936
"Siglecf",49.075629666826,1.08175860959096,0.415670404362859,2.60244318151322,0.00925621515317902,0.0300767809516981
"Dcp1a",86.6967725735771,0.561376691121799,0.215748355588674,2.60199754287846,0.00926825162881824,0.0301094746074926
"G430095P16Rik",2.10042442947406,-3.34185397692083,1.28473637959996,-2.60119821465739,0.00928987608037051,0.0301732958503044
"Gm42432",3.56754123463875,1.63176603033254,0.627365243283895,2.60098251823958,0.00929571908442388,0.0301858430588129
"Eif3b",372.332158047645,0.342799594795161,0.131800768575041,2.60089222924363,0.00929816589808171,0.0301873588760975
"Gtf2h5",192.930973360899,-0.462378747991216,0.177843141646995,-2.59992453860832,0.00932442622807447,0.0302661703796516
"Hes1",12.3639822093023,1.86121709821107,0.715900606326195,2.59982612357647,0.00932710063149776,0.0302684070301862
"Cmas",219.392773502289,-0.73752496533637,0.2836929153735,-2.59972993814587,0.00932971510735866,0.0302704482925708
"Efnb2",3.7497063058521,2.69212206464032,1.03560876053396,2.59955512857216,0.00933446838892362,0.0302729855472303
"Naa20",96.4606045155508,0.540943737509956,0.208090302689642,2.59956245206077,0.00933426921114704,0.0302729855472303
"Rnf170",16.8491306260287,-0.899314042199973,0.345960927840008,-2.59946707801601,0.00933686340708127,0.0302743129528628
"Dhcr24",46.5407167422847,0.649050820557089,0.249696729529098,2.59935651452516,0.00933987156450815,0.0302776274447143
"Rexo2",218.108066670601,-0.424570193053392,0.163378968116357,-2.59868328187148,0.00935820721917479,0.0303241715756724
"Suds3",254.912233015831,0.387798324545368,0.14922588287572,2.59873365847892,0.00935683408929113,0.0303241715756724
"9130230N09Rik",11.0149512690258,0.862748927642203,0.332073259297859,2.59806805723054,0.00937499108653612,0.0303592001073343
"Crtam",2.98851373969755,3.58299616360763,1.37902868990755,2.59820277114601,0.00937131367829534,0.0303592001073343
"Tsr2",25.1904265938203,-0.803229530770689,0.309162614005198,-2.59808105632456,0.00937463618233767,0.0303592001073343
"Zfp386",31.938265724294,-0.706625483305139,0.272050284802079,-2.59740762197408,0.00939303822083052,0.0304111829931582
"Kdm3b",36.7395137254353,0.810034712141508,0.3119146552871,2.59697548162948,0.00940486370787164,0.030443004690066
"Ssbp4",91.3408402572367,-0.77192965558005,0.297296517453058,-2.59649747058317,0.00941795991139091,0.0304789252407272
"Mars1",158.339366088221,-0.392167767070141,0.151045989347258,-2.59634677335615,0.009422091977043,0.0304858264605258
"Atpsckmt",28.720411258951,-0.685449324298407,0.264037258556181,-2.59603257527597,0.00943071238037723,0.0305072439955933
"Clta",1322.0362734254,0.370173495668605,0.142604820439036,2.59579931820646,0.00943711661868691,0.030521484931799
"Prkab2",15.6464494661412,-1.36956548667744,0.52782830989278,-2.59471775387654,0.00946686245654297,0.0306111951245926
"1500004A13Rik",1.59323727743853,-3.57623155535665,1.37831255030505,-2.59464484638492,0.00946887060779428,0.0306111962015334
"Rexo5",6.1262478237794,-1.81525950779971,0.699659363166593,-2.59449040971025,0.00947312563946193,0.0306184595080001
"Rab7",1776.86052936524,0.308628061074218,0.118959221163559,2.59440216618332,0.00947555768629899,0.0306198288438564
"Bach2",130.514043750707,0.970094322612758,0.37407997307748,2.59328056145853,0.00950651837106009,0.0307068599756742
"Slc25a40",5.4661813938387,-1.76868657181995,0.682026480966539,-2.59328137715921,0.00950649582178255,0.0307068599756742
"L3mbtl3",33.7764995990692,0.90844861846472,0.350331875960346,2.59310865154488,0.0095112717232939,0.0307157061413554
"Hdac10",24.7186918306261,-1.21712370641108,0.469504952454938,-2.59235541616123,0.00953212386903886,0.0307765270028307
"Cyren",12.4380255357086,-1.26038021866899,0.486408075527372,-2.59119920511695,0.00956421108674939,0.030873589292522
"Spata2l",12.4244938851122,-1.12340065925898,0.433632017018601,-2.59067738351706,0.00957872421819444,0.0309138927668485
"Rae1",82.5440385236448,0.413741376576528,0.159736743910048,2.59014530062987,0.00959354295728074,0.0309551652754925
"Plcg1",38.5979169077002,-1.12604832875279,0.434825658688213,-2.58965474151149,0.00960722334759477,0.0309927480231548
"Cp",3.65318557449746,2.94788919722142,1.13842464869001,2.58944603897461,0.00961304877875458,0.0310049802582806
"Slpi",2089.77695305315,-0.958094371092118,0.370062136961223,-2.58900945381643,0.00962524519283544,0.0310377513134452
"Dagla",20.4592101001788,-1.57619119470778,0.608844167197495,-2.58882531791834,0.00963039333601281,0.0310412213109622
"Kif3a",28.0924156369275,-0.801766825628366,0.309697790998581,-2.58886840310734,0.00962918852356549,0.0310412213109622
"Actr3",868.83889505664,0.546203101669044,0.211000381312287,2.58863561417288,0.0096356997143873,0.0310517602717288
"Gla",187.21023698408,-0.529062525910529,0.204390640864838,-2.58848704457262,0.00963985731158905,0.0310585935275754
"Sel1l",350.964259447078,0.340091401650383,0.131441170107299,2.58740394179965,0.00967021540426762,0.031149821266314
"Stx4a",246.184090825258,0.853968578957799,0.33006904940408,2.58724221643801,0.00967475568067893,0.0311578633518443
"Gm7694",4.5522943876898,-1.96163684877771,0.758249566368874,-2.5870596381237,0.00967988366619687,0.0311677943769456
"Ccdc163",32.8015887521875,-0.654675252341327,0.253079472667026,-2.58683663847632,0.00968615023217821,0.0311813864948879
"Cacna1a",13.1063636837881,1.61132948374802,0.623049597251903,2.58619777760092,0.00970412303783536,0.0312326493212662
"Sypl",114.338794892085,-0.393086002428465,0.152017586831342,-2.58579293765912,0.009715527611515,0.0312627551636044
"Cpeb3",13.6091984990863,1.38452813110711,0.535513871353618,2.58541973452049,0.00972605153925265,0.0312834138749886
"Dok4",9.53706663664117,-1.11094392151802,0.429685856892598,-2.58547937684554,0.00972436900789556,0.0312834138749886
"Lsm10",70.7793416557047,-0.449842389082196,0.174044333220207,-2.58464254916613,0.00974799994841627,0.0313473965858584
"Lsm11",22.4951018153374,0.766878374136568,0.296843306164906,2.58344506414621,0.00978190440976576,0.031445186701969
"Rasgef1a",11.2867397164274,-1.28583949864445,0.49772707581239,-2.58342284583515,0.00978253446985695,0.031445186701969
"Sfi1",30.0791491429149,-0.907495076507103,0.351290787225474,-2.5833159009793,0.00978556768550298,0.0314483062675334
"Phospho1",37.5730100841486,-2.28712568121405,0.885414155270986,-2.58311397846815,0.00979129698321712,0.0314600872088784
"Rnf215",75.3568001821381,-0.520319223192568,0.201441699101966,-2.58297673973249,0.00979519266612588,0.0314659729009177
"Usf3",40.176449697369,-0.817175096660066,0.316388976344247,-2.58281785320781,0.00979970457220147,0.0314738352449512
"Slc25a32",18.0860763864376,-0.863733785851808,0.334492209601901,-2.58222392348028,0.00981658682044136,0.0315214158939446
"Adpgk",134.637917535088,-0.770497690941884,0.2985702492722,-2.58062446884799,0.00986217971148079,0.0316611480061563
"Mettl26",37.1771117637987,-0.967184762508688,0.374901429595475,-2.57983748835606,0.00988468198393568,0.0317267076899123
"Utp3",150.393863024923,0.505452400801444,0.195936788949386,2.57967073723971,0.00988945579710533,0.0317353489965624
"Oaz2",78.0679821348465,-0.709147712404585,0.274909815948069,-2.57956490188967,0.00989248675645825,0.0317383950103036
"Scp2-ps2",8.88335828559495,1.57917325946303,0.61225691670534,2.57926569120825,0.00990106016152575,0.0317592180144375
"Fcnb",5.16989142185338,2.19379836726447,0.850623722914049,2.57904677258354,0.00990733711852309,0.0317726675870852
"Gorasp2",297.205631088185,0.306001678017712,0.118699173843481,2.57795962776634,0.00993856088820723,0.0318593985074869
"Mcl1",1178.30163513874,0.366890164755713,0.142315674618131,2.57800249860158,0.00993732794121764,0.0318593985074869
"Dicer1",103.3061672182,0.434998179918352,0.168745386381401,2.57783747008741,0.00994207483851038,0.031863963209571
"Gm4221",3.6070973325948,-3.15279882359859,1.22313350199645,-2.57764080409249,0.00994773439742876,0.0318754011398064
"Tfpi",11.721279827136,-1.34617831078041,0.522366423972277,-2.57707664390744,0.00996398545443675,0.0319207653369075
"Gm17092",6.13295154831417,1.35460993133371,0.525743905519668,2.57655850521891,0.00997893165686,0.0319619311009428
"Ccdc180",5.75999426520776,-2.09845726853473,0.814495423636695,-2.57638926829716,0.00998381778132602,0.0319708645020156
"Bcorl1",19.9223822799864,0.727897815589239,0.282550545924738,2.57616849830163,0.00999019494626649,0.0319845678603064
"Deptor",5.77963504929241,-1.71606848293502,0.666164864241079,-2.57604172037808,0.00999385869477629,0.0319895800253116
"Rnf20",86.5461199857037,0.46544219389206,0.180707317659937,2.57566876604273,0.0100046436221936,0.0320173796523854
"Gm20300",4.3287053481245,-1.94039322503245,0.753440308309673,-2.57537750984638,0.0100130732467119,0.0320376316305079
"Ercc3",159.260967637661,0.441332431038928,0.1713730415734,2.57527337431251,0.0100160887035625,0.0320405556807624
"B230217C12Rik",4.27772788535697,-1.77704509615764,0.69006830578036,-2.57517274923688,0.0100190032762791,0.0320431558527693
"Dnaaf3",4.61472616750302,-1.85337442042714,0.72016276244071,-2.57354936562653,0.0100661285633132,0.0321871216602923
"Acsl4",104.800719200984,0.537670861079441,0.208974329470134,2.57290387026357,0.0100849214636703,0.0322404513808173
"Dyrk1b",8.39915172398332,-1.22263767264735,0.475239299952959,-2.57267795985806,0.0100915059781278,0.0322547379753746
"Prss46",11.8470858074818,-1.04806977999083,0.407424665513447,-2.57242594448724,0.0100988558800547,0.032271464419894
"Ltbp1",0.8921625797513,4.2508451794774,1.65267163975203,2.57210511588085,0.0101082195821625,0.0322899659463279
"Rrm2b",17.9817799170408,-1.0001615082293,0.38886378322837,-2.57200992061,0.0101109994377391,0.0322899659463279
