"","baseMean","lgFC_MoDC_Naive_vs_cDC_Naive","lfcSE","stat","pvalue","padj"
"Pogz",57.0298319591662,-0.982694904682598,0.266072502739064,-3.69333506681944,0.000221332082376706,0.000964521754385866
"Kcnb1",4.7896170605298,-3.85627168446071,1.04434234337573,-3.69253598584897,0.000222028911445441,0.00096726974756497
"Dse",67.4028569905538,1.41408191868998,0.383023192813922,3.69189632695941,0.000222588202002452,0.00096941709330206
"Usp10",91.3415407071085,-0.897843193493208,0.243269711298363,-3.69073152880931,0.000223610050452622,0.000973577092057138
"Tmem248",119.167957862918,0.743416510035909,0.201482497207225,3.68973245984392,0.000224490015489461,0.000977117048045485
"Selplg",1050.33825002678,-0.679635116803691,0.184203774482366,-3.68958301051944,0.000224621927380211,0.000977399882459244
"Jup",76.2238858625455,1.30017788847881,0.352493921097731,3.68851151937546,0.000225569815253202,0.000981232056044836
"Naa50",135.721817092413,1.03035209745203,0.279374803001327,3.68806379953718,0.000225966998907081,0.00098266708905304
"Park7",204.589248025317,-0.747235125207347,0.202647561060242,-3.68736303214236,0.000226589985549826,0.000985082929140849
"Aph1a",38.4122821089207,1.10021388114294,0.298404825013228,3.68698422049365,0.000226927422419097,0.000986256294519665
"Gm45220",9.28385476468026,-2.66882450031217,0.723923859383145,-3.68660939368164,0.000227261773886169,0.000987415556102269
"Zfp280d",48.3257234972648,-1.1367838032732,0.308385779542801,-3.68623937510526,0.000227592289809625,0.000988557468200462
"Sar1b",320.391084119075,0.767291398542023,0.208158335376289,3.68609499665235,0.000227721376948748,0.000988824046263027
"Fam78b",5.91223954667886,2.32250880481539,0.630097209180053,3.68595316877799,0.000227848250551592,0.000989080856957462
"Cobll1",11.5988049470958,-3.19685581172427,0.867570114517766,-3.68483856028308,0.000228847647189802,0.000993123979766027
"Usp42",43.1935432194198,-1.29837447282692,0.3523869320751,-3.684513682676,0.000229139717172216,0.000994096045711787
"Phf21a",98.0365553599777,-1.0557313146245,0.286558734053733,-3.68417077954617,0.000229448371860054,0.000995139463698358
"Upp2",11.9225412283002,2.49309387994664,0.676728388316372,3.68403915513164,0.000229566953510033,0.000995358141955764
"Nek3",5.50200821544296,-2.89012216259057,0.784648196895205,-3.68333499525847,0.000230202315166805,0.000997816683995506
"Gm11131",12.4105836890282,-3.2046530336779,0.870110322287028,-3.68304219774646,0.000230466991087638,0.00099866749876937
"Rnf38",85.8467008242822,-0.973662805193743,0.264417910610736,-3.68228764437642,0.000231150390701926,0.00100133169843377
"Tmod3",311.577085606683,-0.675838478030352,0.183555567577341,-3.68192851325846,0.000231476323622366,0.00100244624966116
"Morrbid",149.812561922,-1.15723468803168,0.314360842960952,-3.68123038840248,0.000232111148081533,0.00100489744898744
"Rtl5",28.1271559879123,2.10468394899968,0.571812536373389,3.68072369022938,0.0002325729257719,0.00100659823208271
"Bclaf1",231.21690261439,-0.881773193875367,0.239621706594742,-3.67985524519553,0.000233366385933314,0.00100973313593606
"Gtf3c2",104.692858982212,-0.770463334678772,0.209384776207795,-3.67965307045131,0.000233551468310956,0.00101023462433202
"Nt5c",176.578751355935,-0.555208117492708,0.150897456196823,-3.67937360566585,0.000233807533244283,0.001011042762205
