"","baseMean","lgFC_cDC_Treatment_6H_vs_cDC_Naive","lfcSE","stat","pvalue","padj"
"Atf3",1359.72794112581,2.38644191728262,0.206323929206888,11.5664815344305,6.09304293755582e-31,1.33196019664259e-28
"Oas2",245.842488819385,4.54328171966469,0.393784304744203,11.5374880738732,8.53822534949817e-31,1.83485015603877e-28
"Phf11b",577.124467043743,3.86307804424854,0.335413698540407,11.5173532299342,1.07873843695039e-30,2.27955410701566e-28
"Bst2",1675.62941800237,2.89175344405752,0.252712434084644,11.4428617433559,2.5532226711986e-30,5.30693610625033e-28
"Lgals9",781.360053151223,2.46695497101081,0.218040567641055,11.314201745576,1.11613543699717e-29,2.28249696865921e-27
"Trim25",273.603898849444,1.4450751054569,0.127753991676102,11.3113890728412,1.1525032235222e-29,2.31945847159332e-27
"Dtx3l",142.933616467637,2.82818569185117,0.25081387183892,11.2760337820052,1.72342227494307e-29,3.3617340036928e-27
"Ifi35",765.133490593021,2.3642729049129,0.20965800971881,11.2768069680897,1.70834609938433e-29,3.3617340036928e-27
"Ifit1bl1",144.80864869469,3.89359367961486,0.345959804356494,11.2544683821208,2.20149557841021e-29,4.22920643010046e-27
"Gbp3",1322.05043644724,3.41912376187551,0.305810488606435,11.1805313724075,5.07849902272336e-29,9.61049091180739e-27
"Slco3a1",502.087553135155,2.44814075441918,0.220017355586182,11.1270347191326,9.26670550038998e-29,1.72783175058007e-26
"Tapbp",2059.97191754461,1.89512892639509,0.171336315359065,11.0608712602668,1.94201845273024e-28,3.56852926987923e-26
"Tor1aip2",682.479187308196,2.19434879078652,0.19845271419457,11.0572878768245,2.02116832311628e-28,3.66091330982733e-26
"Parp9",494.903688188224,3.25771817072413,0.295230209449582,11.0345014380396,2.60492193082737e-28,4.65180354379722e-26
"Tpst1",267.125931735467,2.96514315256045,0.268772909341859,11.0321503749063,2.67393848569072e-28,4.70873139723232e-26
"Adar",356.029673136971,1.94202832612947,0.176650777013786,10.993601947066,4.10221211336769e-28,7.12492429936835e-26
"Dll4",70.2462631346423,5.33451217285049,0.485840960376328,10.9799555984708,4.77158280942263e-28,8.17552681630669e-26
"Il27",449.977178969288,6.60648787382941,0.602833790362857,10.9590536885015,6.01247634595476e-28,1.01642916787147e-25
"Gbp7",263.788470132112,3.14518625978957,0.288510874288824,10.9014478831774,1.13437640880671e-27,1.89246822200793e-25
"Rasa4",547.090219333602,2.75302766315395,0.253907627580867,10.8426347384036,2.16154603946616e-27,3.55925223823265e-25
"Stat1",1870.61160278324,2.63196626295995,0.244852439472769,10.7491935494997,5.97820011381633e-27,9.71764092859965e-25
"Cd40",1347.37647603993,3.69150896123926,0.343662412018545,10.7416721530781,6.48588664160518e-27,1.04094375606218e-24
"Nmi",293.668383613874,2.43395566378049,0.228890955552944,10.6336908677788,2.07725398461319e-26,3.29218790886382e-24
"Sp140",198.636361298989,2.23988218512173,0.211442463221973,10.5933413326267,3.19962717623791e-26,5.00840407006425e-24
"Cgas",71.0041561719268,2.4124883200904,0.228752672102257,10.546273833304,5.28517303836211e-26,8.17203767724307e-24
"Slc7a2",1557.73538388002,4.38447479229898,0.416711252132946,10.5216136349977,6.86870175343004e-26,1.04925625941855e-23
"Gm20559",157.126017837139,2.60864078296609,0.25062940663947,10.4083587713975,2.27103072369436e-25,3.42790458877629e-23
"Atp10a",99.541066319171,3.0542686710142,0.293938867814043,10.3908295412856,2.72968555062393e-25,4.07172742310127e-23
"Gbp5",391.18978446457,3.02344182128795,0.292611979056625,10.3325975615744,5.01829042290876e-25,7.39847724093723e-23
"Edn1",245.100843802409,3.88662569118389,0.376544704280104,10.3218174283304,5.61500869638329e-25,8.1830684208556e-23
"Il23a",38.2229138416446,5.76088777976015,0.559143332443686,10.3030608530781,6.82542976258766e-25,9.83404817725556e-23
"Irgm1",1358.65075542877,3.46667182654547,0.337821096443052,10.2618571280668,1.04673999900715e-24,1.49119285925974e-22
"Irf7",1749.08474909638,3.76745353922348,0.372686409530863,10.1089104482397,5.04421123118266e-24,7.07609716918487e-22
"Rilpl2",866.816505814058,1.22396332459364,0.121085661139647,10.1082433136493,5.07867215392241e-24,7.07609716918487e-22
"Zcchc2",327.662085582436,2.37020988053222,0.236459162907847,10.0237599227903,1.19854659093419e-23,1.65177958983202e-21
"Rnf114",1042.13672797849,1.73171847617777,0.172942544322365,10.013258929219,1.33288024096575e-23,1.81716006184997e-21
"Phf11a",157.008758398535,4.34719482352452,0.436607297228807,9.95676171955126,2.35612291421567e-23,3.17800876907878e-21
"Mlkl",183.022120858778,3.12559693762252,0.314874411998781,9.92648757255833,3.19305493127278e-23,4.26155194459028e-21
"Tor1aip1",1096.26985994097,1.95538348576765,0.197110428965289,9.92024367270791,3.39925284258092e-23,4.48949237407119e-21
"Znfx1",769.757635725282,2.90940375161153,0.29462349891724,9.87498879859809,5.34389307566825e-23,6.98507425839152e-21
"Usp25",437.338739318754,2.23049664380283,0.226230462123659,9.85940011289741,6.24212062759503e-23,8.07590279972218e-21
"Tnfaip3",764.177408076282,2.72095372438584,0.276277238110826,9.84863517165451,6.94810464053803e-23,8.89848674114966e-21
"Mapkapk2",2125.16570468928,1.12375890704547,0.114631466251784,9.80323242640175,1.09039257386837e-22,1.3825087444077e-20
"Ifi204",784.429344155058,4.40988697285681,0.450135352412785,9.79680211567305,1.16206442192681e-22,1.4587935451099e-20
"Slfn8",307.329774342069,3.14329616052907,0.321789032084845,9.76818923927863,1.54183025050594e-22,1.91655546531028e-20
"Nfam1",330.832004517994,-1.86177299338677,0.190755260071105,-9.76000867652501,1.6714092129935e-22,2.05745605937326e-20
"Ikbke",318.526215331964,1.43363061393722,0.14711267125522,9.74511985748716,1.935503304374e-22,2.35963907655365e-20
"Oas1b",75.6450111270796,2.52635044352303,0.259465655428232,9.73674315143348,2.10182713086758e-22,2.53800630402572e-20
"Junb",1257.71551555751,1.20933551567586,0.124461339433669,9.71655552783418,2.56305200873843e-22,3.0657487187542e-20
"Trim21",147.191257294017,2.37920946813352,0.244977997916857,9.71193122796687,2.68206428609186e-22,3.17812084891203e-20
"Agrn",97.2059275435738,2.84193309874136,0.293313073412804,9.68907749550485,3.35545646426132e-22,3.90310390003388e-20
"Gbp9",159.504228953454,2.83156836638274,0.292240012434685,9.68918781104825,3.35183447095763e-22,3.90310390003388e-20
"Sp110",361.611180395105,2.1021413654443,0.21720353137234,9.67820988987842,3.73192934233269e-22,4.3015574664942e-20
"Samhd1",3054.26399375472,1.89878206868795,0.196615457532585,9.65733870834273,4.57596754479139e-22,5.22690923427117e-20
"Oas3",572.603962630322,4.09056532249256,0.425462203131048,9.61440356485111,6.95110233329137e-22,7.86902022176798e-20
"Slamf7",918.601449335547,1.83711905618492,0.191587296814901,9.58893980303828,8.89947523074551e-22,9.98552623456835e-20
"Uba7",405.331157213763,1.77639859298486,0.185661902496661,9.56792195435356,1.09075934702777e-21,1.21313489131272e-19
"Mov10",220.243374922278,2.83921879676332,0.297357818681099,9.54815585262359,1.32025421162637e-21,1.45560896949658e-19
"Epsti1",791.228412020543,1.95455050167061,0.204981778732958,9.53524022355625,1.49538950524371e-21,1.63448651180905e-19
"Rilpl1",68.6048272495152,3.730248540409,0.394489664989954,9.4558840736778,3.20303671043545e-21,3.47105149159069e-19
"Ddx24",432.598259765978,1.20004434615939,0.128167119982005,9.36312172987794,7.74149056254099e-21,8.31816600359807e-19
"Nlrc5",357.820833230291,2.7126399512416,0.290435676104226,9.3398992425026,9.64258356055612e-21,1.02738081482598e-18
"Gramd2b",196.100794608187,1.43736762460112,0.154227521161326,9.31978685631338,1.16574246404622e-20,1.23170405847016e-18
"Nfkbiz",251.297768685815,3.4808312272442,0.374514482812974,9.29424998760986,1.48247672581715e-20,1.55341507492856e-18
"Or2v1",29.0863098972079,4.88448026260687,0.526503427975429,9.27720505332553,1.73982420159345e-20,1.80813369278715e-18
"Erp29",627.742138796301,-0.922773552221565,0.0995908047631641,-9.26565012117337,1.93892490088294e-20,1.99866900961747e-18
"Mitd1",179.247263003511,2.29663918088217,0.248003478503861,9.26051196836906,2.03454300827252e-20,2.08032022595865e-18
