"","baseMean","lgFC_MoDC_Treatment_6H_vs_MoDC_Naive","lfcSE","stat","pvalue","padj"
"Dvl1",106.872460446992,0.789995342255351,0.198605611084213,3.97770907852335,6.95824315374211e-05,0.000488743071191398
"Map3k20",17.9542584854816,-1.49386517452961,0.375550137334072,-3.97780489479821,6.955440585935e-05,0.000488743071191398
"Nudt16l1",72.834771489962,-0.866154097843532,0.217761726648783,-3.97753136500662,6.96344399470272e-05,0.000488743071191398
"Vdr",28.7919368975063,-2.28803695972939,0.575242891859542,-3.97751452839866,6.96393691390825e-05,0.000488743071191398
"Cmklr1",81.5007469721567,1.39197697521559,0.350314709036757,3.97350422151282,7.08229023608611e-05,0.000496791003254772
"Gm46224",7.14146644836068,2.9065256789261,0.731567561870347,3.97301060136563,7.09698892122243e-05,0.000497500821510432
"Sgsm2",13.0490607756168,-1.62808959076515,0.40980978928849,-3.97279331367811,7.10346830950357e-05,0.000497500821510432
"Zbtb18",91.2676185124404,-1.0887827101694,0.274054518379227,-3.97286903572515,7.10120968855824e-05,0.000497500821510432
"Mrpl30",318.152060791457,0.846724150368421,0.213205340930512,3.97140215471611,7.14508462477085e-05,0.00050015592373396
"Cask",24.3211564910142,1.45863220877444,0.367378129899892,3.97038389076647,7.17569191484769e-05,0.000502038040864616
"Mfsd12",369.707861137398,-0.864813038289123,0.217835309377565,-3.97003149195698,7.1863132833591e-05,0.000502520642861215
"Eci1",47.789345333008,-1.10153610255745,0.277570937079273,-3.9684850083669,7.23310067496561e-05,0.000505530433502516
"Nacc1",107.106030462643,0.770677897379961,0.194218719323873,3.96809277737437,7.24501297511314e-05,0.000506100906377468
"Idh2",83.0389635159987,-1.09212020866902,0.275298433844088,-3.96704112485991,7.27704396237422e-05,0.000508075454300064
"Nacc2",13.1976648059613,-1.80361531166157,0.455050139796552,-3.96355292291075,7.38424840988088e-05,0.000515293777351357
"Tmem107",7.94493459423753,-2.86574264191554,0.723179984369364,-3.96269629117924,7.41080317119771e-05,0.000516879584488291
"Pla2g4a",48.1706016844503,1.71408451813749,0.432761124829858,3.96080983200927,7.46960037196441e-05,0.000520711397830742
"Tyrobp",2167.92088801241,-0.60298193002196,0.152284115537475,-3.95958519963676,7.50800559790652e-05,0.000523118448886662
"Rnf180",29.2276100070239,1.2505440359877,0.316053336182278,3.95674999382532,7.59763722100479e-05,0.000529090360860065
"Spata13",43.3970596858691,2.0962104605077,0.529805777866216,3.95656398642943,7.60355285112816e-05,0.000529229238157946
"2900026A02Rik",6.32282490876259,-4.27052642254355,1.07944708054585,-3.95621656634065,7.61461358752311e-05,0.000529725901944391
"Apol9a",6.18437882386297,4.77797966270599,1.20788305256955,3.95566412869334,7.63223275859298e-05,0.000530678069603147
"Ank",106.852680760353,-1.34804124659059,0.340842847185116,-3.95502284329427,7.65273394250698e-05,0.000531829543192967
"Akr1a1",5100.79159121474,0.740944479748981,0.187360895736221,3.95463779588314,7.66506848880826e-05,0.000532412580159322
"Dnajc28",7.71930192291695,-2.76443091504365,0.699066649774031,-3.95445972989447,7.67077898031454e-05,0.000532535149785623
"Arhgef37",6.31413632540121,3.02103473839686,0.764001212632186,3.95422767457213,7.67822692125307e-05,0.000532778151821241
"Gm10134",19.1189290716328,1.36165302680168,0.344509033052488,3.95244506286784,7.73566924422718e-05,0.000536488140391008
"Cox17",293.381858479926,0.755582230703833,0.191177670196642,3.95225148379859,7.74193147499911e-05,0.000536646672761109
"Snrnp27",208.185132950821,0.735192857429516,0.186027985502205,3.95205514613716,7.74828784133785e-05,0.00053681156420275
"Fbxw4",38.4906988178616,-1.16230976184739,0.294123419429077,-3.95177563249994,7.75734551522403e-05,0.000537163340551378
"Sirpa",934.696904357229,-0.805826426370569,0.203975179779743,-3.95061020287233,7.7952194069093e-05,0.0005395091339264
"Slc38a10",163.453321229515,-0.685967393988735,0.173706338150281,-3.9490061289259,7.84763426034388e-05,0.000542858390454131
"Plin2",730.188318825955,-0.646851029161073,0.163892122752491,-3.94680975691519,7.91994375143836e-05,0.00054757971756871
"Gnb5",6.46084608564955,-2.52737605537763,0.640527211100876,-3.94577468618988,7.95423853884448e-05,0.00054966924383126
"Xxylt1",27.3753270027092,-1.26525061333689,0.320690414042112,-3.94539580210448,7.96682709017185e-05,0.000550257412533057
"Dut",64.7123192223883,-1.17319440269344,0.297429925300671,-3.94443969115569,7.99867798050955e-05,0.000552174721355278
