"","baseMean","lgFC_cDC_Treatment_6H_vs_cDC_Naive","lfcSE","stat","pvalue","padj"
"Il18bp",91.3480230387524,1.6386672071944,0.304739096411811,5.37727920863812,7.56198584473661e-08,1.76921661201714e-06
"Ppp6r1",422.72273971581,0.763593739614853,0.142101055020586,5.37359655425663,7.71814453526893e-08,1.80231880849255e-06
"Ccpg1",54.3017719959902,-1.307853089849,0.243688096563871,-5.3669141344629,8.00951633798076e-08,1.86681004135517e-06
"Add1",270.972012028667,-0.883778681616595,0.164722394803784,-5.36526124859551,8.08321368263669e-08,1.88041881939065e-06
"St6galnac4",80.4212926486919,1.59050839125152,0.296830176639332,5.35831096844338,8.40035645990896e-08,1.95050242716563e-06
"Bcl2a1a",325.203883063919,0.813002951220653,0.151767356823175,5.35690261884106,8.46607196705356e-08,1.96205211266639e-06
"Casp6",52.0090488975272,-1.20636763120477,0.225484366678154,-5.35011650243,8.78976284431963e-08,2.03323271218038e-06
"Gnl3",121.101700290676,1.32543313222568,0.247874933872039,5.34718501593193,8.93326878554099e-08,2.06254399422556e-06
"Morc3",230.874288259651,1.37678444098294,0.257556494552343,5.34556289631103,9.01364906599552e-08,2.07719796393289e-06
"Kcnab2",108.261434380429,-1.25039600402545,0.234139673697258,-5.34038501156455,9.27493920951852e-08,2.12942202449562e-06
"Nfkb1",1149.20044142085,1.10257574289214,0.206456610624353,5.34047197402784,9.27049090753436e-08,2.12942202449562e-06
"Mboat7",195.065060057232,-0.898587630681765,0.168275616100991,-5.33997528282692,9.29592546301067e-08,2.13025844145821e-06
"Zbtb4",28.5782880842717,-1.60189530854329,0.300109660576909,-5.3376999109723,9.4133088480393e-08,2.15314101639603e-06
"Npc2",2461.24182328738,0.734935970881598,0.137735234718895,5.33586030024586,9.50925971961501e-08,2.17104529992623e-06
"Nudt9",337.361952979707,1.05597360513656,0.198009268771898,5.3329503799795,9.66297231466145e-08,2.20204617701274e-06
"Nolc1",159.393594998518,1.02108025346576,0.19161730418532,5.32874761915155,9.88923025811351e-08,2.24943361593349e-06
"Ubc",3830.83472705751,0.664481891786507,0.12476263199843,5.32596885095265,1.00416339783308e-07,2.27987782173452e-06
"Acp5",954.990927029541,1.02816736768891,0.19320295014523,5.32169600368956,1.02804264238697e-07,2.32650759292852e-06
"Cd86",69.7424402285859,1.1399991476804,0.214220443609713,5.3216169683476,1.02848947566571e-07,2.32650759292852e-06
"Bcl3",324.781231416724,1.57845944629209,0.296909066682534,5.31630597855685,1.05895022701875e-07,2.39100838942488e-06
"N4bp1",249.958437499636,0.972119879018775,0.182966975855163,5.31308928551297,1.07782194525403e-07,2.42915356945968e-06
