"","baseMean","lgFC_LMoDC_vs_LcDC","lfcSE","stat","pvalue","padj"
"Ccnd2",709.001608886095,1.36393802650674,0.105489527410732,12.9296059996187,3.06384898290298e-38,1.9402674753395e-35
"Rtp4",409.178174826672,1.90806442775476,0.149811427247071,12.7364411568415,3.70932827503428e-37,2.22540173721662e-34
"Trafd1",347.491351008364,1.7839923896905,0.145660924256769,12.2475701619585,1.73104953530144e-34,9.86611682645057e-32
"Tor3a",396.566973104302,1.57143154758664,0.128570955780161,12.2222903147237,2.36331320904648e-34,1.28282891761528e-31
"H2-T22",624.284737336572,1.63434336173391,0.138344158813224,11.8136058345652,3.32010708260797e-32,1.72026821066583e-29
"Phf11b",214.06048579732,2.66876032607294,0.228732505741816,11.6676041186963,1.86604639708823e-31,9.24828820887336e-29
"Eif2ak2",182.366720232936,1.65626653473453,0.143428945541779,11.5476449225661,7.58710330544741e-31,3.60355794078313e-28
"Parp10",253.932426721048,1.71227231739018,0.150766231347195,11.3571341678432,6.83501745976001e-30,3.11649456095217e-27
"Ifi27l2a",4038.96878162774,1.71460045756753,0.15591154258555,10.9972644047615,3.93900544159438e-28,1.72695088572055e-25
"Rilpl1",33.8285675851801,2.90702415503974,0.269527329285426,10.785637815456,4.02441803359516e-27,1.69904967277597e-24
"Daxx",436.921025462585,1.89129503026142,0.177860655460606,10.6335773100776,2.07978568196065e-26,8.46695606738195e-24
"Ifit3b",60.2846654967037,3.91019989782467,0.371956757467954,10.5125120576995,7.56511388800012e-26,2.97361148997632e-23
"Oasl2",285.61485086585,2.73300646018721,0.262205790095906,10.4231354280452,1.94435482538188e-25,7.38790021817603e-23
"Mov10",121.405532068821,2.106170945618,0.205016586171809,10.2731734292609,9.30910733659668e-25,3.42304885580211e-22
"Bst2",1205.93822999396,2.13905922042194,0.20883051807708,10.2430393800603,1.27177127022185e-24,4.5302877216434e-22
"Sdc3",132.507144544935,2.2440545599347,0.219537200382451,10.2217508286768,1.58452715487686e-24,5.4733409207398e-22
"Oas2",189.083434265885,2.41134966909548,0.237389467098825,10.1577786856551,3.05967817064478e-24,1.02580210197588e-21
"Parp12",93.5841976061135,2.37605515072226,0.234496121831804,10.1325989195954,3.95982218361775e-24,1.28965751631596e-21
"Sp100",743.807141530453,1.50293743627641,0.149327437479607,10.0647105558324,7.91197159031871e-24,2.50523789327897e-21
"Xaf1",185.414310875095,1.98522711530037,0.198382934200609,10.0070458343602,1.41927345474519e-23,4.3725130028758e-21
"Gm15753",87.8455096466522,2.02574435039908,0.203787310802283,9.94048325395726,2.77477729478082e-23,8.3236016797912e-21
"Slfn9",67.63514671448,2.67388229155014,0.269533817961017,9.9203963041731,3.39405853901621e-23,9.92022391955019e-21
"Rasa4",126.102176458774,1.69761306836745,0.172632017782628,9.83370923987592,8.05944294005422e-23,2.29673975184195e-20
"Ifit3",277.90831789891,4.27576021403651,0.435156463805141,9.8257996138859,8.71793962892156e-23,2.42379984951407e-20
"Hsh2d",140.92853933959,1.79918018488645,0.185013846534777,9.72457045018121,2.36903155179602e-22,6.42966444260069e-20
"Trim30b",63.7932704483202,2.5269916520809,0.260682912802414,9.693737210909,3.20578676048285e-22,8.49831704249862e-20
"Ifi208",60.650826391054,3.38188389145301,0.352810114868524,9.58556387396455,9.19539711827274e-22,2.38223481252707e-19
"Bcl3",386.047324717118,0.981997560566605,0.105442015798037,9.31315238175565,1.24093441911484e-20,3.14342476522002e-18
"Tapbp",1121.95252375456,1.03145554044745,0.111102659572413,9.28380602604009,1.63530293720038e-20,4.05235177851025e-18
"Sqstm1",2006.35914989876,-1.32279456554169,0.143104612311468,-9.24354948576093,2.3845286863457e-20,5.78324308418185e-18
"Sp110",380.473455372325,1.89583410837762,0.207778338067822,9.12431067649982,7.21942202291591e-20,1.71446232581705e-17
"Parp14",512.132203784709,1.35733749408032,0.149292682889557,9.09178847756688,9.74230845121721e-20,2.26637906194745e-17
"Samhd1",2010.46243699538,1.17806436779871,0.129670500277431,9.08506071371853,1.03640822764349e-19,2.36280347738162e-17
"Cmpk2",182.524784662411,2.86860226041038,0.316982415708029,9.04972048371491,1.43334773316183e-19,3.20367270790426e-17
"Ddx24",489.786578454284,0.898986173030891,0.0998206157977544,9.00601710224187,2.13675863645867e-19,4.68402148019084e-17
