"","baseMean","lgFC_cDC_Treatment_6H_vs_MoDC_Naive","lfcSE","stat","pvalue","padj"
"Cox4i1",1207.84159283564,-0.84952873337973,0.111284982519745,-7.63381288422275,2.27910635109557e-14,2.96687207297485e-13
"Ptpn2",91.2220214154185,1.78817573801768,0.234257264092474,7.63338436886972,2.2866980673018e-14,2.97412277365247e-13
"Wdr41",53.5221574976181,-1.66056267214626,0.217573129432005,-7.63220475102467,2.3077252790796e-14,2.9988196868605e-13
"Scamp5",27.2519537315981,-9.15649541293378,1.2001847874818,-7.62923802104318,2.36145287878989e-14,3.0659286714033e-13
"Fbrsl1",152.996838664702,1.81700044420554,0.238273135521554,7.62570417444805,2.42705834325341e-14,3.14832700434371e-13
"Cib1",158.644172207459,-1.4285957682409,0.187370533208825,-7.62444202818554,2.45092178124984e-14,3.17648100459781e-13
"Tagap",48.3710655805818,3.85561894976617,0.505703431725654,7.62426890521451,2.45421296978865e-14,3.17794654802738e-13
"Tor1aip1",1017.24665660973,1.71593872745452,0.225267520749128,7.6173374738984,2.58961656465339e-14,3.35033066543987e-13
"Slc22a23",33.1709449357022,5.12236102523559,0.67288816772137,7.61249977478674,2.68844663445586e-14,3.47513620323776e-13
"Map2k1",404.729013407558,1.64825899406418,0.216545804852841,7.6115951319597,2.70733514057725e-14,3.49647936065771e-13
"Dapp1",100.25038679021,1.79473377132439,0.235858615503,7.60936278497559,2.75450571479734e-14,3.55427886532183e-13
"Hmgcl",147.830727688395,-1.85249793700779,0.243485415884904,-7.60825008871771,2.77831846877709e-14,3.58186368761709e-13
"Agrn",88.5412981918085,2.77170636350711,0.364319651106837,7.60789695281715,2.78591815216877e-14,3.58851628882685e-13
"Nherf2",19.0640116161111,-5.41777942722693,0.712300272355262,-7.60603306989161,2.82636997655958e-14,3.63743677648218e-13
"Kmt2a",114.367594554023,1.79256032533414,0.235795977301594,7.60216669447831,2.9121327739153e-14,3.74453436226347e-13
"H6pd",40.750016138775,-2.34778326468546,0.308918900687672,-7.59999876815293,2.9613356866579e-14,3.80447580355788e-13
"Mid1ip1",104.832025573267,-1.53530335655659,0.202021346515624,-7.5997085606884,2.9679839327298e-14,3.80968967281461e-13
"Dnmt3aos",15.1638878188625,-5.44699425097554,0.716836697838801,-7.59865429239009,2.99225949971915e-14,3.83750106720738e-13
"Gbp4",35.1191354478688,6.13452523741785,0.807473403546162,7.59718550540117,3.02640560513464e-14,3.87791171180579e-13
"Cblb",80.4864568086971,2.4193570558183,0.318480316429993,7.59656698077322,3.04089936579873e-14,3.88970692790429e-13
"Ngp",1231.16712873083,4.92679771309703,0.648549058750046,7.59664615440578,3.03904030328669e-14,3.88970692790429e-13
"Snrpd3",179.999507493918,1.36837482144037,0.18013513145486,7.59637950903137,3.04530581853246e-14,3.89195904349371e-13
"Serpina3f",75.7935064684081,4.93422163126631,0.650003769651517,7.59106617783412,3.17283845125902e-14,4.05142826545315e-13
"Map4k4",233.731759295361,1.8909936638359,0.249171956072785,7.5891111248632,3.22107434297512e-14,4.1094539102484e-13
"Osbpl8",252.57624040614,-1.87685508673154,0.247397961056949,-7.58638057772636,3.28965263063238e-14,4.19330937578876e-13
"Actn4",641.070958960571,-1.38797483325823,0.183054899551144,-7.5822872627916,3.39515506647946e-14,4.32404597644267e-13
"Cpped1",35.0525390958832,-2.41761374271114,0.318894190398092,-7.58124109973,3.42264878934088e-14,4.35529097674779e-13
"Mical1",119.951952844549,-1.819449343088,0.240067360446328,-7.57891176753606,3.48465378503092e-14,4.43035930663828e-13
"Lif",32.8601560036903,5.64686987612179,0.745484213401533,7.57476788187903,3.59770301148859e-14,4.57013914499111e-13
"Mospd2",52.2220631213537,-2.57065933848621,0.339508668051939,-7.57170458485303,3.68358380865193e-14,4.67519567086021e-13
"Mapkapk2",1929.12230132229,1.03673152627812,0.136978014585892,7.5685979929869,3.77273677212912e-14,4.78422051017409e-13
