"","baseMean","lgFC_MoDC_Naive_vs_cDC_Naive","lfcSE","stat","pvalue","padj"
"Adgrg6",42.6512955395622,-1.43428526277798,0.410750258215556,-3.49186697778116,0.000479657060238974,0.00194975722624228
"Spi1",713.758419016955,1.0442020054456,0.299073356254502,3.49145780995957,0.000480392329123524,0.00195219517442976
"Acsbg1",5.84487126934396,-2.79802566998206,0.80143831799613,-3.49125516855506,0.000480756862025947,0.00195262288369901
"Plppr3",4.23135547064131,-4.83922339192545,1.3861010577589,-3.49124861050873,0.00048076866364573,0.00195262288369901
"Imp3",134.852369711038,-0.665451265148025,0.190684415729692,-3.48980414892083,0.000483374658081318,0.00196210068309932
"Mysm1",91.3376158120175,-0.713037795669451,0.204319284396474,-3.48982132438281,0.000483343594093697,0.00196210068309932
"Kcnq5",3.69481695844969,-4.73050131247501,1.35562757751985,-3.48952868097415,0.0004838731310655,0.00196357079609284
"Cbarp",16.7728759117987,-1.7657780275067,0.506079457117881,-3.48913199828895,0.000484591790492494,0.00196593335224862
"S100pbp",41.9349194583498,-1.088383004548,0.312050485266985,-3.48784269191826,0.000486934474064993,0.0019748812030913
"Fbxl6",46.9397545454272,-1.25501180747411,0.359870402454941,-3.48739934963463,0.00048774246912647,0.00197760146643285
"Ankmy1",7.31270824211668,4.27320628142856,1.22545690993917,3.48703103860312,0.000488414669761427,0.00197976976155968
"Nt5c3b",25.8454897765132,-1.76673885562344,0.506992171412623,-3.48474583088889,0.000492604726128589,0.00199619231634555
"Tspan14",74.7372754427281,0.839315902504213,0.241035605377291,3.48212415004182,0.000497453001777287,0.0020152722001135
"Ints7",37.9611592789033,-1.21907465965005,0.350128446877366,-3.48179266929726,0.000498069167844034,0.00201720113352858
"Endou",4.47213323548683,-3.84670655112092,1.10520304807245,-3.48054283584345,0.00050039880026229,0.0020260666432205
"Gm33104",5.18091312978718,-4.58058709550363,1.31609075774157,-3.48044925363961,0.000500573641405243,0.0020262050795403
"Traf3ip2",43.846130819157,-1.32721510528517,0.381352891295283,-3.48028069428613,0.000500888707265597,0.00202691087552477
"Gatc",19.3033489390238,1.27563613748447,0.366578570141864,3.47984372624621,0.000501706335357863,0.00202964938701639
"Inpp4a",33.3153364400567,1.32301290475967,0.380325908460434,3.47862944734754,0.000503984958548267,0.00203829514678448
"C030034I22Rik",5.54826261968423,-3.81110520336943,1.0956588506291,-3.47836847316223,0.000504475940782914,0.0020397082242264
"Hras",104.315174906985,0.606583928842544,0.174482111880672,3.47648204337065,0.000508038247898621,0.002053535072735
"Ifit1bl1",146.572764216624,-1.96190238830973,0.564364808866462,-3.47630177765734,0.00050837988379212,0.00205433958090022
"Dip2c",19.5183668883353,1.53880225391816,0.442757849377399,3.4754940111892,0.000509913377888149,0.00205995853108712
"Aatf",30.8136484585077,-1.16227725182334,0.334529307966325,-3.47436599468389,0.000512062062907666,0.00206805889493912
"Sla2",3.95696780004004,-4.09004366427329,1.17725426299096,-3.47422285299865,0.000512335326811685,0.00206858260035009
"Gimap4",29.592857872674,-2.51756653185031,0.724735427875609,-3.47377323505484,0.000513194551985991,0.00207147120087144
"Eif4e3",49.2617393599826,1.15042688498387,0.331193100726962,3.47358348485734,0.000513557569734065,0.00207235584022099
"Fanci",6.51089726868122,-3.32191370835808,0.956548493677538,-3.47281264913886,0.000515034745191945,0.00207773467914734
"Tor2a",127.030019602852,1.0417997323801,0.300020628758037,3.47242700174559,0.000515775258223509,0.0020801395212676
"mt-Ti",6.0024101958511,5.60219913056304,1.61376445101659,3.47150981485182,0.000517540412300299,0.00208667427360708
"Sirpb1c",11.9906943983341,3.13125852449731,0.902207117855297,3.47066484239323,0.000519171568988823,0.00209266525541494
"Slc26a6",11.4325081869449,1.62850365206454,0.469294442561447,3.47011066906319,0.000520243959961028,0.00209640125516044
"Nudt16",60.5503324445737,-0.9346011936081,0.269413274586682,-3.46902429006852,0.000522352225024247,0.00210430820852889
"Il1rn",1561.59871740128,1.28004388420318,0.369021314811599,3.46875324764559,0.000522879459125902,0.00210584330113719
"Sp140",189.47419637617,-1.05080927955482,0.30304279427258,-3.46752768722704,0.000525269627205078,0.00211487821395091
"Hspe1-rs1",10.246679437085,3.86020458472671,1.1133216506176,3.46728601081757,0.000525742160639573,0.00211618931717622
"Reps2",2.56414452400787,3.78595657785707,1.09204367525843,3.46685454403748,0.000526586763372293,0.00211899690311208
