"","baseMean","lgFC_MoDC_Treatment_6H_vs_cDC_Naive","lfcSE","stat","pvalue","padj"
"Ube2d-ps",42.8912686908517,0.803916009204419,0.241954056886134,3.3225977673222,0.000891834124665809,0.00262706785996693
"Plk1",20.4682826045952,-2.00889633351621,0.604644030862562,-3.32244466326806,0.000892323685193178,0.00262801438280593
"Lysmd3",3.17436891254364,-3.11362953029174,0.93731867705124,-3.32184731460497,0.000894236130672695,0.00263315034820701
"Pik3cg",91.5978242138875,0.687095185357972,0.206887849927227,3.32109974365173,0.00089663487379251,0.00263971605041704
"Mplkip",48.8929994594186,-0.759351804559489,0.22865181419053,-3.32099619348194,0.000896967606788175,0.00264019803761788
"Fbxo10",6.00078501018951,-2.49599218103197,0.751665915093681,-3.3206137605972,0.000898197452881089,0.00264331997201498
"Gm42466",6.5716438868779,-2.65229998493426,0.798767090657211,-3.32049231366304,0.000898588334640179,0.00264397219352312
"Qprt",2.02703487141913,-4.52377547495397,1.36240395944187,-3.32043623596573,0.00089876887612939,0.0026440053887038
"Dnajc11",68.0365487073466,0.692296564720533,0.208564370743476,3.31934242772475,0.000902297109359426,0.0026538849831112
"Kctd21",10.0504939157732,1.42330820624635,0.428911151953472,3.31842200829683,0.000905275993790427,0.00266122080040778
"Prdm11",7.5039295136868,-1.80201393501275,0.543034713093913,-3.31841389060723,0.000905302306726005,0.00266122080040778
"Rps27a-ps2",5.94412771415645,3.2312917640667,0.973741753130533,3.31842786208792,0.000905257019566899,0.00266122080040778
"Gm49703",1.74780226987119,-4.78782538461961,1.44293879236558,-3.31810705343251,0.000906297418351116,0.00266364477367127
"Abhd4",109.11172159215,0.637617396990859,0.192203040063337,3.31741577438496,0.000908543039177936,0.00266974244074465
"Pip4p1",195.810885614861,0.645530365702818,0.194594253399371,3.3173146402118,0.000908872005721308,0.00267020680860872
"Srek1ip1",50.5382630820417,0.792985093827248,0.23907253014526,3.31692266503991,0.000910148055421755,0.00267345294730035
"Sbf1",168.92062489642,-0.594065725361953,0.179204955403659,-3.31500724421276,0.000916407497246543,0.00269133324205457
"Eif4enif1",63.1406701177197,-0.887739944632508,0.267824228106098,-3.31463643491145,0.000917623871740776,0.00269389259546376
"Ybx1",1323.21990135718,0.588762335782132,0.177623694765048,3.31466101164554,0.000917543205829441,0.00269389259546376
"Plec",250.292549106851,0.876558092056774,0.264477710871771,3.31429854397736,0.000918733565948434,0.00269664356138303
"Lman2",379.755904169823,0.489634662055278,0.147828164709016,3.31218792453434,0.000925693408783535,0.00271656147634935
"Cuedc2",121.954522357448,0.664169376249494,0.20055141171548,3.31171628545674,0.000927255318725011,0.00272063398456112
"Smdt1",489.620875988972,0.597205594419326,0.180351850338769,3.31133610937481,0.000928516111044307,0.00272382162828603
"Bcorl1",16.3747705020123,1.22933138408547,0.371397071900654,3.31001905263891,0.000932896209160289,0.00273606124722199
"Cdk5r1",31.7803773351032,-1.45135979737711,0.438487083873345,-3.30992599498398,0.000933206411291858,0.00273606124722199
"Vps4a",84.3010187507762,0.521638008315355,0.15759819496885,3.30992374892656,0.000933213899571011,0.00273606124722199
"Spata24",5.87851579171021,-2.21143691202116,0.66816692890587,-3.3097072248733,0.000933936044830386,0.00273766465683908
"A930002I21Rik",1.4649025894043,-4.6533727635335,1.40644099423275,-3.30861570632193,0.000937584338281744,0.00274784332988726
"Dnajb13",2.69825258744595,-3.87407139216777,1.17095847810758,-3.30846179826016,0.000938099821640437,0.00274883836312986
"Rsl24d1",20.0660592004626,1.06688479931067,0.322497937283437,3.30819107960062,0.000939007175183784,0.00275098107343321
"Kif1b",82.2364944551747,0.686477418415748,0.207535387054245,3.30776080243279,0.000940450985812433,0.00275469432765348
"Pls3",5.13847465184056,3.3318544721192,1.00747889426652,3.30712086484442,0.000942602123881141,0.00276047764850906
"B3galnt2",31.0851191328733,-1.14782697100998,0.347087159182758,-3.30702804941739,0.000942914499403965,0.00276087486320325
"Rexo5",4.93236177520426,-2.62183977720597,0.792821315251245,-3.30697437968745,0.000943095171644761,0.00276088637111372
"Klf1",6.51691212124198,-4.04013279470685,1.22199823046099,-3.30616910401151,0.000945809881952726,0.00276831481468681
"Tox",2.57752980924906,-4.50135726603443,1.36155494222784,-3.30604158997001,0.000946240415022623,0.00276905611147778
"Pstpip2",16.7043403055727,1.94743808681389,0.589333796502342,3.30447379459962,0.000951548712437922,0.00278406863401251
"Rfc3",80.8876204361113,0.979966727990075,0.29657715954037,3.30425555868433,0.000952289806566078,0.00278571518134245
"Esam",7.7915677616964,-2.25233159539432,0.681826915217281,-3.30337736033281,0.000955277434824222,0.00279393162504946
"Gm43682",1.39116866784556,4.61485676026677,1.39716580996785,3.30301294759922,0.000956519712709126,0.002797041263989
"Patl1",104.055836074467,0.852824352277781,0.258273488605716,3.30202049339921,0.000959910565921362,0.00280643139626756
"Phkg2",49.0576743145396,-0.864912677825403,0.261962401123706,-3.30166723970807,0.000961120188883974,0.00280905887916543
"Zbtb38",34.745286748574,-1.21188493619668,0.367053996889334,-3.30165301690491,0.000961168920628591,0.00280905887916543
"Gm47015",3.30906913795911,-3.86929571662896,1.1725553256296,-3.29988328231024,0.000967250470750359,0.00282630370437549
"Stradb",48.0400587182719,-1.24817443751979,0.378259697910844,-3.29978172248735,0.000967600551790735,0.00282679787161456
"Dcxr",74.2700070154635,1.05147305171133,0.318691294416788,3.29934664087874,0.000969101625187924,0.00283065379339203
"Recql4",4.69448497653601,-2.88340740586767,0.874425918793432,-3.29748620654601,0.000975544661278862,0.00284894057839542
"D030028A08Rik",7.15319973734397,-2.47846921364103,0.751696469826024,-3.29716755782379,0.000976652172901013,0.00285164179306294
"Gm12216",44.7021599433096,0.978346103057951,0.296773057917045,3.29661361420288,0.000978580259129919,0.00285673747483993
"Soat2",4.60871327238582,-2.53302474758659,0.768530927463989,-3.29593079089883,0.00098096178104354,0.00286315470509737
"Dpcd",46.9204165537699,0.846200580538852,0.256787061238689,3.29533963454759,0.000983027924074979,0.0028685397822597
"Dusp18",5.21575778449518,2.60999739316762,0.792036865586882,3.29529786625989,0.000983174060189388,0.0028685397822597
"Bcas3",41.0857518567877,-0.85707171208418,0.260185780918392,-3.29407590629636,0.000987458285725316,0.00288050156513822
"Acat1",28.2600346931071,-0.985868354301315,0.299295880974866,-3.29395897828645,0.000987869143423898,0.00288116204059461
"Arvcf",3.67937574463524,-4.16098057469479,1.26340069320636,-3.29347656453688,0.000989565906751648,0.00288557196740106
"Gm42467",5.95915393676998,-2.5593177938751,0.777102763192792,-3.29340972017642,0.000989801226918963,0.00288571947848099
"Sirt3",21.6628094356812,-1.20776298233151,0.366745854161102,-3.29318782646953,0.00099058275728937,0.00288745908781811
"Cyth2",140.437393670403,0.487855355041914,0.148146258701491,3.29306564551807,0.000991013333887924,0.00288817524042225
"Washc1",125.490083639355,-0.65793052590933,0.199816925168313,-3.29266665151179,0.000992420631631373,0.00289173711746198
"Rnf166",232.521419114901,-0.474773782313482,0.144229136230911,-3.29180216092654,0.000995476139057149,0.00290009935997981
"Ezr",418.640126179917,-0.786613245347281,0.238980722969221,-3.29153429437316,0.000996424668676669,0.00290232141514045
"Rapgef5",4.9463562995973,-2.86941518174447,0.8719102541606,-3.2909524438463,0.000998487915596755,0.0029077889130382
"Hp1bp3",217.033403519886,0.389064187200122,0.118318761933585,3.28827128379278,0.0010080465351411,0.00293507827128409
"Katnbl1",25.5612928714682,1.18990932630457,0.361927995771721,3.28769628270228,0.00101010747483398,0.00294053091024628
"Lyar",113.135634251009,-0.815478258606354,0.248169740050205,-3.28596974974217,0.00101631923833999,0.00295806275798566
"2900026A02Rik",6.32282490876259,-3.41876821318696,1.04052048405965,-3.28563278240179,0.00101753570408778,0.00296105164559523
"Brpf1",161.803418284861,0.465281199418014,0.141673798012934,3.28417255656219,0.00102282276834294,0.00297588274618833
"Xrn2",336.332716739067,0.455598351757308,0.138780885736057,3.28286095985721,0.00102759335234884,0.00298920591378794
"Dip2c",19.5183668883353,1.29711875800099,0.395160047344161,3.28251493722308,0.0010288553460865,0.00299231974701493
"9930111J21Rik2",3.90388585444429,2.5818165712039,0.786924405286252,3.28089528531618,0.00103478153916013,0.003008995238872
"Tcp11l1",45.0599966322476,-0.776056286587536,0.236625521841127,-3.27968124718427,0.00103924431551376,0.00302140991115587
"Rgs11",3.62500537034053,-3.29038361665974,1.00375083906984,-3.27808803598003,0.00104512794785375,0.00303795006948706
"Itga4",167.545432657545,-0.617511775630957,0.188440168979164,-3.27696466722674,0.0010492949919398,0.00304922009838522
"Kcnab1",2.65086285153453,4.19388414466526,1.2798181199907,3.27693762039853,0.00104939550918116,0.00304922009838522
"Lypd6",1.7435116224497,-4.71815093748859,1.44017782980998,-3.27608913276433,0.00105255336890893,0.00305751700607923
"Swsap1",9.23205195107577,-1.72456947657632,0.526414873725721,-3.27606525319205,0.00105264236980309,0.00305751700607923
"Crk",81.6779013362234,0.746708274872296,0.227965877782936,3.27552650481882,0.00105465217553472,0.00306278520803642
"Snai1",8.31219240013683,-2.25541801137699,0.688581565705602,-3.27545511484296,0.00105491876272849,0.00306298996144642
"Arhgap12",14.2156039127004,-1.35711919646609,0.414340939025586,-3.27536834679589,0.001055242859244,0.0030633615878555
"Relb",324.632208115931,-0.520555993876044,0.158958784545312,-3.27478594759673,0.0010574206256052,0.00306911326506482
"Prdx2",540.872104340161,1.04471402989894,0.319032042410142,3.27463668541443,0.00105797943095692,0.00307016472059781
"Tpp2",114.531065379284,0.993631336350554,0.303477668108561,3.27414976707646,0.00105980424788483,0.003074888959177
"Tubgcp5",19.3773125585494,-1.06868436390364,0.32642391537263,-3.27391564641849,0.0010606826948016,0.00307686617929356
"Mrps18c",40.7647638963975,1.07410412821088,0.32809443779256,3.27376512518018,0.00106124782304915,0.00307793394798566
"Dus2",23.4399914928235,-0.97674334804543,0.298388564346391,-3.27339403969769,0.00106264224437483,0.00308083416840744
"Ryr1",16.7643827187277,1.38449943865494,0.422952776193241,3.27341376291706,0.00106256808815359,0.00308083416840744
"Smpd2",24.8102470350443,-1.1346246130154,0.346677522159559,-3.27285312860056,0.00106467785269273,0.00308616306121972
"Nxpe2",7.61256001343604,-3.23087337649578,0.987741800605834,-3.27096957374297,0.00107179441145825,0.0031062153063802
"Gm15503",5.95056272245426,-2.6981396904999,0.825090243198412,-3.2701146483574,0.00107503903810745,0.00311504077430468
"Batf",161.54239190149,1.19414435305003,0.365235927478919,3.26951502633583,0.00107732015171923,0.00312107160422963
"Hddc3",3.00086632694968,-4.40629716960467,1.34774496515136,-3.26938499756134,0.00107781540435668,0.00312192739318668
"Depdc1b",3.4488675139595,-3.16905630935622,0.969375049586094,-3.26917461998774,0.00107861713492041,0.00312367042354314
"Ankrd22",2.43390624274639,-4.67165380698419,1.42930087858591,-3.26848872548524,0.00108123485152896,0.00313067092043261
