"","baseMean","lgFC_MoDC_Treatment_6H_vs_cDC_Treatment_6H","lfcSE","stat","pvalue","padj"
"Med4",85.2278297253684,-0.769968658894028,0.176159798752701,-4.37085342027971,1.23761857503115e-05,5.4551872187148e-05
"Dctd",5.82320887769541,-4.25323163445035,0.973191456021803,-4.37039557646411,1.24021653848355e-05,5.46503401592413e-05
"Ncor1",265.145634314387,-0.585463975872124,0.134024973091683,-4.36832004041236,1.25205925441231e-05,5.51560023077818e-05
"Mrps27",27.7097523333869,-1.13831232293851,0.26062748018003,-4.36758365676643,1.25628683053007e-05,5.53260023078555e-05
"Rbms1",527.205155076729,0.733517241649152,0.167978289641284,4.36673836372289,1.26115644656471e-05,5.55241693028623e-05
"Gsta3",37.0779019112417,3.93185326327157,0.900692494130266,4.36536696918772,1.26909519563983e-05,5.58573033484045e-05
"Chmp6",69.5163114241867,0.973905455269809,0.223119059333863,4.3649585928583,1.27146840934816e-05,5.59453553034701e-05
"Zfp959",16.6927810679933,-1.66801283589537,0.38217469066095,-4.36452982538074,1.27396467962276e-05,5.60387686351496e-05
"Xlr4b",7.8059493948595,-2.61267314315675,0.598781547609898,-4.36331606006484,1.281056562364e-05,5.63342184263933e-05
"Haus6",8.51843964200854,-2.30827132467422,0.529131332641882,-4.36237883163965,1.28655843003754e-05,5.65595950516941e-05
"Cd200",136.421222059445,1.18923887440191,0.272734219862045,4.3604314669551,1.29806233496361e-05,5.70486236381986e-05
"Clcf1",87.0887638221305,-0.804394690410697,0.18449577546627,-4.35996265159881,1.30084644647135e-05,5.71542513926672e-05
"Tuba8",15.6346758477757,-2.52422393107699,0.578985068237843,-4.35973925676449,1.30217510454117e-05,5.71958889539981e-05
"Cul4a",94.3023661501414,0.793157218281727,0.181932988749298,4.35961187541798,1.30293329446951e-05,5.72124526173464e-05
"Ewsr1",454.583595378288,-0.485070606200303,0.11129265494169,-4.35851410368858,1.30948484908611e-05,5.74833217524262e-05
"Prdm15",15.3106269893725,-1.53469433165644,0.352187846074932,-4.3576016286772,1.31495445175379e-05,5.77065512545442e-05
"Ube2k",231.02447112817,0.548483606067585,0.125875984989258,4.35733318086363,1.31656773974606e-05,5.77604660339203e-05
"Sh3glb1",406.032021041255,0.704914203498827,0.161782940037741,4.3571602996854,1.31760770136276e-05,5.77892036826152e-05
"E2f5",36.2775147426456,1.17087028005936,0.268805133455073,4.35583303417476,1.32561797278743e-05,5.81121285546408e-05
"Hmgcl",147.830727688395,0.964986783525423,0.221540038711016,4.35581211026231,1.32574462332408e-05,5.81121285546408e-05
"Mpv17",65.3220693997917,1.04787531402025,0.240594587801882,4.35535696623037,1.32850242695253e-05,5.82160155745427e-05
"Cd37",324.523903877649,-1.31457331201482,0.301913816745772,-4.35413432278182,1.33593777724552e-05,5.85247559083367e-05
"Ifnar1",102.796976779251,0.962156186638746,0.221003345246523,4.35358200377233,1.33930963685034e-05,5.865535466171e-05
"Tsg101",189.027371022457,0.669321325962064,0.1537429147961,4.35351005833176,1.3397494546968e-05,5.86575052883146e-05
"Wipi1",63.2436590956011,1.77061207352572,0.40688718699933,4.35160440067787,1.35144943061699e-05,5.91525081686674e-05
"Taf1c",44.0129137509926,-1.07343106046899,0.24669454076351,-4.35125583706378,1.35359998924377e-05,5.92293693923543e-05
"Rhot1",77.5058704827214,1.06239017846775,0.244233856071095,4.34988905943693,1.36206423632014e-05,5.95823729017315e-05
"Phf13",45.4314409459985,1.25833308927398,0.289334703666844,4.349056899593,1.36724237825998e-05,5.97914646805043e-05
"Wdr45",43.8172287945845,-1.15185880254881,0.264868358995537,-4.34879729280243,1.36886162907422e-05,5.98448446048087e-05
"Noa1",47.7873999624091,-0.95809928116142,0.220380980596132,-4.34746809170989,1.37718098263856e-05,6.01910279253352e-05
"Metrnl",178.349989416935,1.33920623702607,0.308059815065117,4.34722794579032,1.37868916955997e-05,6.02394077491381e-05
"Sys1",225.337035725482,-0.577598412219289,0.132897642929343,-4.34619004135671,1.38522565149811e-05,6.05073980388161e-05
"Zfp831",6.96735273075814,-4.99422858564749,1.14942126344176,-4.34499408049323,1.39279418959122e-05,6.08203000824114e-05
"Plscr3",88.2519790033292,0.694661696560127,0.159943393472559,4.34317217784497,1.40439980228013e-05,6.13092591789231e-05
"Rnf40",61.0155538317125,-0.780167525511492,0.179658951217626,-4.3424918169897,1.40875734205312e-05,6.14816103960565e-05
"H2-T22",585.272301138222,0.56538237507838,0.130204928273631,4.34225019417242,1.41030797593855e-05,6.15313968112918e-05
"Tnik",8.34176218609661,-3.19326023046172,0.735634533981373,-4.34082425845247,1.41949223571161e-05,6.19141107923836e-05
"Cpm",15.2672365264106,-2.44911604622297,0.564367306283977,-4.33957817710765,1.42756475541086e-05,6.22481256839477e-05
