"","gene_name","log2FoldChange","padj"
"104","Eda2r",5.88667147830668,4.2659829620545e-12
"105","Met",7.00662284511297,4.61783912436795e-12
"106","Adcyap1r1",10.1704743909102,4.78123276250165e-12
"107","Epha3",7.41674145474608,9.39778563793002e-12
"108","Avpr1a",5.86729261208534,2.26081424790964e-11
"109","Ntrk2",7.9152296368813,2.93325880137994e-11
"110","Ramp2",5.55168448643398,3.19507417551742e-11
"111","Crlf1",6.31010667051165,3.46874785873571e-11
"112","Nlgn2",1.86386641047634,3.5519279896808e-11
"113","Cd200r4",2.00856511547079,3.60200364841912e-11
"114","Clca2",8.24508872858837,3.8313228527117e-11
"115","Tacr1",8.83130465326706,5.96164956173141e-11
"116","Epha7",6.44491177580289,7.93967898344007e-11
"117","Scarf1",4.42383251878233,8.11886622973269e-11
"118","Gpr135",3.7003372405242,1.33344716633441e-10
"119","Cd36",5.26643012252416,2.02019536965071e-10
"120","Cftr",8.79126348710298,2.59279926678811e-10
"121","Kdr",5.00112427729911,2.9396863945299e-10
"122","Trpv4",2.81100397369782,2.9836139868672e-10
"123","Cngb1",5.17850294954711,4.82265233021166e-10
"124","Sdc3",4.07883289758342,4.89125579433493e-10
"125","Jam2",6.83161233339153,5.14107752323075e-10
"126","Cdh5",6.0728948069221,5.16331107196496e-10
"127","Ly96",2.26657998117537,6.11475642078419e-10
"128","C5ar1",7.20206944153129,6.68491215653514e-10
"129","Ptprs",2.08804983791689,8.6532285200394e-10
"130","Ackr3",5.36725922665735,1.15187331102609e-09
"131","Erbb2",3.57262611602477,1.54213776391588e-09
"132","Itgam",4.82252258845862,1.72703668256921e-09
"133","Hcar1",8.76768316756357,1.78143511977218e-09
"134","Fcgr3",6.65111321932139,1.95921891377815e-09
"135","Ddr1",2.87223817823531,2.20777660113829e-09
"136","Itga7",3.01022725523843,2.341170258267e-09
"137","Cntfr",5.45004859796568,2.49700366406022e-09
"138","Cdh13",6.31313254487893,3.55416571431767e-09
"139","Fzd4",6.17396349653047,3.56049220255753e-09
"140","Calm1",0.852520300492475,3.77317200704491e-09
"141","Fzd3",4.73733057546494,5.27691523587681e-09
"142","Sfrp4",8.58430690754468,6.55126624117165e-09
"143","Cd44",2.46248619502766,7.32928468396649e-09
"144","Il18rap",1.3146002200211,1.02292979974859e-08
"145","Il3ra",1.24139348443521,1.02292979974859e-08
"146","Fpr1",7.07819401465888,1.13323784154425e-08
"147","Dab2",7.52869085883234,1.33113013086292e-08
"148","Klrc1",3.14180764932798,1.63965029035706e-08
"149","Plxnb1",3.13613686778759,1.77926009238204e-08
"150","Cadm1",5.4046548469435,1.97231870518335e-08
"151","Erbb3",1.44572413529247,2.0779280350968e-08
"152","Tnfrsf12a",3.10884858667635,2.1568002522741e-08
"153","Pth1r",5.57096146462902,2.26402218847675e-08
"154","Il13ra2",8.44998124458905,2.90089183506531e-08
"155","Ror2",7.21067256523446,3.22445653362135e-08
"156","Ptprk",4.06240200603228,3.24093602305013e-08
"157","Gipr",4.10613644918384,3.34385718068336e-08
"158","Htr2a",7.86474962372164,4.34358413667712e-08
"159","Fzd1",4.63553720874225,4.43127061065009e-08
"160","Unc5c",6.16498724193386,6.28782044380887e-08
"161","Adora2a",1.27398769576197,8.41018372955989e-08
"162","Robo1",4.73898254894538,1.00887505794248e-07
"163","Cdh10",4.48101338128201,1.25411804013575e-07
"164","Fgfr1",3.40649897532136,1.63065825828373e-07
"165","Tnfrsf1a",2.79883502101652,1.78494993580359e-07
"166","Trem2",7.3174267344004,1.82816670607373e-07
"167","Acvrl1",2.91162887282986,2.08264284808761e-07
"168","Itga3",2.68358536139102,2.20844794077034e-07
"169","Fgfrl1",2.1066000173257,2.54635368011453e-07
"170","Gpc6",6.81859710360309,3.07398081815105e-07
"171","Cd274",2.22918837973556,3.14350083067288e-07
"172","M6pr",0.79310836954671,3.74699357688577e-07
"173","Sele",4.08516675258308,3.89513109288237e-07
"174","Amot",2.49960341308352,5.47645740956848e-07
"175","Sdc2",5.32959381652318,5.91912556541983e-07
"176","Gabra3",8.10140980995758,7.18258191315115e-07
"177","Pde1a",5.39392971263596,9.11611222586249e-07
"178","Ptgir",2.47339650918591,1.26956197503848e-06
"179","Itgb1",1.90415984764826,1.40865784675188e-06
"180","P2rx4",1.48635394700994,1.69265401690031e-06
"181","Hmmr",2.5536187858443,1.71251954650747e-06
"182","Tlr2",3.29568314973936,1.8771840533818e-06
"183","Dag1",2.12153628372996,1.95566405635941e-06
"184","Kcnj2",5.20350297032196,1.96917429991199e-06
"185","Marco",5.76813188668287,1.9915257011588e-06
"186","Eng",3.03687353890722,2.14967889350369e-06
"187","Ptk7",5.21106046756919,2.51709288773845e-06
"188","Lgr6",6.13794251414053,2.60795869391809e-06
"189","Sv2c",2.79287034429833,2.69182443629448e-06
"190","Gpr37",6.54968852787525,3.47917057735488e-06
"191","Selp",4.24933787651868,3.63717554797911e-06
"192","Plxna4",4.41007242781833,4.838107343766e-06
"193","Nrp1",3.17824249562054,5.62374338161115e-06
"194","Lsr",1.80632270495577,6.15122769356832e-06
"195","Ccr3",2.21805326852039,6.35753757434918e-06
"196","Ccrl2",3.50743360920397,6.50292886149263e-06
"197","Ccr5",2.85218971318366,7.39346393096634e-06
"198","Notch4",4.43724568028283,8.57005357384521e-06
"199","Flt4",5.48142624538062,9.00393083227739e-06
"200","Celsr3",4.32668366081763,9.06584552073205e-06
"201","Esr1",1.79910974545859,9.26014081791911e-06
"202","Pcdhgb1",5.28901071571225,9.37944583393622e-06
"203","Trem1",6.53931378157559,9.90906865598623e-06
"204","Agtrap",0.984659948377598,1.08234560767981e-05
"205","Cd200r1",1.50773045303781,1.19947941140094e-05
"206","Plxnb2",2.95602520033795,1.26982722780218e-05
"207","Ephb2",2.30638490831651,1.30633102410497e-05
"208","Lrp5",2.79802785088587,1.38425990178725e-05
"209","Pld2",1.13801404336267,1.53065462683784e-05
"210","Sort1",4.72540744146115,1.85743475505473e-05
"211","Pvr",1.97480734742643,1.8805939760394e-05
"212","Il13ra1",3.28518695413803,1.9195629605596e-05
"213","Lrp2",5.13017681974439,2.37094918075343e-05
"214","Gpr35",4.27755400918136,3.3413067974892e-05
"215","Csf3r",4.06078522030608,3.61104662013307e-05
"216","Nrcam",8.03528477619122,3.7055298891987e-05
"217","F11r",3.39564959250435,3.79150647661967e-05
"218","Cysltr1",2.87818930035098,4.71510524022468e-05
"219","Nrxn2",2.40750158539752,4.7855135602761e-05
"220","Frzb",6.03028942323588,5.1030482320889e-05
"221","Ltb4r1",3.54743586944937,7.55185532055736e-05
"222","Tsku",4.27400741685647,8.60750071458364e-05
"223","Il1r2",3.11347136114937,9.14236451582988e-05
"224","Tigit",2.16613565875666,9.43986175233672e-05
"225","Ephb3",4.00035317311515,0.000100756606992992
"226","Negr1",5.95816453958841,0.000137071506177663
"227","Tlr4",2.68696016983805,0.000156972319128148
"228","Siglec1",7.83593159127212,0.000178184016034953
"229","Lrp8",1.56693459805498,0.000235400281767291
"230","Epha5",4.3868479977974,0.000270131385628446
"231","Pdgfra",3.87202065205514,0.000283857583478731
"232","Aplnr",8.03571412741107,0.000288944124154848
"233","Bmpr1b",5.22182841028144,0.000301573541876062
"234","Clstn1",1.20206845932614,0.000350791538681539
"235","Npr2",3.4503488063399,0.000434881947499673
"236","Glp2r",6.08370308191359,0.000447970459770548
"237","Lpar1",3.8653072461425,0.000496366753154463
"238","Adra2a",3.91690605030345,0.000639993937309669
"239","S1pr3",2.0135586462462,0.000728258663732386
"240","Gfra4",4.54883294900868,0.000740301207567955
"241","Ptpro",3.24924002276949,0.000740351333489233
"242","Dchs1",4.93160672289341,0.000801400114692058
"243","Tnfrsf1b",1.1963236420538,0.00086538506020175
"244","Vcam1",3.74638330441731,0.000866868488226831
"245","Atp6ap2",1.46975253834297,0.000894305486424638
"246","Ackr1",4.28926290610518,0.00110886166461591
"247","Fkbp1b",3.00307692879713,0.00115312031216486
