"","Input-node Gene Symbol","Input-node GeneID","Output-node Gene Symbol","Output-node GeneID","Edge direction score"
"8386","Ywhae",22627,"Nt5dc2",70021,0.415905441534009
"8387","Ywhae",22627,"Pla2r1",18779,0.415905441534009
"8388","Ywhae",22627,"Psg17",26437,0.415905441534009
"8389","Ywhae",22627,"Asl",109900,0.415905441534009
"8390","Ywhae",22627,"Aldh1a2",19378,0.415905441534009
"8391","Ywhae",22627,"Mcee",73724,0.415905441534009
"8392","Ywhae",22627,"Coch",12810,0.415905441534009
"8393","Ywhae",22627,"Osbpl1a",64291,0.415905441534009
"8394","Ywhae",22627,"Ppp1r1b",19049,0.415905441534009
"8395","Ywhae",22627,"Prl2c5",107849,0.415905441534009
"8396","Ywhae",22627,"Ly75",17076,0.415905441534009
"8397","Ywhae",22627,"Bpifb1",228801,0.415905441534009
"8398","Ywhae",22627,"Nt5c3",107569,0.415905441534009
"8399","Ywhae",22627,"Ap1m2",11768,0.415905441534009
"8400","Ywhae",22627,"Dap",223453,0.415905441534009
"8401","Ywhae",22627,"Alcam",11658,0.415905441534009
"8402","Ywhae",22627,"Gne",50798,0.415905441534009
"8403","Ywhae",22627,"Pgm1",72157,0.415905441534009
"8404","Ywhae",22627,"Dtd1",66044,0.415905441534009
"8405","Ywhae",22627,"Serpinf2",18816,0.415905441534009
"8406","Ywhae",22627,"Hdhd5",214932,0.415905441534009
"8407","Ywhae",22627,"Spryd4",66701,0.415905441534009
"8408","Ywhae",22627,"Angpt4",11602,0.415905441534009
"8409","Ywhae",22627,"Fdxr",14149,0.415905441534009
"8410","Ywhae",22627,"Akr1c14",105387,0.415905441534009
"8411","Ywhae",22627,"Mier1",71148,0.415905441534009
"8412","Ywhae",22627,"Nudt12",67993,0.415905441534009
"8413","Ywhae",22627,"Pip4p2",72519,0.415905441534009
"8414","Ywhae",22627,"Slc30a1",22782,0.415905441534009
"8415","Ywhae",22627,"Igfbp7",29817,0.415905441534009
"8416","Ywhae",22627,"Kyat1",70266,0.415905441534009
"8417","Ywhae",22627,"Dpp9",224897,0.415905441534009
"8418","Ywhae",22627,"Larp4",207214,0.415905441534009
"8419","Ywhae",22627,"Mbnl2",105559,0.415905441534009
"8420","Ywhae",22627,"Tbcel",272589,0.415905441534009
"8421","Ywhae",22627,"Acat2",110460,0.415905441534009
"8422","Ywhae",22627,"Dpyd",99586,0.415905441534009
"8423","Ywhae",22627,"Hmgcs1",208715,0.415905441534009
"8424","Ywhae",22627,"Dcxr",67880,0.415905441534009
"8425","Ywhae",22627,"Mat2b",108645,0.415905441534009
"8426","Ywhae",22627,"Mri1",67873,0.415905441534009
"8427","Ywhae",22627,"Phyhd1",227696,0.415905441534009
"8428","Ywhae",22627,"Iah1",67732,0.415905441534009
"8429","Ywhae",22627,"Hddc3",68695,0.415905441534009
"8430","Ywhae",22627,"Ogn",18295,0.415905441534009
"8431","Ywhae",22627,"Prcc",94315,0.415905441534009
"8432","Ywhae",22627,"Cd34",12490,0.415905441534009
"8433","Ywhae",22627,"Bst1",12182,0.415905441534009
"8434","Ywhae",22627,"Cxcl15",20309,0.415905441534009
"8435","Ywhae",22627,"Ptgr1",67103,0.415905441534009
"8436","Ywhae",22627,"Trappc2l",59005,0.415905441534009
"8437","Ywhae",22627,"Mrpl53",68499,0.415905441534009
"8438","Ywhae",22627,"Qars1",97541,0.415905441534009
"8439","Ywhae",22627,"Ganc",76051,0.415905441534009
"8440","Ywhae",22627,"Prss8",76560,0.415905441534009
"8441","Ywhae",22627,"Clic3",69454,0.415905441534009
"8442","Ywhae",22627,"Eif2b2",217715,0.415905441534009
"8443","Ywhae",22627,"Camk1d",227541,0.415905441534009
"8444","Ywhae",22627,"Mvk",17855,0.415905441534009
"8445","Ywhae",22627,"Pithd1",66193,0.415905441534009
"8446","Ywhae",22627,"Lypla2",26394,0.415905441534009
"8447","Ywhae",22627,"Clptm1l",218335,0.415905441534009
"8448","Ywhae",22627,"Pigt",78928,0.415905441534009
"8449","Ywhae",22627,"Itpk1",217837,0.415905441534009
"8450","Ywhae",22627,"Dohh",102115,0.415905441534009
"8451","Ywhae",22627,"Ccser1",232035,0.415905441534009
"8452","Ywhae",22627,"Tns2",209039,0.415905441534009
