"","baseMean","lgFC_MoDC_Treatment_6H_vs_cDC_Treatment_6H","lfcSE","stat","pvalue","padj"
"Apol11b",40.4077216918784,-4.60600511136586,1.26839123597875,-3.63137569916403,0.000281914432341826,0.000973016818189674
"Ube2o",172.625473833605,-2.27549830678632,0.626625973138915,-3.63135012643638,0.000281942373256271,0.000973016818189674
"Gm43795",1.54077190662443,4.74016814232718,1.30593872673316,3.62970179633529,0.000283748832377483,0.000979034091855642
"Aspscr1",91.2761775569845,-1.3477250921956,0.371407325174731,-3.62869819964255,0.000284854012539835,0.000982629573946412
"Trp53cor1",3.6263305871528,-4.63697100709877,1.27789946798394,-3.62858826008764,0.000284975324911325,0.000982830274306491
"Gm45220",9.28385476468026,-1.84771820048974,0.50931502713847,-3.62784937030219,0.000285791906708203,0.000985428217858981
"Osbpl5",17.5497980002118,-1.56796014615356,0.432266978148047,-3.6272956885838,0.000286405242677424,0.000987324361825098
"Rbmx2",14.7147282763085,-1.45753195561621,0.401905221022103,-3.62655641026383,0.000287226094317037,0.000989934876317829
"Kcp",11.5010898474349,-2.57969320825428,0.711459187524211,-3.62591875049262,0.000287935884567592,0.000992161542927904
"Cth",5.34447949109501,-2.18604428023013,0.602986604283595,-3.62536126789642,0.00028855777419603,0.00099408440555074
"Tbc1d19",18.8444170808771,1.67101271239234,0.46104389663697,3.62441130786319,0.000289620384803142,0.000997524369605159
"Dscam",2.88706594198715,-4.44270441625094,1.22584041908594,-3.62421106946667,0.000289844835661564,0.000998076620566075
"Pdxp",5.03220592146996,-2.87316871312064,0.792839514092044,-3.62389697038622,0.000290197243340959,0.000998881474809543
"Sf3b1",182.086111832098,-0.621856118576036,0.171599137246264,-3.62388837470437,0.000290206893021812,0.000998881474809543
"Nrf1",74.1050789141928,-0.934951689400344,0.258078069126855,-3.62274753745457,0.000291490290063309,0.00100307710780406
"Gm14027",5.34558244968746,-3.03960257402833,0.839320223947823,-3.62150522208469,0.00029289389210941,0.00100768444472029
"Snw1",332.373359388526,0.512343798049022,0.141489632787725,3.62106952965017,0.000293387647118842,0.0010091601613668
"Slc36a3os",3.08843893200404,-4.77729903581594,1.31947353488426,-3.6206099701992,0.000293909294633698,0.00101073114620221
"Itga4",174.104390319628,-1.08332733239236,0.299218967275282,-3.62051691527864,0.000294015027308382,0.00101087145431468
"Rxra",117.481748765973,1.26250603817996,0.348824495280475,3.61931588882492,0.000295382882342201,0.00101535012415619
"Zmpste24",69.8253473118227,0.891352820727591,0.24629167352038,3.6190944175538,0.000295635767094442,0.00101599506007203
"Fbxo10",7.91280498516861,-2.44333163601541,0.675207794118641,-3.618636599426,0.000296159165137971,0.00101756916417302
"Mpp7",12.3959156218747,-1.68958219730054,0.467221804605991,-3.61623147859156,0.000298923092073797,0.00102683907709728
"Prg3",4.43506422407787,-3.86487554057034,1.06916991257046,-3.61483754371514,0.000300536019164741,0.00103215194051548
"Syne4",4.08913290874541,-3.85744034303996,1.06714048624203,-3.61474463088179,0.000300643818167338,0.00103229443344268
"Smim14",407.731819572774,0.557072761786485,0.154137187708617,3.61413601784134,0.000301350837031515,0.00103449389876662
"Crtc1",24.8246997279959,-1.22446263700269,0.339007364703278,-3.61190571206152,0.000303955088361092,0.00104297395098203
"Ifi214",5.33829794219787,-2.91650151997845,0.807462126041447,-3.61193599788573,0.000303919583928496,0.00104297395098203
"Gm20342",5.79022141753451,-4.41766745265566,1.2232505213522,-3.61141677485027,0.000304528813056454,0.00104471233178997
"Tlr6",45.8364957830922,1.17155798039835,0.324524137698485,3.61007963446725,0.000306103012440586,0.00104988140508373
"Trpm7",148.345641165424,-0.55424766668357,0.153553909269004,-3.60946633870851,0.000306827584273192,0.00105213476475001
"Ccpg1",78.2872384592002,0.947681785958831,0.262614968472242,3.6086358347049,0.000307811334616255,0.00105504334154687
"Snrpf",262.024364885787,-0.662686648088403,0.183638649712844,-3.60864474403752,0.000307800765661636,0.00105504334154687
"Zfp341",13.6588131718581,-1.24169489900916,0.344216167590785,-3.60731138139137,0.000309386291359434,0.00106020818487424
"2810013P06Rik",11.1819771944608,-2.43912878170035,0.676230200944033,-3.60695038212619,0.00030981687574202,0.00106145007076403
"Mbtps1",156.264808153745,-0.645162874646626,0.178877028777022,-3.60673966387741,0.000310068470670081,0.00106207831713791
"Rpusd3",13.0103120946448,-1.85379528259989,0.514092178583518,-3.60595893076543,0.00031100232453975,0.0010650427163297
"Rpl39l",7.18080874698655,3.03831726092814,0.842706192067974,3.60542890218026,0.000311637804589121,0.00106698424056376
"Atad2",39.6998591459587,-0.910959936488041,0.252709416112073,-3.60477243192254,0.000312426567766498,0.00106944960575832
"Or2v1",29.0863098972079,-1.24149541829174,0.344423602591032,-3.60455964385777,0.000312682638061307,0.00107009085718585
"Entpd5",48.8931749563451,-0.977119243189633,0.271123948734619,-3.60395770181872,0.000313408082856271,0.00107233780964976
"D930030I03Rik",4.97802323906719,-2.31255009222721,0.641727943310283,-3.60363003720576,0.000313803637688071,0.00107345529148053
"Mvp",726.457521892879,0.522157040144454,0.144912361801953,3.60326085125898,0.000314249876783843,0.00107474562429061
"Epb42",13.0496733586591,-3.78858244278328,1.05150854364563,-3.60299729914518,0.000314568798452067,0.00107560005585368
"Cbx5",23.5463982980611,-1.154590444559,0.320501696166744,-3.60244722061725,0.000315235419194762,0.00107764273298727
"Cdc42",1245.54275991415,0.873271447661648,0.242439907246508,3.60201196898547,0.000315763822232592,0.00107921211515192
"Atg2a",64.2736027322657,-0.960119175351369,0.266577078678639,-3.60165690205045,0.000316195493636554,0.00108045027325151
"Igha",289.92718423913,-3.78204184369867,1.05039173303861,-3.60060130400861,0.000317482098093724,0.00108437062376549
"Tmem201",17.0820582980158,-1.50928327228839,0.419174404068665,-3.60060933501359,0.000317472291114805,0.00108437062376549
"Rap1gap2",9.65186054772993,-1.90999850655965,0.530544302434578,-3.6000735429539,0.000318127190077467,0.0010863356207778
"Cebpd",34.6933272680701,1.66881440806176,0.463569474836669,3.59992298597689,0.000318311443440397,0.00108648817177814
"Iglc4",2.5440534101324,-5.31557415236351,1.47656703816167,-3.59995449917494,0.000318272868961255,0.00108648817177814
"Asb13",25.8029149949272,-1.85062833625862,0.514168980017573,-3.59926095929664,0.000319122825319445,0.0010890188830717
"Dnal4",65.9672419009535,0.879131850621022,0.244273628392599,3.59896341003325,0.000319488132837474,0.00109002657287175
"Rora",51.0120426138923,-1.00919215205995,0.280568044810744,-3.59696041914075,0.000321957451984145,0.00109821069511156
"Araf",157.155941676636,-0.507785646519055,0.141184887973431,-3.59660055553971,0.000322402986235685,0.00109948952677265
"1700020L24Rik",7.35702750717138,-2.31610100839001,0.644367316950049,-3.59438001814353,0.000325164945793159,0.00110866576349275
"Sema3f",3.13567947396955,-4.62742834092144,1.28788278663966,-3.59305084975576,0.000326828777114083,0.00111409467968295
"Gigyf2",95.1139980901571,-1.15841069290604,0.322537730437223,-3.59155095230481,0.000328715891533565,0.00112028218025275
"Cry2",27.8021425007084,-0.986495022049343,0.274683593824407,-3.5913867599969,0.000328923090188229,0.00112074297834326
"Dmkn",7.20416141316982,-2.41313340338958,0.672013193770812,-3.59090182418735,0.000329535757403891,0.00112242262898508
"Hes1",12.3639822093023,-2.02314411905812,0.563411401040117,-3.59088246230585,0.000329560241334197,0.00112242262898508
"Stam",38.1237745066125,0.90155495080772,0.251093712614889,3.59051185081033,0.000330029223757792,0.00112377404975094
