"","baseMean","lgFC_MoDC_Treatment_6H_vs_MoDC_Naive","lfcSE","stat","pvalue","padj"
"Siva1",155.240540869482,-1.15176193187608,0.290171564843983,-3.96924465185053,7.21008249375831e-05,0.000503672070979747
"Cluh",116.221571394351,-0.975890388117803,0.245902181118313,-3.9686121679753,7.22924273655076e-05,0.000504563663705674
"Itgb3",70.435527106897,-1.54294378197919,0.388789967048721,-3.96857921435465,7.23024234072119e-05,0.000504563663705674
"Elf4",145.175849449895,0.872852601999297,0.21995359963393,3.96834879470939,7.23723546751037e-05,0.000504793473840715
"Noc4l",61.5094200831391,1.36746346741282,0.344630499267733,3.9679119239835,7.25051185400607e-05,0.000505461079326545
"Smyd4",21.2949016119489,-2.05639519923004,0.518288136218593,-3.9676678965361,7.25793780823591e-05,0.000505720355044752
"Rtkn",12.7286458938932,-2.22615865343841,0.561097762907418,-3.96750584408538,7.26287317068848e-05,0.00050580591458756
"Plekhm1",201.490308794132,-1.12935933562779,0.284841711040973,-3.96486642177673,7.34370592337516e-05,0.000511174387309221
"Hectd4",59.8386022080229,1.24014714116178,0.31288441473438,3.96359512574186,7.38294249138974e-05,0.000513643469709486
"Apol9a",6.23858848902392,4.78669358099811,1.20814698865108,3.96201259115212,7.43206199454492e-05,0.0005167972568378
"Pmepa1",16.2452122216963,2.67413616425011,0.675176247729601,3.96064905014412,7.4746319746965e-05,0.000519492633880715
"Rgs10",288.527279764916,-1.14079397155174,0.288150315917355,-3.95902384462051,7.52567238443482e-05,0.000522507625144246
"Rinl",127.595635356033,-0.696501909625486,0.175922494733627,-3.9591407038656,7.52199139055487e-05,0.000522507625144246
"Pla2g4a",72.3671402187384,1.72641221067336,0.436292206654276,3.95700905114125,7.58940562080423e-05,0.000526664602668525
"Aprt",609.457738367212,-0.769403780408337,0.194450835348819,-3.95680367753694,7.59593071671172e-05,0.000526849429426019
"Boc",7.25570086202769,3.39956638885851,0.859228922825507,3.95653160473148,7.60458313770102e-05,0.000527181543433206
"Rab3d",46.0174203671996,-1.21135795034942,0.30625464126463,-3.95539458715567,7.64084336833717e-05,0.000529361608796252
"Tmem254",65.0496619949172,-1.17038124140566,0.295901836527016,-3.95530239062508,7.64379073025447e-05,0.000529361608796252
"Itprip",73.7104544366627,1.45283645943396,0.367742280817474,3.95069192534611,7.79255791731698e-05,0.000539390500588308
"Ifi207",224.189649875829,1.61979196063604,0.41002534433393,3.95046789916689,7.79985592184817e-05,0.000539621878000885
"Ctns",62.2175932479908,-1.15909675416837,0.293481031517254,-3.94947758012164,7.83219460929351e-05,0.000541584546652769
"Armc8",39.7532706824251,1.21394084567097,0.307389211662968,3.94919795364185,7.8413486848332e-05,0.000541942857685813
"Fermt3",577.750302041476,-0.527130760897427,0.133482723885925,-3.94905606921774,7.84599739399234e-05,0.000541989582006266
"Pgap6",58.7089981867864,-1.22961491608269,0.311588750336072,-3.94627506531113,7.93764208781766e-05,0.000548042768239354
"Fbxl14",114.939089249748,0.738623813840151,0.187206584569383,3.94550125220836,7.96332158481461e-05,0.000549537665056276
"Fst",17.8899648182571,3.3733448778248,0.855264188549388,3.94421387331361,8.00621819514247e-05,0.000552061176918831
"Prcp",189.646090009084,-0.642794477209889,0.162973688790954,-3.94416106046663,8.00798262202131e-05,0.000552061176918831
"Rab3gap2",88.1726369267646,-0.793996812569059,0.201319022942953,-3.94397310776763,8.01426492483217e-05,0.000552215234189319
"Jmy",8.38801513126723,-2.73374508948678,0.693560330987832,-3.94161108607975,8.09361351135431e-05,0.000557040442859905
"Nudt1",21.8977795613806,-1.39040984512852,0.352759421534707,-3.94152433712312,8.09654180305791e-05,0.000557040442859905
"Sgsm2",18.4147159920689,-1.61691074996208,0.410205240634711,-3.94171158676626,8.09022226892576e-05,0.000557040442859905
"BC028528",9.56860270449907,-3.4134505094068,0.866064166414375,-3.94133672974712,8.10287808963343e-05,0.000557195392020509
