"","baseMean","lgFC_MoDC_Treatment_6H_vs_cDC_Naive","lfcSE","stat","pvalue","padj"
"Uchl3",72.639077536535,-1.98839767383536,0.293536709851226,-6.77393186986098,1.25328709039721e-11,1.05810194364088e-10
"Vrk2",74.2481780849739,1.42517171791509,0.210397191593862,6.77372025319687,1.25512257065643e-11,1.05908882236644e-10
"Srgn",4908.11492816495,1.4859275105025,0.219394703440231,6.77285042529438,1.26269481151155e-11,1.0649128375853e-10
"Slc8a1",36.3682192292348,2.16297572566147,0.319445214843316,6.77103811594856,1.27861579763446e-11,1.07719652219586e-10
"Uqcr10",563.112193788774,0.91427763784281,0.135026491779248,6.77109821780414,1.27808466948257e-11,1.07719652219586e-10
"Dbp",30.9415768047332,-3.87122714842727,0.57181669470392,-6.77004918583524,1.28738621345596e-11,1.08401057475367e-10
"Ykt6",286.785092468128,1.04709726540506,0.154744329113644,6.76662771038328,1.31818686149672e-11,1.10935757639414e-10
"Slc50a1",136.851360340191,-1.70271377374946,0.251720063250387,-6.76431489712348,1.33941480307608e-11,1.12662582350852e-10
"Gpr137b",238.83934578665,2.17096059186469,0.3209504273579,6.76416171100404,1.340832570173e-11,1.12722162473433e-10
"Ankle2",87.9396135581157,1.16368929685601,0.172072699682946,6.76277700646399,1.35371515196326e-11,1.13745002906104e-10
"Map4k3",79.7149748296678,2.19940634964702,0.325228754589217,6.76264419615972,1.35495710343747e-11,1.13789182962568e-10
"Traf4",22.9262166520561,-4.06354619265738,0.601434899434682,-6.75641901804652,1.41443977958466e-11,1.18721783718017e-10
"Slc36a2",57.2306618220241,4.860655715155,0.719424880643252,6.75630749774597,1.41552835928581e-11,1.18750422918122e-10
"Gnas",3346.69218176608,0.888197802240474,0.131467480884352,6.75602663309412,1.41827359163913e-11,1.18855216759252e-10
"Klhl21",82.8969677716933,-1.5106082416708,0.223593337692323,-6.75605211345555,1.4180243261175e-11,1.18855216759252e-10
"Mgll",306.367925746003,2.74781785677594,0.406883937245631,6.75332104623513,1.44498705765664e-11,1.21030044064873e-10
