"","T_PimedMoDC_1","T_PimedMoDC_4","T_PimedMoDC_2","T_PimedMoDC_3","T_PimedCD11c_2","T_PimedCD11c_3","T_PimedCD11c_1","T_PimedCD11c_4","T_PCD11_LCD11_3","T_PCD11_LCD11_4","T_PCD11_LCD11_1","T_PCD11_LCD11_2","T_PCD11_LMoDC_3","T_PCD11_LMoDC_2","T_PCD11_LMoDC_1","T_PCD11_LMoDC_4"
"Hes5",1.56,0.75,0,-0.04,-1.57,0.34,1.33,0.46,-1.41,-0.93,-0.87,-1.24,0.4,-0.5,0.38,1.34
"Egr3",0.5,0.97,0.09,0.84,-0.34,0.74,0.61,1.05,-0.94,-0.78,-2.42,-1.63,0.45,-0.28,0.64,0.5
"Hes1",0.33,1.63,0.49,0.76,0.51,0.49,0.29,1.17,-2.05,-1.28,-1.38,-1.15,-0.27,0.41,-0.2,0.27
"Stat3",0.68,1.19,0.91,0.98,0.06,0.19,0.48,0.47,-1.23,-1.21,-1.9,-1.63,-0.56,0.25,0.26,1.08
"Rfx5",0.64,1.27,0.99,0.83,0.42,0.05,0.62,0.83,-1.19,-0.68,-1.13,-2.57,0.26,-0.33,0.22,-0.23
"Satb1",0.91,0.88,0.4,0.3,0.18,0.33,1.16,1.56,-1.56,-1.24,-1.04,-1.88,-0.66,0.24,0.06,0.35
"Bcl11a",0.6,1.15,0.64,0.49,0.16,0.46,0.56,0.83,-1.46,-0.69,-1.1,-2.56,-0.09,-0.12,0.98,0.17
"Pou2af1",0.25,0.97,0.52,0.24,-0.18,0.61,0.85,1.15,-1.8,-0.64,-1.35,-2.09,0.06,0.06,1.14,0.21
"Smad1",0.93,0.85,1.2,0.82,0.4,0.35,-0.47,-0.41,-0.77,-1.52,-1.18,-0.48,-1.36,2.04,-0.14,-0.25
"Mafk",1.27,0.74,1.11,0.97,-0.17,0.12,-0.01,-1.76,-2.24,-0.79,0.43,-0.54,-0.38,1.1,0.2,-0.07
"Pou6f1",1.03,1.22,0.86,1.1,0.31,0.49,0.95,-0.72,-0.71,-1.27,-0.37,-2.07,-0.61,-0.43,1,-0.79
"Zfp366",2.28,1.31,1.59,0.82,-0.14,-1,-0.16,-0.66,-0.48,-1.01,-0.65,-1.17,-0.44,0.06,0.04,-0.4
"Irf1",1.34,1.73,1.47,1.69,0.05,-0.68,-0.42,-0.51,-1.1,-0.24,-1.06,-1.07,-0.35,-0.06,0,-0.8
"Zfp516",1.66,1.06,1.31,1.87,0.24,-0.33,0.36,-0.82,-0.91,-1.23,-0.63,-0.87,-0.1,0.03,-0.58,-1.05
"Sp100",0.75,0.62,1.15,0.76,0.16,-0.17,0.13,0.4,-1.73,-1.2,-1.5,-1.78,0.32,0.81,1.13,0.15
"Jund",1.24,1.06,0.89,0.54,-0.03,-0.27,0.5,0.89,-2.04,-1.43,-0.47,-1.2,-0.67,0.73,0.93,-0.65
"Tcf7",1.96,1.06,1.09,0.55,-0.14,-0.9,-0.59,-0.71,-1.24,-0.75,-0.3,-1.16,-0.39,-0.42,1.72,0.2
"Nr4a1",1.7,1.7,1.21,1.37,-0.6,-0.11,-0.42,-0.86,-1.32,-0.99,-1.08,-0.7,-0.18,0.06,0.39,-0.18
"Junb",1.29,1.39,1.26,1.41,-1.02,-0.54,-0.78,-0.21,-1.52,-1.21,-0.63,-0.79,-0.23,0.28,0.89,0.39
"Dzip1",0.94,0.93,1.22,1.36,-1.14,-0.15,0.65,1.18,-0.66,0.12,-0.68,-0.92,-1.08,0.79,-1.27,-1.27
"Zfp266",1.36,0.16,1.31,0.72,-0.59,-0.15,-0.33,0.98,-0.51,-0.45,-1.08,-1.5,-0.99,1.98,-0.82,-0.09
"Zfp512b",1.83,0.85,0.62,0.87,0.29,-0.21,1.01,1.18,-1.64,-0.37,-0.22,-0.83,-1.51,-0.36,-1,-0.51
"Ikzf1",0.81,0.58,0.87,0.71,0.44,0.62,0.82,1.5,-1.3,0.36,-0.19,-0.98,-2.26,-0.76,-0.55,-0.67
"Sp3",1.44,1.39,0.38,1.05,0.99,0.04,0.05,0.3,-0.11,-0.31,-0.78,-1.52,-1.97,0.25,-1.32,0.11
"Baz2b",0.65,1.42,0.47,0.32,0.71,-0.14,1.06,0.99,-0.68,0.18,-0.83,-0.8,-2.31,0.77,-1.27,-0.52
"Zfp945",1.88,0.37,1.05,0.88,0.71,-0.01,0.41,0.86,-0.87,-0.02,-1.08,-1.52,-0.85,0.53,-1.34,-1.01
"Hif1a",1.62,0.17,0.69,1.16,1.47,0.95,0,0.44,-0.38,-0.32,-1.58,-1.21,-0.68,-0.1,-1.35,-0.88
"Elf2",1.11,0.49,0.42,0.44,1.04,0.98,1.24,0.96,-0.83,-0.46,-0.93,-0.6,-1.55,0.39,-1.78,-0.91
"Zfp644",1.39,0.35,0.43,0.52,0.4,0.78,1.18,1.09,-0.02,0.45,-1.42,-0.41,-1.52,-0.79,-1.87,-0.58
"Zfp326",0.82,1.07,0.82,0.33,1.07,1.43,0.78,0.63,-0.17,-1,-1.7,-0.67,-0.93,-0.92,-1.47,-0.09
"Foxn3",0.98,1.04,0.8,0.51,0.2,0.8,1.08,1.38,0.06,0.02,-1.63,-1.1,-1.27,-1.24,-0.93,-0.68
"Dmtf1",1.23,1.03,1.14,1.27,0.75,0.53,0.36,0.67,-0.19,-0.35,-1.98,-0.89,-0.88,-1.02,-0.89,-0.77
"Mga",0.8,0.69,1.19,0.99,0.58,0.92,0.44,0.89,0.27,0.17,-1.69,-1.26,-1.2,-0.45,-1.64,-0.69
"Sp1",1.37,0.33,0.94,0.63,-0.17,0.81,0.13,1.61,-0.09,-0.42,-2.21,-0.25,-1.3,-0.04,-1.26,-0.1
"Zfp148",0.71,1.27,0.15,0.24,0.17,0.66,0.27,1.92,-0.23,0,-1.81,-1.48,-1.02,0.11,-1.35,0.4
"Zfp110",1.56,1.04,0.65,0.82,-0.14,0.4,-0.57,0.49,0.93,0.77,-2.32,-0.72,-0.68,-0.97,-0.37,-0.87
"Elf1",0.74,1.19,1.19,0.64,0.41,0.51,0.61,0.67,-0.16,0.27,-2.52,-1.47,-0.63,-0.55,-0.09,-0.82
"Atf6",0.89,1.08,0.89,1,0.1,0.6,0.23,0.3,-0.03,0.29,-2.7,-0.43,-1.33,0.49,-0.37,-1.02
"Zfp280d",1.37,0.33,0.68,0.69,0.17,0.66,0.73,0.7,0.54,0.26,-2.3,-1.03,-1.61,0.26,-0.41,-1.03
"Zfp592",0.81,1.17,0.81,1.65,0.57,0.7,0.41,0.11,-0.51,0.52,-0.82,-2.03,-1.03,-1.27,-0.45,-0.64
"Zbtb20",0.78,1.44,1.09,1.28,0.3,0.66,0.93,0.67,-0.93,-0.18,-1.2,-1.36,-1.4,-0.9,-0.53,-0.65
"Rel",1.28,1.33,1.21,1.46,0.12,0.48,0.81,0.21,-0.87,-0.29,-1.39,-1.39,-1,-0.82,-0.57,-0.56
"Zfp318",1.09,1.34,1.21,1.23,-0.1,0.64,1.09,0.47,-0.98,-0.46,-1.25,-1.45,-1.11,-0.54,-0.33,-0.84
"Ncoa2",1.22,1.23,1.44,1.59,-0.19,-0.09,0.45,0.62,-1,0.05,-1.03,-1.69,-0.75,-0.35,-0.87,-0.62
"Gpbp1",1.1,1.15,0.81,1.76,0.04,0.44,0.52,0.44,-1.68,0.07,-1.26,-1.57,-0.43,-0.54,0.01,-0.85
"Irf2",1.35,1.5,1.15,0.94,0.14,-0.44,-0.24,0.69,-1.14,-0.16,-1.55,-1.54,-1.16,0.22,0.58,-0.35
"Stat4",1.39,1.05,1.13,1.22,-0.04,0.47,0.06,0.86,-0.57,-0.22,-2.19,-1.03,-1.31,-0.18,-0.47,-0.16
"Hic1",1.51,1.34,0.81,0.95,-0.55,0.55,-0.13,1.17,-1.03,-0.15,-1.51,-0.83,-1.32,-1.2,-0.02,0.39
"Zfp182",0.57,1.09,1.06,0.56,0.23,0.98,-0.68,2.13,-1.23,-1.62,-0.63,-0.35,-0.47,-0.13,-0.82,-0.69
"Zfp580",0.13,1.41,1.77,1.12,-0.15,0,-0.35,1.03,-0.85,-1.03,-0.87,-0.92,0.78,-1.71,0.28,-0.63
"Arid3b",0.99,1.1,1.6,1.35,0.45,-1.13,-0.93,1.04,-0.9,-1.24,-0.86,-0.39,0.42,-0.38,0.06,-1.2
"Zbtb10",1.4,0.4,0.91,0.96,0.53,0.68,1.06,-0.11,-0.09,-0.7,-0.44,-2.42,-0.01,0.13,-1.11,-1.2
"Zbed3",0.63,0.82,0.52,0.42,1.22,1.52,0.95,0.26,0.28,-0.26,-1.08,-1.95,-0.32,-0.56,-0.92,-1.52
"Klf2",1.27,1.18,0.97,0.93,0.34,0.32,0.95,1.09,-1.72,-1.34,-0.61,-1.19,-0.53,-0.29,-0.51,-0.85
"Bcl11b",1.09,1.32,1.57,0.99,0.23,-0.01,0.96,0.43,-1.9,-1.3,-0.65,-0.98,-0.64,-0.39,-0.35,-0.37
"Hivep2",1.19,1.46,1.37,1.31,0.25,0.58,0.36,0.16,-0.83,-0.84,-1.11,-1.92,-0.63,-0.56,-0.38,-0.42
"Crem",1.23,1.67,1.32,1.39,-0.68,0.32,0.39,0.48,-0.49,-1.34,-1.22,-1.24,-0.51,-0.27,-0.28,-0.77
"Ccdc17",1.51,1.14,1.5,0.64,0.68,-0.66,0.4,0.52,-0.36,-1.45,-1.12,-1.44,-0.74,0.54,-1,-0.19
"Tcf7l1",0.06,1.47,1.78,0.54,0.48,-0.23,1.03,0.66,-1.1,-1.58,-1.46,-0.8,-0.24,0.6,-0.6,-0.6
"Esr1",1.13,0.35,1.45,2.03,-0.27,1,0.22,-0.44,-0.88,-1.41,-1.33,-0.9,0.34,-0.4,-0.36,-0.53
"Cxxc5",0.65,0.94,1.04,1.01,0.61,0.92,1.03,0.81,-1.29,-0.93,-1.67,-1.36,-0.39,-0.39,0.11,-1.09
"Egr1",1.28,1.17,1.14,1.2,0.43,0.6,0.75,0.59,-1.4,-1.2,-1.33,-1.28,-0.35,-0.53,-0.32,-0.71
"Zmat1",1.22,1.1,1.03,1.33,-0.2,0.82,0.85,0.45,-1.56,-0.91,-1.49,-1.25,0.08,-0.69,-0.3,-0.48
"Tigd2",1.14,0.57,0.83,1.19,0.13,0.9,1.75,0.3,-0.75,-0.52,-1.27,-1.66,-0.2,-0.8,-1.05,-0.56
"Zfp706",0.95,0.67,0.49,1.05,0.86,1.1,0.77,0.8,-0.91,-1.08,-0.73,-1.99,0.6,-1.03,-0.86,-0.7
