from	to
PRL	PRLR
COL1A1	ITGB1
COL1A1	ITGA1
LAMC3	ITGB1
LAMC3	ITGA1
COL1A1	ITGA2
LAMC3	ITGA2
CHAD	ITGA2
CHAD	ITGB1
LAMC3	ITGA3
RELN	ITGA3
RELN	ITGB1
COMP	ITGA3
COMP	ITGB1
COL1A1	ITGA3
FN1	ITGA3
FN1	ITGB1
FN1	ITGA4
SPP1	ITGA4
SPP1	ITGB1
FN1	ITGA5
LAMC3	ITGA6
LAMC3	ITGA7
FN1	ITGA8
TNC	ITGB1
TNC	ITGA8
TNC	ITGA9
SPP1	ITGA9
COL1A1	ITGA9
LAMC3	ITGA9
COL1A1	ITGA10
COL1A1	ITGA11
FN1	ITGAV
SPP1	ITGAV
FN1	ITGB7
FN1	ITGB3
VWF	ITGAV
VWF	ITGB3
SPP1	ITGB3
TNC	ITGAV
TNC	ITGB3
IBSP	ITGAV
IBSP	ITGB3
COMP	ITGAV
COMP	ITGB3
FN1	ITGA2B
VWF	ITGA2B
COMP	ITGA2B
IBSP	ITGB5
SPP1	ITGB5
FN1	ITGB6
TNC	ITGB6
COL1A1	ITGAV
COL1A1	ITGB8
FN1	ITGB8
LAMC3	ITGAV
LAMC3	ITGB8
LAMC3	ITGB4
COL1A1	CD44
FN1	CD44
LAMC3	CD44
COL1A1	SDC1
FN1	SDC1
COMP	SDC1
TNC	SDC1
LAMC3	SV2C
COMP	CD36
VWF	GP9
VWF	GP1BB
VWF	GP1BA
VWF	GP5
COL1A1	GP6
LAMC3	DAG1
AGRN	DAG1
HSPG2	DAG1
COMP	CD47
C3	C3AR1
ADM2	CALCR
CALCB	CALCR
IAPP	CALCR
CALCA	CALCR
ADM	MRGPRX2
ADM	GPR182
ADM	CALCR
CORT	SSTR1
CORT	SSTR4
CORT	SSTR5
CORT	SSTR3
CORT	SSTR2
CORT	MRGPRX2
SST	SSTR1
SST	SSTR4
SST	SSTR5
SST	SSTR3
SST	SSTR2
CCL17	CCR4
CCL22	CCR4
RSPO1	LGR4
RSPO1	LGR6
RSPO1	LGR5
RSPO4	LGR4
RSPO4	LGR6
RSPO4	LGR5
RSPO3	LGR4
RSPO3	LGR6
RSPO3	LGR5
RSPO2	LGR4
RSPO2	LGR6
RSPO2	LGR5
CALM3	CNGA2
CALM3	PDE1C
CALM3	PDE1B
CALM3	KCNH1
CALM3	MYLK
CALM3	MYLK2
CALM3	PDE1A
CALM2	CNGA2
CALM2	PDE1C
CALM2	PDE1B
CALM2	KCNH1
CALM2	MYLK
CALM2	MYLK2
CALM2	PDE1A
INSL3	RXFP2
RLN1	RXFP1
RLN1	RXFP2
RLN2	RXFP1
RLN2	RXFP2
RLN3	RXFP3
RLN3	RXFP4
RLN3	RXFP1
RLN3	RXFP2
INSL5	RXFP3
INSL5	RXFP4
RARRES2	CMKLR1
RARRES2	GPR1
QRFP	QRFPR
ALOX5AP	ALOX5
APLN	APLNR
LHB	LHCGR
CGA	LHCGR
CGA	TSHR
CGA	FSHR
TSHB	TSHR
FSHB	FSHR
ANXA1	FPR1
ANXA1	FPR3
ANXA1	FPR2
HEBP1	FPR3
HEBP1	FPR2
CAMP	FPR2
SAA1	FPR2
APP	FPR2
CXCL2	CXCR2
CXCL5	CXCR2
PPBP	CXCR2
CXCL3	CXCR2
CXCL1	CXCR1
CXCL1	CXCR2
CXCL8	CXCR1
CXCL8	CXCR2
CXCL6	CXCR1
CXCL6	CXCR2
YARS	CXCR1
XCL2	XCR1
XCL1	XCR1
RPS19	C5AR1
C5	C5AR1
C5	C5AR2
CCL19	CXCR3
CCL19	CCRL2
CCL19	CCR7
CCL19	ACKR4
CCL21	CCR7
CCL21	ACKR4
CCL25	ACKR4
CCL25	CCR9
DEFB4A	CCR6
DEFB4B	CCR6
CCL20	CXCR3
CCL20	CCR6
CXCL12	CXCR3
CXCL12	ACKR3
CXCL12	CXCR4
CXCL11	CCR3
CXCL11	CXCR3
CXCL11	ACKR3
CXCL9	CCR3
CXCL9	CXCR3
CXCL10	CCR3
CXCL10	CXCR3
CCL5	GPR75
CCL5	CCR1
CCL5	CCR5
CCL5	CCR3
CCL5	CXCR3
CCL8	CCR8
CCL8	CCR1
CCL8	CCR5
CCL8	CCR2
CCL8	CCR3
CCL13	CCR1
CCL13	CCR5
CCL13	CCR2
CCL13	CCR3
CCL13	CXCR3
CCL7	CCR1
CCL7	CCR5
CCL7	CCR2
CCL7	CCR3
CCL7	CXCR3
CCL11	CCR5
CCL11	CCR2
CCL11	CCR3
CCL11	CXCR3
CCL24	CCR2
CCL24	CCR3
CCL26	CCR2
CCL26	CCR3
CCL2	CCR5
CCL2	CCR2
CCL2	CCR3
CCL16	HRH4
CCL16	CCR5
CCL16	CCR2
CCL14	CCR1
CCL14	CCR5
CCL4	CCR1
CCL4	CCR5
CCL3	CCR1
CCL3	CCR5
CCL23	CCR1
CCL15	CCR1
CCL15	CCR3
CCL28	CCR10
CCL28	CCR3
CCL27	CCR10
CCL1	CCR8
CSF3	CSF1R
CSF3	CSF3R
CSF1	CSF1R
CSF2	CSF2RA
CSF2	CSF1R
ANGPT4	TEK
ANGPT1	TEK
CD70	CD27
EDA	EDA2R
EDA	EDAR
EDN2	EDNRA
EDN1	EDNRA
EDN3	EDNRB
EPO	EPOR
FASLG	FAS
FLT3LG	FLT3
CXCL16	CXCR6
GALP	GALR1
GALP	GALR3
GALP	GALR2
GAL	GALR1
GAL	GALR3
GAL	GALR2
GAST	CCKAR
GAST	CCKBR
CCK	CCKAR
CCK	CCKBR
GCG	GCGR
GCG	GLP2R
GCG	GLP1R
GH2	GHR
GH1	GHR
GHRL	GHSR
GIP	GIPR
GNRH2	GNRHR
GNRH1	GNRHR
HCRT	HCRTR1
HCRT	HCRTR2
CX3CL1	CX3CR1
HGF	MET
IGF2	IGF1R
IGF1	TRPV2
IGF1	IGF1R
IL3	IL3RA
IL5	IL5RA
INS	INSR
KISS1	KISS1R
KITLG	KIT
KNG1	BDKRB1
KNG1	BDKRB2
LEP	LEPR
CXCL13	CXCR5
MLN	MLNR
MST1	MST1R
NDP	FZD4
NMB	GRPR
NMB	NMBR
GRP	GRPR
GRP	NMBR
NMU	NMUR1
NMU	NMUR2
NMS	NMUR1
NMS	NMUR2
NPPC	NPR2
NPS	NPSR1
NPW	NPBWR1
NPW	NPBWR2
NPB	NPBWR1
NPB	NPBWR2
NTF3	NGFR
NTF3	NTRK3
NGF	NGFR
NTF4	NGFR
BDNF	NGFR
NTS	NTSR1
NTS	NTSR2
COPA	NTSR2
OSTN	NPR3
OXT	AVPR2
OXT	AVPR1B
OXT	OXTR
OXT	AVPR1A
AVP	AVPR2
AVP	AVPR1B
AVP	OXTR
AVP	AVPR1A
PMCH	MCHR1
PMCH	MCHR2
PNOC	OPRL1
ARF1	PLD2
NPPB	NPR1
NPPA	NPR1
CSH2	PRLR
CSHL1	PRLR
PRL	PRLR
CSH1	PRLR
PROK2	PROKR1
PROK2	PROKR2
PROK1	PROKR1
PROK1	PROKR2
PROS1	TYRO3
PROS1	AXL
GAS6	MERTK
GAS6	TYRO3
GAS6	AXL
PSAP	GPR37
PSAP	GPR37L1
PTH2	PTH2R
PTH2	PTH1R
PTHLH	PRLHR
PTHLH	PTH2R
PTHLH	PTH1R
PRLH	PRLHR
NPY	NPY1R
NPY	NPY5R
NPY	NPY4R
NPY	NPY2R
NPY	PRLHR
PYY	NPY1R
PYY	NPY5R
PYY	NPY4R
PYY	NPY2R
PPY	NPFFR1
PPY	NPFFR2
PPY	NPY1R
PPY	NPY5R
PPY	NPY4R
NPVF	NPFFR1
NPVF	NPFFR2
NPFF	MAS1
NPFF	NPFFR1
NPFF	NPFFR2
AGT	AGTR1
AGT	AGTR2
AGT	MAS1
TAC3	TACR2
TAC3	TACR3
TAC3	TACR1
TAC4	TACR2
TAC4	TACR3
TAC4	TACR1
TAC1	TACR2
TAC1	TACR3
TAC1	TACR1
THPO	MPL
TNFSF10	TNFRSF10B
TNFSF10	TNFRSF10A
TNFSF11	TNFRSF11A
TNFSF12	TNFRSF12A
TNFSF13B	TNFRSF17
TNFSF13B	TNFRSF13C
TNFSF13B	TNFRSF13B
TNFSF13	TNFRSF17
TNFSF14	TNFRSF14
TNFSF14	LTBR
BTLA	TNFRSF14
LTA	TNFRSF1A
LTA	TNFRSF1B
LTA	TNFRSF14
TNF	TNFRSF1A
TNF	TNFRSF1B
TNFSF15	TNFRSF25
TNFSF18	TNFRSF18
TNFSF4	TNFRSF4
TNFSF8	TNFRSF8
TNFSF9	TNFRSF9
TRH	TRHR
NRG1	ERBB4
NRG1	ERBB3
NRG2	ERBB4
NRG2	ERBB3
NRG4	ERBB4
NRG3	ERBB4
BTC	EGFR
BTC	ERBB4
HBEGF	EGFR
HBEGF	ERBB4
EREG	EGFR
EREG	ERBB4
EPGN	EGFR
EGF	EGFR
TGFA	EGFR
AREG	EGFR
CRH	CRHR2
CRH	CRHR1
CRH	MC2R
UCN2	CRHR2
UCN2	CRHR1
UCN	CRHR2
UCN	CRHR1
UCN3	CRHR2
PENK	OPRD1
PENK	OPRM1
PENK	OPRK1
PENK	MRGPRX1
PDYN	OPRD1
PDYN	OPRM1
PDYN	OPRK1
POMC	MC2R
POMC	MC1R
POMC	MC4R
POMC	MC5R
POMC	MC3R
POMC	OPRD1
POMC	OPRM1
POMC	OPRK1
ASIP	MC1R
ASIP	MC4R
ASIP	MC5R
ASIP	MC3R
AGRP	MC4R
AGRP	MC5R
AGRP	MC3R
UTS2B	UTS2R
UTS2	UTS2R
VEGFB	FLT1
VEGFA	FLT1
VEGFA	KDR
PDGFC	KDR
PDGFC	FLT4
VEGFC	KDR
VEGFC	FLT4
SCT	SCTR
SCT	ADCYAP1R1
SCT	VIPR2
SCT	VIPR1
VIP	SCTR
VIP	ADCYAP1R1
VIP	VIPR2
VIP	VIPR1
ADCYAP1	ADCYAP1R1
ADCYAP1	VIPR2
ADCYAP1	VIPR1
GHRH	VIPR1
WNT4	FZD6
WNT5A	FZD6
WNT3A	FZD6
A2M	LRP1
AANAT	MTNR1A
AANAT	MTNR1B
ADAM12	ITGA9
ADAM12	ITGB1
ADAM12	SDC4
ADAM15	ITGA5
ADAM15	ITGA9
ADAM15	ITGB1
ADAM15	ITGB3
ADAM17	ITGA5
ADAM17	ITGB1
ADAM23	ITGA5
ADAM23	ITGB3
ADAM2	ITGA6
ADAM2	ITGB1
ADAM9	ITGA6
ADAM9	ITGAV
ADAM9	ITGB1
ADAM9	ITGB5
ADCYAP1	ADCYAP1R1
ADCYAP1	VIPR1
ADCYAP1	VIPR2
ADIPOQ	ADIPOR1
ADIPOQ	ADIPOR2
ADM2	CALCR
ADM2	CALCRL
ADM2	RAMP1
ADM	CALCR
ADM	CALCRL
ADM	GPR182
ADM	MRGPRX2
ADM	RAMP2
AGRN	MUSK
AGRP	MC3R
AGRP	MC4R
AGRP	MC5R
AGT	AGTR1
AGT	AGTR2
AGT	LRP2
AGT	MAS1
ALOX5AP	ALOX5
AMH	AMHR2
ANGPT1	TEK
ANGPT1	TIE1
ANGPT2	TEK
ANGPT4	TEK
ANGPTL1	TEK
ANXA1	FPR1
ANXA1	FPR2
ANXA1	FPR3
APLN	APLNR
APOB	LDLR
APOE	LDLR
APOE	LRP5
APOE	LRP8
APOE	SORL1
APOE	VLDLR
APP	FPR2
AREG	EGFR
ARF1	PLD2
ARTN	GFRA3
ARTN	RET
ASIP	ATRN
ASIP	MC1R
ASIP	MGRN1
AVP	AVPR1A
AVP	AVPR1B
AVP	AVPR2
AVP	OXTR
BDNF	NGFR
BDNF	NTRK2
BMP10	ACVR1
BMP10	ACVR2A
BMP10	ACVR2B
BMP10	ACVRL1
BMP10	BMPR1A
BMP10	BMPR1B
BMP10	BMPR2
BMP15	ACVR1
BMP15	ACVR2A
BMP15	ACVR2B
BMP15	BMPR1A
BMP15	BMPR1B
BMP15	BMPR2
BMP2	ACVR1
BMP2	ACVR2A
BMP2	ACVR2B
BMP2	BMPR1A
BMP2	BMPR1B
BMP2	BMPR2
BMP3	ACVR1
BMP3	ACVR2A
BMP3	ACVR2B
BMP3	BMPR1A
BMP3	BMPR1B
BMP3	BMPR2
BMP4	ACVR1
BMP4	ACVR2A
BMP4	ACVR2B
BMP4	BMPR1A
BMP4	BMPR1B
BMP4	BMPR2
BMP5	ACVR1
BMP5	ACVR2A
BMP5	ACVR2B
BMP5	BMPR1A
BMP5	BMPR1B
BMP5	BMPR2
BMP6	ACVR1
BMP6	ACVR2A
BMP6	ACVR2B
BMP6	BMPR1A
BMP6	BMPR1B
BMP6	BMPR2
BMP7	ACVR1
BMP7	ACVR2A
BMP7	ACVR2B
BMP7	BMPR1A
BMP7	BMPR1B
BMP7	BMPR2
BMP8B	ACVR1
BMP8B	ACVR2A
BMP8B	ACVR2B
BMP8B	BMPR1A
BMP8B	BMPR1B
BMP8B	BMPR2
BTC	EGFR
BTC	ERBB3
BTC	ERBB4
BTLA	TNFRSF14
C3	C3AR1
C3	ITGAX
C3	ITGB2
C3	LRP1
C5	C5AR1
C5	C5AR2
CALCA	CALCR
CALCA	CALCRL
CALCA	RAMP1
CALCB	CALCR
CALCB	CALCRL
CALCB	RAMP1
CALM2	MYLK
CALM2	MYLK2
CALM2	PDE1A
CALM2	PDE1B
CALM2	PDE1C
CALM3	MYLK
CALM3	MYLK2
CALM3	PDE1A
CALM3	PDE1B
CALM3	PDE1C
CALR	SCARF1
CAMP	FPR2
CCK	CCKAR
CCK	CCKBR
CCL11	ACKR2
CCL11	CCR2
CCL11	CCR3
CCL11	CCR5
CCL11	CXCR3
CCL13	ACKR2
CCL13	CCR1
CCL13	CCR2
CCL13	CCR3
CCL13	CCR5
CCL13	CXCR3
CCL14	ACKR2
CCL14	CCR1
CCL14	CCR5
CCL15	CCR1
CCL15	CCR3
CCL16	CCR1
CCL16	CCR2
CCL16	CCR5
CCL16	HRH4
CCL17	CCR4
CCL17	CCR8
CCL19	ACKR4
CCL19	CCR7
CCL19	CCRL2
CCL19	CXCR3
CCL1	CCR8
CCL20	CCR6
CCL20	CXCR3
CCL21	ACKR4
CCL21	CCR7
CCL21	CXCR3
CCL22	CCR4
CCL23	CCR1
CCL24	CCR2
CCL24	CCR3
CCL25	ACKR4
CCL25	CCR9
CCL26	CCR2
CCL26	CCR3
CCL27	CCR10
CCL28	CCR10
CCL28	CCR3
CCL2	ACKR2
CCL2	CCR1
CCL2	CCR2
CCL2	CCR3
CCL2	CCR4
CCL2	CCR5
CCL3	CCR1
CCL3	CCR5
CCL4	ACKR2
CCL4	CCR1
CCL4	CCR5
CCL4	CCR8
CCL5	ACKR2
CCL5	CCR1
CCL5	CCR3
CCL5	CCR4
CCL5	CCR5
CCL5	CXCR3
CCL5	GPR75
CCL7	ACKR2
CCL7	CCR1
CCL7	CCR2
CCL7	CCR3
CCL7	CCR5
CCL7	CXCR3
CCL8	ACKR2
CCL8	CCR1
CCL8	CCR2
CCL8	CCR3
CCL8	CCR5
CD24	SELP
CD70	CD27
CFH	SELL
CGA	FSHR
CGA	LHCGR
CGA	TSHR
CHAD	ITGA2
CHAD	ITGB1
CLCF1	CNTFR
CLCF1	CRLF1
CLCF1	IL6ST
CLCF1	LIFR
CLEC11A	KIT
CNTF	CNTFR
CNTF	IL6ST
CNTF	LIFR
COL18A1	GPC1
COL18A1	ITGA5
COL18A1	ITGB1
COL1A1	DDR1
COL1A1	DDR2
COL1A1	ITGA11
COL1A1	ITGA2
COL1A1	ITGB1
COL2A1	ITGA10
COL2A1	ITGA2
COL2A1	ITGB1
COL4A1	ITGA1
COL4A1	ITGB1
COL4A1	ITGB8
COL5A3	SDC3
CORT	GHSR
CORT	MRGPRX2
CORT	SSTR1
CORT	SSTR2
CORT	SSTR3
CORT	SSTR4
CORT	SSTR5
CRH	CRHR1
CRH	CRHR2
CRH	MC2R
CSF1	CSF1R
CSF2	CSF1R
CSF2	CSF2RA
CSF2	CSF2RB
CSF2	CSF3R
CSF3	CSF1R
CSF3	CSF3R
CSH1	PRLR
CSH2	PRLR
CSHL1	PRLR
CTF1	IL6ST
CTF1	LIFR
CTGF	ITGAM
CTGF	ITGB2
CTGF	LRP6
CX3CL1	CX3CR1
CXCL10	CCR3
CXCL10	CXCR3
CXCL11	ACKR3
CXCL11	CCR3
CXCL11	CXCR3
CXCL12	ACKR3
CXCL12	CXCR3
CXCL12	CXCR4
CXCL13	CXCR5
CXCL16	CXCR6
CXCL1	CXCR1
CXCL1	CXCR2
CXCL2	CXCR1
CXCL2	CXCR2
CXCL2	XCR1
CXCL3	CXCR1
CXCL3	CXCR2
CXCL5	CXCR1
CXCL5	CXCR2
CXCL6	CXCR1
CXCL6	CXCR2
CXCL9	CCR3
CXCL9	CXCR3
CYR61	ITGA5
CYR61	ITGAM
CYR61	ITGB2
CYR61	ITGB3
DEFB4A	CCR6
DEFB4B	CCR6
DHH	HHIP
DHH	PTCH2
DKK1	KREMEN1
DKK1	KREMEN2
DKK1	LRP6
DKK2	LRP6
DLK1	NOTCH1
DLK1	NOTCH2
DLK1	NOTCH3
DLK1	NOTCH4
DLL1	NOTCH1
DLL1	NOTCH2
DLL1	NOTCH3
DLL1	NOTCH4
DLL3	NOTCH1
DLL3	NOTCH2
DLL3	NOTCH3
DLL3	NOTCH4
DLL4	NOTCH1
DLL4	NOTCH2
DLL4	NOTCH3
DLL4	NOTCH4
DUSP18	CD151
DUSP18	ITGA1
DUSP18	ITGA2
DUSP18	ITGA3
DUSP18	ITGA6
DUSP18	ITGA7
DUSP18	ITGB1
DUSP18	ITGB4
DUSP18	RPSA
EDA	EDA2R
EDA	EDAR
EDN1	EDNRA
EDN2	EDNRA
EDN3	EDNRB
EFNA1	EPHA1
EFNA1	EPHA2
EFNA1	EPHA3
EFNA1	EPHA4
EFNA1	EPHA5
EFNA1	EPHA6
EFNA1	EPHA7
EFNA1	EPHA8
EFNA2	EPHA1
EFNA2	EPHA2
EFNA2	EPHA3
EFNA2	EPHA4
EFNA2	EPHA5
EFNA2	EPHA6
EFNA2	EPHA7
EFNA2	EPHA8
EFNA5	EPHA1
EFNA5	EPHA2
EFNA5	EPHA3
EFNA5	EPHA4
EFNA5	EPHA5
EFNA5	EPHA6
EFNA5	EPHA7
EFNA5	EPHA8
EFNA5	EPHB2
EFNB1	EPHA4
EFNB1	EPHB1
EFNB1	EPHB2
EFNB1	EPHB3
EFNB1	EPHB4
EFNB1	EPHB6
EFNB2	EPHA4
EFNB2	EPHB1
EFNB2	EPHB2
EFNB2	EPHB3
EFNB2	EPHB4
EFNB2	EPHB6
EGF	EGFR
EPGN	EGFR
EPO	EPOR
EREG	EGFR
EREG	ERBB4
F2	F2R
F2	F2RL1
F2	F2RL2
F2	F2RL3
F7	F3
F8	LRP1
F9	LRP1
FASLG	FAS
FASLG	TNFRSF6B
FGA	ITGAX
FGA	ITGB2
FGF10	FGFR1
FGF10	FGFR2
FGF10	FGFR3
FGF10	FGFR4
FGF11	FGFR1
FGF11	FGFR2
FGF11	FGFR3
FGF11	FGFR4
FGF12	FGFR1
FGF12	FGFR2
FGF12	FGFR3
FGF12	FGFR4
FGF13	FGFR1
FGF13	FGFR2
FGF13	FGFR3
FGF13	FGFR4
FGF14	FGFR1
FGF14	FGFR2
FGF14	FGFR3
FGF14	FGFR4
FGF16	FGFR1
FGF16	FGFR2
FGF16	FGFR3
FGF16	FGFR4
FGF17	FGFR1
FGF17	FGFR2
FGF17	FGFR3
FGF17	FGFR4
FGF18	FGFR1
FGF18	FGFR2
FGF18	FGFR3
FGF18	FGFR4
FGF19	FGFR1
FGF19	FGFR2
FGF19	FGFR3
FGF19	FGFR4
FGF1	FGFR1
FGF1	FGFR2
FGF1	FGFR3
FGF1	FGFR4
FGF22	FGFR2
FGF23	FGFR1
FGF23	FGFR2
FGF23	FGFR4
FGF2	FGFR1
FGF2	FGFR2
FGF2	FGFR3
FGF2	FGFR4
FGF2	SDC2
FGF2	SDC4
FGF3	FGFR1
FGF3	FGFR2
FGF4	FGFR1
FGF4	FGFR2
FGF4	FGFR3
FGF4	FGFR4
FGF5	FGFR1
FGF5	FGFR2
FGF5	FGFR3
FGF5	FGFR4
FGF6	FGFR1
FGF6	FGFR2
FGF6	FGFR4
FGF7	FGFR2
FGF8	FGFR1
FGF8	FGFR2
FGF8	FGFR3
FGF8	FGFR4
FGF9	FGFR1
FGF9	FGFR2
FGF9	FGFR3
FGF9	FGFR4
FLT3LG	FLT3
FN1	ITGA2
FN1	ITGA2B
FN1	ITGA4
FN1	ITGA5
FN1	ITGA8
FN1	ITGB1
FN1	ITGB3
FN1	ITGB6
FN1	ITGB8
FN1	SDC2
FSHB	FSHR
GAD1	GRM4
GALP	GALR1
GALP	GALR2
GALP	GALR3
GAL	GALR1
GAL	GALR2
GAL	GALR3
GAS6	AXL
GAS6	MERTK
GAS6	TYRO3
GAST	CCKBR
GCG	GCGR
GCG	GLP1R
GCG	GLP2R
GDF11	ACVR1B
GDF11	ACVR2A
GDF11	ACVR2B
GDF2	ACVRL1
GDF5	BMPR1B
GDF5	BMPR2
GDF5	ROR2
GDF6	BMPR1A
GDF6	BMPR2
GDF7	ACVR2A
GDF7	BMPR1A
GDF7	BMPR2
GDF9	BMPR2
GDF9	TGFBR1
GDNF	GFRA1
GDNF	GFRA2
GDNF	RET
GH1	GHR
GH2	GHR
GHRH	GHRHR
GHRH	VIPR1
GHRL	GHSR
GHRL	GPR39
GIP	GIPR
GNRH1	GNRHR
GNRH2	GNRHR
GPHA2	TSHR
GPI	AMFR
GRP	GRPR
GSTP1	TRAF2
GUCA2A	GUCY2C
GUCA2B	GUCY2C
GZMB	IGF2R
HAS2	CD44
HAS2	HMMR
HBEGF	EGFR
HBEGF	ERBB4
HCRT	HCRTR1
HCRT	HCRTR2
HDC	HRH1
HDC	HRH2
HDC	HRH3
HDC	HRH4
HEBP1	FPR3
HGF	MET
HLA-A	KIR3DL2
HLA-B	KIR3DL1
HLA-C	KIR2DL1
HLA-C	KIR2DL3
HLA-C	KIR2DS4
HLA-E	KLRC1
HLA-E	KLRC2
HLA-E	KLRD1
HLA-G	KIR2DL4
HLA-G	KLRC1
HLA-G	KLRD1
HLA-G	LILRB1
HSP90B1	LRP1
HSPG2	PTPRS
IAPP	CALCR
ICAM3	ITGAL
