"","MoDC_6H_M4","MoDC_6H_M1","MoDC_6H_M2","MoDC_6H_M3","MoDC_48Hwash_M4","MoDC_48Hwash_M3","MoDC_48Hwash_M1","MoDC_48Hwash_M2","Naive_MoDC_M3","Naive_MoDC_M1","Naive_MoDC_M2"
"P2ry14",1.52,0.76,1.31,1.17,-0.34,-0.26,-0.51,-0.58,-1.25,-0.79,-1.03
"Tnfrsf1b",1.25,1.09,1.1,1.04,-0.09,-0.17,-0.24,-0.28,-1.61,-1.05,-1.04
"Tlr2",1.54,1.02,1.01,1.14,-0.22,-0.25,-0.61,-0.54,-0.54,-1.3,-1.23
"Cd47",1.16,1.08,1.19,0.99,0.49,-0.43,-0.49,-0.57,-0.78,-1.37,-1.28
"F2rl2",-0.47,-0.27,0.52,1.33,-0.92,-0.86,-0.82,-1.11,-0.17,1,1.77
"Slc40a1",0.74,0.23,-0.18,-0.43,-1.03,-0.52,-0.53,-1.08,-0.64,1.87,1.57
"Cd34",1.01,-0.46,-0.54,0.46,-0.74,-1.17,-0.59,-0.9,-0.27,1.72,1.47
"Cd74",1.03,0.13,0.61,0.24,-1.92,-0.55,-0.77,-0.57,1.87,-0.27,0.2
"Nrp1",-0.26,0.55,0.23,0.35,-2.05,-0.7,-0.44,-0.62,1.91,0.6,0.41
"Ryr1",-0.47,0.22,0.3,0.17,-2.06,-0.4,-0.78,-0.51,1.5,0.88,1.15
"Il12rb2",1.42,0.52,1.42,0.73,-1.35,-0.89,-1.03,-1.08,-0.35,0.27,0.34
"F3",1.13,0.64,0.82,0.97,-1.79,-0.99,-1.07,-0.92,0.57,0.19,0.46
"Mertk",0.35,0.7,1.51,0.86,-2.44,-0.2,-0.49,-0.23,-0.19,0.19,-0.06
"Itga4",0.93,1.25,1.16,0.98,-1.76,0.1,-0.85,-0.95,-0.76,-0.06,-0.03
"Rack1",1.32,0.84,0.98,0.78,-2.11,-0.1,-0.3,-0.91,-0.75,0.03,0.23
"Itga2b",0.07,0.16,1.72,0.88,-1.16,-1.07,-0.93,-1.24,0.24,0.19,1.12
"Gp5",0.25,0.76,1.98,0.64,-1,-1.19,-0.9,-1.19,-0.2,0.36,0.48
"Gp9",-0.16,0.54,2.21,0.26,-1.35,-1.08,-0.46,-0.87,-0.2,0.36,0.75
"Csf2ra",0.22,1.4,0.53,0.82,-2.24,-0.42,-0.82,-0.7,0.64,0.03,0.54
"Siglecf",-0.28,0.46,0.87,0.63,-2.44,-0.21,-0.22,-0.65,-0.15,0.76,1.22
"Gpr84",1.41,1.15,1.09,1,0.21,-0.35,-0.91,-0.91,-0.5,-1.17,-1.02
"Epha4",1.4,1.14,1.13,1.13,0.02,-0.68,-0.75,-1.27,-0.47,-0.77,-0.87
"Ntng2",1.84,0.68,0.96,0.94,0.07,-1.08,-0.69,-1.08,0.11,-0.96,-0.79
"Plaur",1.34,1.08,0.97,1.4,-0.22,-1.15,-0.79,-1.02,-0.17,-0.8,-0.65
"Cd247",1.49,0.84,0.82,1.17,-1.28,-0.5,-1.04,-0.94,0.61,-0.34,-0.83
"Ifnar1",1.85,0.94,0.55,0.87,-0.45,0.06,-1.06,-1.01,0.21,-1.36,-0.61
"Tnfrsf8",1.94,0.92,1.27,0.35,-1.14,-0.34,-0.53,-0.22,-0.4,-0.86,-0.99
"Flt1",1.23,1.11,1.22,1.12,-1.61,-0.56,-0.19,-0.26,-0.54,-0.54,-0.96
"Axl",1.1,0.95,1.29,1.15,-1.9,-0.12,-0.48,-0.37,-0.34,-0.65,-0.62
"Erap1",0.67,1.48,1.17,1.21,-0.83,-0.41,-0.81,-0.28,-0.3,-1.67,-0.23
"Itga5",0.46,1.8,1.09,0.78,-0.78,-1.1,-0.56,-0.08,0.42,-1.44,-0.6
"Ptpn6",0.2,1.66,1.51,1.04,-0.71,-1.04,-0.27,-0.28,-0.06,-1.14,-0.9
"Rrbp1",0.68,1.36,1.39,1.27,-0.81,-0.97,-0.41,-0.41,0,-0.99,-1.11
"Flt4",0.93,0.19,1.77,1.48,-1.1,-0.73,-0.7,-0.15,0.08,-0.96,-0.79
"Ccr9",0.93,0.5,1.6,1.58,-0.9,-1.12,-0.75,-0.81,-0.22,-0.7,-0.13
"Nrxn2",0.74,1.09,1.37,1.34,-1.33,-1,-0.93,-0.36,-0.41,-0.76,0.26
"Acvr1",0.16,1.42,1.73,1.19,-0.61,-0.17,-1.02,-0.62,-1.11,-0.62,-0.35
"Pcdh7",0.52,1.44,1.2,1.33,-0.49,-0.78,-0.99,-1.07,-1.2,0.13,-0.1
"Met",0.66,0.86,1.33,1.53,-0.4,-0.62,-0.39,-0.82,-1.72,0.17,-0.6
"Alcam",0.95,0.93,1.37,1.22,-0.62,-0.32,-0.57,-0.69,-1.87,-0.09,-0.32
"Vcam1",0.73,1.23,1.46,1.4,-0.95,-0.8,-0.94,-0.91,-0.29,-0.24,-0.68
"Klrk1",1.15,1.28,1.37,1.05,-0.85,-1.12,-0.88,-0.9,-0.22,-0.28,-0.61
"Itpr1",1.18,1.34,1.44,0.94,-0.97,-0.69,-0.9,-0.93,-0.68,-0.27,-0.46
"Ldlr",0.97,1.39,1.29,1.12,-0.61,-0.7,-1.13,-1.18,-0.58,0.03,-0.59
"Fzd5",0.85,1.3,1.58,0.95,-0.05,-0.79,-1.11,-1.1,-0.92,-0.28,-0.44
"Cd44",1.02,1.19,1.22,1.33,0,-0.97,-0.93,-1.27,-0.69,-0.4,-0.5
"Lpar1",1.1,1.26,1.4,1.18,-0.54,-0.71,-1.22,-0.66,-0.43,-0.68,-0.69
"Itgb1",1.2,0.99,1.43,1.35,-0.62,-0.7,-0.87,-0.76,-0.92,-0.7,-0.4
"Cd274",1.17,1.15,1.23,1.17,0.2,-0.56,-0.68,-0.64,-1.33,-0.84,-0.86
"Sdc4",0.79,1.29,1.43,1.2,0.1,-0.93,-0.65,-0.37,-0.9,-0.89,-1.09
"Traf2",0.64,1.5,1.27,1.28,-0.03,-0.96,-0.47,-0.52,-1.23,-0.85,-0.64
"Notch2",1.06,1.3,1.34,1.23,-0.64,-0.21,-0.81,-0.76,-1.05,-0.77,-0.69
"Nrp2",0.97,1.31,1.26,1.27,-0.7,-0.32,-0.49,-0.43,-1.44,-0.66,-0.77
"Il17ra",1.34,1.33,1.18,1,-0.57,-0.64,-0.34,-0.34,-1.29,-0.83,-0.85
"Agtrap",1.46,1.36,1.17,0.97,-0.71,-0.55,-0.55,-0.72,-1,-0.89,-0.55
"Nlgn2",0.98,1.42,1.34,1.21,-0.91,-0.85,-0.67,-0.28,-0.8,-0.62,-0.82
"Lrp11",1.1,1.1,1.39,1.28,-1.13,-0.36,-0.44,-0.33,-0.99,-0.8,-0.82
"Tlr1",0.48,1.54,1.54,1.2,-0.84,-0.24,-0.5,-0.67,-0.66,-0.89,-0.96
"Icam1",0.73,1.4,1.46,1.34,-0.67,-0.61,-0.77,-0.72,-0.57,-0.66,-0.94
"Fzd1",0.59,1.44,1.55,1.3,-0.89,-0.49,-0.87,-0.7,-0.7,-0.6,-0.61
"Cd40",1.12,1.29,1.35,1.23,-0.42,-0.75,-0.91,-0.9,-0.59,-0.56,-0.86
"Ccrl2",0.94,1.31,1.4,1.33,-0.36,-0.77,-0.78,-0.79,-0.82,-0.71,-0.74
"Hcar2",1.13,1.28,1.29,1.25,-0.41,-0.85,-0.53,-0.79,-0.43,-0.97,-0.97
"Adora2a",0.89,1.45,1.34,1.22,-0.28,-0.57,-0.83,-0.74,-0.57,-1.06,-0.84
"Pdgfrb",0.72,1.5,1.41,1.22,-0.34,-0.77,-0.79,-0.77,-0.37,-0.83,-1
"Tnfrsf1a",1.3,1.32,1.37,0.87,-0.8,-0.32,-0.74,-0.63,-0.37,-1.22,-0.79
"Calcrl",0.95,1.26,1.38,1.25,-0.59,-0.1,-0.54,-0.71,-0.74,-1.08,-1.08
"Ogfr",0.99,1.36,1.32,1.28,-0.84,-0.51,-0.46,-0.5,-0.82,-1.01,-0.81
"Il15ra",1.09,1.3,1.3,1.33,-0.74,-0.62,-0.73,-0.71,-0.75,-0.84,-0.64
"Kremen1",1.14,1.25,1.32,1.27,-0.65,-0.62,-0.59,-0.62,-0.58,-1.11,-0.81
"Il13ra1",0.09,0.89,1.65,1.03,0.54,-0.23,-1.11,-1.19,0.31,-0.56,-1.42
"Cysltr2",-0.3,0.93,1.8,1.26,-0.56,-0.2,-0.8,-0.24,0.42,-0.76,-1.56
"Htr2a",-0.77,1.09,1.35,1.83,0.25,-0.16,-1.1,-0.95,-0.5,-0.72,-0.32
"Cdh5",-0.56,1.4,1.76,0.87,-0.61,-0.75,-1.5,-0.53,-0.22,-0.35,0.49
"S1pr4",-0.46,1.43,1.3,1.37,-0.68,-0.84,-1.45,-0.83,0.27,-0.3,0.18
