"","MoDC_6H_M4","MoDC_6H_M1","MoDC_6H_M2","MoDC_6H_M3","MoDC_48Hwash_M4","MoDC_48Hwash_M3","MoDC_48Hwash_M1","MoDC_48Hwash_M2","Naive_MoDC_M3","Naive_MoDC_M1","Naive_MoDC_M2"
"Entr1",0.47,1.12,1.41,0.36,0.2,-1.52,-0.62,-1.19,1.11,-0.92,-0.43
"Yju2",0.26,0.7,1.57,1.14,-0.34,-1.52,-1.08,-0.48,1.01,-0.82,-0.45
"Rab43",0.83,0.83,0.69,0.99,0.03,-1.95,-0.92,-0.54,1.21,-0.77,-0.41
"Cct7",0.97,1.01,0.99,1.06,0.1,-1.65,-1.03,-0.63,0.73,-0.7,-0.86
"Trappc3",0.9,0.97,0.96,1.19,0.46,-0.74,-1.32,-1.25,0.56,-0.98,-0.75
"Pkn2",0.99,1.12,1.18,1.13,0.1,-1.02,-0.82,-1.08,0.41,-0.9,-1.11
"Rock1",0.67,1.06,1.18,1.27,0.15,-0.79,-0.75,-1.4,0.55,-0.73,-1.19
"Gem",0.98,0.68,1.09,1.1,0.21,-1.06,-0.66,-0.67,0.89,-1.18,-1.39
"Birc2",1.05,0.54,1.01,0.97,0.64,-0.89,-0.66,-0.87,0.85,-1.41,-1.23
"Brpf3",1.45,0.71,0.92,1.03,0.39,-0.91,-1.09,-0.75,0.49,-1.15,-1.09
"Nploc4",1.07,0.76,1.04,1.14,0.74,-1.03,-0.81,-0.92,0.34,-1.22,-1.1
"Timm23",0.9,0.49,1.38,1.54,0.07,-0.73,-0.69,-0.72,0.25,-1.25,-1.22
"Jdp2",1.26,0.49,1.35,1.13,0.31,-1.32,-0.57,-0.96,0.23,-1.15,-0.78
"Asb13",1.6,0.81,0.78,0.71,-0.45,-1,-0.73,-1,0.85,-1.49,-0.07
"Gm44080",1.5,0.9,1.04,0.79,-0.21,-1.19,-0.84,-0.88,0.74,-1.03,-0.82
"Marf1",1.76,0.77,0.63,0.68,-0.77,-0.91,-0.62,-0.86,1.11,-1.04,-0.75
"Ppp4r2",1.63,-0.09,1.13,0.6,0.1,-1.26,-0.46,-1,1.14,-1,-0.79
"Baz1a",1.16,0.64,0.65,0.82,0.36,-1.3,-0.82,-1.2,1.33,-1.07,-0.57
"Mdm4",1.85,0.27,0.62,0.78,-0.3,-0.62,-0.8,-0.65,0.68,0.03,-1.87
"Zfyve27",0.68,1.15,1.1,0.95,-0.16,-0.87,-0.28,-0.99,0.58,-0.2,-1.97
"Tnpo3",0.86,1.21,1.23,0.91,0.01,-1.04,-0.87,-0.64,0.1,0.02,-1.79
"Rbmxl1",1.39,0.75,0.49,0.65,-0.74,-0.03,-0.28,-0.57,1.26,-1.33,-1.59
"Clec2d",1.03,0.54,1.02,1.06,-1.38,-0.61,-0.75,-0.72,1.34,-0.53,-1.02
"Zcchc9",1.4,0.25,0.58,0.87,-0.96,-0.86,-0.8,-0.35,1.68,-0.83,-0.98
"Pptc7",0.89,0.53,1.39,0.91,-1.11,-1.25,-0.37,-0.41,1.2,-1.08,-0.69
"Tram2",1.07,0.88,1.17,1.03,-1.27,-1.37,-0.12,-0.75,0.71,-0.36,-0.98
"Rilpl1",1.05,1.08,1.43,1.05,-0.95,-1.06,-0.46,-0.78,0.4,-1.02,-0.74
"Chmp4b",1,0.98,1.33,1.1,-0.95,-1.05,-0.77,-0.92,0.75,-0.73,-0.73
"Lck",1.13,1.23,0.97,0.96,-1.13,-0.42,-0.66,-0.78,0.78,-1.27,-0.79
"Rnaset2b",1.01,1.38,1.22,0.97,-1.06,-0.23,-0.67,-0.77,0.28,-1.26,-0.86
"Rnf11",1.11,1,1.46,0.99,-0.91,-0.35,-0.89,-0.78,0.34,-1.34,-0.65
"Stk38l",0.83,1.1,1,1.26,-0.58,-0.48,-0.8,-0.57,0.8,-1.45,-1.12
"Slc25a43",0.75,1.22,1.33,0.79,-0.94,-0.37,-0.75,-0.55,0.9,-1.07,-1.31
"Spsb1",1.21,1.44,0.86,1.17,-0.52,-1.01,-0.93,-0.5,0.23,-0.86,-1.08
"Celf1",0.84,1.51,0.98,1.25,-0.87,-0.83,-0.71,-0.64,0.4,-1.22,-0.71
"Pmepa1",0.67,1.26,1.02,1.4,-0.3,-0.75,-0.58,-0.84,0.55,-1.34,-1.08
"Eva1b",0.92,1.07,1.23,1.33,-0.23,-0.87,-0.45,-0.84,0.28,-1.17,-1.26
"Mfsd7a",1.06,1.08,1.27,1.24,-0.76,-0.7,-0.52,-0.62,0.29,-1.2,-1.14
"Sat1",1.2,1.07,1.13,1.09,-0.68,-0.56,-0.33,-0.56,0.34,-1.41,-1.3
"Psmb9",0.78,1.17,1.44,1.02,-0.51,-0.73,-0.7,-0.31,0.41,-1.15,-1.42
"Crlf3",0.7,1.42,1.42,1,-0.66,-0.43,-0.6,-0.73,0.27,-1.18,-1.23
"Snrnp35",0.49,1.38,1.56,0.56,-0.25,-1.27,-0.94,-0.91,0.77,-0.43,-0.97
"Carm1",0.47,1.3,1.22,0.63,-0.22,-1.62,-0.99,-0.07,1.01,-0.79,-0.94
"Hnrnpu",0.43,0.99,1.53,0.69,-0.09,-1.13,-0.44,-0.08,0.85,-1.47,-1.29
"Crtc2",0.92,1.47,0.96,0.84,0.14,-0.84,-1.17,-0.3,0.43,-1.04,-1.39
"Lcp2",0.91,1.09,1.32,1.07,0.02,-0.79,-0.8,-0.6,0.32,-0.96,-1.56
"Armc8",0.73,1.56,1.3,0.84,-0.32,-0.62,-0.83,-0.39,0.18,-0.85,-1.6
"Spata5l1",0.89,1.2,0.62,0.75,0.26,-0.78,-0.25,-1.67,1.06,-1.02,-1.07
"Ythdf2",1.03,1.18,0.77,0.91,-0.01,-0.76,-0.7,-1.7,0.92,-0.82,-0.81
"Psma4",0.94,0.86,1.02,1.18,-0.66,-0.82,-0.88,-1.08,1.1,-0.43,-1.23
"Ptbp3",0.82,0.7,1.28,0.95,0.08,-0.69,-1.16,-1.35,1,-0.39,-1.23
"Nemp1",0.55,1.06,1.46,0.85,-0.34,-0.29,-0.38,-1.13,0.8,-1.08,-1.51
"Chd1",0.22,1.01,1.4,1.2,0.01,-0.77,-0.54,-0.99,0.79,-0.78,-1.55
"Yars",0.15,1.53,1.07,0.77,-0.59,-0.62,-0.81,-0.79,1.31,-0.7,-1.31
"Safb",0.46,1.42,0.91,0.89,0.13,-1.16,-0.62,-0.81,1.05,-0.91,-1.35
"Apol11b",1.31,-0.18,0.82,1.23,-1.07,-0.66,-1.04,-1.06,0.22,1.25,-0.81
"Gimap6",1.5,-0.22,0.82,1.01,-1.11,-0.74,-1.24,-1,0.2,1.22,-0.43
"Cel",2.14,-0.63,0.4,0.66,-0.83,-0.81,-0.8,-0.81,0.06,1.2,-0.57
"Gypa",1.89,-0.44,1.02,0.87,-1.02,-0.42,-0.98,-1,-0.1,0.88,-0.7
"Cd3g",1.88,-0.88,0.85,0.61,-1,-0.21,-1.15,-0.96,0.37,0.97,-0.48
"Iglc3",1.36,-0.69,0.84,1.47,-0.73,-0.8,-1.04,-0.46,-0.55,1.26,-0.67
"Trbv14",1.63,-0.45,1.09,1.17,-0.5,-1.01,-0.97,-0.78,-0.25,0.96,-0.88
"Cd8a",1.49,-0.79,1.24,1.22,-0.61,-0.69,-1.19,-0.68,-0.26,0.93,-0.68
"Pnlip",1.07,-0.69,0.97,1.47,-0.94,-0.91,-0.69,-0.91,-0.09,1.36,-0.63
"Retnlg",1.18,-0.82,1.55,1.18,-0.92,-0.56,-1.06,-0.88,-0.16,0.94,-0.45
"Xcl1",0.93,-0.91,1.47,1.24,-1.06,-0.72,-0.83,-0.59,-0.21,1.25,-0.56
"Try4",1.21,-0.65,1.88,0.34,-0.86,-0.84,-0.83,-0.84,0.04,1.13,-0.6
"Ctrb1",1.26,-0.69,1.39,0.79,-0.92,-0.9,-0.89,-0.71,-0.09,1.41,-0.64
"Cpa1",2.01,-0.64,1.36,0.41,-0.84,-0.83,-0.81,-0.83,0.07,0.69,-0.58
"Fosb",1.56,-0.14,1.37,0.69,-0.88,-1.01,-0.99,-0.84,-0.16,1.09,-0.69
"Igkv1-135",1.82,-0.11,0.86,0.84,-0.99,-0.97,-0.96,-0.97,0.24,0.94,-0.72
"Art3",1.63,0.11,1.11,0.85,-0.55,0.33,-1.43,-1.59,-0.4,0.32,-0.39
"Camp",1.86,0.04,1.06,0.78,0.16,-0.96,-1.31,-1.26,0.18,0.16,-0.7
"Spry1",1.4,-0.26,1.63,1.23,0.1,-1,-1.22,-0.99,-0.16,-0.25,-0.48
"Il2rb",1.39,-0.67,1.49,1.37,0.04,-0.74,-0.98,-1.04,-0.45,0.36,-0.77
"Gm9761",0.64,-0.72,1.2,2.24,-0.73,-0.65,-0.45,-0.94,0.32,-0.36,-0.56
"Cxcl11",1.2,-0.16,1.53,1.5,-1.01,-0.61,-0.98,-0.99,0.19,0.08,-0.74
"Car1",1.23,-0.69,1.26,1.75,-0.66,-0.89,-0.88,-0.89,0.03,0.38,-0.64
"Gzmb",1.65,-0.54,1.5,1.32,-0.76,-0.3,-1.2,-0.71,-0.12,-0.42,-0.42
"Ddx4",1.67,-0.66,1.12,1.72,-0.89,-0.64,-0.61,-0.64,-0.02,-0.45,-0.61
"Csf2",1.75,-0.68,1.17,1.51,-0.93,-0.52,-0.89,-0.52,-0.08,-0.78,-0.02
"Or10aa1",0.86,-0.13,1.55,1.92,-0.79,-0.77,-0.76,-0.77,0.13,-0.68,-0.55
"Ido2",0.96,0.03,1.48,1.86,-0.35,-0.87,-1.24,-0.7,-0.21,-0.4,-0.56
"Mycl",1.16,0.13,1.3,1.74,-1.05,-1.03,-0.39,-1.03,0.05,-0.13,-0.75
"Gm4841",1.35,0.35,1.62,1.3,-0.91,-0.89,-0.87,-0.89,0.01,-0.44,-0.63
"Sephs1",1.41,0.56,1.25,1.44,-1.03,-1.06,-0.66,-0.81,0.09,-0.4,-0.79
"Gm9385",1.55,0.47,1.19,0.81,-1.16,-0.6,-0.22,-1.52,0.62,-0.26,-0.87
"Cul2",1.52,0.31,1.52,0.9,-0.84,-0.77,-0.8,-1.01,0.43,-0.13,-1.14
"Brd1",1.82,0.38,1.11,0.82,-1.37,-0.67,-0.64,-0.95,0.41,-0.01,-0.91
"Ptprcap",1.2,0.2,1.14,0.96,-1.23,-0.89,-0.77,-1.59,0.93,0.15,-0.11
"Serpinb6b",1.67,0.53,0.85,0.83,-1.18,-0.42,-1.44,-1.25,0.52,0.09,-0.2
"Fcmr",1.46,-0.08,1.26,1.01,-0.98,-0.36,-1.47,-1.34,0.26,0.37,-0.13
"Micu3",1.37,0.34,1.06,1.03,-1.56,-0.3,-0.71,-1.43,0.46,0.37,-0.63
"Rps13",1.13,0.44,0.93,1.49,-1.58,0.14,-0.6,-1.08,0.12,0.18,-1.17
"Ppp1r16b",1.81,0.19,1.16,1.23,-1.19,-0.54,-0.61,-0.66,-0.3,0.01,-1.1
"Gm43802",1.28,0.07,0.79,1.88,-1.18,-0.64,-0.83,-0.63,-0.17,0.47,-1.04
"S100a9",1.42,-0.68,1.3,1.19,-1.26,-0.63,-0.72,-0.64,0.04,0.86,-0.87
"Eef1a1",1.4,-0.58,1.15,0.95,-1.56,-0.64,-0.56,-0.94,0.44,0.94,-0.6
"Fcer2a",1.21,-0.95,1.31,1.4,-1.28,-0.29,-0.76,-1.01,0.46,0.4,-0.49
"Ighd",1.38,-0.61,1.65,1.02,-1.24,-0.43,-0.66,-1.05,-0.15,0.63,-0.52
"Sell",1.38,-0.02,1.35,0.48,-1.6,-0.12,-0.74,-0.73,0.53,0.73,-1.25
"Ifng",0.78,0.28,1.49,0.99,-1.07,-0.82,-0.77,-1.24,0.46,0.94,-1.04
"Snca",1.14,-0.15,1.48,0.84,-1.24,-0.69,-0.88,-1.36,0.53,0.81,-0.49
"Jam2",1.39,-0.77,0.07,2.31,-0.24,-0.37,-0.7,-0.88,0.25,-0.35,-0.7
"Chordc1",2.33,0.41,0.09,1.3,-0.73,-0.64,-0.48,-0.57,-0.77,-0.75,-0.19
"Gm30881",2.25,0.67,-0.37,1.29,-0.52,-0.79,-0.76,-0.46,0.09,-0.53,-0.86
"Ereg",2.32,0.46,0.05,1.17,-0.24,-0.67,-0.64,-0.96,0.04,-0.84,-0.69
"Carlr",2.07,0.31,0.24,1.53,-0.59,-0.55,-0.87,-0.88,0.15,-0.78,-0.64
"Ccl17",1.78,0.61,0.71,1.24,-0.35,-0.79,-1.05,-1.29,0.32,-0.39,-0.79
"Il1bos",1.5,0.57,0.5,1.91,-0.46,-0.88,-0.87,-0.88,0,-0.77,-0.62
"Neb",1.73,0.11,0.67,1.68,-0.83,-0.81,-0.8,-0.81,0.4,-0.73,-0.61
"Cdkl5",1.9,0.27,0.19,1.64,-1.08,-0.7,-1.05,-0.07,0.12,-0.45,-0.78
"Heg1",1.79,0.29,-0.08,1.53,-1.27,-0.81,-1.02,-0.8,0.23,0.49,-0.36
"Ckap2l",1.77,0.17,-0.27,0.07,-0.12,-1.43,-0.82,-1.04,1.72,-0.02,-0.02
"Fn1",1.98,0.25,0.23,0.18,-0.12,-1.31,-1.09,-1.5,0.75,0.44,0.19
"Tra2b",1.57,0.27,0.45,0.7,0.23,-1.66,-1.45,-1.06,0.83,0.17,-0.06
"H2-Ob",1.49,-0.42,0.89,0.77,-0.48,-0.49,-1.87,-1.16,0.54,-0.06,0.78
"Sdcbp2",1.97,0.38,0.68,0.44,-0.67,-0.22,-1.71,-1.29,0.46,-0.18,0.15
"Uba5",1.76,0.82,0.89,0.39,-0.4,-0.93,-1.78,-0.96,0.21,-0.28,0.27
"D830050J10Rik",-0.68,1.72,0.66,-0.07,-1.24,-0.75,-0.42,-1.28,-0.05,0.99,1.12
"Gm12693",-0.59,2.18,-0.7,-0.21,-0.6,-0.56,-0.91,-0.93,0.37,0.88,1.06
"Pramel51",0.17,2.87,-0.45,0,-0.59,-0.58,-0.57,-0.58,0.23,-0.1,-0.4
"Cdv3-ps",-0.25,2.19,0.52,0.33,-0.79,-1.53,-1.19,0.08,0.07,0.57,-0.02
"Cyb5r3",0.11,1.44,0.9,0.97,-1.29,-0.88,-0.38,-0.2,-1.66,0.11,0.88
"Aamp",0.39,1.52,1.04,0.47,-1.3,-1.16,-0.56,-0.07,-1.47,0.43,0.72
"St6galnac4",0.39,0.82,1.05,1.05,-1.17,-0.86,-0.57,-0.49,-1.69,0.3,1.16
"Arpp19",0.43,0.93,1.2,1.02,-1.22,-0.54,-0.46,-0.71,-1.77,0.26,0.87
"Anxa2",0.43,1.44,1.11,1.24,-1.05,-0.83,-0.61,-0.66,-1.49,0.07,0.35
"Map2k2",0.53,1.54,1.03,0.99,-0.96,-0.98,-0.9,-0.36,-1.51,0.26,0.37
"Niban2",1.14,1.16,0.86,0.74,-1.43,-0.64,-0.57,-0.28,-1.69,0.16,0.53
"Sun2",0.95,1.16,0.84,0.72,-1.25,-0.81,-0.9,-0.6,-1.48,0.55,0.82
"Gtf3c6",0.85,1.07,1.71,0.5,-0.84,-0.92,-0.69,-0.36,-1.62,0.39,-0.09
"Slc9a8",0.6,1.39,1.28,0.5,-1.21,-1.2,-0.55,-0.34,-1.33,0.84,0.02
"Nedd4l",-0.1,1.31,1.47,0.67,-0.69,-0.49,-1.04,-0.31,-1.81,0.39,0.59
"Pmpca",0.04,1.31,1.31,0.93,-0.68,-1.27,-0.88,-0.12,-1.55,0.58,0.34
"Nsf",0.81,1.29,0.22,0.48,-1.58,-0.14,-0.89,-0.75,-1.31,0.78,1.08
"Panx1",-0.3,1.49,1.01,1.28,-0.62,-0.5,-0.47,-0.85,-1.77,0.22,0.5
"Sart1",0.28,1.33,0.97,1.15,-0.5,-0.47,-0.72,-1.54,-1.43,0.28,0.64
"B430306N03Rik",0.28,1.38,1.18,0.93,-1.14,-1.04,-1.13,-0.75,-0.89,0.51,0.68
"Eef1g",-0.05,1.12,0.93,1.54,-1.11,-1,-0.69,-0.86,-1.11,0.74,0.51
"Eci2",0.52,0.9,1.03,0.94,-0.85,-0.55,-1.36,-0.82,-1.43,0.91,0.73
"Taldo1",-0.36,1.06,0.79,0.87,-0.81,-0.73,-1.18,-0.87,-1.12,1.14,1.21
"Dnajb12",0.03,1.25,1.61,0.43,-0.88,-1.48,-0.89,-0.31,-0.78,-0.07,1.09
"Cfl1",-0.37,1.28,1.47,0.43,-0.54,-1.82,-0.6,-0.9,-0.02,0.02,1.05
"Gp9",-0.16,0.54,2.21,0.26,-1.35,-1.08,-0.46,-0.87,-0.2,0.36,0.75
"Ighg2b",0.34,0.86,1.76,0.81,-1.11,-0.5,-0.73,-1.45,-0.44,-0.46,0.93
"Itga2b",0.07,0.16,1.72,0.88,-1.16,-1.07,-0.93,-1.24,0.24,0.19,1.12
"Nrgn",0.02,0.69,1.38,0.79,-1.49,-1.09,-0.51,-1.34,0.16,0.17,1.22
"Gp5",0.25,0.76,1.98,0.64,-1,-1.19,-0.9,-1.19,-0.2,0.36,0.48
"Alox12",0.35,0.48,1.58,1.12,-0.81,-1.21,-1.18,-1.21,-0.27,0.26,0.88
"Nkiras2",-0.39,1.31,1,0.59,-0.19,-1.62,-1.16,-0.87,-0.55,0.85,1
"Vps37b",-0.82,0.96,0.97,1.15,-0.36,-1.13,-0.92,-1.28,-0.56,0.97,1.01
"Tbcb",0.84,1.01,0.59,0.84,-0.44,-1.33,-0.97,-0.99,-1.32,1,0.78
"Wdfy1",0.36,1,1.12,0.51,-0.17,-1.22,-1.1,-1.14,-1.19,1.24,0.6
"Uchl1",0.64,0.96,0.66,1.27,-0.53,-1.04,-1.69,-1.05,-0.59,0.65,0.72
"Fibp",0.46,1.01,0.27,0.79,-0.7,-1.28,-1.32,-1.2,-0.34,1.1,1.2
"Nop58",1.09,0.94,0.66,1.23,0.22,-0.88,-1.14,-0.35,-1.88,0.37,-0.25
"Commd7",1.3,0.88,1.01,1.09,0.07,-0.86,-0.97,0.09,-1.83,-0.36,-0.41
"Dcp1a",1.2,0.84,0.73,1.01,0.09,-0.83,-0.48,-0.37,-2.27,-0.18,0.25
"Maea",1.02,1.13,1.04,0.71,0.22,-0.8,-0.71,-0.73,-2.08,-0.05,0.25
"Gna13",0.99,0.83,1.25,1.13,0.37,-0.67,-0.67,-0.62,-1.95,-0.19,-0.47
"Ywhae",1.09,0.93,0.94,1.2,0.49,-0.64,-0.75,-0.84,-1.88,-0.26,-0.29
"Ncstn",1.14,1.02,1.25,0.73,0.37,-0.96,-0.53,-0.59,-1.92,-0.11,-0.39
"Pom121",1.01,1.1,0.97,0.91,0.27,-0.61,-0.67,-0.39,-2.21,-0.13,-0.25
"Ppig",1.43,0.91,0.58,0.92,0.64,-0.87,-0.87,-0.09,-1.79,-0.88,0.02
"Smap1",1.52,0.8,0.46,1.38,0.29,-0.47,-0.87,-0.54,-1.73,-0.75,-0.09
"Fip1l1",1.24,0.83,0.99,0.96,0.24,-0.38,-1.71,-0.23,-1.62,-0.08,-0.23
"Hnrnpa2b1",1.46,1.13,0.91,0.87,0.27,-0.44,-1.02,-0.6,-1.73,-0.45,-0.41
"Prelid3b",1,1.02,0.99,1.12,0.5,-0.21,-1.32,-0.57,-1.71,-0.65,-0.16
"Zswim4",1.53,1.33,0.67,0.45,0.47,-0.9,-0.63,-0.39,-1.74,-0.79,0
"Cpne2",1.39,1.29,0.99,0.51,0.24,-0.83,-0.54,-0.59,-1.83,-0.65,0.03
"Rbm17",1.16,0.96,1.24,0.71,0.72,-1.29,-0.44,-0.41,-1.6,-0.64,-0.4
"Rmc1",1.46,1.03,0.88,0.86,0.39,-1.25,-0.44,-0.62,-1.66,-0.35,-0.31
"Rnf20",1.4,1.28,0.4,1.12,0.64,-0.6,-0.4,-0.58,-1.4,-1.08,-0.77
"Sec22b",1.54,1.29,0.63,0.99,0.31,-0.56,-0.76,-1.19,-1.04,-1.04,-0.17
"Prag1",2.02,0.67,0.98,0.26,0.5,-0.34,-0.43,-1.03,-1.47,-0.53,-0.64
"Il1rn",2.07,0.58,0.92,0.75,0.27,-0.77,-0.77,-0.64,-1.29,-0.42,-0.7
"Dnajb11",1.94,0.73,0.8,1.06,0.16,-0.82,-0.75,-0.52,-1.19,-0.75,-0.66
"Cyfip1",1.62,0.95,1.23,0.77,0.31,-0.45,-1.02,-0.81,-1.16,-0.69,-0.75
"Dcaf12",1.67,0.96,1.13,0.6,0.37,-0.36,-0.49,-1.07,-1.34,-0.99,-0.46
"Dtwd1",1.65,0.84,1.07,0.82,0.39,-0.75,-0.81,-0.29,-1.48,-0.89,-0.55
"Glipr2",1.8,0.97,1.03,0.76,0.32,-0.59,-0.81,-0.71,-0.92,-0.99,-0.85
"Dnajc1",1.61,1.09,0.94,0.71,0.64,-0.77,-0.65,-0.62,-1.05,-1.2,-0.69
"Mmp13",1.95,0.15,0.94,1.34,-0.71,-0.64,-0.14,-0.44,-1.1,-0.29,-1.04
"Arfrp1",1.75,0.33,0.86,1.58,-0.13,-1,-0.81,-0.25,-0.72,-0.66,-0.95
"Nsmaf",2.16,0.22,0.84,0.92,-0.29,0.28,-0.94,-0.87,-0.99,-0.5,-0.85
"Psma7",1.85,0.87,1.11,0.8,-0.25,-0.18,-1.17,-0.67,-0.88,-0.46,-1.04
"Inpp5b",2.4,0.18,0.84,0.75,-0.95,-0.46,-0.45,-0.67,-0.97,-0.38,-0.28
"Ist1",2.01,0.62,1.19,0.76,-0.48,-0.87,-0.58,-0.93,-1.09,-0.25,-0.37
"Homer1",1.95,0.26,0.68,1.56,-0.62,-0.6,-0.95,-0.94,-0.64,-0.5,-0.2
"Psma5",2.01,0.83,0.77,1.13,-0.89,-0.54,-0.7,-0.73,-0.45,-0.89,-0.54
"Tet2",1.83,0.69,1.02,1.2,-0.71,-0.53,-0.75,-0.95,-1,-0.63,-0.17
"Atp2a2",1.81,0.87,0.79,1.32,-0.59,-0.51,-0.78,-0.99,-0.96,-0.4,-0.55
"Ppp1r8",2.11,-0.04,0.35,1.26,-0.33,0.04,-0.48,-0.6,-1.68,-0.08,-0.55
"Lamtor3",1.57,0.31,0.79,1.26,0.24,0.07,-0.43,-0.62,-1.96,-0.58,-0.66
"Cbwd1",1.76,-0.03,1.01,1.21,0.59,-0.66,-0.65,-0.42,-1.26,-1.11,-0.45
"Fam207a",1.37,0.16,1.32,1.58,-0.43,-0.55,-0.85,-0.25,-1.28,-0.99,-0.08
"Stam2",1.42,0.1,2.08,0.38,-0.35,-0.45,-0.84,-0.34,-1.49,-0.29,-0.23
"Rbm22",1.18,0.55,2.02,0.57,-0.83,-0.08,-0.33,-0.75,-1.48,-0.47,-0.38
"Scaf4",1.54,0.68,1.23,0.61,-0.42,-0.38,-0.96,-0.05,-1.93,0.2,-0.52
"Dhx9",1.49,0.41,1.24,0.62,-0.72,0.02,-0.95,-0.6,-1.95,0.25,0.2
"2310009B15Rik",1.69,0.66,1.08,0.65,-0.4,-0.25,-1,-0.94,-1.73,0.18,0.05
"Pdcd6",0.97,0.44,1.01,0.95,-0.01,0.44,-0.38,-0.35,-2.42,0.14,-0.8
"Pold3",0.91,0.4,1.52,1.21,0.04,0.06,-0.52,-0.21,-1.94,-0.53,-0.94
"Txndc17",1.05,0.48,1.25,1.08,-0.38,0.85,-0.97,-0.35,-1.78,-0.41,-0.82
"Tent5a",1.39,0.63,1.16,1.35,-0.5,-0.19,-0.21,-0.42,-1.59,-0.56,-1.07
"Pxk",1.42,1.06,1.09,1.09,-0.42,-0.43,-0.42,-0.42,-1.75,-0.6,-0.6
"Txndc9",1.2,0.83,1.18,1.29,-0.29,-0.38,-0.51,-0.32,-1.89,-0.49,-0.63
"Zfp503",1.68,0.84,0.96,1.01,-0.79,-0.43,-0.42,-0.4,-1.75,-0.19,-0.51
"Prmt9",1.26,0.86,1.37,0.84,-0.75,-0.33,-0.22,-0.17,-1.85,-0.05,-0.95
"Lrp12",0.8,0.3,1.5,1.46,-0.85,-0.22,-0.35,-0.39,-1.95,-0.13,-0.16
"Efr3a",0.94,0.63,1.25,0.86,-0.55,-0.14,0.09,-0.12,-2.44,-0.28,-0.24
"Mier1",0.93,0.82,1.29,1.02,-0.75,0.21,-0.04,-0.28,-2.11,-0.46,-0.63
"Capza2",0.77,1.2,1.57,1.26,-0.51,-0.6,-1.07,-0.99,-0.93,-0.23,-0.49
"Fzd5",0.85,1.3,1.58,0.95,-0.05,-0.79,-1.11,-1.1,-0.92,-0.28,-0.44
"Hsd17b12",1.04,1.23,1.33,1.16,-0.08,-0.74,-1.25,-1.02,-0.92,-0.4,-0.36
"Txnrd1",0.85,1.41,1.28,1.26,-0.44,-0.72,-0.91,-0.85,-1.29,-0.26,-0.32
"Igsf6",0.9,1.27,1.12,1.37,-0.25,-0.52,-0.81,-1.05,-1.49,-0.35,-0.19
"Arglu1",1.06,1.51,1.19,1.1,-0.4,-0.43,-0.92,-0.99,-1.13,-0.55,-0.46
"Slc30a6",0.9,1.51,0.91,1.44,-0.07,-0.6,-0.98,-0.93,-1.13,-0.49,-0.55
"Cct3",1.12,1.47,1.01,1.12,-0.1,-0.81,-1.01,-0.95,-1.22,-0.29,-0.34
"Elp5",0.7,1.35,1.3,1.19,-0.07,-1.12,-0.78,-0.64,-1.4,0.04,-0.57
"Rbm25",1.21,1.22,1.01,1.08,-0.04,-1.12,-0.9,-0.58,-1.52,0.01,-0.37
"Dcaf13",0.82,0.79,1.46,1.28,0.13,-0.69,-0.88,-0.98,-1.57,0.12,-0.48
"Esd",1.27,0.69,1.1,1.34,0.15,-0.77,-1.1,-0.86,-1.51,-0.05,-0.25
"Arl4a",0.55,0.71,1.62,1.59,-0.45,-1.09,-0.45,-0.71,-1.34,-0.08,-0.34
"Met",0.66,0.86,1.33,1.53,-0.4,-0.62,-0.39,-0.82,-1.72,0.17,-0.6
"Msn",0.93,0.89,1.36,1.27,-0.33,-0.91,-0.13,-0.63,-1.8,-0.14,-0.5
"Pi4k2b",0.58,1.04,1.41,1.02,0.11,-0.23,-0.68,-0.7,-2.1,-0.05,-0.39
"Slc35a3",0.87,0.98,1.49,1.11,0.07,-0.43,-0.59,-0.85,-1.79,-0.36,-0.5
"Patl1",0.8,0.83,1.54,0.83,0.02,-0.36,-0.76,-0.91,-2.02,0.04,0
"Rheb",0.82,1,1.18,1.25,0.05,-0.31,-0.96,-0.66,-1.95,-0.27,-0.16
"Dhx15",0.92,0.93,1.22,1.22,-0.05,-0.29,-0.83,-1.13,-1.79,0.02,-0.2
"Atg3",0.94,0.9,1.31,1.26,-0.24,-0.18,-0.77,-0.93,-1.83,-0.17,-0.28
"Hmgcr",0.37,1.43,1.28,1.06,-0.47,-0.65,-0.9,-0.62,-1.73,0.46,-0.24
"Atp6v1h",0.58,0.9,1.13,1.6,-0.44,-0.44,-0.84,-0.97,-1.7,0.25,-0.08
"Kmt2c",0.77,1.12,0.96,1.45,-0.43,-0.31,-0.6,-0.98,-1.86,0.08,-0.21
"Mfsd14a",0.98,0.66,1.15,0.85,-0.07,0.18,-0.68,-0.93,-2.26,-0.11,0.21
"Itsn2",0.95,0.72,1.19,0.76,-0.47,-0.19,-0.81,-0.69,-2.21,0.3,0.47
"Cbfb",0.45,1,1.2,1.11,0,-0.13,-0.5,-1.18,-2.11,-0.04,0.21
"Etfa",0.69,1.19,0.99,1.13,-0.32,0.2,-1.08,-1.22,-1.74,0,0.17
"Arpc5",0.62,0.96,1.32,1.26,-0.35,0,-0.98,-1.34,-1.57,-0.13,0.19
"Leo1",0.67,1.21,0.73,1.1,-0.28,-0.14,-1.13,-0.07,-2.21,-0.09,0.21
"Cdca4",1.03,1.56,0.82,0.81,-0.07,-0.09,-1.06,-0.82,-1.66,-0.74,0.22
