"","MoDC_6H_M4","MoDC_6H_M1","MoDC_6H_M2","MoDC_6H_M3","MoDC_48Hwash_M4","MoDC_48Hwash_M3","MoDC_48Hwash_M1","MoDC_48Hwash_M2","Naive_MoDC_M3","Naive_MoDC_M1","Naive_MoDC_M2"
"Rnase4",0.89,-0.87,-1.51,-1.32,0.18,1.23,1.24,0.75,0.43,-0.71,-0.3
"Ptger4",0.61,-0.99,-0.95,-1.37,-0.03,1.99,1.1,0.51,0.02,-0.33,-0.57
"Nudt7",0.54,-1.12,-0.74,-1.7,0.78,1.56,0.84,0.88,-0.25,-0.18,-0.62
"Glrx2",0.15,-1.37,-1.1,-0.43,1.17,1.8,0.61,0.49,-0.32,-1.16,0.16
"Eola1",0.47,-1.66,-1.06,-0.37,1.65,1.32,0.51,0.58,-0.66,-0.42,-0.34
"Slc35d2",-0.07,-2.2,-0.39,-0.71,0.89,1.34,0.71,0.59,-0.69,-0.22,0.74
"Slc41a1",0.71,-1.81,-0.32,-1.08,1.39,0.79,0.57,1.13,-0.75,-0.31,-0.34
"Fbxl4",0.39,-1.94,-0.56,-0.9,1.49,0.93,0.88,0.7,-0.05,-0.75,-0.18
"Ripor1",-0.35,-1.26,-1.31,-0.75,-0.71,0.88,1.31,1.53,0.74,0.22,-0.3
"Ccdc112",-0.34,-1.37,-1.13,-0.64,-0.25,1.02,1.32,1.76,0.33,-0.37,-0.34
"Nnmt",-0.56,-0.93,-0.98,-1.2,-0.15,1.01,1.46,1.64,0.5,-0.52,-0.27
"Tbl1xr1",-1.14,-1.14,-1.21,-0.84,-0.06,1.16,0.54,1.68,0.82,-0.1,0.29
"Pou6f1",-1.55,-0.92,-1.24,-0.7,0.01,0.9,0.66,1.52,1.04,0.05,0.22
"Pdrg1",-1.25,-0.93,-1.54,-0.41,0.29,0.92,1.22,1.15,1.08,-0.16,-0.37
"Arpc1a",-1.31,-0.92,-1.3,-0.77,0.06,0.69,1.27,1.16,1.3,-0.2,0.03
"Cyhr1",-1.32,-1.06,-1.34,-0.68,0.17,0.79,1.21,1.24,1.1,-0.07,-0.04
"Apobr",-0.96,-0.64,-1.21,-1.38,0.34,1.07,1.03,1.34,0.95,-0.49,-0.05
"Polr1g",-1.34,-0.69,-1.28,-1.11,0.09,0.71,1,1.56,0.93,-0.04,0.17
"Atg13",-1.15,-0.92,-0.26,-1.24,-0.51,1.19,0.88,1.82,0.63,-0.16,-0.26
"Polk",-0.82,-0.7,-0.4,-1.67,0.29,1.31,0.88,1.69,0.14,-0.65,-0.08
"Tcea3",-1.02,-0.54,-0.35,-0.97,-0.4,1.59,0.85,1.6,0.46,-1.2,-0.01
"Dmac1",-1.38,-1.47,-0.43,-0.73,-0.21,1.39,0.81,1.15,0.4,-0.47,0.93
"Myl12b",-1.07,-1.06,-0.68,-1.18,-0.1,1.73,0.63,0.94,1.14,-0.51,0.17
"Eya4",-0.39,-0.83,-1.16,-0.88,-0.96,1.2,1.28,1.59,-0.28,0.64,-0.21
"C5ar1",-0.74,-0.41,-1.69,-1.14,-0.57,0.53,1.57,1.17,0.3,0.72,0.25
"Ethe1",-0.69,-0.98,-1.22,-1.41,-0.36,0.56,1.26,1.43,0.76,0.67,-0.03
