"","baseMean","lgFC_PcDC_vs_CD3_CD28","lfcSE","stat","pvalue","padj"
"Ccdc191",23.4502980873775,-0.706423753145699,0.264264407845209,-2.67317024984871,0.00751381064570408,0.024854711603498
"Fbxl19",45.1986747002831,-0.570063842255716,0.213261115167502,-2.67307915842028,0.00751585130821985,0.0248562311621939
"Ifit1bl2",1.47615448357423,-3.00691077882701,1.12519040666952,-2.67235728371276,0.00753204058384677,0.024904532170275
"Cldn10",14.9632597747026,-0.862083942686332,0.322648607467839,-2.67189729858748,0.00754237284058779,0.0249334508267507
"Dip2b",98.3120959792058,0.490595131379555,0.183639325429992,2.67151455839224,0.00755097969420622,0.0249480729565003
"Exosc9",88.1402466154259,-0.493851026384132,0.184859847199172,-2.67148888126066,0.007551557422675,0.0249480729565003
"Vps16",253.935688731132,-0.321180300451187,0.120222838940605,-2.67154147482629,0.00755037412431349,0.0249480729565003
"A930007I19Rik",21.3466588969714,1.19265489903608,0.446485418542045,2.67120682894994,0.00755790613201648,0.0249586350331751
"Smc4",359.843056457997,0.702263653381366,0.26290136924157,2.67120576590106,0.0075579300692101,0.0249586350331751
"Gnpda1",9.85172511200393,1.22440677191508,0.458540495647002,2.67022604009585,0.00758001995654786,0.0250263250781298
"Mcoln1",102.907760454516,0.502616911549312,0.188279582623877,2.66952424976096,0.00759587879251944,0.0250734184669494
"Abcc2",3.18430628885148,3.09666003731343,1.16004610542392,2.66942841567647,0.00759804672754607,0.0250753089461047
"4930403P22Rik",2.51067197245977,2.75504248998066,1.03217832434688,2.66915359971732,0.00760426662275358,0.0250905682290226
"Crebl2",35.1064335741489,0.667680153360129,0.250214474471702,2.66843137180555,0.00762063453537374,0.02513929785132
"Nus1",19.3774839915033,-1.04883088002186,0.393359325323262,-2.66634299100431,0.00766814152637859,0.0252907084878609
"Reep5",571.698316664989,0.482103008499463,0.180832274740094,2.66602302709723,0.00767544354587773,0.0253094812455742
"Gm50069",7.03595490901324,-1.37606824056873,0.516210208879601,-2.66571295355702,0.00768252579901441,0.0253275216096283
"Tmem143",20.7949256627966,0.837007842499127,0.314022618744422,2.6654380689066,0.00768880921525656,0.0253429213786156
"Tbc1d13",150.479966979714,-0.404336162280449,0.151715145075447,-2.66510085119964,0.0076965237545276,0.0253630307961047
"B4gat1",13.8311584561231,0.982776734729491,0.368782659770406,2.66492121766609,0.00770063606734512,0.0253712635385869
"Btd",39.5168180645151,0.729860713683347,0.273894066581635,2.66475547569341,0.00770443211010454,0.0253784510349399
"Ypel1",3.46875724134128,2.35412365404228,0.883461201686978,2.66465991890426,0.00770662144066109,0.025380344107637
"Adcy3",31.202091828987,-0.603678617376463,0.226562995045458,-2.66450669605307,0.00771013313963124,0.0253865904528411
"Gm11427",49.9638616904874,-0.613986756657314,0.23044881965208,-2.66430853316707,0.00771467694132002,0.0253962317990805
"Adam9",64.9547796718238,0.534437371263834,0.200642929835301,2.66362423885322,0.00773038601398013,0.0254426167826117
"Dctn6",260.361261264114,0.289694140788989,0.108803381415233,2.66254722069172,0.00775516875984538,0.0255188398023884
"Slfn5os",1.2068150454114,-3.42303196675992,1.28576774546842,-2.66224750062685,0.00776207812485431,0.0255362298125962
"Copg2",59.2781323504084,-0.472488157161809,0.177488387116877,-2.66207927649189,0.0077659585663229,0.0255369211762291
"Ndufb4",145.816154737585,-0.538897475293424,0.202438762347536,-2.66202711893819,0.00776716204234057,0.0255369211762291
"Psmd7",439.247573487225,-0.329822260192242,0.123898463999409,-2.66203671575634,0.00776694059417154,0.0255369211762291
"Gm43499",8.02703467232477,1.35812039758872,0.510665025711082,2.65951324098921,0.00782536540393239,0.0257229022970333
"Med4",151.030519349396,-0.325337803617085,0.12235026334076,-2.65906909175162,0.00783568923140223,0.0257514528597976
"Gcg",1.20677314908535,-4.74322457956469,1.78389654842509,-2.65891235887654,0.00783933524985948,0.0257559103533132
"Mapk4",1.32374109545661,3.18817201982889,1.19907032245619,2.65886992624269,0.00784032260580213,0.0257559103533132
"Wdr82",132.428696866146,-0.619447024795822,0.233209025036806,-2.65618804717381,0.00790295316214568,0.0259562308307079
