"","baseMean","lgFC_CD8_Tumor_vs_CD8_DLN","lfcSE","stat","pvalue","padj"
"Zfp78",52.9906814228165,-1.96380222269207,0.566784414366283,-3.46481338038871,0.000530599539778949,0.00218571161673199
"Dock5",830.585682924398,1.09154094738707,0.315044976370426,3.46471465745147,0.000530794342311204,0.00218611702886516
"Lrfn3",11.0470852219025,3.50359388000629,1.01136257794604,3.464231282041,0.000531749112960186,0.00218965171224582
"Gm57084",50.4914255651338,-2.01246686327675,0.580983052047086,-3.4638994307766,0.000532405516958064,0.00219195671267487
"Nfxl1",687.518041516088,1.31824327823712,0.380688237356813,3.46278962384002,0.000534606211259961,0.00220061769103216
"Pgrmc2",1493.12221299884,0.984613325404991,0.284399059833514,3.46208361582271,0.000536010599505869,0.00220599825937082
"Gm29083",5.1978277965751,6.20527066818394,1.79246725306329,3.46185999079161,0.000536456149850102,0.00220743141051345
"Gcfc2",344.080037090953,-0.634507103680951,0.183307922839189,-3.461427601455,0.000537318620872218,0.00221057929258168
"Ighv3-5",18.2927926174316,-4.69965501131499,1.35786450738075,-3.46106329885623,0.000538046284427145,0.00221317152286763
"E2f3",1054.76692629691,1.32229516873634,0.382120326065943,3.46041568201778,0.000539342111492255,0.00221809944347341
"Irak1",5377.64199605445,-0.628746035137663,0.181710304411333,-3.4601561929828,0.000539862142801479,0.00221983561654829
"Slc2a5",262.092063556164,7.01221666564449,2.02671966095657,3.45988485764966,0.000540406414403,0.00222167081476789
"Plcb4",314.764897666675,2.10249107372657,0.607701558118226,3.45974277281273,0.000540691626310744,0.00222244051764298
"Gipc1",1762.61239385693,0.846602342687545,0.244723925753434,3.45941795466504,0.000541344172097573,0.00222471954472641
"Xrn1",2513.5347440109,-0.737221169702258,0.213160102963608,-3.45853262150151,0.000543126495889204,0.00223163986472156
"E130215H24Rik",29.9139404911754,-3.07986705393377,0.890593150532572,-3.45822000999224,0.000543757140088496,0.00223382642534816
"Anxa9",88.5318568252775,1.58657958387102,0.458798447792589,3.4581189005859,0.00054396125826076,0.00223426028587691
"Rpp21",557.425054304687,-0.796086671028552,0.230265735992518,-3.45725197714357,0.00054571432269958,0.00224105496164207
"Rbm12b2",320.126194850179,-1.06663063611825,0.308585299614578,-3.45651797882292,0.00054720270341128,0.00224676041203317
"Gm43323",14.2745550211631,4.75456607116872,1.37568412916452,3.45614663306195,0.00054795714743348,0.00224945087075815
"Mob4",1615.68727719347,0.554877111958831,0.160578479745562,3.45548863607402,0.000549296346115724,0.00225454043182243
