"","baseMean","lgFC_LMoDC_vs_PcDC","lfcSE","stat","pvalue","padj"
"Tph1",5.2168883747927,1.93236078693881,0.656449243801498,2.94365604833134,0.00324360256793395,0.0178654577228047
"Zfp386",39.620076505844,-0.732863740992513,0.249014513058265,-2.94305633833091,0.00324989270038273,0.0178932026009507
"Plbd2",101.128261520927,0.45106908671708,0.153319326807427,2.94202365813693,0.00326075014515348,0.017946063033943
"Arl1",154.093850399267,0.564259357735996,0.191809371187842,2.94177158416003,0.00326340542609345,0.0179468449347195
"Gm45286",7.63888899954519,-1.82143912566093,0.619142046444787,-2.94187599779393,0.00326230532145401,0.0179468449347195
"Thap7",88.0881131970259,0.643914611266309,0.21889731038923,2.94162870307241,0.00326491137246009,0.0179482156356717
"Cytip",27.3998007707332,-1.00804556011921,0.342742635544811,-2.9411151563238,0.00327032931089973,0.0179710824233436
"Pak1ip1",249.329228616806,0.37926811873383,0.128981520416131,2.94048416788859,0.00327699747771982,0.018000799221844
"Plppr3",40.210267409059,-0.828158088033668,0.28168470718307,-2.94001792399557,0.00328193261002853,0.0180209771381882
"Abcb1a",12.2703567262186,-1.37275854084457,0.466974962571792,-2.93968338962824,0.00328547778443798,0.0180335102680028
"Gm12070",3.87527414714593,2.76071842279947,0.939468713191197,2.9385953827263,0.00329703189919467,0.0180879669613618
"Mrps6",110.420541764705,0.569419853458719,0.193778379448578,2.93851076203175,0.00329793208005785,0.0180879669613618
"Ap3s2",20.0243641718052,-1.05920790888968,0.360484421165181,-2.93829038565948,0.00330027745801403,0.0180907402732238
"Plxnb2",35.1873268814931,0.731439648816542,0.248939271040758,2.93822523765961,0.00330097109312571,0.0180907402732238
"Gpr107",75.132797346975,0.495805396476091,0.168760216753632,2.93792818007518,0.00330413556858065,0.0181011370120709
"Ddx17",316.051103781571,0.446758821243884,0.152072496374196,2.93780158737298,0.00330548496646099,0.0181015860011487
"Hells",31.7419266561308,-0.855179384205666,0.291129703651717,-2.93745149834911,0.00330921930725858,0.0181081494813284
"Tmem205",36.7832216236607,-0.829422047127931,0.282357742928246,-2.93748646141681,0.00330884618944692,0.0181081494813284
"Slfn10-ps",30.5163160376789,0.890013335707648,0.303106310720631,2.93630750739453,0.00332144887641962,0.0181681090972903
"Gm2810",1.99821835938281,-3.98383298175019,1.35703980529199,-2.93567879601954,0.00332818748301871,0.0181979990935962
"Bod1l",60.9491051248168,-0.629557513382849,0.214461814639792,-2.93552264509301,0.00332986305715946,0.0182001929515314
"Mrtfb",23.2926454561602,-1.0188683478387,0.347154721950081,-2.93491139085011,0.00333642950010133,0.0182291071616095
"Ndrg2",37.4803458925368,0.771723348671441,0.263038526267403,2.93387953324721,0.00334754106641439,0.0182828227573729
"Ntng2",4.96123191483974,2.35418405634598,0.802536794022692,2.93342819155456,0.00335241192832792,0.0182954326176459
"Rps8-ps1",16.7844594000401,2.00498021798354,0.683475173244697,2.93350848204946,0.00335154496478092,0.0182954326176459
"Ppt1",168.141191271405,0.361643968247147,0.123302742843003,2.93297586013649,0.00335729994575401,0.0183151099408933
"Ccdc184",7.16888409571854,2.86966018087583,0.978611882340595,2.93237823151331,0.00336376803644091,0.0183417652828941
"Ly6c2",2663.53122779397,1.0696107502616,0.364770122575973,2.93228716954149,0.00336475458907594,0.0183417652828941
"Kics2",26.1917994634735,0.853303329491708,0.291069773042827,2.93161093497041,0.0033720890666407,0.0183747333268838
"Zswim6",49.9754540751924,-0.684515737855262,0.233550090284957,-2.93091617742505,0.00337963960382681,0.0184088530975799
"Casc3",233.293519706316,-0.386370288449901,0.131872391710076,-2.92988004114874,0.00339092880253787,0.0184562672095449
"Uqcrc1",286.561891357423,0.496568544533258,0.169481474985977,2.92992815040313,0.00339040387014463,0.0184562672095449
"Ecm1",33.632334739866,0.753854435026078,0.257332864837238,2.92949147984999,0.00339517120746363,0.0184652837718947
"Rpn2",532.054211720441,-0.344855716315341,0.117717120565917,-2.92952898148943,0.00339476154503265,0.0184652837718947
"Nob1",219.455407736379,0.356481921682156,0.121693377154642,2.92934529402662,0.00339676854976494,0.0184669388761869
"Akap13",656.82961890215,-0.402961334501866,0.137569962721906,-2.92913748415009,0.00339904042301116,0.0184722584937007
"Fbxw4",54.5244765817264,-0.751675517729239,0.256656067494143,-2.92872685640441,0.00340353366257205,0.0184896416009334
"Wasl",46.73973132777,-0.788375238287924,0.269235107840794,-2.92820369754346,0.00340926609221267,0.0185137408094986
"Tax1bp1",566.514764892311,-0.580986917468809,0.198437631690564,-2.92780614502988,0.00341362808634534,0.0185303824892376
"Hint1",1133.5124223748,-0.276257357604805,0.0943738879974232,-2.9272647706572,0.00341957628158287,0.0185556187133611
"Bcas3",50.3764020595341,-0.6863659677169,0.234486973294066,-2.92709636733696,0.00342142848771509,0.018558618177572
"Gm9701",7.59239395085677,1.58782503526548,0.542712600729585,2.92571986191388,0.00343660243984514,0.0186338481571254
"Cst3",1676.3708230216,0.576554446023148,0.197124110952215,2.92482965801637,0.00344644822264208,0.018680141751717
"Ppp2r1b",60.0612865925383,-0.664477068853185,0.227210236981452,-2.92450321640846,0.00345006514282886,0.0186926518853876
"Ppp2r5c",378.954587716916,-0.32428237996798,0.110916431102784,-2.92366403015145,0.003459379053294,0.0187360074475331
"Gm42595",4.74495387381007,-3.17233091936875,1.0854425862034,-2.92261512464216,0.00347105276003944,0.0187921059586366
"Ido2",7.6828405000244,1.70766530959754,0.584626455509336,2.92095113641376,0.00348964554747121,0.0188856073167805
"Mrm3",33.6288628936068,0.812096200949138,0.278079155676777,2.92037782901308,0.00349607243450184,0.0189132221627103
"Kif15",67.0756108692896,-0.638102741239724,0.218549821414449,-2.91971293826707,0.00350353947697525,0.0189464410489059
"BC055308",6.18140055720025,2.10400719968051,0.720708212799445,2.91936065430408,0.00350750167408555,0.0189593954530488
"Scimp",6.30128738336932,-2.75506018284661,0.943751653086169,-2.91926395449192,0.00350858998616497,0.0189593954530488
"Praf2",35.8489946624247,0.887967131135362,0.304204956454778,2.91897653964545,0.00351182652272459,0.0189697074120849
"Slc38a6",18.0827683728721,1.07833151675489,0.369594026014872,2.91761078603445,0.00352724323188271,0.0190457799008502
"Gm12537",8.23418671499818,3.24890317538523,1.11364085878975,2.91737066734062,0.0035299600624111,0.0190532462627949
"Slc25a4",587.570493776185,-0.391476255115226,0.134211623550521,-2.91685805415999,0.00353576641248871,0.0190773766162311
"Npl",40.508031827472,0.910987846285263,0.312347290315664,2.91658635925608,0.00353884741247399,0.0190867895562513
"Icam2",110.219275498197,-0.552644204065049,0.189508521412576,-2.91619711844986,0.00354326563070083,0.0191034049594825
"3110082I17Rik",53.2004369652478,-0.667343191326962,0.22898366310658,-2.91437031914521,0.00356406849762715,0.0191865911357372
"Rpl32-ps",5.20631755818034,2.47990535588352,0.850854516323398,2.91460562094606,0.003561382754257,0.0191865911357372
"Tubb2a",180.897690339161,0.412164250836619,0.141422580717228,2.91441613316853,0.00356354543028396,0.0191865911357372
"Ufc1",278.347629976738,-0.503456313958521,0.172736739181804,-2.91458734455232,0.00356159129571596,0.0191865911357372
"Pgf",12.8258231309817,-1.30224020434111,0.4468858101623,-2.91403346163121,0.00356791660866212,0.0192000697079549
"Pparg",19.8134895630534,-1.36878344159723,0.469777139394198,-2.91368678212471,0.00357188086793291,0.019214162921212
"Atxn7l2",36.3381360830057,0.897353291400122,0.308024888316991,2.91324930366227,0.00357688912600517,0.0192266204356816
"Kctd2",69.6818249863665,0.568650655199055,0.1951935117802,2.91326617372093,0.00357669587904172,0.0192266204356816
"Inpp1",30.0897501074641,-0.850013528700433,0.29179537969083,-2.9130465657169,0.0035792122375055,0.0192318695169502
"E230016M11Rik",5.18732784389661,-2.43790383587598,0.836976006462151,-2.91275235735952,0.00358258592127069,0.0192427574755878
"Cd38",116.208763569574,-0.647568706950684,0.222527298956873,-2.91006411342003,0.0036135462105035,0.019401754503162
"Gm37033",6.18526486686576,1.91412333066344,0.658013368785961,2.90894292040755,0.00362653065765131,0.0194568410415387
"Trp53inp1",14.5156666268844,-1.43076760563425,0.491846455397713,-2.90897207844533,0.00362619244404298,0.0194568410415387
"Rhobtb2",125.333313084627,-0.522180594605683,0.179551130731033,-2.90825567335417,0.00363451057216426,0.0194923319533045
"Rps24",1725.23584803763,-1.87140668388848,0.643571205243063,-2.90784713275307,0.00363926187336664,0.0195104872655489
"Rpp25l",129.683277603523,0.443591414668051,0.152575482837213,2.90735710888316,0.00364496827009954,0.0195337474047135
"Ubl4a",118.529216651139,0.488332407310385,0.167999865079037,2.90674285411268,0.00365213284510926,0.0195648016856153
"Coq8a",6.59976083974213,-2.08111188894106,0.716105204685286,-2.90615383790664,0.00365901506637873,0.0195943206516764
"Pole",47.7374769824225,-0.680152089426147,0.234048074340035,-2.90603582765647,0.00366039534661687,0.0195943651950458
"Actn2",4.95567041631951,-3.02274863589649,1.04052081657038,-2.90503427491211,0.00367212885614427,0.0196498105370747
"Gm9843",167.217521424051,0.946611780268932,0.325917993323318,2.90444774348458,0.00367901612655862,0.0196792915054345
"Jtb",263.587834535433,0.336693901532344,0.11602151936985,2.90199527950535,0.00370794127602953,0.019826588283135
"Myl6b",11.1659739933565,1.27045577598824,0.437831182069227,2.90170236387449,0.00371140980300181,0.0198377076371526
"Nrg4",12.8649444457705,1.43816641233868,0.495753480867835,2.90097088137659,0.00372008445324902,0.019876635301647
"Atp6v1e1",348.322540947306,0.429822282649265,0.148176228389802,2.90075059488319,0.00372270043927869,0.0198831741487577
"Tmbim1",79.4581416374075,0.565034203566844,0.194798919195641,2.9006023539554,0.00372446179796158,0.0198851451956962
"Mtmr4",53.7356234484137,-0.697437414995262,0.240478609290232,-2.90020562350113,0.00372917936939636,0.0199028922846483
"Trub2",54.1964020860969,0.566431525340194,0.195378646368501,2.89914755715861,0.00374178754101256,0.0199627230708784
"Taf1a",24.3608126920651,0.911092725653214,0.314297795088146,2.89881997230586,0.00374569896836919,0.0199761287028561
"Lag3",15.6074181513105,1.60183324358558,0.552956356094031,2.89685293591813,0.00376926402821289,0.020094299683067
