"","baseMean","lgFC_LcDC_vs_PcDC","lfcSE","stat","pvalue","padj"
"Ptov1",166.124761545157,0.884793457663975,0.142191363882662,6.22255412356913,4.89125963968139e-10,1.40178153007807e-08
"Thap4",103.151041965289,0.951804960501481,0.15296726839137,6.22227859927701,4.89985951348828e-10,1.40178153007807e-08
"Nup210",426.136015934056,-0.669107026662675,0.107652137994719,-6.21545506783614,5.11761165769385e-10,1.46108336100335e-08
"Hspa5",1358.52857089151,-0.791203863392047,0.127412784449059,-6.20976824902826,5.30627976694547e-10,1.5118565678842e-08
"C77080",15.997327857712,2.59105181435015,0.417394745868763,6.20767712098808,5.37734877727496e-10,1.52738341030076e-08
"Tex2",94.6166077588998,-1.68772810690535,0.271884351983485,-6.20752203866395,5.38265624144384e-10,1.52738341030076e-08
"Atp2a3",80.5239264967692,-1.30148983696714,0.209782557597649,-6.20399451637596,5.50477046306697e-10,1.5588661345817e-08
"Osbpl3",109.194624338082,1.25043674896009,0.201672361111833,6.20033772633171,5.63421258931981e-10,1.59229234735818e-08
"Luc7l3",472.419588307603,0.718183683648632,0.115875577569926,6.19788654960741,5.72263641925663e-10,1.61401468786347e-08
"Il36a",8.31214762213249,6.79025126805371,1.09929901562918,6.1768919752624,6.53757707963447e-10,1.84014341953179e-08
"Wbp1",129.143873157421,-1.00082449987689,0.162385407498724,-6.1632662398236,7.12595445986757e-10,2.00171932020546e-08
"Ifi208",60.650826391054,-2.19425970487732,0.356194671153975,-6.16028223490406,7.2615408153936e-10,2.03571026754438e-08
"Pprc1",70.8819826995659,1.13514915370411,0.184369403623101,6.15692805528976,7.41695215968373e-10,2.07511160523737e-08
"Cnn2",1609.35717631971,-0.487833969475439,0.079298973485338,-6.15183208601858,7.65929473843684e-10,2.13862827686634e-08
"Sgpl1",318.390565455713,0.887743195551488,0.144326660227991,6.150930078678,7.70298755007665e-10,2.14653511350539e-08
"Sirt2",349.346320870517,0.726678589647291,0.118213431522197,6.14717448169874,7.88753497817337e-10,2.19358318387009e-08
"Aldh3a2",207.096440109934,0.68134897752687,0.110988439354157,6.13891844494481,8.3085205855834e-10,2.30606870567256e-08
"Treml4",10.9268372394148,3.75840099313985,0.612486789813665,6.13629723227705,8.44670541684236e-10,2.33977091913762e-08
"Rnf19b",855.311968976008,0.568667233786335,0.0927394420073372,6.13188112282737,8.68459899285186e-10,2.40090468394465e-08
"Creld2",146.790178732264,-0.816981412164275,0.133341427710876,-6.12698863503796,8.95578664024589e-10,2.47098295028602e-08
"Timm10",114.882092929682,0.88257052531614,0.144078386647089,6.12562748552938,9.03269132096939e-10,2.48728606572098e-08
"Acyp1",75.4441345941454,-1.02510059541466,0.167677454671105,-6.11352669579441,9.74530595123291e-10,2.67813830386439e-08
"Uba7",304.072805679977,-0.739796399678317,0.121015858451408,-6.11321862394894,9.76414581095176e-10,2.67813830386439e-08
"Gm15848",21.4733333470029,-2.13848639595371,0.350115645414543,-6.10794297244758,1.00923398619817e-09,2.76272856496326e-08
"Entrep3",97.7797070825616,-0.986699164476972,0.161573200562235,-6.10682440555428,1.01632945881328e-09,2.77670754882431e-08
"Slc4a2",70.0443525573532,1.14572523651565,0.187806481264513,6.10056281764829,1.05695632885185e-09,2.88206392716809e-08
"Stat3",640.686205015901,-0.607909581317497,0.0996803052544811,-6.0985926935669,1.07006340787103e-09,2.91211603066033e-08
"Cry1",82.2990694281546,0.95541960552626,0.156723762658958,6.09620129913113,1.08618621209256e-09,2.95024235545219e-08
"Cox6a2",19.6799513199465,2.78806569091255,0.457683843125457,6.09168475748073,1.11728537683902e-09,3.02393081069719e-08
"Rbpms",162.196865111289,1.14889728961711,0.188602517936979,6.0916328275162,1.11764794665121e-09,3.02393081069719e-08
"Nlrp3",131.171252205179,1.55237818153623,0.25574065895373,6.07012661923692,1.27809439818762e-09,3.45134930233992e-08
"Btg1",55.80545479728,-1.43406262082821,0.236321651811651,-6.06826589876394,1.2929871077574e-09,3.48482490567588e-08
"Rdh11",109.477445034147,0.892032438731872,0.147043186637658,6.06646563590878,1.30755687038216e-09,3.51730278755401e-08
