"","baseMean","lgFC_PMoDC_vs_PcDC","lfcSE","stat","pvalue","padj"
"Ltc4s",27.3408041927379,2.94390136038664,0.305981162452796,9.62118496703468,6.50770927617887e-22,1.89679803841605e-19
"Cyp11a1",390.26977421039,-2.38984728599831,0.249564076293915,-9.57608691718817,1.007914873819e-21,2.8790080455766e-19
"Htra1",26.9325725771555,3.73454592414091,0.391034736837402,9.55041987917761,1.29171695800067e-21,3.61731403807169e-19
"Hnrnpab",2053.02325710063,-0.589153507457743,0.0618893029463777,-9.51947233867214,1.74060608086836e-21,4.78064154749269e-19
"Arhgap22",46.7989392550443,2.27100919216025,0.239702458786996,9.47428409225586,2.68596153365069e-21,7.23790615539606e-19
"Cst3",1676.3708230216,1.84345949894053,0.195629610170662,9.42321306745103,4.37491157619823e-21,1.15708309502339e-18
"Slamf7",276.715192756944,1.48041395285694,0.158190507637241,9.35842469291392,8.09343367413505e-21,2.10164399516358e-18
"Pdlim4",32.3565415165293,2.15979321476083,0.230876818120208,9.3547426387188,8.38034877121665e-21,2.13728823483065e-18
"Srm",526.746552581699,-1.15706723374165,0.124668263674396,-9.28116907734949,1.67629055670372e-20,4.20013714576184e-18
"Nudt9",234.913529880865,1.20621984956419,0.130129667624961,9.26936855814131,1.87251154752502e-20,4.61089826237109e-18
"Zmiz1",311.359572779426,0.859120463055895,0.0928013256321928,9.25763136682894,2.09017368949916e-20,5.0596373954961e-18
"Atf5",336.35494604694,1.8434213048888,0.199504640035849,9.23999213530847,2.46515355696425e-20,5.86788718342723e-18
"Cd200",77.6741380972056,1.89160837019062,0.205324405298242,9.21277900424445,3.1778881949016e-20,7.44042609829256e-18
"Insl6",77.3234939483442,1.70761916469166,0.185446016536243,9.20817387499901,3.31720035856267e-20,7.64133153564387e-18
"Slc22a23",42.7316849997154,2.0033259376299,0.219181150814851,9.14004662436584,6.24254106853371e-20,1.41517415144125e-17
"Slc27a3",25.7247907631542,2.81282720792638,0.308023435653784,9.13186102854841,6.73317121032298e-20,1.50254923790364e-17
"Pdgfb",30.9936498865009,2.29038873133421,0.251880697063784,9.0931490901592,9.62111869525877e-20,2.1139818031644e-17
"Ptgs1",134.831410553668,-1.536601733077,0.170213711665059,-9.0274850248297,1.75662346069082e-19,3.80122670690701e-17
"Etnk2",17.8198604102318,4.34075365506065,0.482138089021671,9.00313365382244,2.19365043731181e-19,4.67607694711749e-17
"Tubb2a",180.897690339161,1.12077402817175,0.124727694032414,8.98576724973757,2.56935283127157e-19,5.3963966376795e-17
"Cd177",138.966544782436,-2.18886141156777,0.244850312270245,-8.93959003471434,3.90616789662984e-19,8.08520143473441e-17
"Pik3r5",261.695975010615,1.09675098070148,0.122945282206931,8.92064307807696,4.63588392828411e-19,9.4585277519648e-17
"Stxbp3",200.299353699888,1.49219085581346,0.167664079850501,8.89988396527143,5.59051018240664e-19,1.12455868204411e-16
"Alox5",218.021011502421,-1.7401697894556,0.195794108072518,-8.88775360293825,6.23567738538136e-19,1.23691589469468e-16
"Rtl5",18.7153786199563,3.74462242649284,0.421870163277772,8.87624381254777,6.91561618981921e-19,1.35299767702737e-16
"Il18bp",55.4950495826917,2.29831970127966,0.259197862030461,8.86704729458594,7.5111015176654e-19,1.44964259290942e-16
"Lipg",141.01428260336,-3.10044287138598,0.351827654077473,-8.81239105412463,1.22504418665234e-18,2.33281080983582e-16
"Fn1",45.6884191660961,2.67345765784559,0.30394369246823,8.7958978063841,1.41908701271046e-18,2.66641046958873e-16
"Traf1",530.118493799572,1.08059857672805,0.122872857773782,8.79444489455526,1.4375690110512e-18,2.66641046958873e-16
"B3galnt1",18.5928594270948,3.01187272071131,0.343342786517114,8.77220328775186,1.75203722443006e-18,3.20802508196284e-16
"Arhgef40",70.0600869334611,1.8918209232962,0.216763739038419,8.72757100282765,2.60200500681602e-18,4.70402981105651e-16
"Irf8",2086.74599083428,1.44199195299788,0.166576276999791,8.65664654637281,4.85846294285234e-18,8.67357096872714e-16
