"","T_PCD11_LMoDC_1","T_PCD11_LMoDC_2","T_PCD11_LMoDC_3","T_PCD11_LMoDC_4","T_PCD11_LCD11_1","T_PCD11_LCD11_2","T_PCD11_LCD11_3","T_PCD11_LCD11_4","T_PimedMoDC_1","T_PimedMoDC_2","T_PimedMoDC_3","T_PimedMoDC_4","T_PimedCD11c_1","T_PimedCD11c_2","T_PimedCD11c_3","T_PimedCD11c_4"
"Cyld",96,48,28,46,101,95,114,129,150,252,262,270,97,167,151,121
"Cym",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cyp11a1",359,318,254,267,632,914,578,346,77,166,149,133,343,734,539,262
"Cyp11b1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cyp11b2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cyp17a1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cyp19a1",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"Cyp1a1",43,17,15,41,79,47,73,109,9,16,17,9,9,12,6,12
"Cyp1a2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cyp1b1",8,7,3,5,11,22,24,24,54,59,61,67,3,8,15,11
"Cyp20a1",26,14,11,24,51,68,64,65,37,76,58,64,35,63,64,39
"Cyp21a1",2,0,0,0,1,0,1,0,0,0,0,2,0,0,0,1
"Cyp21a2-ps",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cyp24a1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cyp26a1",1,0,0,0,1,1,1,1,2,3,1,3,0,4,4,0
"Cyp26b1",0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
"Cyp26c1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cyp27a1",7,1,0,0,0,1,4,5,31,32,46,46,4,11,13,5
"Cyp27b1",0,1,0,0,0,0,0,2,0,0,0,0,1,0,0,0
"Cyp2a12",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cyp2a21-ps",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cyp2a22",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cyp2a4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cyp2a5",0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
"Cyp2ab1",0,0,0,0,0,0,0,0,1,3,3,2,2,2,1,1
"Cyp2b10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cyp2b13",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"Cyp2b19",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cyp2b23",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cyp2b26-ps",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cyp2b27-ps",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cyp2b9",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cyp2c23",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"Cyp2c29",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cyp2c37",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cyp2c38",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cyp2c39",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cyp2c40",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cyp2c50",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cyp2c52-ps",0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0
"Cyp2c53-ps",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cyp2c54",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cyp2c55",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cyp2c65",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cyp2c66",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cyp2c67",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cyp2c68",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cyp2c69",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cyp2c70",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cyp2c71-ps",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cyp2c72-ps",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cyp2c73-ps",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cyp2d10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cyp2d11",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cyp2d12",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cyp2d13",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cyp2d22",8,3,1,4,9,5,7,10,4,9,4,8,2,8,3,1
"Cyp2d26",1,0,0,0,1,1,1,1,0,1,2,0,0,1,0,0
"Cyp2d32-ps",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cyp2d33-ps",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cyp2d34",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cyp2d34-ps",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cyp2d35-ps",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cyp2d36-ps",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cyp2d37-ps",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cyp2d38-ps",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cyp2d39-ps",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cyp2d40",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cyp2d41-ps",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cyp2d67-ps",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cyp2d9",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cyp2e1",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"Cyp2f2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cyp2g1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cyp2j11",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cyp2j12",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cyp2j13",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cyp2j14-ps",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cyp2j15-ps",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cyp2j5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cyp2j6",0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0
"Cyp2j7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cyp2j7-ps1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cyp2j7-ps2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cyp2j7-ps3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cyp2j8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cyp2j9",0,0,0,0,0,0,1,1,1,2,0,1,0,1,1,0
"Cyp2r1",1,1,1,0,2,2,1,2,4,3,2,6,2,4,3,2
"Cyp2s1",4,0,3,8,11,5,3,9,9,8,10,5,2,3,4,1
"Cyp2t4",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"Cyp2u1",0,1,1,0,1,0,0,1,0,3,3,1,0,0,1,2
"Cyp2w1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cyp39a1",0,0,0,0,2,1,0,1,4,5,3,3,0,0,2,4
"Cyp3a11",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
