"","baseMean","lgFC_LcDC_vs_PMoDC","lfcSE","stat","pvalue","padj"
"Copb2",218.33096231043,-0.459755459956602,0.147704907821641,-3.11266204174999,0.001854081994,0.00732184952490132
"Cox17",277.394539923513,-0.730659592712918,0.235106586403215,-3.10778019404278,0.00188498206911655,0.00744202538072927
"Thap7",88.0881131970259,0.639623065480445,0.205836488946662,3.10743284027834,0.00188719860000945,0.00744892525673295
"Rab8b",105.39163312103,-0.713944804828891,0.229780250359721,-3.1070764511363,0.00188947527537545,0.00745605904120461
"Otulin",389.121095899268,0.427498932409966,0.137596199696024,3.10690944484217,0.00189054300822579,0.00745841985887337
"Aaas",82.6883479034339,0.522905591077917,0.168358398531158,3.10590737165477,0.00189696127899051,0.00748188278036798
"Aicda",35.7602667639428,1.48564272195461,0.478449809236083,3.10511717901333,0.00190203656252274,0.00750003843852042
"Gm43672",6.44779765135278,-1.77739091366796,0.572559972412816,-3.10428775902355,0.00190737720966565,0.00751923119850077
"Snca",19.495519466847,-1.57609234076819,0.507732454662906,-3.10417883728663,0.00190807958038881,0.00752013403464078
"Ctbs",12.721852716537,-1.01226022621741,0.32613128803104,-3.10384272643313,0.00191024845462493,0.00752681478140533
"Gm13292",82.1001241686605,4.2001788579258,1.35338685789589,3.1034576946135,0.00191273579089125,0.00753372061211675
"Smg9",109.090795595654,0.424287662999479,0.136715955205197,3.10342463220672,0.00191294951528161,0.00753372061211675
"Mycl",1.40643175762976,-3.99842845571472,1.28850978793059,-3.10314170149719,0.00191477935338407,0.00753719018513695
"Tsc22d2",48.174047572112,-0.561524324922975,0.180949377113051,-3.10321225683,0.00191432289044549,0.00753719018513695
"Atrx",285.281027962092,-0.672207137634603,0.216683163905618,-3.10225827202431,0.00192050323274561,0.0075578486149689
"Ywhah",534.358741605765,0.273584889905389,0.0882018336146532,3.10180501576259,0.00192344604662662,0.00756755506259462
"Emp2",2.63047430390378,-2.47814443363923,0.799020449767493,-3.10147810905259,0.00192557109238307,0.00757404009524383
"Dffa",72.7545241864271,0.539814676721669,0.174149226690148,3.0997247991352,0.00193700525647511,0.00761712933406437
"Farsa",178.005649238519,0.401399529636531,0.129518406458702,3.09916976753818,0.00194063785075411,0.00762952574484793
"Bpnt2",10.4062534580155,-1.34836628496416,0.43535096524589,-3.09719374161164,0.0019536214628351,0.00767225392344809
"Cdkal1",20.3360586935554,-0.908022219173665,0.293187022336935,-3.0970750749334,0.00195440370291398,0.00767225392344809
"Glod4",67.8881838299947,-1.22196097343283,0.394519597862549,-3.09733909304693,0.00195266371089849,0.00767225392344809
"Klhl36",27.9606774209123,-0.93493000358999,0.301872299979852,-3.09710431746268,0.00195421091209427,0.00767225392344809
"Mcm5",300.267797261225,0.43088053810278,0.139117951005532,3.09723177338665,0.00195337082162143,0.00767225392344809
"Rps3a3",23.6377004826961,1.00772582237178,0.325376409948608,3.09710781593214,0.00195418784847374,0.00767225392344809
"Shld3",12.4423511370303,-1.16850020673774,0.377346591427259,-3.09662319280017,0.00195738510241093,0.00768205956571207
"Slc31a1",36.9880387413079,0.67749293782961,0.218935113171887,3.09449191595734,0.00197150307336078,0.0077355567612948
"Abhd14a",21.5255962029281,0.921888115965736,0.297977932769749,3.0938133820738,0.0019760173859329,0.00775135511365825
"Hint2",74.587965764151,-0.483805284761301,0.156411426894359,-3.09315818139083,0.00198038546454115,0.00776657217357819
"Sytl3",38.3220719923835,0.660263738181509,0.213494784172335,3.09264575591943,0.00198380786682268,0.00777807393391214
"Ikzf1",286.430418898702,-0.481563312035802,0.155743515522444,-3.09202800784603,0.00198794091757035,0.00779235562729835
"Hmgn3",135.728639356529,-0.541895005261244,0.175292264811442,-3.09138002092761,0.00199228477364171,0.00780745638846716
"Ly6k",12.9012945986548,-1.09754623653807,0.355323772483542,-3.08886238842606,0.00200924482452805,0.00787046333940716
"Ndufb6",434.740256662168,0.312678086499754,0.101228113811578,3.08884631676295,0.00200935351574466,0.00787046333940716
"Aunip",21.7661933378746,0.984411765519573,0.318780910722217,3.08805117373349,0.00201473773898975,0.00788960770503577
"Atp13a2",209.106587970972,-0.493139708532426,0.159716788991912,-3.08758842226284,0.0020178773009923,0.00789606322188786
"Phf6",18.2166398141073,-0.933560797356841,0.302358726400349,-3.08759336458087,0.00201784374586689,0.00789606322188786
"Rtn3",293.748818455288,0.269716742098602,0.0873540855477159,3.08762595827613,0.00201762246869461,0.00789606322188786
