"","baseMean","lgFC_LMoDC_vs_PMoDC","lfcSE","stat","pvalue","padj"
"Klf9",38.453837522427,-0.748725178251705,0.250592511830369,-2.98781943954707,0.00280975497050446,0.0113719828057391
"Pde8b",1.99234412746004,-3.51422749817871,1.17641906680657,-2.98722419360153,0.00281523187537141,0.0113911877754175
"Plekhh3",3.81900591774331,2.37229820312468,0.794427637802241,2.98617279943529,0.00282492965929006,0.0114274571404649
"Gm5905",22.4848950213959,1.56899359627072,0.525434886547186,2.98608569099993,0.00282573449141908,0.0114277430744166
"Stard3nl",65.6657186595102,-0.597542663470317,0.200118293540487,-2.98594722600623,0.00282701425972312,0.0114299490822987
"B230317F23Rik",1.08105946564419,4.53022929477125,1.51732838429829,2.9856617339076,0.00282965460271829,0.0114376534785544
"Rtel1",43.663264979826,-0.68409378586064,0.229166245325914,-2.98514200853507,0.00283446700845562,0.0114541312184891
"Lcp2",25.7293139463869,1.07468187786876,0.360142201720867,2.98404872501365,0.00284461468879625,0.0114921547484564
"Anapc15",86.8098965464446,-0.560852737825821,0.187959590308435,-2.98390061877386,0.00284599193511704,0.0114947354597903
"Rin2",12.0456038068084,-1.32760750972871,0.445049297385901,-2.98305719731885,0.00285384655959549,0.0115234696619101
"Nr2c2ap",151.751064808419,0.540725306529566,0.181284856001029,2.98273842866664,0.00285682034179624,0.0115324858507262
"Pvt1",9.10643804990462,1.58223558863044,0.530517320866817,2.98243907672084,0.00285961556175414,0.0115407767265401
"Gm20559",94.0080424575603,0.600631454385251,0.201406283437519,2.98218826212332,0.00286195948298726,0.0115472424344685
"Tgfbrap1",56.1026351994484,-0.615954987617933,0.206556798780963,-2.98201265343536,0.00286360163115509,0.0115508740581913
"Tagln2",1393.80800179139,0.37043710722308,0.12423332577548,2.98178532137625,0.0028657287313533,0.0115564594384055
"Lipo3",20.1902999026507,-1.09030306731895,0.365689310445226,-2.98150106162934,0.00286839052190257,0.0115641975819568
"Maml2",6.00937852257291,-2.24056716680247,0.751919964172766,-2.97979475683619,0.00288441574614539,0.011625793760875
"Zfp110",73.8056743825492,-0.789578994500976,0.265083213681285,-2.97860805116956,0.00289560915384156,0.011667888192777
"Susd3",169.105484615216,-0.489274482082176,0.16431203212573,-2.9777154828673,0.0029040542690568,0.0116988894286072
"Daxx",436.921025462585,0.517595253255316,0.173830352899738,2.9775884626654,0.00290525790768732,0.0117007101141166
"Clk3",264.951569301109,0.356143616088928,0.119614224285975,2.97743531937688,0.00290670969312298,0.0117035289920208
"Iglc2",946.339123397898,-1.84154434422997,0.618618730825586,-2.9768648320304,0.00291212369456045,0.0117222956890426
"Mta2",408.62493793301,0.306390767977999,0.102971332120259,2.97549581683733,0.00292515339658368,0.0117717005613293
"Ppp1r12a",222.485648928199,-0.534454745728271,0.179644733525053,-2.97506492531682,0.00292926543319121,0.01178520179195
"Rhobtb1",16.1118582429593,-1.27817256055,0.429678567951056,-2.97471797731275,0.00293258022241059,0.0117954893390293
"Ppp3ca",447.123895791465,-0.311514746724989,0.10474405668101,-2.97405653930019,0.00293890917833044,0.0118178920872879
"Atxn3",38.647467190975,-1.18213108865928,0.39761853142624,-2.97302815444498,0.0029487740161299,0.011854498020423
"Ptpro",9.10948828643999,-1.48088772593969,0.498146420330276,-2.97279608063398,0.00295100437144655,0.0118604012512102
"Mgat1",336.504268067594,-0.30476144648451,0.102521555270983,-2.97265726879551,0.0029523391642125,0.0118627030020991
"Usf3",65.5153557150173,-0.594495509737011,0.200006331435398,-2.97238345141605,0.00295497376432916,0.0118702249330446
"Rnf11",51.5250244966974,0.662401865619475,0.222869115406197,2.97215639058913,0.00295716011187478,0.0118759428022298
"Xrcc1",134.053851490226,0.390938471487605,0.131561758516775,2.97152056870505,0.00296329023767839,0.0118974918338153
"Zfp560",20.2480305796672,-0.967606060608554,0.325670490025838,-2.97111985962187,0.00296715953328956,0.0119099549497641
"Akap9",137.132359345468,-0.609140375549338,0.205032553418707,-2.97094468850214,0.00296885245455109,0.0119136780890803
"Dld",156.638244922783,0.443548557220783,0.149343051330111,2.96999795618447,0.00297801730341732,0.0119473756043799
"Gm44096",11.2457448160044,1.33888254956613,0.450880801890397,2.96948227547642,0.00298302020643414,0.0119643629305215
"Mis12",61.3169777622934,0.526964101267302,0.177477761811708,2.96918383400832,0.00298591905353992,0.0119698212689679
"Oaz1",1013.64001360272,0.560399190391973,0.188737124995072,2.96920486844655,0.00298571465588424,0.0119698212689679
"Arsa",42.4254359627901,0.726433006273413,0.244709100409443,2.96855738122513,0.00299201232935773,0.0119911596083374
"Wrap73",72.9754872682858,0.49086941764001,0.16538791535105,2.96798842042418,0.00299755622970279,0.0120102857841837
"Ciita",990.493302219379,-0.600102317645227,0.20229850365692,-2.96641995268015,0.00301288779152095,0.0120686081736529
"Spsb3",61.7917114127999,0.761768779123001,0.256826612478716,2.96608194832664,0.0030162010929716,0.0120787718582959
"Adamtsl1",2.3365786743222,3.87213750753653,1.30560865716462,2.96577193042335,0.0030192429780721,0.0120878436719831
"Wdr18",194.696069474193,0.347510535932976,0.11718151005001,2.96557482306439,0.00302117844367818,0.0120924822973244
"Plk4",86.1272022918344,0.630493795821171,0.212610121541926,2.96549285259141,0.00302198367335833,0.0120925958507701
"Ubr5",188.519536221476,0.360819760718137,0.121695247219762,2.96494537758368,0.00302736676765595,0.0121110231573715
"Mysm1",137.074765227182,-0.523404872192933,0.176556316884624,-2.96452079103445,0.00303154757112419,0.012124632449157
"Cd37",713.320785503808,0.462408313563992,0.156018267277763,2.96380880029104,0.00303857019735059,0.0121495976604057
"Gm7788",2.36969378460023,3.35046187552302,1.13058743881619,2.96346992766098,0.00304191783145545,0.012159859518345
"Hcst",142.575361965099,-0.538447300226999,0.181722814748356,-2.96301430820684,0.00304642407874523,0.0121747463953141
"Tfam",26.7948703354276,-0.888586501180389,0.30005874135974,-2.96137515325729,0.00306268633441693,0.0122365953494697
"Pole4",233.293989411436,0.29407133658248,0.0993311853713284,2.96051371463209,0.00307126447117375,0.0122677194658174
"Mmadhc",86.8200287675598,0.630821727897404,0.213109261428829,2.96008593745738,0.00307553237848757,0.0122816154447249
"Gm12421",5.37895490589115,2.0061416979003,0.67819878611929,2.95804377560098,0.00309598153922239,0.0123601048062415
"Pygl",378.669503048386,0.518839456035593,0.175408288937733,2.95789588495314,0.0030974672436632,0.012362865414067
"Cacybp",370.450776274783,0.316559288757364,0.107035524142703,2.95751612647141,0.00310128526289365,0.0123749311464246
"Abhd17a",383.728913426422,0.336080027629484,0.113668161123745,2.95667691204761,0.00310973778784032,0.0124054788327838
"Gipc2",1.43034025159835,-4.08477428416666,1.38175709317628,-2.95621734408967,0.0031143754283739,0.0124207962895383
"Zfhx3",5.85562411759751,-2.23270281907105,0.755594481110679,-2.95489561515736,0.00312774856698777,0.0124709360127386
"Arhgap15",20.3912679556918,-1.00050547156384,0.338706414221985,-2.95390175548349,0.00313783881276979,0.0125079638820934
"Dntt",11.963069816552,-1.30297387446572,0.441240541768274,-2.9529785935899,0.00314723786735114,0.0125422182906267
"Sec14l1",171.585255802238,0.476695481372134,0.161439691258038,2.95277745923217,0.00314928909295926,0.0125471804507305
"Magohb",60.3834642281077,-0.806835585715363,0.273259981410772,-2.95262987851304,0.00315079493833307,0.0125499677610268
"Rpl36-ps2",20.1370412118609,1.17497056478057,0.398008529516281,2.95212408188479,0.00315596083391058,0.0125673283040809
"Cbfa2t2",47.0963988325725,-0.660810270218994,0.223964560496732,-2.95051265590136,0.00317247046964332,0.0126298402379713
"4833420G17Rik",102.779853958087,-0.484735872869584,0.164329635820144,-2.94977756416449,0.00318002786075176,0.012656689767441
"Naf1",29.1430704424183,0.80330051774616,0.272574255963169,2.94708872966603,0.00320781143691831,0.0127640063463881
"Tgfb1i1",8.52161103800265,-1.72408504801266,0.585147219953628,-2.94641243984597,0.0032148342299134,0.0127886812222929
"Lrrc73",5.10985545342058,2.01501926302954,0.683981905574777,2.94601252841074,0.00321899361733246,0.0128019557096058
"Hrob",26.0004060381763,0.864160855598803,0.293490307004517,2.94442724333483,0.00323553009802889,0.0128644346119841
"Rsad2",61.8657936160313,1.30560356487918,0.443534863603185,2.94363233201721,0.00324385110861491,0.0128942253209141
"Glcci1",42.1725692611321,-0.807083884858541,0.274189205916112,-2.94352902099825,0.00324493398312755,0.0128952367580708
"Uck1",69.7772891764461,0.642277886601313,0.218263782321687,2.94266817778634,0.00325396989268048,0.0129278446527474
"AW011738",14.2068699336382,1.08388703195525,0.368382365803847,2.94228804788226,0.00325796724818391,0.0129404231143738
"Lzic",71.7821391254789,0.504881582661812,0.17161562046713,2.94193256585588,0.00326170946006265,0.012948678769532
"Tmem256",348.938754793539,-0.326566147062575,0.111001737376047,-2.9419913127688,0.00326109075263551,0.012948678769532
"Asgr2",2.25805987566607,-3.58935643335634,1.22018426317562,-2.94165114375002,0.00326467480900434,0.0129571463735241
"Gm6946",3.52228412677066,2.88637126831834,0.981337050295348,2.94126392909515,0.00326875891020134,0.0129699111838745
"Zfp553",92.4389065683197,0.482402038465372,0.164016035105312,2.94118826952273,0.00326955746405779,0.0129699111838745
"Pgap1",6.09414737763203,-1.95090794252577,0.663397449136357,-2.94078300280708,0.0032738379042423,0.012980599248188
"Zfyve27",86.9546446673328,0.482207497066883,0.16397291615777,2.94077527170962,0.00327391960994385,0.012980599248188
"Cactin",136.345625411344,0.362477827506724,0.123270419912421,2.94050939198756,0.00327673067670544,0.0129884363925635
"1600020E01Rik",61.1413538553482,0.542574698044721,0.184563261551586,2.93977627770232,0.00328449306826989,0.0130158908097478
"Gtf2e2",69.7766213172293,0.573024523530338,0.194945618288703,2.93940704366959,0.00328840894718253,0.0130280920518817
"H3c3",20.3005932614998,1.36575858649624,0.464738613703221,2.93876718272523,0.00329520500782131,0.0130516949495538
"Gm7232",8.15589845822162,2.04463276323351,0.695903282478184,2.93809903576308,0.00330231515094248,0.0130736771284655
"Gm7290",6.52605705111445,2.33712013614809,0.795456189431172,2.93808781325765,0.00330243469543404,0.0130736771284655
"Gm7265",5.65011814194157,2.16437989954924,0.73674885341193,2.93774451025727,0.00330609353646223,0.0130848339660745
"Ptprs",71.741269147108,-0.515349665097402,0.175432928810633,-2.93758799212481,0.00330776289429147,0.0130881131704477
"Lrrc42",69.861887447686,0.615064702518518,0.209384518748444,2.93748891367399,0.00330882002096083,0.0130889688554705
"Wdfy1",105.158068474747,0.437349942176019,0.148904626112951,2.93711453829695,0.00331281723230139,0.0131014514832326
"Ccr5",21.5772927039411,-1.00052378659728,0.340684145173955,-2.93680759956235,0.00331609770223046,0.0131110939377494
