"","baseMean","lgFC_CD11c_Treatment_6H_vs_CD11c_Control","lfcSE","stat","pvalue","padj"
"Golt1b",55.1370944109198,0.767316160830946,0.239000038565346,3.21052735153074,0.00132491658997406,0.0105936324025646
"Adamts6",19.3274732286405,1.42751940909599,0.447873099895683,3.1873300928957,0.00143592795194091,0.011321204076848
"2010007H06Rik",14.9695575926223,1.3321338471711,0.418276679951206,3.18481500648446,0.00144846570520531,0.0113993287108384
"Zbtb46",22.876173728107,0.941325977664431,0.296128462502191,3.17877575735384,0.00147898461709882,0.0116044094594925
"Rab5c",524.978429805458,0.682526592223842,0.214935930027754,3.17548858460151,0.00149584406918842,0.0117202367004967
"Gm45193",3.85279218351058,2.81924683638662,0.88893313008679,3.17149484136267,0.00151656561614794,0.0118421381155273
"Prmt5",92.0968575805363,0.64523587025608,0.20376328680998,3.16659531929221,0.0015423478920241,0.0120218117000249
"Polm",22.4167750502119,1.09638726055669,0.346943039869953,3.1601362026679,0.00157695401660476,0.0122768371047345
"B2m",8686.52715666371,2.40362650286623,0.76110993010267,3.1580543201453,0.00158825959939622,0.0123426936251765
"Sh3bp4",12.7428617067453,1.08920904365196,0.346026783490631,3.1477593516441,0.00164527081037286,0.0127098147102972
"Cblb",87.3607607585463,0.788338298562266,0.250495733498645,3.147112677536,0.00164891405454311,0.0127183560799432
"Rps17",2198.36950415252,0.576032195365303,0.183128878663168,3.14550167931082,0.00165802243082502,0.0127779702622054
"Heatr1",108.436473920724,0.683685376080306,0.217453686124584,3.14405052526269,0.00166626667659633,0.0128339036091425
"Eeig1",110.228280769741,0.720668504954984,0.229398678993851,3.14155472959067,0.00168053396849799,0.0129208430237531
"Wsb1",127.879455897858,0.673441956438632,0.214721081614753,3.13635694909038,0.00171060865142793,0.0131208685358772
"Il12rb1",11.8783423781794,2.11700502893256,0.676038902079655,3.13148403504614,0.00173925242102279,0.01328592762483
"Aoc2",15.3097693876123,1.45553210574051,0.465636080324254,3.12590060617065,0.00177261452369734,0.0134853463969466
"Rere",192.441830215587,0.926572743766334,0.297191428031539,3.11776402806612,0.00182228641743308,0.0138147575783141
"Apol10b",3.92025218974589,2.04407845622678,0.656531890459606,3.11344884525841,0.00184914562362135,0.0139848810032977
"Apex1",113.935490270227,0.66127369280604,0.212564819238707,3.11092726997048,0.00186500867821434,0.0140893715998202
"Smim40",6.29956879249522,1.81021490420792,0.582092559740422,3.10984030617943,0.00187188517267134,0.0141249154357781
"Gm43196",3.22586655123486,2.39173401451965,0.770582284896226,3.10380093261779,0.00191051830221613,0.0143913911948637
"Prex1",536.731799453589,0.504409158332478,0.162686251697227,3.10050267352172,0.00193192469729889,0.0145106283990539
"Utp4",58.5431015090977,0.77868058259684,0.251585222447027,3.09509666356018,0.00196748764466311,0.0147251654836955
"Als2",73.2892872962232,0.671737657819881,0.217559509731243,3.08760420838279,0.0020177701252978,0.0150031313578427
"Noc2l",249.44696660482,0.644480246147423,0.208853033920664,3.08580744099815,0.00203000239848617,0.0150818396355834
"Usp38",133.547775820099,0.57878351939368,0.18810672466629,3.07688903956235,0.00209173148934205,0.0154697754092386
"BC051226",27.8406003912841,1.39804621472495,0.456208080844089,3.06449243980563,0.00218039685179717,0.016052508571041
"Thap2",43.3228142338148,0.948152647092892,0.310118841361049,3.05738484940689,0.00223277409113432,0.0163640327614458
"Fth1",77824.3567526761,0.4530102079012,0.148438414112497,3.05183944876882,0.00227443718843187,0.0166132248087087
"Pus7",29.9616023953955,1.17796962116622,0.386353952872945,3.04893896492267,0.00229651133858141,0.0167127126315031
"Cox18",65.7618678012063,0.810593675250375,0.266000272358312,3.04734152361497,0.00230875230830875,0.0167510088002167
"Iars",218.335498520849,0.599089549407794,0.197178486058686,3.0383109302781,0.00237908342570999,0.0171560400693244
"Aen",13.165363127951,1.09638558870327,0.363595976428763,3.01539527326997,0.00256644551251919,0.0183343710446799
"Nup153",21.7598551726379,0.890019979934891,0.295222227336701,3.01474583388948,0.00257194686004644,0.0183535143732003
"Eomes",17.4172434524211,1.74674747842509,0.580386470754282,3.00962818129613,0.00261567681380925,0.0185941746835216
"Jup",76.2250657537028,0.954375349802192,0.317590722916947,3.00504794673039,0.00265538987195313,0.0187868790971516
"Ftsj3",115.221820047517,0.692085094532826,0.23041559532231,3.00363824577378,0.00266772317866285,0.0188508478170695
"Apobec1",239.350199280955,0.77264718859585,0.257251666844273,3.00346815270033,0.00266921483706836,0.0188511486511522
"Itgb8",2.74226891133362,4.39109181051735,1.46434429294922,2.99867444538851,0.00271156876654308,0.019098428848922
"Rrp15",71.2076358045432,0.789240098717929,0.263268223707093,2.99785552393904,0.00271886530885791,0.0191206359833875
"Ifi214",5.33833256522477,2.34544200108065,0.783498474356499,2.99355018273265,0.00275752156719393,0.0193696533842472
"Nop14",142.214258909528,0.704204819915855,0.235340559561368,2.99227987401901,0.0027690228000026,0.0194294593339988
"Noc3l",32.9294837507767,0.848428985436626,0.283580911095709,2.99184096051613,0.00277300684766219,0.0194469251111792
"Ddx39b",448.277825522691,0.458064391189743,0.153152845419284,2.9908970344998,0.00278159267185318,0.0194966266530916
"Utp20",64.7213455664914,0.754806016411037,0.253246560514401,2.98051833311321,0.00287761012934468,0.0200722949987373
"Kif9",6.47891722891838,1.85384054664032,0.623281581282814,2.97432268546235,0.00293636106711472,0.0203946188585667
"Slc25a1",152.224420057602,0.707144956375466,0.238100586870645,2.96994209745331,0.00297855884984018,0.0206304727810409
"Wdr4",57.1431418986205,0.80613055360853,0.271530435977088,2.96884049372849,0.00298925719464277,0.0206737091148898
"9930111J21Rik2",4.67853959335129,2.29191392063349,0.772241469922269,2.9678721098262,0.00299869070222414,0.0206949428887182
"Slc9a8",83.9176179516649,0.666654498890654,0.224611444806435,2.96803441812665,0.00299710768449083,0.0206949428887182
"Prkcq",64.3065441392089,0.725598340218616,0.244619378705066,2.96623409011868,0.00301470930573952,0.0207834411014125
"Huwe1",121.035901651096,0.463903738404584,0.156773339194777,2.95907289330761,0.00308566103725689,0.0211716057139636
"Slc41a1",60.8506872833051,0.896913684203109,0.303757905331963,2.9527254055262,0.00314982014998536,0.0215097167092701
"Nsun2",174.893224176711,0.609322521036961,0.206546189358668,2.95005452741068,0.00317717851004681,0.0216397461974864
"Slc35b2",106.355562798333,0.69365580658769,0.235332636702631,2.94755464565758,0.00320298136434136,0.0217698978937914
"Arhgap8",4.60048848601254,2.49080427731128,0.846954289558241,2.94089575791681,0.00327264646882004,0.0221854392458988
"Nifk",92.1089990082438,0.872240233323802,0.298306555633324,2.92397272822912,0.00345595023588033,0.0231983780281565
"Pum3",144.949141413615,0.524848279317328,0.179738552611488,2.92006512621591,0.00349958243138162,0.0234428773686115
"Kat2a",38.7949362113291,1.06862846302233,0.366076520190273,2.91913958990567,0.0035099901043096,0.0234884060015245
"Rnd2",17.6238513244849,1.85586234707068,0.636126169122666,2.91744379834311,0.00352913241781174,0.0235922320777558
"Cds1",30.2143084109137,1.69327377345848,0.581597135703921,2.91142041373548,0.0035978955225742,0.0239902731179743
"Rhof",83.2266351009615,0.647120872237871,0.222743021815514,2.90523522112332,0.00366977196845224,0.0243773015873239
"Ube2n",10.6617846162865,1.55933929451252,0.537082739599615,2.90335022807655,0.00369193511943584,0.0244792986588893
"Kcnab1",3.13416268623853,3.51673068292942,1.21434018040054,2.89600125211162,0.00377950892035771,0.0249835526142954
"Psmb7",191.601582252127,0.593844189951633,0.205582118805493,2.88859845108166,0.00386962872742496,0.0254499495020583
"Dhx33",75.9659507107942,0.720178380901129,0.250104385389917,2.87951120800364,0.00398292140590084,0.0260240203763757
"Med11",150.539574969961,0.515016642077935,0.178940379817292,2.87814657934556,0.0040001922356818,0.0260917228882769
"Nudt17",24.6902473042514,1.93355542084253,0.671860770750963,2.87791087829302,0.00400318216054521,0.0260917228882769
"Fnbp1",207.103271807079,0.482813175620236,0.167805493314996,2.87721913080594,0.00401196886393841,0.0261350540565723
"Fabp4",334.045318576683,1.2835654308763,0.447382702348959,2.86905466871429,0.00411700632917993,0.026752315352798
"Sct",2.86763636286037,4.67306364289852,1.6296671859049,2.86749569686139,0.00413734430628031,0.0268576407586829
"Ms4a6b",133.572807143311,0.794207413397913,0.277057499007583,2.86657973973907,0.00414933613903811,0.0269086310233035
"Cnot4",60.8756092492101,0.579344613366259,0.202283856815652,2.86401803132632,0.00418304198964092,0.0270597678981794
"Eprs",279.927159863662,0.676424765907693,0.236337086302448,2.86211858024708,0.00420819430326335,0.0271819263610491
"Sh3gl1",131.953917663641,0.623846267367462,0.218070375680967,2.86075660400631,0.00422631380311593,0.0272448544423861
"Zfpm1",133.171589683903,0.660490295707604,0.231254093992016,2.85612368761095,0.00428848034023238,0.0275772816342476
"Emc8",146.893332936234,0.456791608097653,0.160392379969664,2.84796327720836,0.00440000014212026,0.0281552394731148
"Pwp2",50.8284476733165,0.894016564135914,0.314854357604076,2.83946066663662,0.00451898659270373,0.028789175604546
"Icam5",2.4380416827502,2.58248835696276,0.910818149177671,2.83535012921554,0.00457754870698605,0.0290910264431761
"Nop56",102.260291478754,0.946283412088531,0.334126917477218,2.8321076889983,0.00462422719612454,0.029358990529226
"Gnl2",152.019953887526,0.507583830372644,0.179251534813361,2.83168470998671,0.00463034812105277,0.0293835115642807
"Hivep2",59.0222559907095,0.79468723152186,0.28189096125621,2.81912987908672,0.00481540294387668,0.0303457813967487
"Ranbp2",35.2243146294878,0.919692490356234,0.326491986743531,2.8168914634915,0.00484909094067227,0.0304829108279025
"Psmg4",157.701799315554,0.621684897342623,0.221262468945147,2.80971689553344,0.00495850956305004,0.0310270567127071
"Gtf2f2",122.608649103339,0.462410017497691,0.164690297589698,2.80775506672359,0.00498881548780012,0.0311866894189292
"Rab22a",54.6154070496384,0.604216635228337,0.215283251369827,2.80661236479737,0.00500654480596029,0.0312674706580593
"Hsd17b11",175.586483234494,0.563604356001981,0.200928375635242,2.8050013056649,0.00503163759411215,0.0313789901542689
"Dgkh",10.5038866183045,1.25883411992521,0.449293380341679,2.80180874013297,0.00508169907228731,0.031630537431285
"D030028A08Rik",7.50133212187772,1.4111798613604,0.504386007216137,2.79781722960385,0.00514492167209751,0.0318563950653577
"Gtpbp4",56.2941347595496,1.23610966427455,0.442491822091386,2.79351979530881,0.00521378378381858,0.0322031199569652
"Plin2",995.854467963641,0.660032217747238,0.236478240213433,2.79109070310878,0.0052530749180888,0.0323566532241558
"Pcna",476.634976573167,0.556167364377799,0.199314551968359,2.79040019348958,0.00526429279442274,0.0323950733030489
"Mtmr12",86.4956536084465,0.612713956827339,0.220027616787699,2.78471387261599,0.00535749760961315,0.0329219113856672
"Nfatc1",114.073612465541,0.469970227096664,0.168806999750676,2.78406836085469,0.00536817186976062,0.0329719300536902
"Slc23a1",6.06086855766872,1.44835288177735,0.520413715675521,2.78307976548489,0.00538455663176523,0.0330569595198839
"Islr2",2.33636166831167,3.05132505566092,1.10207043908755,2.76872053494805,0.00562768843353745,0.0342425625967674
"Ccnd1",27.1752607829193,1.30483175016427,0.471385737484159,2.76807643168907,0.00563882298184324,0.0342942721696114
"H2-K2",137.601127164166,0.710175683906756,0.256831817499102,2.76513903464955,0.00568985386351467,0.0345561666248657
"Lamp2",980.745622485892,0.494347836427412,0.178828586346106,2.76436696463421,0.00570333585023186,0.0345896019000775
"Dpp4",8.4297042235194,1.33789064493355,0.484588230147158,2.76088142819165,0.00576456007982834,0.0347930343400151
"Kti12",63.3316774269878,0.56666096536477,0.205264980961796,2.76063146626183,0.00576897340851814,0.0347930343400151
"Gm4459",7.24493955960183,3.04933686186645,1.10633294210177,2.75625604718363,0.00584672084064601,0.0351478703400943
"Myo1d",29.8746721409031,0.983110493701164,0.356709993265043,2.7560497666537,0.0058504094749199,0.0351537999349806
"Ing5",32.4021556921672,0.626256861331612,0.227245277417135,2.75586304124616,0.0058537502402968,0.0351576347534723
"Ruvbl1",60.4269242149772,0.55229928381262,0.200868549490208,2.74955579265306,0.00596761026084318,0.0357095868828468
"Carhsp1",55.1635388995224,0.84989662495664,0.309514958760783,2.74589838358509,0.00603454516005372,0.0360107330216233
"Nup50",119.656256098572,0.481866824577802,0.175665856448641,2.7430875545168,0.00608644546833578,0.0363037914248419
"Yars",80.4289691477824,0.641968308176432,0.234615327668073,2.73625902688109,0.00621420895235259,0.0368467522139046
"Supt6",136.955796346011,0.584240092358549,0.213554876266188,2.73578436874612,0.00622317904650035,0.0368658179489632
"Cd80",83.5083175659633,0.815086173098295,0.298211864896634,2.73324528311716,0.00627136097519287,0.0371005615853952
"Abcb1b",23.0202933297363,1.14056146240467,0.418942312578545,2.72247855649775,0.00647942383005332,0.0381233942130998
"Ddx6",387.55659152332,0.316163323566954,0.116169793088721,2.72156225091572,0.00649741464319097,0.0381774467449283
"Cbln1",2.58407359696027,2.80388052481954,1.03042917381464,2.72108029942475,0.00650689533638993,0.0382158922939488
"Mrpl17",184.655946010643,0.497279070738059,0.182868027018229,2.71933305590095,0.00654137059664092,0.0383664067140224
"B230398E01Rik",3.02453844648682,2.2629883150252,0.832675605770731,2.71773100994182,0.00657312520752687,0.0385008866167569
"Pelp1",95.6948137149272,0.510084297645196,0.187687741021474,2.71772836557735,0.0065731777366298,0.0385008866167569
"Slc39a6",51.3429922959948,0.54776388908538,0.202735019417682,2.70187109587049,0.00689504883284447,0.0401152460941296
"Rundc3b",4.76887997632439,1.99484314230416,0.739302433501454,2.69827752744742,0.00696993074479091,0.0404604324225725
"Lsm2",52.0027734376838,0.576067090794688,0.213520069861742,2.69795289579898,0.00697673118248898,0.0404637966798926
"Chka",67.0413505834967,0.469003529236256,0.173956599595109,2.69609506237694,0.00701576415112479,0.0405816255411216
"Smyd5",50.6975614251151,0.532387624930307,0.197572169907989,2.69464887275492,0.00704628413570642,0.0407038678158991
"Gm21188",91.3989868991626,1.24157587753321,0.460797155585201,2.69440872732046,0.00705136362463564,0.0407151306670595
"Cpne3",43.4797672719624,1.04636567190795,0.389900585057669,2.68367299770322,0.00728182905261141,0.0418226113444321
"Dok1",198.356973726827,0.465753348404978,0.174091435830802,2.67533750975344,0.00746540522156709,0.042688991880161
"Capn5",40.6920411747282,1.48524255174012,0.55754658125227,2.66388962228808,0.00772429031232034,0.0439760580625713
"Net1",112.034398944899,1.41577780268445,0.532881495104542,2.65683424117908,0.0078878215995621,0.044672473308099
"Poglut1",76.2897681618076,0.74850176968407,0.281938438587304,2.65484115409929,0.0079345762031466,0.0448786529681453
"Myo19",18.6569635604837,0.939673799947642,0.354351783531818,2.65181055555,0.00800614486774671,0.0451852228132395
"Mtf1",62.2594078366116,0.575980801339514,0.217256789860521,2.65115213066203,0.00802177002952207,0.045253775504793
"Gmeb2",84.8168108354995,0.383150198890768,0.144847522828548,2.64519676559669,0.0081643426322691,0.0459242145828045
"Pstpip1",128.794729671933,0.47112337693646,0.178314040226117,2.64209916582584,0.00823939278412605,0.046254096256726
"Gns",1271.980750013,0.632381831149974,0.23945779635966,2.64089054841276,0.00826884278154775,0.0463861042454311
"Snhg16",32.6274871948992,1.09739616927814,0.415901362432695,2.63859719732399,0.00832498316956524,0.0466206224937039
"Snrpb",589.912645357157,0.380259538912261,0.14434669233829,2.63434882193967,0.00842988343898304,0.0471269246487883
"Emc6",247.689664532967,0.318517650418562,0.120967353223249,2.63308770450427,0.00846124950335983,0.0472819565245739
"Psph",98.3182129721921,0.412394864450872,0.156647015105326,2.63263787167337,0.00847246281367603,0.0473242888549212
"5830468F06Rik",16.4278318184427,1.05066297602436,0.399308480062532,2.63120626904749,0.0085082379120197,0.047503719741401
"Ahnak",433.22215587637,0.52418349885438,0.199387248217307,2.6289720307644,0.00856434044967019,0.0477350063880718
"Esf1",27.0434161674324,1.41450652913465,0.538034131749863,2.62902750153454,0.00856294356435846,0.0477350063880718
"Lmnb1",52.5337632252462,0.745111845367992,0.283741537183,2.62602315038362,0.00863889416208132,0.0480270829720153
"Zswim8",259.698085948693,0.383395054963996,0.145992163657527,2.6261344811861,0.00863606898894781,0.0480270829720153
"Nadk",499.423927754437,0.494693800908064,0.188732543192507,2.62113672893962,0.00876371059908377,0.0485549877272065
"Taf4b",5.93294883952267,1.59483387631019,0.608889321447985,2.61925085583296,0.00881231178542433,0.0487827080921639
"Slc38a2",549.684511634103,0.354956982711724,0.135640249113502,2.61690010916082,0.00887323039285531,0.0490792099877387
"Chil1",65.0010939608739,1.9241452909653,0.735495732801493,2.61612026440488,0.00889352268031489,0.0491327743803014
"Med15",186.418332220046,0.477151746818515,0.182374520033333,2.6163290065482,0.00888808695636814,0.0491327743803014
"Tfrc",14.4740672097488,1.34512622912359,0.51435750496921,2.61515816553334,0.00891861449898644,0.0492454397357023
"Pus1",35.2358419430176,0.912654361114264,0.349013169133501,2.61495680343559,0.00892387407597093,0.0492535756700491
"Jade2",99.3697021120901,0.720246248951197,0.275940619017808,2.61014942821707,0.00905026806014121,0.0497611737930588
"Gm2065",2.9482972742089,2.52046257763399,0.966500406132836,2.60782360942699,0.00911198954296821,0.0499948848437256
