"","baseMean","lgFC_CD11c_Treatment_6H_vs_CD11c_Control","lfcSE","stat","pvalue","padj"
"Ncf1",1679.40992049331,0.781044704631149,0.12908622371304,6.05056590986363,1.44337894390916e-09,5.28927230459557e-08
"Amigo2",32.4815639392107,2.17967455921917,0.363751982542036,5.99219980599633,2.07021348620698e-09,7.37846773755251e-08
"Gbp8",85.1894651450206,2.17165412159934,0.363071427617333,5.98134129102609,2.21307624038372e-09,7.82334478563907e-08
"Apol7c",44.2079626104133,2.23198813899018,0.375142153457719,5.94971297791449,2.68613109562554e-09,9.24441254576524e-08
"St6galnac4",95.28202133781,1.59351786697976,0.271119639561546,5.87754494494309,4.16395681416677e-09,1.37834387265892e-07
"Col9a3",10.7272901112291,2.68065723648818,0.457810874077412,5.85538131196704,4.75916800496444e-09,1.54780041441456e-07
"Vars",253.078911785374,0.982949470521298,0.16815269961642,5.84557650732666,5.0481684931011e-09,1.62956883192934e-07
"BC147527",12.7454059475762,2.86416367831873,0.490466063169568,5.83967759116599,5.23019380280027e-09,1.67998990569454e-07
"Tamalin",58.3696917089742,1.60032868244595,0.277157181340216,5.77408340894301,7.73731044924657e-09,2.43715911947333e-07
"Nolc1",176.250233891462,1.01788342751741,0.177411506415572,5.73741494045547,9.61325322476762e-09,2.99183758854072e-07
"Tmem39a",117.96543334197,1.82614120277139,0.319496492299491,5.7156846687994,1.09263189036991e-08,3.34448194395815e-07
"Tut4",190.787234956669,0.895623382011395,0.158226689625143,5.66038121718421,1.51037101295415e-08,4.49620515046235e-07
"Psat1",105.546067522315,1.09172776699957,0.194155146951925,5.62296588135204,1.87706485329646e-08,5.48735655652441e-07
"Mybbp1a",264.367933199065,1.10502769289707,0.197556982866206,5.59346309538164,2.22584554590712e-08,6.44900327543558e-07
"F3",16.0284362445595,3.9347200459467,0.703889831973599,5.58996574068182,2.27114416883554e-08,6.56562544275145e-07
"Ifng",72.8426964621458,4.66788444941748,0.838492697364839,5.56699475628995,2.59170191152806e-08,7.39373907172555e-07
"Atad3a",112.41464801359,1.19392504668438,0.215339524573682,5.54438414892973,2.94990567050803e-08,8.34246149296498e-07
"Cxcr5",136.965176348895,1.292147655912,0.235130398115636,5.49545131666268,3.89712446529695e-08,1.06957156474785e-06
"Dusp14",14.322862931937,3.7956313289766,0.691898743862481,5.48581907778547,4.11557952569313e-08,1.12242293605329e-06
"Smchd1",80.8780964314518,1.79478481901262,0.327673643216362,5.47735485037936,4.31730889047175e-08,1.17252341035798e-06
"Wnk1",262.329863398913,0.836115886064177,0.154101242328127,5.42575694674701,5.77094447659215e-08,1.54473696905324e-06
"Ehd4",342.585952446102,1.64380760934272,0.305372567732098,5.3829576819907,7.327176915803e-08,1.94529070403431e-06
"Cnp",223.208126616187,1.31145855556966,0.243728113590386,5.38082593858549,7.41448605132756e-08,1.96446128394542e-06
"Niban1",242.060558961471,1.42198443969681,0.264921890560362,5.36756112033261,7.98084668495732e-08,2.10167681223906e-06
"Fchsd2",190.062625387771,1.04133558193006,0.194046151210191,5.36643254934792,8.03092136897778e-08,2.11059103210165e-06
"Snhg15",112.850625991469,0.826232335924377,0.154226828206976,5.35725428273448,8.44961637499341e-08,2.20282684213005e-06
"Cdk5r1",32.0984177718106,2.31336947962314,0.433667783151796,5.33442780279897,9.58463128610135e-08,2.45929917950478e-06
"Tsr1",78.3528431754926,1.07760619107962,0.202739321373048,5.31523033510004,1.06522494857654e-07,2.69601388249653e-06
"Siah2",59.8622063365055,1.07473370209878,0.20321712082723,5.28859821320121,1.23257302302231e-07,3.07764730451001e-06
"Pnpla2",334.370490177153,0.994061936900587,0.188527920481802,5.27275712987319,1.34389356779077e-07,3.32370939608176e-06
"Jun",317.118201456353,1.25625565275356,0.238629193672263,5.26446757591162,1.40596209249234e-07,3.46362728400717e-06
"Rapgef6",174.992176588392,0.799510084660154,0.153635728865313,5.20393329445559,1.95114066944857e-07,4.65731907685439e-06
"Zc3h7b",131.565405108913,1.14192598042782,0.222189122497547,5.1394324240172,2.75569570945289e-07,6.41303139253535e-06
"Tmem192",140.088146188739,0.874476422544474,0.170369955356161,5.13280889647689,2.85449703901764e-07,6.59576411733224e-06
"Ppan",108.19276390049,1.24941124543362,0.243950368852045,5.1215796529145,3.0298670342022e-07,6.97620181379405e-06
"Iffo2",102.338276955173,1.33609780205349,0.262800546306038,5.08407543604406,3.69421105234056e-07,8.34340131595457e-06
"Naa20",96.4634960481483,1.26687436696093,0.24941604103824,5.07936202373886,3.78704447926485e-07,8.53824291694218e-06
"Nop58",206.428548449867,1.096072375305,0.219149224860504,5.00148871620553,5.68892972617035e-07,1.23140244272463e-05
"Ms4a4b",28.3080096431699,1.42442424627412,0.285250334040278,4.99359361336624,5.92660382265838e-07,1.28071742739141e-05
"Gm12185",6.00208822492845,5.33004443573538,1.06810662698926,4.99018010098815,6.03230230109349e-07,1.30139669377985e-05
"Gnl3",145.607244769718,1.33203314573847,0.271590489098162,4.90456477383136,9.36347197494003e-07,1.95520717370778e-05
"Lars",131.557969536499,0.808213842130849,0.166752310503922,4.84679246535443,1.25473563158467e-06,2.57412424314259e-05
"Carmil1",33.7709467867265,2.85893666545901,0.593257790166217,4.81904614292212,1.44246192938114e-06,2.93202925614364e-05
"Baz1a",130.149646248025,1.12301856641958,0.233238732094662,4.81488883228792,1.47281858197284e-06,2.97976624150618e-05
