"","lgFC_MoDC_Treatment_6H_vs_MoDC_Control","lgFC_CD11c_Treatment_6H_vs_CD11c_Control"
"Eif6",1.8127926598821,0.750314418741237
"Ell2",2.66526344977931,0.850496883549373
"Elp5",0.843052127347322,0.751241549773093
"Enpp4",4.62518888449948,2.64170232628704
"Ep400",1.80326045477072,0.629911139445343
"Epha4",4.73746874083684,2.84661177011943
"Epop",1.79630468700772,1.03899664238779
"Epsti1",3.18435583099995,1.95465564353512
"Erap1",0.660414312491643,0.877827971843427
"Erbin",0.77080595966739,0.70364954196178
"Esd",0.805532950869548,0.796688370109697
"Etnk1",2.98610960707735,1.47951600735041
"Ets2",3.00040628538239,1.49744300694209
"Etv6",1.04100207734062,0.994743117488391
"Exoc3l4",2.41837030435912,1.09814743979547
"Fabp3",5.93385870032223,3.32860865447015
"Fam20b",0.874897937254508,0.495418371298776
"Fam20c",1.35363930684216,1.2054461889796
"Fam241a",2.85735753813194,0.868417757914414
"Fam53c",0.904545841750302,1.04378314634244
"Fbxo7",1.01774243883405,0.527619845690957
"Fbxw11",1.33434268428352,1.17441767508634
"Fbxw17",2.18129415897501,1.29825320527877
"Fcer1g",0.637434350144875,0.792354284675001
"Flnb",3.44076634928012,1.68244923838399
"Fmnl2",2.56762309797187,1.19315965560798
"Fmr1",1.25073270851783,0.815732375441198
"Fnbp4",1.47141137007978,1.06770886823262
"Fndc3a",2.48129806510217,1.26811336408518
"Fosl1",2.57804637676386,2.19947613239481
"Foxp4",2.5780666317842,0.730004463836125
"Fpr2",5.28562036751151,2.21047996430654
"Frmd4a",1.50468400408448,1.04074371947995
"Fscn1",3.58570824172458,2.11419132434326
"Fst",3.37350492532611,2.20838758100821
"Furin",1.35541990693176,1.19083557646147
"Fzd1",3.9476607286136,1.75899625244753
"Fzd5",1.83396948256064,2.03552577390461
"Gabpb1",1.3739996886503,0.852332279511387
"Gatad2a",1.14268469539323,0.824271726386453
"Gbp11",3.15400570256551,6.37859036963633
"Gbp2",5.66527706559475,3.59616943365426
"Gbp3",5.37912236094112,3.41922468343445
"Gbp4",3.81325143490334,2.85277213495486
"Gbp5",5.77779435561204,3.02355537783233
"Gbp6",3.77792974860423,3.13180254875836
"Gbp7",4.81336719502652,3.14527783218959
"Gbp9",4.84603384680283,2.83167180535705
"Gch1",2.61848681614929,1.27318795393964
"Gdf15",2.59700750853008,3.28763627396173
"Gem",2.14025707544844,2.30499328122891
"Ghitm",0.937746751675228,0.641916568517517
"Gk",1.30901223968337,1.18283594350738
"Gm10134",1.39305670841138,1.86133475949018
"Gm11772",4.16011776177653,3.99190440105424
"Gm12216",3.26743474350508,1.49079264955515
"Gm12250",5.22970750790833,3.90731321991699
"Gm13456",2.00467952335366,2.11423244132623
"Gm13822",5.18751126233777,3.53250930233393
"Gm14636",1.96490583179991,3.60125395605387
"Gm15753",3.61216074878001,2.18075426004142
"Gm16181",6.58723186121547,2.30469341940804
"Gm20559",3.57242116198322,2.60873760439942
"Gm43814",3.25993629062032,3.96176101930223
"Gm45418",3.35247468498549,3.49691660130309
"Gm47242",4.81071107321312,3.29007062252486
"Gm47662",3.26123100754462,1.16937417694857
"Gm4951",4.38955210273722,4.32303477029393
"Gm5431",3.69982890694831,3.86789700258428
"Gm6548",2.74456015642961,3.02065555796501
"Gm7160",2.5863935040341,1.52709257248296
"Gmppb",1.77747713776791,1.35122326595641
"Gng12",1.39293768403838,0.950840485928984
"Gpr85",3.135513325183,2.01068405317138
"Gpsm2",2.10805348203625,1.3086585896485
"Grap",2.4019367839467,0.751968738016
"Gsdmd",1.79235791058368,0.408147716466042
"Gtf2b",0.500577602999537,0.823240046325157
"Gtf2f1",1.24488373123633,0.447378776082164
"Gtpbp6",0.871878481332132,0.725667512774207
"Gvin-ps7",3.00435184181372,2.4427957510909
"Gypc",1.83654813698833,1.74543704281218
"H2-D1",0.430089626996991,0.531390483545309
"H2-K1",1.40552237981162,0.745689594496008
"H2-M2",4.73639941494953,2.19147030126909
"H2-M3",2.19590152203048,0.696816790356341
"H2-T10",2.74758742941938,1.36411586403458
"H2-T22",2.55738197263953,1.83872768649713
"H2-T24",1.88428514679201,2.16235459579672
"Hap1",4.1078380986398,1.48937570322651
"Has1",4.0487299975097,4.10838504624551
"Hcar2",4.18787533450505,1.36880116028344
"Hck",2.7739534832713,1.34532128452495
"Hcls1",1.10318055173796,0.496116569065747
"Hdc",4.0438977073831,2.39689646253134
"Helz2",4.82515379130762,3.2145138724175
"Herc6",4.63248582595975,3.43868497620048
"Hgs",0.684589561280137,0.351268799672849
"Hivep3",2.9616246931652,1.33297043821888
"Hk1",0.732751368487287,0.68092766450597
"Hk2",1.0850851490639,1.05950333967888
"Hk3",1.2146291115806,0.998223068927928
"Hmgn3",1.43618096920361,1.58337111401678
"Hmox1",1.71910047670087,1.13498948265223
"Hmox2",0.718231919980238,1.11250254697092
"Hnrnpab",0.838438977483755,0.530878504207989
"Hook2",1.45759707800211,1.15781278838771
"Hsp90aa1",0.998018473809664,0.639074248434921
"Hspa1a",2.87589210997968,1.8203518549183
"Hspa1b",2.36459176633713,1.55652673430988
"Hspa5",1.33909953535354,1.10807193473924
"Htra4",3.56800552525245,5.74833682642485
"Icam1",4.0447550630408,1.94213485861393
"Idnk",1.42754629714283,0.673415489285798
"Ifi203",5.29991885764938,2.78900281312978
"Ifi204",4.64347450277169,4.41001710507005
"Ifi205",7.44953610734278,5.16507780140073
"Ifi206",5.85217612929584,3.42826384867139
"Ifi207",1.61995033000985,3.08208406462259
"Ifi208",4.3430473105071,3.2816578821344
"Ifi209",3.55262839427706,2.58930335512638
"Ifi211",6.28093907086124,4.59471198635779
"Ifi213",4.11896702823798,3.00250702673454
"Ifi27l2a",1.80264967244552,1.99362158010088
"Ifi35",4.18432627418986,2.3643856033953
"Ifi44",5.79467619162446,4.91729585601226
"Ifi47",5.30574955442522,3.27780586267575
"Ifih1",4.76114394003029,4.198329800147
