"","baseMean","lgFC_MoDC_Treatment_6H_vs_MoDC_Control","lfcSE","stat","pvalue","padj"
"Gm16675",4.875278104827,3.7111791022725,1.02091182658291,3.6351612408039,0.000277806826649558,0.00165339869409173
"Prpsap1",183.602725235372,0.526888204043987,0.145002545057403,3.63364797380213,0.000279442063338024,0.00166095885535657
"Clcn5",79.0079050487333,0.88836606854397,0.244562455067294,3.63247117510137,0.000280719942093275,0.00166782827214947
"Bcl6",171.014518382396,0.808811871054928,0.22267739197167,3.63221368767346,0.000281000275346586,0.00166804206926389
"Lcp1",2021.0410507161,0.817114055170107,0.225020798458455,3.63128235597728,0.000282016432213873,0.00167334652282312
"Prrc2c",140.35091547609,1.05443731437116,0.290549218121903,3.62911771433081,0.000284391545136845,0.00168597384531192
"Msr1",117.261599007279,0.803155361576335,0.221523909351556,3.62559221678297,0.000288299990830325,0.00170692097779984
"Cep192",70.0373732331098,0.796349797207912,0.219668991865676,3.62522625721735,0.000288708572073852,0.00170859910469194
"Pi4k2b",76.1498115747627,1.27639836950671,0.352867515608052,3.61721698101696,0.000297787659561247,0.00175851856227928
"Mllt11",26.2934944169938,1.36347319381263,0.376990742659293,3.61672858117068,0.000298349856618612,0.00175955533149629
"Tgs1",32.0886072954911,1.1761034252258,0.325266333031872,3.61581665788495,0.000299402233293796,0.00176464747300386
"Sart3",104.26771998615,0.84776872803523,0.234478495911393,3.61555000913854,0.00029971060725732,0.00176529289080423
"Itga4",174.106999280146,1.29408563049085,0.358524083378203,3.60948034033666,0.000306811024297986,0.00180244875849415
"Pfkfb3",280.797810772043,1.49635976024382,0.414859550280198,3.60690686578908,0.000309868818032893,0.00181806573811908
"B230303A05Rik",11.0749157812468,4.70525075344832,1.30482225105863,3.60604729849667,0.000310896493742041,0.00182252890899961
"Dhps",138.169956004848,0.768398878140613,0.213226607109162,3.60367258363413,0.000313752249494157,0.00183848045594151
"Cd180",912.595606683946,1.09444123711025,0.303954567158537,3.60067376957494,0.000317393617778966,0.00185822258299152
"Hps3",67.9938152440277,0.939621095043114,0.261068550249299,3.59913553028832,0.000319276769467128,0.00186764598694717
"Cav2",175.540338830201,1.20537350636451,0.335098601946313,3.59707112880651,0.0003218205022651,0.00188010925007506
"Tbc1d10b",295.604036340772,0.577683530123077,0.160612834201517,3.5967457581769,0.000322223146642812,0.00188165638199928
"Snx6",224.428893239986,0.57629984588851,0.160580387420254,3.58885574475717,0.000332132548905781,0.00193538441750347
"Kri1",151.587527518083,0.729286854231173,0.203269011342423,3.58779161375775,0.000333490652860692,0.00194164088848914
"Kcmf1",409.514402197859,0.619364164111499,0.17263849155513,3.58763656084027,0.000333688973322012,0.00194196741379601
"Efr3a",130.006207924017,0.875626993737765,0.244172565918414,3.58609899701157,0.000335661576534004,0.00195177735372239
"Tox4",68.6833832488429,0.94344511112383,0.263152345833148,3.5851670185073,0.000336862555217079,0.00195709977292714
"Med7",68.4401385205591,0.87046463713206,0.243175155925928,3.57957881765358,0.000344148439715238,0.00199603171088876
"Pou2f2",315.276450986653,1.71823085977754,0.480126735938068,3.57870272818796,0.000345303962540702,0.0020018832274175
"Ezr",445.850778115823,0.943777755482294,0.263981269190025,3.57516939886716,0.000350001201295837,0.00202739346681887
"Car2",725.320097604879,1.8829487960329,0.527038621316575,3.57269604138151,0.000353324792601233,0.00204317805734207
"Sf3a2",130.145918197939,0.783465604105512,0.21948553085601,3.56955468112152,0.000357588574328397,0.00206483870681472
"Map2k3",191.35786839046,0.717807469300765,0.201570099458367,3.56108108905817,0.000369330991252344,0.00212136138980574
"Gbp2b",3.86431704737729,4.26390601719584,1.19805613428037,3.55902022884512,0.00037224086332768,0.00213627764061068
"Tulp4",105.206071233701,0.712670448385742,0.200269806725439,3.55855163610749,0.000372905485956688,0.00213919268897759
"Pik3cg",130.264370475574,0.732345423824602,0.205884150094372,3.55707529447466,0.000375006696895626,0.00214944014807556
"Tmpo",160.375292676703,0.890441114260899,0.250396444157945,3.55612523674348,0.00037636471873798,0.00215611771634088
"9130401M01Rik",165.00326231271,0.776434809941259,0.218526058170646,3.55305365612253,0.000380786787901956,0.00217799833063486
"Ywhae",919.764841637524,0.76604932199307,0.215632811454011,3.55256380894727,0.000381496480952071,0.00218001067296554
"Ncoa3",152.112443344652,0.843113808156973,0.237810960093957,3.54531098072127,0.000392150130529998,0.00223550134953072
"Dnajc21",106.485272130445,1.20252792373305,0.339222350190965,3.54495487415875,0.000392680307188986,0.00223758941321003
"Plxna1",1094.12991383526,1.10502938500442,0.311812992006235,3.5438849994497,0.000394277183923924,0.00224575151944653
"Flrt2",34.1218111930667,1.00484719898977,0.284027073543114,3.53785710092614,0.000403388306639844,0.00229477522939741
"Rbm39",474.9954483349,0.582863841430171,0.164922607261586,3.53416581939967,0.000409064356983692,0.00232222688810742
"Uspl1",61.6782409323601,0.988955669699873,0.279906519711777,3.53316411035445,0.000410617495838791,0.00233007509172361
"Chmp2a",557.591241141287,0.430562191048589,0.122153422435305,3.5247656796241,0.000423857539425068,0.00239922346010384
"Ppp1r12a",152.819628060412,0.793915447180311,0.225294781100646,3.52389630732566,0.000425250631772389,0.00240611142792724
"F730043M19Rik",20.6217344640725,2.51455384547171,0.714398809229155,3.51981808058295,0.000431842883994007,0.00243634334511164
"Tmtc2",10.9880787062747,2.16600864077816,0.615397794445815,3.51968866370201,0.000432053633628574,0.00243652551009125
"Mettl3",62.699299223064,0.997069288724968,0.283722159221423,3.51424538520741,0.000441005221928496,0.00248188140766272
"Dcaf1",49.8912354620116,1.32515555628741,0.377581262656138,3.50959035139999,0.000448797550830852,0.00251950368482468
"Flii",426.034204790175,0.792394680457108,0.225917074939207,3.50745812670573,0.00045240954778688,0.00253769414787768
"Uso1",365.060881764859,0.730156757188779,0.208227650293809,3.5065312227196,0.000453988171205073,0.00254550328602171
"Rnf180",34.8461974369895,1.24746351263117,0.35601368411202,3.50397630288462,0.00045836614438407,0.0025658355757588
"Man1a",181.554607518004,0.988252988731426,0.282489109166749,3.49837553612758,0.000468101515312512,0.00261604174726227
"Snrnp27",260.115450482308,0.745463600497563,0.213286897038333,3.49512141087404,0.000473846156407751,0.00264058023405511
"Cnih4",140.008754426325,0.748578562639041,0.214441481806404,3.49082908928438,0.000481524180433087,0.00268117848101669
"Rheb",540.665339227698,0.615121752793377,0.176228107439915,3.49048606223671,0.000482142761421048,0.0026835283822591
"Glrp1",6.54250142393715,2.72524519135235,0.781444295341832,3.4874465238245,0.00048765643436001,0.00271090118009659
"Arf1",1071.62317895528,0.476347400939112,0.136658965571752,3.48566520276351,0.000490914992357633,0.0027256862101093
"Hnrnpk",859.091546604721,0.497587032683479,0.142842158029336,3.4834746236562,0.000494950040995159,0.00274585652568343
"Cpne2",154.311367888733,0.740932436293239,0.212767790606572,3.48235244714879,0.0004970290498593,0.00275515128612628
"Usp32",94.3040215928899,0.855250735472435,0.245660033593712,3.4814402772854,0.000498724984706113,0.00276230921549394
"Pdcd6ip",800.609747067291,0.654755461432848,0.188136217804409,3.48022017809217,0.000501001867336914,0.00277379501003685
"Fbxo38",97.2184948495675,0.733482254713879,0.210824229700534,3.47911744184127,0.000503068068155369,0.00278410552676338
"Ccdc93",45.7574722132173,0.925178089910499,0.266428266865685,3.47252226948168,0.000515592234627337,0.00284764594634589
"Rsl1",18.5502843086183,1.37037739837342,0.394788299208405,3.47117024775349,0.000518195346478387,0.00286086577657478
"Slc12a4",105.848937062712,0.935387115108856,0.26953949426896,3.47031561235876,0.000519847130087541,0.00286629932548675
"Celf1",110.36906581311,0.853041340908821,0.24592914555558,3.46864678841424,0.000523086680182884,0.00288088037294753
"Atp6v1h",392.122919121645,0.717208605604966,0.207043818339019,3.46404259426182,0.000532122246087838,0.00292592228185149
"Cd2ap",45.466286974963,1.26526539998955,0.36604003367468,3.45663119765215,0.000546972875118248,0.00299792078040523
"Etv3",353.460528290625,0.765974698525803,0.221811391958158,3.45327032919164,0.000553833689133,0.00303065785881076
"Wdr1",870.26980552999,0.456236127953238,0.132151128084271,3.45238163735011,0.000555661201924111,0.00303700656119691
"Kctd3",41.6894881759595,0.976400083752644,0.283038687452694,3.44970538317606,0.000561198654924629,0.00306481809427438
"Rtn1",9.92581925137793,4.30951547431094,1.24986355883967,3.44798873751607,0.000564777586918764,0.00308189783940923
