"","Naive_CD11c_M4","Naive_CD11c_M2","Naive_CD11c_M1","Naive_CD11c_M3","CD11c_6H_M2","CD11c_6H_M1","CD11c_6H_M3","CD11c_6H_M4","MoDC_6H_M4","MoDC_6H_M1","MoDC_6H_M2","MoDC_6H_M3","Naive_MoDC_M3","Naive_MoDC_M1","Naive_MoDC_M2"
"Dll4",0.17,-0.68,-0.16,-0.32,1.35,1.59,1.56,1.55,-0.25,-0.82,-0.98,-0.99,-0.33,-0.81,-0.88
"Icam5",0.44,-0.59,-0.34,-0.2,1.35,1.87,0.84,1.63,-0.9,-0.48,-1.05,-1.05,-0.05,-1.13,-0.33
"Efnb3",-0.23,0.19,-0.81,0.24,1.95,1.37,1.15,1.21,-0.79,-0.88,-0.91,-0.91,0.22,-0.97,-0.81
"Slit1",-0.15,-0.81,0.06,-0.9,1.2,1.18,2.56,0.47,-0.67,-0.76,-0.13,-0.78,0.25,-0.84,-0.69
"Sct",-0.2,-0.71,-0.59,-0.18,0.34,0.12,2.2,2.44,-0.57,-0.66,-0.24,-0.69,0.07,-0.75,-0.58
"Ifng",0.03,-0.5,-0.96,-0.06,0.35,1.19,2.04,2,-0.52,-0.76,-0.3,-0.49,-0.24,-0.51,-1.27
"Il17f",0.57,-0.72,-0.76,-0.26,0.04,1.38,2.04,1.91,-0.74,-0.64,-0.39,-0.87,-0.23,-0.76,-0.55
"Il17a",0.42,-0.64,-0.74,0.12,0.5,1.14,1.96,1.82,-0.92,-0.68,-0.87,-0.88,0.3,-0.59,-0.94
"Fam3c",0.57,0.23,-0.65,-0.08,1.08,0.9,1.2,0.91,0.35,-1.69,-1.13,-1.64,1.13,-0.41,-0.76
"Sema6d",0.22,-0.16,0.54,0.72,1.09,1.57,1.15,0.62,-0.25,-1.96,-1.38,-1.16,0,-0.69,-0.31
"Nrg2",0.66,0.13,0.16,0.32,0.32,2.06,0.8,1.19,-1.32,-1.47,-0.76,-1.52,-0.08,0.01,-0.49
"Ptprm",0.54,-0.27,-0.13,0.58,0.64,1.63,1.63,1.32,-1.24,-1.39,-0.67,-0.68,-0.35,-0.83,-0.79
"Il2",-0.5,-0.19,0.71,0.74,-0.06,1.76,1.69,1.32,-0.94,-1.07,-0.69,-1.11,-0.19,-0.51,-0.97
"Txlna",-0.38,0.47,-0.17,0.33,0.62,0.95,1.76,1.52,-0.53,-1.07,-0.94,-1.87,-0.97,0.12,0.15
"Tg",0.46,0.91,0.56,0.34,0.83,0.8,1.64,0.84,-1.15,-0.89,-1.33,-1.33,-0.33,-1.43,0.07
"Rps19",-0.04,0.37,0.75,0.56,1.23,0.88,1.49,1.28,-1.44,-0.74,-1,-1.26,-0.35,-0.68,-1.03
"Amigo2",0.33,0.28,-0.01,0.35,1.02,1.12,1.65,1.58,-0.77,-0.96,-0.72,-0.82,-0.6,-0.95,-1.49
"Wnt10a",0.23,0.37,-0.13,0.49,1.13,1.03,1.48,1.62,-0.74,-0.9,-0.51,-1.26,-0.35,-1.36,-1.11
"Wnt10b",-0.36,1.2,0.86,-0.09,-0.8,0.95,2.1,1.13,-0.82,-0.93,-0.43,-0.96,0.01,-1.03,-0.84
"Cx3cl1",-0.44,-0.12,0.71,0.7,0.49,1.34,1.35,1.37,0.43,-1.42,-0.33,-0.41,-1.39,-1.04,-1.24
"Gzmb",-0.06,-0.78,-0.48,0.63,0.01,0.86,2.04,1.9,0.05,-1.21,-0.08,-0.17,-0.48,-1.18,-1.07
"Xcl1",-0.12,-0.06,-0.11,0.94,-0.3,1.16,1.63,1.65,-0.37,-1.84,-0.03,-0.2,-0.71,-0.17,-1.47
"Ccl24",0.17,0.28,1.05,1.9,-0.43,0.71,1.56,0.44,0.01,-0.87,-1.35,-0.78,-0.52,-1.26,-0.9
"Il4",0.99,-1,0.56,1.15,-0.63,1.12,1.52,1.45,-0.68,-0.88,-0.93,-0.94,-0.31,-1.06,-0.36
"Tnfsf11",1.24,-0.51,0.4,1.28,-0.07,0.46,1.1,1.32,-0.13,-1.22,-1.26,-0.8,0.64,-1.36,-1.11
"Icosl",0.62,0.37,0.73,0.33,1.12,0.93,0.98,0.93,0.21,-0.38,-0.38,-0.83,-0.9,-2,-1.75
"Sema7a",0.47,0.38,0.5,0.45,1.05,1.21,1.23,1.26,-0.02,-1.2,-0.93,-0.92,-0.67,-1.48,-1.31
"Ccl22",0.43,-0.09,0.19,0.15,1.2,1.34,1.16,1.26,0.39,-0.87,-0.61,-0.47,-0.74,-1.7,-1.62
"Cd86",0.35,0.39,0.48,0.42,0.95,1.27,1.2,1.14,-0.05,-0.83,-0.36,-0.53,-0.92,-1.75,-1.74
"Il13",1.19,-0.25,-0.15,0.12,0.64,1.13,1.44,1.33,-0.1,-0.07,-0.81,-0.62,-0.51,-1.83,-1.51
"Adm",0.14,-0.03,0.15,0.42,1.38,1.49,1.33,1.02,-0.53,-0.57,-0.85,-0.32,-0.54,-1.92,-1.17
"Itga9",0.73,-1.07,0.46,0.68,1.21,1.3,1.24,0.89,-0.19,-1.34,-0.1,-0.73,-0.36,-1.49,-1.22
"Efna2",1.38,-0.2,0.47,0.5,1.04,1.22,1.23,0.87,-0.94,-0.83,-0.89,-1.59,-0.45,-0.82,-0.98
"Egf",1.84,0.06,1,0.68,0.99,0.72,0.86,0.4,-0.69,-1.21,-0.73,-0.98,-0.48,-1.41,-1.05
"Cadm1",-0.37,0.88,0.84,0.89,0.63,1.44,0.13,-0.56,-2.56,-1.44,-0.16,-0.12,0.31,-0.05,0.14
"Esam",0.52,1.43,0.85,0.59,1.37,1.17,0.06,-0.08,-1.31,-1.99,-0.08,-0.41,-0.64,-0.79,-0.69
"L1cam",1.17,1.06,0.91,1.15,0.54,0.53,0.59,0.68,-0.26,-1.07,-1.53,-1.38,-1.17,-1.07,-0.17
"Flt3l",1.3,1.47,1.08,1.38,0.06,0.25,0.28,0.22,-0.54,-1,-1.19,-1.52,-1.32,-0.32,-0.17
"Tgfb3",0.27,1.66,1.25,1.76,0.55,0.08,0.4,-0.07,-0.75,-1.24,-0.71,-0.33,-0.35,-1.39,-1.13
"Itgb7",1.58,1.32,1.29,1.12,0.7,0.19,-0.47,-0.16,-0.3,-1.48,-0.85,-1.25,0.04,-0.89,-0.84
"Gdf11",1.46,1.49,1.39,0.68,1.2,0.21,-0.36,-0.54,-0.38,-1.08,-1.12,-0.63,-0.12,-1.2,-0.98
"Ctsg",1.26,0.73,0.36,0.46,1.08,0.54,0.53,1.28,-0.81,-0.39,-1.33,-1.45,0.29,-1.46,-1.12
"Icam2",1.25,0.98,0.88,0.76,1.01,0.49,0.77,0.28,-0.86,-1.38,-1.2,-1.05,0.43,-1.31,-1.06
"Jag2",2,1.34,0.72,0.81,0.67,0.16,0.21,0.4,-0.91,-1.03,-1.06,-1.07,-0.17,-1.15,-0.93
"Selplg",1.35,0.66,0.87,0.66,0.84,0.86,0.21,0.68,-1.91,-1.17,-1.15,-1.36,0.29,-0.49,-0.35
