,Source,Target,capacity
241,Adrb1,Adrb2,0.74137642955585
242,Magi3,Adrb2,0.41361166517201947
243,Pgls,Adsl,0.5187253245920233
244,Pag1,Adsl,0.5512371721932375
245,Fancd2,Adsl,0.02246762987849817
246,Foxp3,Adsl,0.04185162927199704
247,Ywhaz,Adsl,0.12079328352057732
248,Ywhae,Adsl,0.7557338189037243
249,Pgls,Adssl1,0.3889580659571676
250,Ywhae,Adssl1,0.5088015532662254
251,Ywhae,Adss,0.8223698207433964
252,Scarf1,Avil,0.38338666828911455
253,Fancd2,Avil,0.35994916644620917
254,Crk,Avil,0.13704112950681602
255,Nfe2,Aebp1,0.4623005577320196
256,Gmeb2,Aebp1,0.5209618004946704
257,Ezh2,Aebp2,0.5604310070761259
258,Stat4,Aebp2,0.04921666409908676
259,Jarid2,Aebp2,0.026630210632348796
260,Suz12,Aebp2,0.41407032880442685
261,Eed,Aebp2,0.7181734520839447
262,Ezh1,Aebp2,0.06322739806589946
263,Smarca4,Afp,0.2709230381215716
264,Kat5,Afp,0.4620050219428165
265,H2az1,Afp,0.2689370324475704
266,Nap1l1,Afp,0.21441159309274715
267,Ywhae,Ager,0.1022622388067332
268,Tirap,Ager,0.19981785460055698
269,Irak4,Ager,0.13353641533594965
270,Myd88,Ager,0.14304714312523364
271,Prkcz,Ager,0.1884429506593026
272,Tek,Angpt1,0.06899997754535786
273,Stat3,Angpt1,0.14977682531323905
274,Dvl3,Agrn,0.30656615709876706
275,Dvl2,Agrn,0.3915534081570444
276,Dvl1,Agrn,0.5349188747453056
277,Pak1,Agrn,0.746269861355181
278,Eed,Agrn,0.6819842381805671
279,Pde4dip,Agrn,0.3076023194824905
280,Tnik,Agrn,0.20187945320409986
281,Ywhae,Gla,0.5987137998898513
282,Jak2,Agtr1a,0.4052950656305479
283,Arrb1,Agtr1a,0.20922691805447738
284,Tnfrsf1a,Agtrap,0.041854684630380834
285,Agtr1a,Agtrap,0.5722111707558288
286,Arnt,Ahr,0.35408549636199516
287,Hsp90aa1,Ahr,0.12828572680497444
288,Bmal1,Ahr,0.02177851123951539
289,Hsp90ab1,Ahr,0.047655976940973926
290,Nos2,Ahr,0.08413741536633787
291,Fancd2,Ahr,0.16581480630251264
292,Maf,Ahr,0.08384381590229523
293,Stat1,Ahr,0.29352890795782793
294,Arnt,Ahrr,0.6777527477900293
295,Pdcd4,Aicda,0.3112810056195154
296,Smarca5,Aicda,0.02209636086024761
297,Ncl,Aicda,0.3381203554291868
298,Irf8,Aicda,0.43560920089986
299,Nedd4,Aicda,0.6743752146178655
300,Irf8,Aif1,0.30000628516463973
301,Lcp1,Aif1,0.1234190513698783
302,Gnaq,Aip,0.13272464104299553
303,Fancd2,Aip,0.37909311630921405
304,Thrb,Aip,0.029990702152474007
305,Ahr,Aip,0.013610141314777946
306,Ywhah,Aip,0.2500002603649586
307,Parp1,Aire,0.50341212867296
308,Trim28,Aire,0.30281011062316554
309,Gcn1,Aire,0.02108303545585641
310,Srsf1,Aire,0.6612795560705025
311,Pcna,Aire,0.557922304724008
312,H2bc18,Aire,0.4214260684445015
313,Fbxo32,Ak1,0.1610309906251365
314,Ywhae,Ak1,0.08362524415722693
315,Csf1,Ak1,0.21507016343224697
316,Dmd,Ak1,0.04207623052953291
317,Kcnma1,Ak1,0.004905065244680863
318,Ubc,Ak1,0.10881925291248778
319,Snta1,Ak1,0.18418107025483882
320,Ywhae,Ak2,0.6000736374816888
321,Hsd3b7,Ak2,0.2555931733223335
322,Uvrag,Ak2,0.4345984399292642
323,Pgls,Ak2,0.12619997988191275
324,Ywhae,Ak4,0.25609409125108584
325,Creb1,Akap1,0.1288186181075481
326,Ywhae,Akap1,0.7960523853918069
327,Siah2,Akap1,0.2841727358731833
328,Ncor1,Akap1,0.06735053815109558
329,Pgls,Akap1,0.34778543981781135
330,Irf8,Akap1,0.289040703265734
331,Hsd3b7,Akap1,0.022358484843061133
332,Dnm1l,Akap1,0.29176290453428205
333,Htt,Alpl,0.41102225998589514
334,Rabl2,Alpl,0.35554835871013785
335,Ubc,Alpl,0.7507048190695513
336,Ywhae,Akt1,0.2890651735561925
337,Mapkap1,Akt1,0.5784982328782472
338,Vhl,Akt1,0.11796738510736356
339,Bad,Akt1,0.5829806587146005
340,Pik3r1,Akt1,0.1357201362149972
341,Mtor,Akt1,0.4498048751029562
342,Ubc,Akt1,0.08042662199622512
343,Akt2,Akt1,0.05337381449961548
344,Traf6,Akt1,0.07339162926761304
345,Stub1,Akt1,0.3564192681102875
346,Ywhab,Akt2,0.38833136716293337
347,Ubc,Akt2,0.031470197572124846
348,Egr1,Alas1,0.6248445570387141
349,Nfe2,Alas2,0.4327680292213445
350,Cd6,Alcam,0.41679918924690046
351,Ywhae,Alcam,0.3294045490677712
352,Ywhae,Abcd1,0.7168143748350666
353,Abcd3,Abcd1,0.5129414462993295
354,Abcd2,Abcd1,0.4841735874359941
355,Irf8,Abcd1,0.3429421344384921
356,Pgls,Aldh1a1,0.3870141326950528
357,Fancd2,Aldh1a1,0.6413084227015567
358,Ywhae,Aldh1a1,0.17367467655364932
359,Ywhab,Aldh1a1,0.06272459323266993
360,Hsd3b7,Aldh1a1,0.03723980790752186
361,Fancd2,Aldh2,0.36869718196711193
362,Rab19,Aldh2,0.6419351226266926
363,Rab1a,Aldh2,0.43906896619478714
364,Rab35,Aldh2,0.8203418382497963
365,Ywhae,Aldh2,0.3355486447789142
366,Sirt3,Aldh2,0.5190208006278528
367,Kcnh2,Aldh2,0.2155712022195737
368,Pgls,Aldh2,0.4594753956700415
369,Dlg4,Aldh2,0.7189058599052112
370,Rab3a,Aldh2,0.09148618671002472
371,Rab33b,Aldh2,0.06683582073279351
372,Rab6a,Aldh2,0.3831636995543116
373,Rab21,Aldh2,0.1628383119650525
374,Ywhae,Aldh3a1,0.10519135430439133
375,Ywhae,Aldh3a2,0.26466346969733556
376,Hsd3b7,Aldh3a2,0.02632582342342107
377,Fancd2,Aldh3a2,0.47526395921584214
378,Ywhaz,Aldh3a2,0.49394316339242483
379,Stam2,Aldoa,0.1701505723868797
380,Ywhae,Aldoa,0.2694001782636768
381,Snta1,Aldoa,0.46502229933050454
382,Prdx1,Aldoa,0.4966603448183338
383,Abcf1,Aldoa,0.005059620643587141
384,Ywhab,Aldoa,0.11217804369112551
385,Dmd,Aldoa,0.11194508557310716
386,Kcnma1,Aldoa,0.008300845521617388
387,Isg15,Aldoa,0.03979312471022028
388,Rack1,Aldoa,0.6548271415671723
389,Fancd2,Aldoa,0.46223334792641513
390,Iqcb1,Aldoa,0.17051293082735702
391,Pgls,Aldoa,0.013218958103091087
392,Htt,Aldoa,0.6084746198254685
393,Ywhaz,Aldoa,0.053757232297834585
394,Btk,Aldoa,0.2572407810838723
395,Fbxo32,Aldoa,0.20482245450642547
396,Traf6,Aldoa,0.004780842442479742
397,Chaf1a,Aldoc,0.5394584770675535
398,Ywhab,Aldoc,0.11382767242309971
399,Fbxo32,Aldoc,0.13309585678910058
400,Rpgrip1l,Aldoc,0.04144925136912318
401,Dlg4,Aldoc,0.6199943148263767
402,Ywhae,Aldoc,0.43003646180316896
403,Ywhaz,Akr1b1,0.015561408831581117
404,Pgls,Akr1b1,0.19263842026157468
405,Fbxo32,Akr1b1,0.087258898927354
406,Got1,Akr1b1,0.026228107839097247
407,Ywhae,Akr1b1,0.10414205930904888
408,Fancd2,Akr1b1,0.428059791006849
409,Prkce,Akr1b1,0.13629539406505517
410,Nphp1,Akr1b1,0.18791638077349468
411,Alox5,Alox5ap,0.7428401358613358
412,Ywhae,Gfer,0.5160410015425909
413,Shc1,Amd1,0.2932892034028744
414,Ywhae,Ampd3,0.5622412562868425
415,Kcnq1,Ampd3,0.06598514625770976
416,Tal1,Ank,0.05902883950710544
417,Ywhae,Ank1,0.20242020346101047
418,Atp1b1,Ank1,0.5562281627682738
419,Ywhaz,Ank1,0.33700561249839217
420,Shank3,Ank3,0.21895304287493764
421,Hook1,Ank3,0.36974943091562595
422,Ywhab,Ank3,0.056504650655115625
423,Actg1,Ank3,0.3765466429254033
424,Ywhae,Ank3,0.07868089318031983
425,Camk2d,Ank3,0.6241122000794206
426,Dlg4,Ank3,0.5858253841753821
427,Pik3r1,Ank3,0.14497739371941465
428,Sptbn4,Ank3,0.0823486995170255
429,Tnik,Ank3,0.24425622046768933
430,Agap2,Ank3,0.2115968445967973
431,Fxr1,Ankfy1,0.3312817444603596
432,Eed,Ankfy1,0.17659452848322357
433,Fancd2,Ankfy1,0.45626996107153506
434,Hdac2,Anp32a,0.2234243169579132
435,Ywhae,Anp32a,0.10421144136861936
436,Set,Anp32a,0.6116491372522821
437,Abcf1,Anp32a,0.20824987108782952
438,Ywhah,Anp32a,0.041393652411960975
439,Xpo7,Anp32a,0.3693889155502821
440,Ppp1ca,Slc25a4,0.16083194902985673
441,Lipc,Slc25a4,0.6125716124103198
442,Prkce,Slc25a4,0.49171230342511457
443,Ilk,Slc25a4,0.0906076354644735
444,Arl2bp,Slc25a4,0.2523345991650198
445,Eed,Slc25a4,0.0589003443449213
446,Dlg4,Slc25a4,0.05015102305415943
447,Ezh2,Slc25a4,0.18909088787518427
448,Ywhae,Slc25a4,0.45886309114505947
449,Fancd2,Slc25a4,0.34590366236200215
450,Ywhab,Slc25a4,0.11653412119276377
451,Dtnbp1,Slc25a4,0.12831548005532029
452,Eed,Slc25a5,0.29002448019424537
453,Sdha,Slc25a5,0.11129781952517513
454,Vdac1,Slc25a5,0.08963599221850212
455,Coq2,Slc25a5,0.09854784887489625
456,Ecsit,Slc25a5,0.17388315225797554
457,Dlg4,Slc25a5,0.07621210256646399
458,Prkce,Slc25a5,0.6537726624824504
459,Ywhaz,Slc25a5,0.22626888639738857
460,Uvrag,Slc25a5,0.7108842477353817
461,Ubc,Slc25a5,0.7975368314660305
462,Dlst,Slc25a5,0.4814981259662999
463,B9d1,Slc25a5,0.007301259854297901
464,Cox15,Slc25a5,0.053726281274303664
465,Ywhab,Slc25a5,0.03529636014304999
466,Lipc,Slc25a5,0.6766714430129582
467,Cdk1,Slc25a5,0.4657682065704907
468,Ywhae,Slc25a5,0.6332461244479552
469,Ilk,Slc25a5,0.25789959110855
470,Pag1,Slc25a5,0.6062959590687261
471,Fbp1,Slc25a5,0.5025595923570507
472,Ezh2,Slc25a5,0.5316431094549829
473,Cbl,Slc25a5,0.08439165408300565
474,Soat1,Slc25a5,0.23836558031630464
475,Fancd2,Slc25a5,0.07979238867790492
476,Ywhae,Anxa11,0.07435746119867762
477,Ywhae,Anxa3,0.15201474082403194
478,Ywhaz,Anxa3,0.25127464752125156
479,Kcnma1,Anxa3,0.0695504230901437
480,Lmna,Anxa3,0.18150686942919061
481,Cdh17,Anxa4,0.6464916929863819
482,Actg1,Anxa4,0.1349886878202686
483,Pgls,Anxa4,0.5829074089313796
484,Pdia3,Anxa4,0.21988371673303514
485,Ywhae,Anxa4,0.43323204458955894
486,Actb,Anxa4,0.3536412815321651
487,Ywhaz,Anxa4,0.38480691817985313
488,Acta1,Anxa4,0.2440007170254921
489,Abcg3,Anxa4,0.3487259571816743
490,Ywhae,Anxa5,0.17564758012388482
491,Kcnma1,Anxa5,0.33918696731657844
492,Dlg4,Anxa5,0.06160531541899917
493,Ywhah,Anxa5,0.24303566435120438
494,Eed,Anxa5,0.16610881974374503
495,Ywhae,Anxa6,0.5129362058010455
496,Ywhaz,Anxa6,0.41938893238381264
497,Pag1,Anxa6,0.2654084163370281
498,Cbl,Anxa6,0.07073990734209756
499,Isg15,Anxa6,0.08076478406637458
500,Eed,Anxa7,0.6916891139821972
501,Kcnma1,Anxa7,0.02046370130267141
502,Dlg4,Prdx3,0.5659933336007106
503,Fancd2,Prdx3,0.17218121250442114
504,Rab1a,Prdx3,0.12556147341919952
505,Unk,Prdx3,0.32351349002145013
506,Ywhae,Prdx3,0.022264674102164737
507,Pgls,Prdx6,0.1034073675354875
508,Snta1,Prdx6,0.12241794286356364
509,Ywhae,Prdx6,0.2647500518013064
510,Fancd2,Prdx6,0.2994064275269694
511,Pla2g4a,Prdx6,0.208693562410804
512,Hsd3b7,Prdx6,0.09104825595678954
513,Gstp1,Prdx6,0.2418870502901729
514,Kcnq1,Prdx6,0.3829398310604345
515,Ncoa3,Prdx6,0.2681159262194341
516,Sufu,Prdx6,0.4592987330056203
517,Ywhaz,Ap1b1,0.36212784123073294
518,Ap1g1,Ap1b1,0.0944881803920221
519,Cyfip1,Ap1b1,0.6240438516349603
520,Agap2,Ap1b1,0.6698700815107886
521,Atp6v1a,Ap1b1,0.6538774202429106
522,Crebbp,Ap1b1,0.20638255867308147
523,Ywhae,Ap1b1,0.6468262321075815
524,Grb2,Ap1b1,0.5853903678814952
525,Foxp3,Ap1b1,0.09927713343573874
526,Ywhab,Ap1b1,0.1350281104096219
527,Kcnq1,Ap1b1,0.30425548411248965
528,Prkce,Ap1b1,0.6112070375608017
529,Rab5a,Ap1g1,0.36821310493529047
530,Unk,Ap1g1,0.39924813546498744
531,Eed,Ap1g1,0.3732536394948508
532,Lamp1,Ap1g1,0.3877498304415832
533,Cltc,Ap1g1,0.32090039528270237
534,Vti1b,Ap1g1,0.25868438761182555
535,Ap1s1,Ap1g2,0.1594452780505423
536,Tal1,Ap1m1,0.5859176978251086
537,Ywhae,Ap1m1,0.524595885626151
538,Ap1g1,Ap1m1,0.2707467215672153
539,Eed,Ap1m1,0.5839365377368205
540,Ywhaz,Ap1m1,0.3261600089928784
541,Ywhae,Ap1m2,0.48394524935691347
542,Cyfip1,Ap1s1,0.15728606189113015
543,Ywhae,Fabp4,0.8443456722603245
544,Eed,Ap2a1,0.24071711071373525
545,Pip5k1c,Ap2a1,0.6110383983304563
546,Rara,Ap2a1,0.37950688095453183
547,Foxp3,Ap2a1,0.2014620821814302
548,Necap1,Ap2a1,0.07487497815843938
549,Dlg4,Ap2a1,0.5023461487956095
550,Agap2,Ap2a1,0.2480151880392208
551,Ubc,Ap2a1,0.24234269887258555
552,Ywhae,Ap2a1,0.055718269542674934
553,Ywhab,Ap2a1,0.40112186453126186
554,Fxr1,Ap2a1,0.35905967997431987
555,Nckap1,Ap2a1,0.6135119156481498
556,Cyfip1,Ap2a1,0.11062830292879598
557,Cyfip2,Ap2a1,0.40190801232109014
558,Atp6v1a,Ap2a1,0.46389303997902326
559,Sgip1,Ap2a1,0.4020681910026954
560,Rab32,Ap2a1,0.5558950045740507
561,Atp1b1,Ap2a1,0.0796142325396602
562,Eps15,Ap2a1,0.6527286373275313
563,Ywhaz,Ap2a1,0.4368768233280179
564,Tnik,Ap2a1,0.47575679878122623
565,Ywhaz,Ap2a2,0.541353782248214
566,Atp6v1a,Ap2a2,0.3663781619864606
567,Rara,Ap2a2,0.8063855200625692
568,Ywhab,Ap2a2,0.2654359487038325
569,Eed,Ap2a2,0.8105416787940399
570,Fxr1,Ap2a2,0.6150483723043343
571,Ywhae,Ap2a2,0.688150593717098
572,Tnik,Ap2a2,0.24844507664014484
573,Ubc,Ap2a2,0.6999274160699851
574,Agap2,Ap2a2,0.8571528462113607
575,Ctla4,Ap2m1,0.21354791987836633
576,Ywhae,Ap2m1,0.24893078179776978
577,Hsd3b7,Ap2m1,0.11769617921406063
578,Eed,Ap2m1,0.5547493528111691
579,Pgls,Ap2m1,0.7548245547977737
580,Rara,Ap2m1,0.5903036652196473
581,Atp6v1a,Ap2m1,0.249366040426539
582,Ywhab,Ap2m1,0.5375783655580432
583,Ubc,Ap2m1,0.35027490131976513
584,Rab32,Ap3b1,0.018105662223152547
585,Ywhae,Ap3b1,0.20031141939538913
586,Eed,Ap3b1,0.33157828584226906
587,Sod1,Ap3d1,0.6496949056548147
588,Ywhae,Ap3d1,0.49925264228997523
589,Ywhab,Ap3d1,0.2258908703228494
590,Pi4kb,Ap3d1,0.1371018601102392
591,Eed,Ap3d1,0.5067835759154564
592,Rab37,Ap3d1,0.49646930245358195
593,Ift27,Ap3d1,0.5194261225717177
594,Ap1g1,Ap3d1,0.49161271256241235
595,Dlst,Ap3d1,0.5410333098866208
596,Stat4,Ap3d1,0.4987783066764724
597,Kif3a,Ap3d1,0.341151703530834
598,Ubc,Ap3d1,0.31155724144284797
599,Dld,Ap3s1,0.465649941879336
600,Foxp3,Ap3s1,0.40790620817342343
601,Pi4kb,Ap3s1,0.6444901760649427
602,Xpo7,Ap3s1,0.5923694026876939
603,Pi4kb,Ap3s2,0.4777316566913929
604,Ppp1ca,Apaf1,0.03534311441805045
605,Prnp,Apbb1,0.26324195257522326
606,Trp53,Apbb1,0.5674417420879362
607,Aplp1,Apbb1,0.06425665990095766
608,App,Apbb1,0.14632164904316503
609,Enah,Apbb1,0.2827704955739376
610,Aplp2,Apbb1,0.6615117091412062
611,Mapk8,Apbb2,0.3318831745513444
612,App,Apbb2,0.35574873939246104
613,Ctnna1,Apc,0.2211423524232226
614,Ctnnb1,Apc,0.11963914798522572
615,Fancd2,Speg,0.05147311396409211
616,Ryr2,Speg,0.22701239580926572
617,Pcna,Apex1,0.35832646177945904
618,Ywhae,Apex1,0.6779658581925728
619,Eed,Apex1,0.3768365974993868
620,Sin3a,Apex1,0.12161211789196452
621,Aicda,Apex1,0.27325687559975986
622,Hdac1,Apex1,0.2313062758570917
623,Hdac2,Apex1,0.7403685674400904
