"","GeneNameA","GeneNameB"
"1301","Ywhab","Adam22"
"1308","Dlg4","Adam22"
"1315","Ywhaz","Adam22"
"1322","Grin2b","Adam22"
"1329","Ywhae","Adam22"
"1343","Dlgap1","Adam22"
"1350","Kalrn","Adam22"
"1357","Adam3","Adam5"
"1358","Kit","Adam8"
"1362","Il1r1","Adam8"
"1366","Tnf","Adam8"
"1370","Tnfrsf1a","Adam8"
"1374","Chl1","Adam8"
"1378","Syngap1","Adam9"
"1381","Itga6","Adam9"
"1384","Prkcq","Adam9"
"1387","Sh3gl2","Adam9"
"1390","Dchs1","Adamts1"
"1392","Shc1","Adamts1"
"1394","Akap5","Adcy6"
"1395","Tal1","Adcy7"
"1397","Calm2","Adcy8"
"1399","Ppp2r1a","Adcy8"
"1401","Calm1","Adcy8"
"1403","Calm3","Adcy8"
"1405","Ppp2ca","Adcy8"
"1407","Sharpin","Adcyap1"
"1409","Igf1r","Adcyap1r1"
"1410","Smarca4","Add1"
"1418","Ywhae","Add1"
"1426","Lnx1","Add1"
"1434","Hsd3b4","Add1"
"1442","Fancd2","Add1"
"1450","Foxp3","Add1"
"1458","Sin3a","Add1"
"1466","Ywhab","Add1"
"1474","Atp1b1","Add1"
"1490","Pdha1","Add1"
"1498","Pex5l","Add1"
"1506","Ywhab","Add2"
"1510","Ywhae","Add2"
"1514","Fyn","Add2"
"1522","Irf8","Add2"
"1526","Foxa1","Plin2"
"1528","Hspa8","Plin2"
"1530","Abhd5","Plin2"
"1532","Hsd3b7","Adh1"
"1542","Adh1","Adh1"
"1547","Ywhaz","Adh1"
"1552","Pgls","Adh1"
"1557","Ywhae","Adh1"
"1562","Fancd2","Adh1"
"1572","Ywhae","Adh7"
"1574","Pgls","Adh5"
"1577","Ywhae","Adh5"
"1583","Adh5","Adh5"
"1586","Ywhae","Adk"
"1589","Desi1","Adk"
"1595","Pgls","Adk"
"1598","Pgls","Cfd"
"1600","Ywhae","Cfd"
"1604","Ywhae","Adnp"
"1609","Cbx5","Adnp"
"1619","Tnik","Adnp"
"1624","Eed","Adnp"
"1629","Tfcp2l1","Adnp"
"1634","Smad3","Adora1"
"1636","Gria1","Adora1"
"1638","Myod1","Adora1"
"1640","Tsnax","Adora2a"
"1642","Drd2","Adora2a"
"1644","Bmal1","Parp1"
"1649","Abcf1","Parp1"
"1654","L3mbtl2","Parp1"
"1659","Ubc","Parp1"
"1664","Ywhae","Parp1"
"1669","Nanog","Parp1"
"1674","Eed","Parp1"
"1679","Fancd2","Parp1"
"1684","Tal1","Parp1"
"1694","Sting1","Parp1"
"1699","Clock","Parp1"
"1704","Pou5f1","Parp1"
"1709","Hmga2","Parp1"
"1714","Casp7","Parp1"
"1719","Tbx5","Parp1"
"1729","Parp2","Parp2"
"1732","Ywhah","Parp2"
"1735","Npm1","Parp2"
"1738","Eif3f","Adra1b"
"1739","Snta1","Adra1d"
"1740","Grk2","Adra2b"
"1742","Ywhae","Adra2b"
"1746","Kcnk2","Adrb2"
"1749","Adrb1","Adrb2"
"1752","Cav3","Adrb2"
"1755","Magi3","Adrb2"
"1758","Cacna1c","Adrb2"
"1761","Gria1","Adrb2"
"1764","Cav3","Adrb3"
"1765","Pgls","Adsl"
"1769","Pag1","Adsl"
"1773","Fancd2","Adsl"
"1777","Foxp3","Adsl"
"1781","Ywhaz","Adsl"
"1785","Ywhae","Adsl"
"1793","Pgls","Adssl1"
"1796","Adssl1","Adssl1"
"1799","Ywhae","Adssl1"
"1805","Ywhae","Adss"
"1807","Scarf1","Avil"
"1809","Fancd2","Avil"
"1811","Crk","Avil"
"1813","Nfe2","Aebp1"
"1815","Gmeb2","Aebp1"
"1817","Ezh2","Aebp2"
"1821","Stat4","Aebp2"
"1825","Jarid2","Aebp2"
"1829","Suz12","Aebp2"
"1833","Eed","Aebp2"
"1837","Ezh1","Aebp2"
"1841","Foxa1","Afp"
"1844","Smarca4","Afp"
"1847","Kat5","Afp"
"1850","H2az1","Afp"
"1853","Nap1l1","Afp"
"1856","Foxa2","Afp"
"1859","Ywhae","Ager"
"1862","Tirap","Ager"
"1865","Irak4","Ager"
"1871","Myd88","Ager"
"1874","Prkcz","Ager"
"1877","Tek","Angpt1"
"1879","Stat3","Angpt1"
"1881","Tek","Angpt2"
"1882","Ywhae","Angpt4"
"1884","Dvl3","Agrn"
"1889","Dvl2","Agrn"
"1894","Dvl1","Agrn"
"1899","Pak1","Agrn"
"1904","Eed","Agrn"
"1909","Pde4dip","Agrn"
"1914","Tnik","Agrn"
"1924","Ywhae","Gla"
"1926","Agtr1a","Agt"
"1927","Jak2","Agtr1a"
"1930","Arrb1","Agtr1a"
"1933","Ankrd1","Agtr1a"
"1936","Agt","Agtr2"
"1938","Irf1","Agtr2"
"1940","Tnfrsf1a","Agtrap"
"1942","Agtr1a","Agtrap"
"1944","Ywhae","Agxt"
"1946","Pgls","Agxt"
"1950","Nanog","Nr0b1"
"1952","Pou5f1","Nr0b1"
"1954","Tfcp2l1","Nr0b1"
"1956","Slc8a1","Nr0b1"
"1958","Arnt","Ahr"
"1963","Hsp90aa1","Ahr"
"1968","Bmal1","Ahr"
