InteractorA	InteractorB	Sources	CrossConfidence	StandardConfidence	PublicationCount	Publications
11489	88	UniProt	1	1	1	10788519
80708	11490	UniProt	2	2	1	10531379
11502	80708	UniProt	2	2	1	10531379
11502	20404	UniProt	2	2	1	10531379
20404	11490	UniProt	2	2	1	10531379
18128	4088	MINT	1	1	1	14638857
22027	14088	MINT	2	2	1	9596688
12412	10155	IntAct, Biogrid	1	1	3	10330177, 26496610, 10938122
11863	11622	IntAct, Biogrid	1	1	5	9020169, 8396713, 8816435, 10409767, 27782878
11863	20464	IntAct, Biogrid	1	1	4	9020169, 20211142, 27782878, 32325033
11863	20465	IntAct	1	1	1	9020169
15519	20464	IntAct	2	2	1	9020169
15519	11622	IntAct	2	2	1	9020169
11820	20418	IntAct	2	2	1	11877420
17084	17079	UniProt, DIP	1	1	2	9686597, 21857663
57530	21872	UniProt, Biogrid	1	1	1	12023291
2047	14784	IntAct	1	1	1	8798570
13548	13548	IntAct	1	1	2	9070862, 21965663
16183	16186	UniProt	1	1	1	8266076
16186	16189	UniProt	1	1	1	8266076
269523	63958	UniProt, Biogrid	2	2	5	12504083, 15189447, 22174917, 10811609, 32325033
11634	11634	IntAct	2	2	1	11533054
26874	26874	IntAct	1	1	1	10551832
26874	215	IntAct	1	1	1	10551832
5825	26874	IntAct	1	1	1	10551832
11666	215	IntAct	2	2	1	10551832
19299	215	IntAct	2	2	1	10551832
19299	26874	IntAct, Biogrid	2	2	2	10551832, 32325033
15110	21423	IntAct	1	1	1	10924525
15110	15110	IntAct	1	1	1	10924525
15110	15111	IntAct, Biogrid	1	1	2	10924525, 12392994
21423	15111	IntAct, Biogrid	1	1	2	10924525, 15351717
15110	15214	IntAct	2	2	1	10924525
15110	56198	IntAct	2	2	1	10924525
15111	15111	IntAct	2	2	1	10924525
15214	15111	IntAct	2	2	1	10924525
15111	56198	IntAct	2	2	1	10924525
18571	20404	MINT	1	1	1	12034747
20405	18571	MINT	1	1	1	12034747
56513	998	IntAct	1	1	1	10934474
56513	5879	IntAct	1	1	1	10934474
58220	998	IntAct	1	1	2	10934474, 12606577
56288	58220	IntAct, Biogrid	2	2	2	10934474, 26496610
15452	15452	MINT	1	1	1	11591653
69716	66591	MINT	1	1	1	11591653
16663	110310	MINT, Biogrid	1	1	2	11591653, 32325033
11757	11757	MINT	1	1	1	11591653
16667	110310	MINT	1	1	1	11591653
16675	110310	MINT, Biogrid	1	1	2	11591653, 32325033
19286	19286	MINT	1	1	1	11591653
18417	64540	MINT	1	1	1	11591653
69894	12328	MINT	1	1	1	11591653
67553	66155	MINT	1	1	1	11591653
66194	66194	MINT	1	1	1	11591653
66373	66094	MINT	1	1	1	11591653
18570	71699	MINT	1	1	1	11591653
21423	15902	MINT, bhf-ucl, DIP, Biogrid	1	1	5	11591653, 16311606, 19321746, 12200424, 23395635
69790	66999	MINT	1	1	1	11591653
80888	29810	MINT	1	1	1	11591653
67808	67808	MINT	1	1	1	11591653
18570	16005	MINT, Biogrid	1	1	2	11591653, 32325033
19286	384061	MINT	1	1	1	11591653
14319	14319	MINT, DIP	1	1	2	11591653, 33087931
21927	21927	MINT	1	1	1	11591653
12468	56390	MINT	1	1	1	11591653
56390	56390	MINT	1	1	1	11591653
15078	268996	MINT	1	1	1	11591653
15081	268996	MINT	1	1	1	11591653
18826	71994	MINT, Biogrid	1	1	2	11591653, 32325033
53868	67279	MINT	1	1	1	11591653
71923	51944	MINT	1	1	1	11591653
57785	19428	MINT	1	1	1	11591653
68776	99730	MINT, IntAct	1	1	2	11591653, 20211142
67463	68153	MINT	1	1	1	11591653
15903	12395	MINT, IntAct	1	1	2	11591653, 20211142
22218	19302	MINT	1	1	1	11591653
67015	67015	MINT	1	1	1	11591653
69894	69806	MINT	1	1	1	11591653
69894	69826	MINT	1	1	1	11591653
69894	93790	MINT	1	1	1	11591653
18570	67845	MINT	1	1	1	11591653
28193	65106	MINT	1	1	1	11591653
56390	67845	MINT	1	1	1	11591653
69894	65106	MINT	1	1	1	11591653
23983	26462	MINT	1	1	1	11591653
72269	72269	MINT	1	1	1	11591653
18826	18826	MINT	1	1	1	11591653
69546	69546	MINT	1	1	1	11591653
69716	18212	MINT	1	1	1	11591653
66935	18230	MINT	1	1	1	11591653
69716	69554	MINT	1	1	1	11591653
107771	71927	MINT	1	1	1	11591653
69716	69698	MINT	1	1	1	11591653
21423	21664	MINT	1	1	1	11591653
66989	66989	MINT	1	1	1	11591653
26410	66989	MINT	1	1	1	11591653
69716	69716	MINT, IntAct	1	1	2	11591653, 20211142
17434	17434	MINT	1	1	1	11591653
14712	19286	MINT	1	1	1	11591653
20595	20638	MINT, Biogrid	1	1	2	11591653, 17218272
69731	67242	MINT	1	1	1	11591653
66665	66665	MINT	1	1	1	11591653
74470	74470	MINT	1	1	1	11591653
21423	21412	MINT	1	1	1	11591653
19361	76915	MINT	1	1	1	11591653
18570	56322	MINT	1	1	1	11591653
66645	72140	MINT	1	1	1	11591653
12468	12468	MINT	1	1	1	11591653
71923	67203	MINT	1	1	1	11591653
26885	22218	MINT	1	1	1	11591653
67463	20021	MINT	1	1	1	11591653
107771	72792	MINT	1	1	1	11591653
67463	67463	MINT	1	1	1	11591653
66970	16876	MINT, IntAct	1	1	2	11591653, 20211142
69716	67266	MINT	1	1	1	11591653
19286	12111	MINT	1	1	1	11591653
56390	70625	MINT	1	1	1	11591653
66970	27055	MINT	1	1	1	11591653
15902	21413	MINT	1	1	1	11591653
69894	17180	MINT	1	1	1	11591653
69847	56379	IntAct, Biogrid	2	2	2	14608358, 32325033
13405	20649	IntAct, Biogrid	1	1	3	9214383, 22937058, 16857187
20650	13405	IntAct, Biogrid	1	1	3	9214383, 22937058, 16857187
13527	20649	IntAct, Biogrid	1	1	2	9214383, 16857187
1616	18507	IntAct, Biogrid	1	1	1	11799127
94221	10675	IntAct	1	1	1	12885772
12385	12387	MINT, mbinfo, Biogrid	1	1	5	10882138, 9264463, 12695331, 17113272, 32325033
12608	468	MINT, Biogrid	1	1	1	11018027
18073	15530	MINT, Biogrid	1	1	2	11574465, 32325033
5147	56327	MINT, IntAct, Biogrid	1	1	2	11980706, 23559067
14964	567	MINT	1	1	1	10023771
18514	15405	MINT, DIP, IntAct, Biogrid	1	1	4	12923056, 22745600, 20211142, 15161102
20181	5914	MINT	1	1	1	10882070
13368	13347	MINT, IntAct, Biogrid	1	1	5	10932250, 22727028, 14557248, 9422506, 15572351
15018	12010	MINT	1	1	1	11738047
14964	12010	MINT	1	1	1	11751972
19697	18033	MINT, IntAct, I2D, DIP, Biogrid	1	1	9	11970949, 9556555, 21056038, 21706061, 19887633, 20740013, 21220295, 20211142, 23538752
12010	14972	MINT	1	1	1	12083519
14961	14960	MINT, IntAct	1	1	2	12589760, 12084926
17684	2033	MINT	1	1	1	12778114
14390	14391	MINT	1	1	1	9461436
18569	13680	IntAct	1	1	1	12482958
18569	13690	IntAct	2	2	1	12482958
14463	18091	IntAct	2	2	2	12845333, 9584153
6910	14463	IntAct	2	2	1	12845333
18091	6910	IntAct	2	2	1	12845333
13388	50791	IntAct	1	1	2	14529612, 24025447
18754	20779	IntAct, Biogrid	1	1	2	11139474, 11834516
18754	14609	IntAct, Biogrid	2	2	3	11139474, 20338032, 32325033
18754	24131	IntAct, MINT, Biogrid	2	2	2	12169683, 10391924
18754	22352	IntAct, MINT	1	1	2	12169683, 15251432
14784	12483	IntAct, MINT, Biogrid	1	1	2	10373493, 11551923
12483	20963	IntAct, Biogrid	1	1	1	10373493
18803	12483	IntAct, Biogrid	1	1	1	10373493
20416	16331	IntAct, Biogrid	1	1	5	10748054, 10068665, 20697350, 8723348, 9393882
