,Source,Target,capacity
257,Ezh2,Aebp2,0.7800434794701023
258,Stat4,Aebp2,0.514104903358277
259,Jarid2,Aebp2,0.47464863585383427
260,Suz12,Aebp2,0.7039052589505641
261,Eed,Aebp2,0.8621026035813
262,Ezh1,Aebp2,0.45561042996332934
263,Smarca4,Afp,0.629438673297325
264,Kat5,Afp,0.728841343422187
265,H2az1,Afp,0.6284055342073334
266,Nap1l1,Afp,0.3769629700311299
267,Ywhae,Ager,0.43530413357712755
268,Tirap,Ager,0.592449078776895
269,Irak4,Ager,0.5579688420174507
270,Myd88,Ager,0.4140874374293706
271,Prkcz,Ager,0.5865317452765675
272,Tek,Angpt1,0.4526074790713031
273,Stat3,Angpt1,0.41058659258151065
274,Dvl3,Agrn,0.6479805636789207
275,Dvl2,Agrn,0.2848121086258595
276,Dvl1,Agrn,0.7667718249501516
277,Pak1,Agrn,0.10028522712717997
278,Eed,Agrn,0.843276629411591
279,Pde4dip,Agrn,0.32848426550458615
280,Tnik,Agrn,0.3834823087065918
281,Ywhae,Gla,0.1770452973831142
282,Jak2,Agtr1a,0.27766356736890163
283,Arrb1,Agtr1a,0.5973437633096288
284,Tnfrsf1a,Agtrap,0.4667287193008083
285,Agtr1a,Agtrap,0.1908322177853813
286,Arnt,Ahr,0.6727005771039063
287,Hsp90aa1,Ahr,0.5552373837735317
288,Bmal1,Ahr,0.47717253614336635
289,Hsp90ab1,Ahr,0.4637108317202227
290,Nos2,Ahr,0.44473283956754894
291,Fancd2,Ahr,0.574760368802164
292,Maf,Ahr,0.44488557280848273
293,Stat1,Ahr,0.3358053883825345
294,Arnt,Ahrr,0.13592848297696175
295,Pdcd4,Aicda,0.32657057789647725
296,Smarca5,Aicda,0.49999666299659806
297,Ncl,Aicda,0.31260849218779874
298,Irf8,Aicda,0.2618938651288684
299,Nedd4,Aicda,0.8393183427952917
300,Irf8,Aif1,0.6445680557444238
301,Lcp1,Aif1,0.5527056928040043
302,Gnaq,Aip,0.419457301447026
303,Fancd2,Aip,0.2912940712653518
304,Thrb,Aip,0.4729004761197125
305,Ahr,Aip,0.4955820506651989
306,Ywhah,Aip,0.6185544447905599
307,Parp1,Aire,0.7503817151977483
308,Trim28,Aire,0.3309772182512907
309,Gcn1,Aire,0.47753432927802186
310,Srsf1,Aire,0.14449799439637206
311,Pcna,Aire,0.19826542215250864
312,H2bc18,Aire,0.26927206588125396
313,Fbxo32,Ak1,0.5722717822687459
314,Ywhae,Ak1,0.5320045748217251
315,Csf1,Ak1,0.376620375460453
316,Dmd,Ak1,0.4666134690114271
317,Kcnma1,Ak1,0.4910535870826919
318,Ubc,Ak1,0.4318931123122022
319,Snta1,Ak1,0.39268917628702604
320,Ywhae,Ak2,0.8006659538357253
321,Hsd3b7,Ak2,0.6214639314445141
322,Uvrag,Ak2,0.2624196726243004
323,Pgls,Ak2,0.42285149240161823
324,Ywhae,Ak4,0.6217245137277605
325,Creb1,Akap1,0.5555145989107353
326,Ywhae,Akap1,0.9026159673347323
327,Siah2,Akap1,0.3406725583206036
328,Ncor1,Akap1,0.45346553317310784
329,Pgls,Akap1,0.3075806231234386
330,Irf8,Akap1,0.6388636554737851
331,Hsd3b7,Akap1,0.4768708283442244
332,Dnm1l,Akap1,0.6402797705323565
333,Htt,Alpl,0.27468422625122657
334,Rabl2,Alpl,0.6734615720471373
335,Ubc,Alpl,0.09797811983279647
336,Ywhae,Akt1,0.3381274655840453
337,Mapkap1,Akt1,0.1875616281164259
338,Vhl,Akt1,0.42713416670864096
339,Bad,Akt1,0.7917740232839383
340,Pik3r1,Akt1,0.559104834442502
341,Mtor,Akt1,0.25450914003971276
342,Ubc,Akt1,0.44666322966448196
343,Akt2,Akt1,0.5162674926388539
344,Traf6,Akt1,0.45032289996698005
345,Stub1,Akt1,0.6739146274220108
346,Ywhab,Akt2,0.28648824507609655
347,Ubc,Akt2,0.4721308284940715
348,Egr1,Alas1,0.16345182833366578
349,Nfe2,Alas2,0.2633718697291963
350,Cd6,Alcam,0.2716790125613605
351,Ywhae,Alcam,0.6598613129661007
352,Ywhae,Abcd1,0.11560825209988135
353,Abcd3,Abcd1,0.22166489363855002
354,Abcd2,Abcd1,0.7403736425892355
355,Irf8,Abcd1,0.310100156767096
356,Pgls,Aldh1a1,0.6898303677289529
357,Fancd2,Aldh1a1,0.15488716841787503
358,Ywhae,Aldh1a1,0.3981547024784343
359,Ywhab,Aldh1a1,0.45587199383227817
360,Hsd3b7,Aldh1a1,0.4691294221790995
361,Fancd2,Aldh2,0.6803017152914413
362,Rab19,Aldh2,0.15456115314066382
363,Rab1a,Aldh2,0.7169097885058446
364,Rab35,Aldh2,0.9152515723335519
365,Ywhae,Aldh2,0.3139463205916778
366,Sirt3,Aldh2,0.7585014951916113
367,Kcnh2,Aldh2,0.6006441204308497
368,Pgls,Aldh2,0.727525407712795
369,Dlg4,Aldh2,0.8624836091140995
370,Rab3a,Aldh2,0.5360939120989497
371,Rab33b,Aldh2,0.5232705566538646
372,Rab6a,Aldh2,0.6878273356917464
373,Rab21,Aldh2,0.40379188267204535
374,Ywhae,Aldh3a1,0.5432234709728163
375,Ywhae,Aldh3a2,0.6261823861123414
376,Hsd3b7,Aldh3a2,0.4748069809825282
377,Fancd2,Aldh3a2,0.7357387690276787
378,Ywhaz,Aldh3a2,0.23154798157268253
379,Stam2,Aldoa,0.577015875664737
380,Ywhae,Aldoa,0.6286464670773899
381,Snta1,Aldoa,0.2465928908445184
382,Prdx1,Aldoa,0.7468693728521527
383,Abcf1,Aldoa,0.48586986246124364
384,Ywhab,Aldoa,0.4301458373200203
385,Dmd,Aldoa,0.5467368263817917
386,Kcnma1,Aldoa,0.49282010436461743
387,Isg15,Aldoa,0.46780116243013053
388,Rack1,Aldoa,0.14785460195066363
389,Fancd2,Aldoa,0.7289601207761516
390,Iqcb1,Aldoa,0.3997994727553817
391,Pgls,Aldoa,0.4816252973080828
392,Htt,Aldoa,0.1719676257742827
393,Ywhaz,Aldoa,0.4605369005025475
394,Btk,Aldoa,0.3546828180227636
395,Fbxo32,Aldoa,0.38195133136491954
396,Traf6,Aldoa,0.49098896519640917
397,Chaf1a,Aldoc,0.7691333693674348
398,Ywhab,Aldoc,0.547716166013341
399,Fbxo32,Aldoc,0.557739659260252
400,Rpgrip1l,Aldoc,0.5100642211867829
401,Dlg4,Aldoc,0.811028880152265
402,Ywhae,Aldoc,0.26479285714811873
403,Ywhaz,Akr1b1,0.48040673210171747
404,Pgls,Akr1b1,0.5887142685712998
405,Fbxo32,Akr1b1,0.5338948366833587
406,Got1,Akr1b1,0.4748578135613007
407,Ywhae,Akr1b1,0.542677617710254
408,Fancd2,Akr1b1,0.26582114014572383
409,Prkce,Akr1b1,0.4175997616745627
410,Nphp1,Akr1b1,0.39074603213562753
411,Alox5,Alox5ap,0.8749344477016334
412,Ywhae,Gfer,0.7569513752923551
413,Shc1,Amd1,0.33593008497782295
414,Ywhae,Ampd3,0.19601866236437854
415,Kcnq1,Ampd3,0.5228280276799688
416,Tal1,Ank,0.4577945601627004
417,Ywhae,Ank1,0.38320100526639983
418,Atp1b1,Ank1,0.7778571197832026
419,Ywhaz,Ank1,0.6638154586457845
420,Shank3,Ank3,0.3746004645475673
421,Hook1,Ank3,0.2961547455076613
422,Ywhab,Ank3,0.5178961834623241
423,Actg1,Ank3,0.2926187710025572
424,Ywhae,Ank3,0.5294324762946405
425,Camk2d,Ank3,0.16383280740758205
426,Dlg4,Ank3,0.7932538765956897
427,Pik3r1,Ank3,0.4130833026635771
428,Sptbn4,Ank3,0.5313405041268745
429,Tnik,Ank3,0.361437510274934
430,Agap2,Ank3,0.37842722903991793
431,Fxr1,Ankfy1,0.6608378479100959
432,Eed,Ankfy1,0.5803680830750557
433,Fancd2,Ankfy1,0.2511459406683649
434,Hdac2,Anp32a,0.6047293856043477
435,Ywhae,Anp32a,0.5427137109192638
436,Set,Anp32a,0.8066876391993391
437,Abcf1,Anp32a,0.5968354941605444
438,Ywhah,Anp32a,0.4669685526571931
439,Xpo7,Anp32a,0.6806615616977173
440,Ppp1ca,Slc25a4,0.4048356118034353
441,Lipc,Slc25a4,0.8071675195731925
442,Prkce,Slc25a4,0.7442953545353109
443,Ilk,Slc25a4,0.44136696937304704
444,Arl2bp,Slc25a4,0.619768790094402
445,Eed,Slc25a4,0.45786140457138724
446,Dlg4,Slc25a4,0.5145909657966709
447,Ezh2,Slc25a4,0.3901350423413318
448,Ywhae,Slc25a4,0.24979696967625636
