"","GeneNameA","GeneNameB"
"7301","Dynlt1f","Ap3b1"
"7303","Kif3a","Ap3b1"
"7305","Dynlt1a","Ap3b1"
"7307","Dynlt1c","Ap3b1"
"7309","Dynlt1b","Ap3b1"
"7311","Cavin1","Ap3b1"
"7318","App","Apba2"
"7322","Trp53","Apbb1"
"7323","App","Apbb1"
"7325","Prnp","Apbb1"
"7333","Apbb2","Apbb2"
"7335","App","Apbb2"
"7343","Pcna","Apex1"
"7344","Gadd45a","Apex1"
"7348","Rab33b","Atg5"
"7352","Atg10","Atg5"
"7364","Fadd","Atg5"
"7384","Atg16l1","Atg5"
"7388","Htra2","Birc3"
"7392","Tlr4","Birc3"
"7404","Cd40","Birc3"
"7408","Ltbr","Birc3"
"7416","Fadd","Birc3"
"7428","Map3k7","Birc3"
"7432","Ubc","Birc3"
"7456","Hccs","Birc3"
"7500","Septin4","Birc3"
"7504","Tlr4","Birc2"
"7507","Glmn","Birc2"
"7510","Cd40","Birc2"
"7513","Htra2","Birc2"
"7525","Hccs","Birc2"
"7534","Map3k7","Birc2"
"7558","Ubc","Xiap"
"7562","Htra2","Xiap"
"7566","Tgfbr1","Xiap"
"7570","Casp7","Xiap"
"7582","Casp3","Xiap"
"7590","Maged1","Xiap"
"7598","Hccs","Xiap"
"7634","Septin4","Xiap"
"7638","Diablo","Xiap"
"7650","Dab1","Aplp1"
"7654","Prnp","Aplp1"
"7660","Cpeb1","Aplp1"
"7668","Aplp2","Aplp1"
"7670","Ubc","Aplp2"
"7671","Cpeb1","Aplp2"
"7676","Kcnma1","Apoa1"
"7679","Apoa1","Apoa1"
"7692","Apob","Apoa4"
"7693","Dnd1","Apobec1"
"7694","Tmcc2","Apoe"
"7697","Prnp","Apoe"
"7700","Clcf1","Apoe"
"7706","App","Apoe"
"7712","Kcnma1","Apoe"
"7730","Kcnma1","Apoh"
"7733","Egf","App"
"7741","Sorl1","App"
"7745","Ngfr","App"
"7749","Dlg4","App"
"7757","Aplp2","App"
"7761","App","App"
"7773","Sort1","App"
"7777","Slc40a1","App"
"7781","Nbl1","App"
"7785","Rasgrf1","App"
"7801","Dab2","App"
"7805","Aplp1","App"
"7813","Snca","App"
"7821","Kdr","App"
"7833","Cpeb1","App"
"7837","Ppid","App"
"7853","Stub1","App"
"7861","Map3k5","App"
"7905","Dab1","App"
"7921","Itm2b","App"
"7950","Kcnma1","Aprt"
"7953","Trpv4","Aqp4"
"7955","Foxo1","Ar"
"7963","Casp8","Ar"
"7967","Nelfcd","Ar"
"7971","Atrx","Ar"
"7979","Grip1","Ar"
"7983","Cmtm2a","Ar"
"7987","Tlx3","Ar"
"7995","Pou3f3","Ar"
"8019","Kdm1a","Ar"
"8035","Sqstm1","Ar"
"8039","Kdm4c","Ar"
"8071","Pik3r1","Araf"
"8077","Rgs12","Araf"
"8081","Ppp1r9b","Rplp0"
"8084","Desi1","Rplp0"
"8093","Fbxo32","Rplp0"
"8102","Itga2b","Rplp0"
"8108","Rnf216","Arc"
"8111","Grin2b","Arc"
"8114","Camk2b","Arc"
"8117","Grin1","Arc"
"8120","Dlg4","Arc"
"8147","Gga3","Arf1"
"8154","Dlg4","Arf3"
"8158","Cadps2","Arf4"
"8159","Cadps2","Arf5"
"8160","Dlg4","Arf5"
"8167","Atp6v1c1","Arf6"
"8170","Tjap1","Arf6"
"8173","Spag9","Arf6"
"8176","Kcnk1","Arf6"
"8195","Ikbkg","Rhoa"
"8207","Arhgap1","Rhoa"
"8211","Ikbkb","Rhoa"
"8215","Rac1","Rhoa"
"8223","Cit","Rhoa"
"8231","Fbxl19","Rhoa"
"8235","Rtkn","Rhoa"
"8239","Homer2","Rhoa"
"8259","Arhgef28","Rhoa"
