"","GeneNameA","GeneNameB"
"307","Abhd5","Plin2"
"308","Foxa1","Plin2"
"309","Hspa8","Plin2"
"310","Hsd3b7","Adh1"
"311","Ywhaz","Adh1"
"312","Ywhae","Adh1"
"313","Pgls","Adh1"
"314","Fancd2","Adh1"
"315","Adh1","Adh1"
"316","Ywhae","Adh7"
"317","Adh5","Adh5"
"318","Ywhae","Adh5"
"319","Pgls","Adh5"
"320","Desi1","Adk"
"321","Ywhae","Adk"
"322","Pgls","Adk"
"323","Ywhae","Cfd"
"324","Pgls","Cfd"
"325","Cbx5","Adnp"
"326","Eed","Adnp"
"327","Tfcp2l1","Adnp"
"328","Ywhae","Adnp"
"329","Tnik","Adnp"
"330","Smad3","Adora1"
"331","Myod1","Adora1"
"332","Gria1","Adora1"
"333","Drd2","Adora2a"
"334","Tsnax","Adora2a"
"335","Tal1","Parp1"
"336","L3mbtl2","Parp1"
"337","Bmal1","Parp1"
"338","Hmga2","Parp1"
"339","Fancd2","Parp1"
"340","Abcf1","Parp1"
"341","Ywhae","Parp1"
"342","Sting1","Parp1"
"343","Nanog","Parp1"
"344","Tbx5","Parp1"
"345","Pou5f1","Parp1"
"346","Eed","Parp1"
"347","Ubc","Parp1"
"348","Casp7","Parp1"
"349","Clock","Parp1"
"350","Npm1","Parp2"
"351","Parp2","Parp2"
"352","Ywhah","Parp2"
"353","Eif3f","Adra1b"
"354","Snta1","Adra1d"
"355","Ywhae","Adra2b"
"356","Grk2","Adra2b"
"357","Magi3","Adrb2"
"358","Kcnk2","Adrb2"
"359","Cacna1c","Adrb2"
"360","Adrb1","Adrb2"
"361","Cav3","Adrb2"
"362","Gria1","Adrb2"
"363","Cav3","Adrb3"
"364","Pag1","Adsl"
"365","Fancd2","Adsl"
"366","Ywhaz","Adsl"
"367","Ywhae","Adsl"
"368","Foxp3","Adsl"
"369","Pgls","Adsl"
"370","Adss1","Adss1"
"371","Ywhae","Adss1"
"372","Pgls","Adss1"
"373","Ywhae","Adss2"
"374","Scarf1","Avil"
"375","Fancd2","Avil"
"376","Crk","Avil"
"377","Nfe2","Aebp1"
"378","Gmeb2","Aebp1"
"379","Stat4","Aebp2"
"380","Eed","Aebp2"
"381","Ezh1","Aebp2"
"382","Jarid2","Aebp2"
"383","Suz12","Aebp2"
"384","Ezh2","Aebp2"
"385","Foxa1","Afp"
"386","H2az1","Afp"
"387","Foxa2","Afp"
"388","Kat5","Afp"
"389","Smarca4","Afp"
"390","Nap1l1","Afp"
"391","Irak4","Ager"
"392","Myd88","Ager"
"393","Tirap","Ager"
"394","Prkcz","Ager"
"395","Ywhae","Ager"
"396","Stat3","Angpt1"
"397","Tek","Angpt1"
"398","Tek","Angpt2"
"399","Ywhae","Angpt4"
"400","Pde4dip","Agrn"
"401","Pak1","Agrn"
"402","Tnik","Agrn"
"403","Eed","Agrn"
"404","Dvl2","Agrn"
"405","Dvl1","Agrn"
"406","Dvl3","Agrn"
"407","Ywhae","Gla"
"408","Agtr1a","Agt"
"409","Ankrd1","Agtr1a"
"410","Jak2","Agtr1a"
"411","Arrb1","Agtr1a"
"412","Irf1","Agtr2"
"413","Agt","Agtr2"
"414","Tnfrsf1a","Agtrap"
"415","Agtr1a","Agtrap"
"416","Ywhae","Agxt"
"417","Pgls","Agxt"
"418","Nanog","Nr0b1"
"419","Pou5f1","Nr0b1"
"420","Slc8a1","Nr0b1"
"421","Tfcp2l1","Nr0b1"
"422","Bmal1","Ahr"
"423","Fancd2","Ahr"
"424","Hsp90ab1","Ahr"
"425","Hsp90aa1","Ahr"
"426","Stat1","Ahr"
"427","Arnt","Ahr"
"428","Nos2","Ahr"
"429","Maf","Ahr"
"430","Il21","Ahr"
"431","Arnt","Ahrr"
"432","Ywhae","Ahsg"
"433","Pgls","Ahsg"
"434","Amelx","Ahsg"
"435","Ywhaz","Ahsg"
"436","Hsd3b7","Ahsg"
"437","Hsd3b4","Ahsg"
"438","Fancd2","Ahsg"
"439","Kcnma1","Ahsg"
"440","Pdcd4","Aicda"
"441","Irf8","Aicda"
"442","Ncl","Aicda"
"443","Smarca5","Aicda"
"444","Nedd4","Aicda"
"445","Lcp1","Aif1"
"446","Irf8","Aif1"
"447","Gnaq","Aip"
"448","Ahr","Aip"
"449","Lrp1b","Aip"
"450","Fancd2","Aip"
"451","Ywhah","Aip"
"452","Thrb","Aip"
"453","H2bc18","Aire"
"454","Parp1","Aire"
"455","Srsf1","Aire"
"456","Tlr8","Aire"
"457","Trim28","Aire"
"458","Pcna","Aire"
"459","Gcn1","Aire"
"460","Aire","Aire"
"461","Ywhae","Ak1"
"462","Ubc","Ak1"
"463","Cav3","Ak1"
"464","Fbxo32","Ak1"
"465","Csf1","Ak1"
"466","Dmd","Ak1"
"467","Snta1","Ak1"
"468","Kcnma1","Ak1"
"469","Hsd3b7","Ak2"
"470","Hsd3b4","Ak2"
"471","Uvrag","Ak2"
"472","Pgls","Ak2"
"473","Ywhae","Ak2"
"474","Hsd3b4","Ak4"
"475","Ywhae","Ak4"
"476","Ncor1","Akap1"
"477","Dnm1l","Akap1"
"478","Pgls","Akap1"
"479","Siah2","Akap1"
"480","Irf8","Akap1"
